index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
3,https://www.amazon.in/Si-Noir-Hopscotch-Cotton-Blazer/dp/B07NMTLP7Y/ref=zg_bs_1967893031_sccl_4/258-1229559-2740407?psc=1,Hopscotch,Boy's Cotton Blend Formal Set,₹649,4.1,9258,1108,it is so cute dress for the babyquality of product is too nice just love it nicebut so smalli will return the dress soft and perfect fit best one like good quality go for it good its luking like fr 6 to 12 months baby wear it is not worth for the money very bad quality material imperfect finishing as threads are comming outfading colour quality is very good compared to pricethank you amazon i ordered it for my son birthday,Amazon,https://m.media-amazon.com/images/I/511wuGpCVjL._UX522_.jpg,4.674500000000001,1.3117221333950204
16,https://www.amazon.in/Si-Noir-Cotton-Blazer-Style/dp/B07G38KFXZ/ref=zg_bs_1967893031_sccl_18/258-1229559-2740407?psc=1,Hopscotch,Boys Gray Graphic Print Top and Pant Set,₹639,4.1,6384,711,like comfort for my 11month boy good quality👌 product is awesome 👍 its of good quality soft material would recommend for others సైజ్ మరియు కలర్ బాగాలేదు cloth is okay quality good moderate and good looking very nice dress same as shown,Amazon,https://m.media-amazon.com/images/I/51-ISImNTEL._UX522_.jpg,4.847600000000001,0.8851731489133703
100,https://www.snapdeal.com/product/arshia-fashions-boys-shirt-and/627080696365#bcrumbLabelId:532,Arshia Fashions,Blue Denim Boy's Shirt & Jeans ( Pack of 1 ),849,4.1,183,5,very good बहुत अच्छ समान एवं आराम्फायक nice product boys dress quality,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/w/Arshia-Fashions-Blue-Denim-Boy-SDL030124815-1-c4eed.jpg,0.8619,0.5366663461325363
99,https://www.snapdeal.com/product/hvm-kids-kurta-pyjama-set/8070451162800580228#bcrumbLabelId:532,harshvardhanmart,Black Cotton Boy's Shirt & Pants ( Pack of 1 ),599,4.0,153,3,very good i like to shop in this app good like thiss,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/b/harshvardhanmart-Black-Cotton-Boy-s-SDL381020092-1-77941.jpg,1.6032,0.44777294906619647
1,https://www.amazon.in/Bold-Elegant-Wednesday-Elephant-Full-Length/dp/B085T8CJ7T/ref=zg_bs_1967893031_sccl_2/258-1229559-2740407?psc=1,Bold N Elegant - Be Bold Inside & Elegant Outside,Baby's Cotton Tshirt Pant Set,₹639,4.2,4754,277,good one at this price very good nice good cloth was very soft and comfortable for kids overall good dress  i like the quality of material worth buying in this price length of pant is small  my daughter is yr old she just love it n material is damn superb,Amazon,https://m.media-amazon.com/images/I/51nUfiMuCLL._UX569_.jpg,4.141100000000001,0.44559569106408137
2,https://www.amazon.in/Wnee-Bear-Cotton-Overall-Colour/dp/B07KX271S2/ref=zg_bs_1967893031_sccl_3/258-1229559-2740407?psc=1,Hopscotch,Boys Cotton All-Over Print T-Shirt with Jacket & Pant Set in Green Color,₹829,4.0,3171,268,jacket size is larger than usual\nhowever love the tee  printed jacket\nsuper cool i was purchased it for son for his 2nd bday theme its really awesome and fit perfectly even the matrial of this product also good\ni just loving it\ngo for it guys nice one value for money not so good as shown in picture not like pic  nice product looks good but coat material is not worth for the amount normal cloth,Amazon,https://m.media-amazon.com/images/I/61eU-2gSbgL._UX522_.jpg,5.828800000000001,0.41220018533755065
135,https://www.snapdeal.com/product/arshia-fashions-boys-cotton-shirt/629885471917,Arshia Fashions,Blue Cotton Blend Boy's Shirt & Jeans ( Pack of 1 ),949,4.2,106,4,beautiful kids dress well experienced साइज अच्छा और कपड़ा भी ठीक है,Snapdeal,https://n2.sdlcdn.com/imgs/j/s/q/Arshia-Fashions-Boy-s-Cotton-SDL224578100-1-a0c99.jpeg,0.8726,0.3256681958974733
20,https://www.amazon.in/GigglePlum-Girls-Cotton-Blazer-GP-CS-001-Red-0045/dp/B08ZHYHDX7/ref=zg_bs_1967893031_sccl_22/258-1229559-2740407?psc=1,GigglePlum,"Baby Boys and Girls Cotton Blazer Style Shirt and Pant Set for Newborn, Infants, Toddlers and Child For Party, Events, and Gifting",₹649,3.9,2219,164,good nice suit loved it 👌 not good normal quality very nice good softness it runs extremely smallif your son is 1 year oldthen purchase 4 year dresswhat measurements this company hasi also exchange 1 to 2 years old dress to 3 to 4 years dress overall good happy with the fitting n fabric… looks good n also comfortable as it has attached jacket 😊 i bought this product for my 3 yrs old sons birthday but its not that quality item for patry celebration white shirt quality is poor looks rough  blue jacket is attached that is avarage material overall ok product always go for 2 plus size from your child age this perfect fit for my son but cant be use further after a year or so value of money,Amazon,https://m.media-amazon.com/images/I/81wWH9blMSL._UX522_.jpg,7.2674,0.30076750343774183
109,https://www.snapdeal.com/product/boys-casual-tshirt-track-pants/657507991663#bcrumbLabelId:532,Rydho,Black Cotton Blend Boy's T-Shirt & Pants ( Pack of 1 ),599,4.1,102,1,good service and good quality,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/b/Rydho-Black-Cotton-Blend-Boy-SDL146587023-1-e5362.jpg,0.8808,0.28734043782719376
41,http://flipkart.com/new-gen-baby-boys-casual-t-shirt-shorts/p/itm4044aa39d8d7f?pid=KPBGFQDVNEVSGRNM&lid=LSTKPBGFQDVNEVSGRNM7D73QP&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_3&otracker=browse&fm=organic&iid=e663202b-ec6a-40e2-b2fa-cdc15eb512c2.KPBGFQDVNEVSGRNM.SEARCH&ppt=None&ppn=None&ssid=q5lb9zyyv40000001680019413039,new gen ,Baby Boys Casual T-shirt Shorts  (Yellow),₹168,3.9,2855,246,it looks amazing super nice quality its really amazing highly recommended clothing amazing baby boy dressyou can buy,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-apparel-combo/s/z/j/2-3-years-baby-wear-1-2-yellow-blue-new-gen-original-imagh7zuns7yhpxp.jpeg?q=70,2.9809,0.26299384763915373
46,http://flipkart.com/skyheaven-baby-boys-casual-t-shirt-pant/p/itmdab702998ae95?pid=KPBGKK28HUUVKY96&lid=LSTKPBGKK28HUUVKY962KZB7N&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_9&otracker=browse&fm=organic&iid=e663202b-ec6a-40e2-b2fa-cdc15eb512c2.KPBGKK28HUUVKY96.SEARCH&ppt=None&ppn=None&ssid=q5lb9zyyv40000001680019413039,SKYHEAVEN ,Baby Boys Casual T-shirt Pant  (Black),₹249,4.1,2326,160,nice product thank you flipkart ☺️ my baby is 25 yers old and i ordered size 3 to 4 years  its fit perfect fabric quality is good like hosiery kind of its summer wearso i liked best quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-apparel-combo/d/r/n/4-5-years-mom-dad-2-skyheaven-original-imagkk27qw9zqpvt.jpeg?q=70,4.5613,0.24101604604603266
71,http://flipkart.com/angel-baby-boys-party-festive-t-shirt-pant/p/itmeafd104143fc1?pid=KPBG7KC9QE5SY2HG&lid=LSTKPBG7KC9QE5SY2HGOED4DY&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_34&otracker=browse&fm=organic&iid=e663202b-ec6a-40e2-b2fa-cdc15eb512c2.KPBG7KC9QE5SY2HG.SEARCH&ppt=None&ppn=None&ssid=q5lb9zyyv40000001680019413039,ANGEL ,Baby Boys Party(Festive) T-shirt Pant  (Blue),₹326,4.2,2549,195,very nice superb collection👌 good products,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-apparel-combo/6/q/2/1-2-years-denim-101-angel-original-imagn48ehwh68pxy.jpeg?q=70,2.2165,0.21059190658668672
110,https://www.snapdeal.com/product/mist-n-fogg-black-cotton/5764608142897707009#bcrumbLabelId:532,MIST N FOGG,Black Cotton Blend Boys T-Shirt & Shorts ( Pack of 1 ),289,4.4,68,2,best qwality gud material,Snapdeal,https://n2.sdlcdn.com/imgs/k/j/2/MIST-N-FOGG-Black-Cotton-SDL301281008-1-8ab00.jpg,0.6369,0.21056321830393251
63,http://flipkart.com/omni-fashion-baby-boys-party-festive-t-shirt-dungaree/p/itmc18244f52b5ec?pid=KPBG5HDMZJP6FZ4X&lid=LSTKPBG5HDMZJP6FZ4XUKFPJQ&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_26&otracker=browse&fm=organic&iid=e663202b-ec6a-40e2-b2fa-cdc15eb512c2.KPBG5HDMZJP6FZ4X.SEARCH&ppt=None&ppn=None&ssid=q5lb9zyyv40000001680019413039,OMNI FASHION ,Baby Boys Party(Festive) T-shirt Dungaree  (Yellow),₹247,4.0,2984,209,nice 👍🏿👍🏿 good 👍👍 quality best app for online,Flipkart,https://rukminim1.flixcart.com/image/832/832/krwec280/kids-apparel-combo/c/x/i/0-3-months-baby-girls-and-baby-boys-party-wear-dungree-omni-original-imag5hdmg9ektw2a.jpeg?q=70,1.4988000000000001,0.208662309516869
