index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
43,http://flipkart.com/em-dresses-baby-girls-casual-top-shorts/p/itm5cc7e2ecd0769?pid=KPBGEUZA2RJHFYKU&lid=LSTKPBGEUZA2RJHFYKULVVKT3&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_4&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBGEUZA2RJHFYKU.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,EM DRESSES ,Baby Girls Casual Top Shorts  (Yellow),₹198,3.8,23673,2094,amazing 😍 😍 very nice excellent beautiful,Flipkart,https://rukminim1.flixcart.com/image/832/832/l3t2fm80/kids-apparel-combo/e/t/o/0-3-months-strap-y-12-em-dresses-original-imageuzabzb746rr.jpeg?q=70,3.0963,0.810959168759147
74,http://flipkart.com/em-dresses-baby-girls-casual-top-pant/p/itme1d69b25e10fa?pid=KPBFWCF3JTZ639UB&lid=LSTKPBFWCF3JTZ639UBVCCFF6&marketplace=FLIPKART&store=clo%2Feof%2F1bp&spotlightTagId=BestsellerId_clo%2Feof%2F1bp&srno=b_1_35&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBFWCF3JTZ639UB.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,EM DRESSES ,Baby Girls Casual Top Pant  (Red),₹199,4.1,22379,2277,nice dress thank you flipkart good but cloth is fully cotton nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/l37mtu80/kids-apparel-combo/u/d/k/3-6-months-red-pocket-combo-em-dresses-original-imagednznsgmzsjt.jpeg?q=70,1.6446,0.6694471906314932
56,http://flipkart.com/new-gen-baby-girls-casual-top-skirt/p/itm9a6cf1174b1d8?pid=KPBFXEHZA4YWUGGZ&lid=LSTKPBFXEHZA4YWUGGZFVAXAW&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_17&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBFXEHZA4YWUGGZ.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,new gen ,Baby Girls Casual Top Skirt  (Red),₹221,3.9,12332,1149,excellent product and price is too good thnku flipkart beautiful so nice product i am very satisfied for this product thank you ❤️ for wonderful price and wonderful products,Flipkart,https://rukminim1.flixcart.com/image/832/832/khdqnbk0/kids-apparel-combo/g/g/z/9-12-months-143-red-18-new-gen-original-imafxeukgh94h42y.jpeg?q=70,3.9596999999999998,0.4931309884980001
120,https://www.snapdeal.com/product/sinimini-multicolour-cotton-top-bottom/648894036017,Sini Mini,Multicolor Cotton Girl's T-Shirt With Capris ( Pack of 2 ),699,4.2,197,3,good quality good h very nice product quality is also good,Snapdeal,https://n2.sdlcdn.com/imgs/k/h/p/Sini-Mini-Multicolor-Cotton-Girl-SDL324157916-1-7cec5.jpg,1.7427000000000001,0.2233803960672368
6,https://www.amazon.in/Lariyo-Kids-wear-Tshirt-Trouser/dp/B08MV8LJ7S/ref=zg_bs_1967982031_sccl_7/258-1229559-2740407?psc=1,Lariyo Kids wear,Kid's Cotton Tshirt And Trouser Combo,₹370,3.7,1684,307,super and good product value for money worth product was good there is no damage but it not posible long days usequality was ok same as design which amazone image shows6 no s rate wise ok very badproduct size too small the tops fit really well for someone who is from 12 to 24 months the shorts are kind of small compared to the top that is stitched my baby is not chubby and not too skinny but that shorts do not fit well it fits but they are tight and can only be your guest for two uses maybe the seller needs to work on the size of the short if you are just looking for the tops then they are really good super soft material really liked it product is good but size is small size in term of age as shown during placement\nof order is not there on product i asked for 1 to 2 year but m size is supplied we received different colors of dresses which shown in the image one pair of trouser also torned before we were received all are not same clothdifferent type of clothes product is not good and also not badokbetter fit is not perfect my baby is 22 months old so i went for 23 years size which is a bit tight should have bought 34 but it might also depend on how healthy the baby is mine doesnt eat at all and too lean even for her its tight so plan better folks its comfortable and perfect fit for my 2year old son can go a head but not satisfied with the colours very bright colours n cost is little bit high moreover delivery charges extra,Amazon,https://m.media-amazon.com/images/I/91sMs2TIG-L._UX679_.jpg,11.198200000000002,0.2204963619947211
66,http://flipkart.com/mars-infiniti-baby-girls-casual-dress-panty/p/itmb00cb28e641f4?pid=KPBGDQAW4CJTPEFM&lid=LSTKPBGDQAW4CJTPEFMSHOMNE&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_27&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBGDQAW4CJTPEFM.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,Mars Infiniti ,Baby Girls Casual Dress Panty  (Pink),₹203,4.3,5716,560,must buy super product and comfortable soo beautiful very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/kyeqjrk0/kids-dress/k/x/4/6-12-months-t-frk01-birds-mars-infiniti-original-imagan8xtub9gydg.jpeg?q=70,2.1309,0.18978553122236264
81,http://flipkart.com/new-collections-baby-girls-casual-tunic-t-shirt/p/itm5fda32636e276?pid=KPBG8EAPWTFWHTGE&lid=LSTKPBG8EAPWTFWHTGEN2XQH7&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_2_42&otracker=browse&fm=organic&iid=b61d9e88-9d63-4f18-9f12-215984853e99.KPBG8EAPWTFWHTGE.SEARCH&ppt=None&ppn=None&ssid=yiato670gw0000001680019602944,NEW COLLECTIONS ,Baby Girls Casual Tunic T-shirt  (Beige),₹390,4.1,4329,412,super nice my daughter was happy good quality and size is perfect,Flipkart,https://rukminim1.flixcart.com/image/832/832/kvifekw0/kids-apparel-combo/z/r/b/2-3-years-jeans-frock-new-collections-original-imag8eap3rffevdy.jpeg?q=70,2.6050999999999997,0.14868184841510365
119,https://www.snapdeal.com/product/sini-mini-multicolor-girls-top/627116399222#bcrumbLabelId:553,Sini Mini Yellow and Blue Girl's Top & Capri Set Pack of,Sini Mini Yellow and Blue Girl's Top & Capri Set Pack of 2,549,4.2,117,6,kids dress worth this item very good thank u snapdeal sini mini good product,Snapdeal,https://n2.sdlcdn.com/imgs/k/i/e/Sini-Mini-Yellow-and-Blue-SDL677198110-1-65ce8.jpg,1.4683000000000002,0.14835037501981435
125,https://www.snapdeal.com/product/sinimini-multicolour-cotton-top-bottom/640726588484,Sini Mini,Multicolor Cotton Girl's T-Shirt With Capris ( Pack of 2 ),699,4.1,116,4,original product feedback worthbuying good product,Snapdeal,https://n3.sdlcdn.com/imgs/k/h/p/Sini-Mini-Multicolor-Cotton-Girl-SDL325018637-1-bf641.jpg,0.7585999999999999,0.12848221394808368
42,http://flipkart.com/new-gen-baby-girls-casual-t-shirt-shorts/p/itmab4a8a64ca737?pid=KPBGDHVJ7ZFGSU3H&lid=LSTKPBGDHVJ7ZFGSU3HDTHSID&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_3&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBGDHVJ7ZFGSU3H.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,new gen ,Baby Girls Casual T-shirt Shorts  (Pink),₹193,4.0,4120,354,good tshirt nice 👍good quality 👏 nice product same as shown in the picture👍🤩😃,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-apparel-combo/v/l/q/6-12-months-ng-834-new-gen-original-imaghdzfje9mgbnc.jpeg?q=70,1.6445999999999998,0.11526913472487532
111,https://www.snapdeal.com/product/sini-mini-multicolour-top-and/651455423851#bcrumbLabelId:553,Sini Mini Blue & Red Top and Bottom Set Pack of,Sini Mini Blue & Red Top and Bottom Set Pack of 2,675,4.1,87,2,good quite not received correct color,Snapdeal,https://n2.sdlcdn.com/imgs/k/i/e/Sini-Mini-Blue-Red-Top-SDL934803364-1-560a6.jpg,0.4404,0.09252671434274298
60,http://flipkart.com/muskan-beauty-collection-baby-girls-party-festive-dress/p/itmd831be38b90d8?pid=KPBGDY4MNRDNA2V8&lid=LSTKPBGDY4MNRDNA2V8VACEY4&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_21&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBGDY4MNRDNA2V8.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,MUSKAN BEAUTY COLLECTION ,Baby Girls Party(Festive) Dress Dress  (White),₹265,4.1,2361,185,very nice dress  fabric is also nice my daughter liked it very much also everyone 😀 nice dress its beautiful 😘,Flipkart,https://rukminim1.flixcart.com/image/832/832/l2nmnww0/kids-dress/5/7/q/1-2-years-white-cut-shoulder-ball-print-top-and-bottom-muskan-original-imagdy3hrgctssdt.jpeg?q=70,3.0681000000000003,0.08011275577404547
44,http://flipkart.com/itsyor-baby-girls-casual-dress/p/itma4116e56a6b52?pid=KPBG6HTPHVDTK9NY&lid=LSTKPBG6HTPHVDTK9NY2G0LRZ&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_5&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBG6HTPHVDTK9NY.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,ITSYOR ,Baby Girls Casual Dress Dress  (Multicolor),₹299,4.0,2244,180,nice product people can purchase nice dress ❤ 🥰🥰 ❤ very nice 👍👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/kt1u3rk0/kids-apparel-combo/d/i/r/6-7-years-iyjbl-0-3m-01-itsyor-original-imag6gpjg3vvzaqh.jpeg?q=70,3.4776,0.07976475875232758
157,https://www.snapdeal.com/product/sathiyas-girls-cotton-top-and/6917529710004538350,Sathiyas,Yellow Cotton Girl's Top With Shorts ( Pack of 1 ),293,4.1,69,1,,Snapdeal,https://n4.sdlcdn.com/imgs/k/j/y/Sathiyas-Yellow-Cotton-Girl-s-SDL352164162-1-5a33a.png,0.0,0.07146285396721146
121,https://www.snapdeal.com/product/cherry-treetop-and-stylish-skirt/663296508137,Cherry Tree,Yellow Cotton Blend Girl's Top With Pants ( Pack of 1 ),625,4.2,60,2,its good quality cherry tree,Snapdeal,https://n4.sdlcdn.com/imgs/k/h/p/Cherry-Tree-Yellow-Cotton-Blend-SDL292998433-1-4d312.jpg,0.4404,0.06607863795402953
54,http://flipkart.com/muskan-beauty-collection-baby-girls-party-festive-dress/p/itmfc5ea44c5d25c?pid=KPBGDY4MKJUUFYG7&lid=LSTKPBGDY4MKJUUFYG7HI72J6&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_15&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBGDY4MKJUUFYG7.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,MUSKAN BEAUTY COLLECTION ,Baby Girls Party(Festive) Dress Dress  (White),₹236,3.8,2086,141,great product with good quality of fabric material so soft👍 its beautiful dress tnx to  flipkart,Flipkart,https://rukminim1.flixcart.com/image/832/832/l2nmnww0/kids-dress/m/l/b/1-2-years-haktimaan-new-top-and-bottom-cap-sleeves-muskan-beauty-original-imagdy3hfgss3mxx.jpeg?q=70,1.9379000000000004,0.05507079691350138
115,https://www.snapdeal.com/product/kuchipoo-girls-sleeveless-cotton-tshirt/675909193679#bcrumbLabelId:553,Kuchipoo,Multi Cotton Blend Girls Top With Shorts ( Pack of 2 ),439,4.3,48,0,,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/x/Kuchipoo-Multi-Cotton-Blend-Girls-SDL806186566-1-2900c.jpg,0.0,0.05213832823906838
126,https://www.snapdeal.com/product/arshia-fashions-girls-top-and/5764608144139819852,Arshia Fashions Girls Top and Skirt Set Oran,Arshia Fashions Girls Top and Skirt Set Orange,699,4.3,43,0,,Snapdeal,https://n3.sdlcdn.com/imgs/k/m/8/Arshia-Fashions-Girls-Top-and-SDL102627029-1-628af.jpg,0.0,0.04670725238083209
152,https://www.snapdeal.com/product/arshia-fashions-girls-party-wear/5764608154375425488,Arshia Fashions Girls Party Wear Top Jeans and Denim Jacket S,Arshia Fashions Girls Party Wear Top Jeans and Denim Jacket Set,899,4.3,41,0,,Snapdeal,https://n4.sdlcdn.com/imgs/i/9/u/Arshia-Fashions-Girls-Party-Wear-SDL956490584-1-f888a.jpg,0.0,0.04453482203753757
49,http://flipkart.com/fasla-baby-girls-casual-t-shirt-capri/p/itma3d2c6e5c1758?pid=KPBG9XUVDJH7CMG2&lid=LSTKPBG9XUVDJH7CMG2PSMSLZ&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_10&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBG9XUVDJH7CMG2.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,Fasla ,Baby Girls Casual T-shirt Capri  (Multicolor),₹497,4.1,1577,128,nice dress nice product ok good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-apparel-combo/b/p/i/4-5-years-falgun-capri-fasla-original-imaghpyg86fhjexz.jpeg?q=70,1.5794000000000001,0.043780970950842685
73,http://flipkart.com/new-gen-baby-girls-casual-t-shirt-shorts/p/itmcf2ef0cf5efb2?pid=KPBFWH9PFJ3PG5XU&lid=LSTKPBFWH9PFJ3PG5XUUBSOA0&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_34&otracker=browse&fm=organic&iid=5c4010f1-a564-4c48-ae3a-639ba1ccc726.KPBFWH9PFJ3PG5XU.SEARCH&ppt=None&ppn=None&ssid=l6pghwewn40000001680019601699,new gen ,Baby Girls Casual T-shirt Shorts  (Yellow),₹169,3.8,1187,132,very very good dress love it thank you flipkart good must buy🙂,Flipkart,https://rukminim1.flixcart.com/image/832/832/kg6vfrk0/kids-apparel-combo/c/p/z/2-3-years-girls-417-yellow-20-new-gen-original-imafwhmchzavhcwf.jpeg?q=70,2.2822000000000005,0.03935142961701961
37,https://www.amazon.in/Striped-Top-Plazzo-Blue-White-Pink-11-12-Years/dp/B08Q36BYRK/ref=zg_bs_1967982031_sccl_38/258-1229559-2740407?psc=1,Generic,rint Top-Plazzo Set,₹699,3.7,750,58,cloth is soo soft nice cloth is good and comfortable to wear material is quite good look of the dress is good 👍 but size is too large i love this product very much its little bit expensive but its fantastic and the product s\nmaterial is good  polycotton is good material cloth and product is good but there is huge mudmatch of top and lower where lower is of apt size as ordered top looks like 23 size lower due to this significant tummy is visible like 1415 cm which i was not expecting seeing the product images on amazon very nice design and fit the item which i was received it is defective product quality and print is nice looks nice exactly what it is shown in the pic wed ordered thinking its a one piece dress however its a combination of crop top and pallazo which was a bit dsappointing becasue the top was well above the navel and pulls up with slight movement,Amazon,https://m.media-amazon.com/images/I/71t+2J5-uHL._UY550_.jpg,7.569300000000001,0.038157614087189845
27,https://www.amazon.in/Hopscotch-Girls-Polyester-Solid-Skirt/dp/B08BCQCVRK/ref=zg_bs_1967982031_sccl_28/258-1229559-2740407?psc=1,Hopscotch,Baby Girls Polyester Solid Top and Skirt Set in Red Color,₹989,3.8,476,54,product looks good and material also good but color is not as bright red as according to the pic shown its a mild redloos cute in my baby😀happy good product\ni love this little dress\nmy princess looks like a fairy \n\nbut yes top size very smaller than skirt  u cant use the upper top long time dress was good and also looking pretty 🦋 but too much price very nice cute and good product looks really cute only issue is that they delivered wrong color had ordered red but got the pink skirt actually the skirt colour is peach colour not red colour apart from that overall good dress colour is little bit faint  but otherowse nice quality less material too much cost skirt is mindbloing but the top is not for children its tooo iching😖 dress is same as shown\neven the skirt👍\nbut the colour of the skirt is slightly different as shown in picture\nthe fabric is also good looks pretty  quality also good,Amazon,https://m.media-amazon.com/images/I/61DCltujbRL._UX522_.jpg,9.062200000000002,0.036043939600612085
