index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
1,https://www.amazon.in/Allen-Solly-Junior-Checkered-ABSF31901794_Red_13-14/dp/B07QM2Z8XN/ref=zg_bs_1967895031_sccl_2/258-1229559-2740407?psc=1,Allen Solly Junior,Boys Shirt,₹899,4.2,3388,216,pure cotton material comfort wear for kids bought it for my 13y old boy he is 162cm and slim the shirt fits him very well he likes it good cotton shirt not bright colour as photo just 👌👌 quality colour style all are perfect quality of product is good very good quality its value for money product the shirt was delivered in a plastic packet the kinds you get shirts in only with a sticker which has the delivery label thankfully it didnt get damaged in any way\nproduct wise we ordered because of the brand name but the material is extremely transparent as visible in the pic overall not worth the money paid,Amazon,https://m.media-amazon.com/images/I/91nxWq9ZF8L._UX522_.jpg,5.319,1.3485400650715214
3,https://www.amazon.in/Allen-Solly-Junior-Checkered-ABSF31901805_Olive_15-16/dp/B07QN1R1Y2/ref=zg_bs_1967895031_sccl_4/258-1229559-2740407?psc=1,Allen Solly Junior,Boys Shirt,₹859,4.2,2160,130,perfect shirt for boy looks nice fits well good quality fabric too very good clothes  fiting 👍👍 shirt colour is not at all like the image it is very bright and attractive and fresh in image  but shirt that arrived is dull old looking its like old used shirt  didnt expect this from the brand like allen solly good no its comfortable to wear and gives staning outlook who ever wears it it was a good purchase the size was also correct fitting i like the quality but got different colour i ordered orange colour but got red and this is only thing im not happy good quality,Amazon,https://m.media-amazon.com/images/I/911ciwoaPqL._UX342_.jpg,6.497000000000002,0.9302334645853609
2,https://www.amazon.in/Amazon-Brand-Honey-Regular-SS19SRT321_Khakhi_11-12/dp/B07R2W7F5H/ref=zg_bs_1967895031_sccl_3/258-1229559-2740407?psc=1,Amazon Brand - Jam & Honey,Boy's Regular Fit Shirt,₹509,4.1,1858,112,its awesome 👍 value for money good quality and ahirt liked perfect fit for my kid fabric is good yes i like nice colour and a perfect fit for my son fitting is as expected could be better pricing as it feels over for the cloth quality amazon symbol has good quality loved it,Amazon,https://m.media-amazon.com/images/I/81MUUiOp1iL._UX342_.jpg,6.9761000000000015,0.8264389111183937
10,https://www.amazon.in/Amazon-Brand-Honey-Regular-SS19SRT318_Red_2-3/dp/B07QVLVKK8/ref=zg_bs_1967895031_sccl_11/258-1229559-2740407?psc=1,Amazon Brand - Jam & Honey,Boys Button Down Shirt,₹479,4.1,1443,97,good cotton shirt fitting is excellent as expected all other aspects as price softness and comfort could have been better bahut accha good very nice shirt good fabric colour and fitting perfect fit and nice quality nice color n fitting overall good productworth purchasing bought if for a kid on his birthday it was a pleasent surprise to experience tbe excellent qualitycolor and fitting the product is just superb size is too small,Amazon,https://m.media-amazon.com/images/I/81bSYboLJSL._UX342_.jpg,6.802700000000001,0.6751930187401864
95,http://flipkart.com/stud-apparels-boys-self-design-casual-pink-shirt/p/itma458b8e6d20fa?pid=SHTGG5F59EN5RPFE&lid=LSTSHTGG5F59EN5RPFEF6MKQW&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fznf&srno=b_2_57&otracker=browse&fm=organic&iid=c53eef47-6c62-43af-b73d-7a8e39792c8a.SHTGG5F59EN5RPFE.SEARCH&ppt=None&ppn=None&ssid=2s034j86cg0000001680019302260,STUD APPARELS ,Boys Regular Fit Self Design Spread Collar Casual Shirt,₹424,4.3,1234,214,i like this shirt it is so super 👌 nice quality  i like it it is very good,Flipkart,https://rukminim1.flixcart.com/image/832/832/l5cslu80/shopsy-shirt/y/4/q/12-13-years-kf-501-4-stud-apparels-original-imaggfzfe4hzn3gh.jpeg?q=70,2.9134,0.6254601873166425
139,https://www.snapdeal.com/product/mashup-classic-navy-shirt-for/8070451158528130575,MashUp Classic navy shirt for Young bo,MashUp Classic navy shirt for Young boys,469,4.1,36,2,mashup good very happy,Snapdeal,https://n1.sdlcdn.com/imgs/j/x/s/MashUp-Classic-navy-shirt-for-SDL546966318-1-6a547.jpeg,1.0123,0.3885077909516785
119,https://www.snapdeal.com/product/mashup-classic-navy-shirt-for/5764608149314436623,MashUp Classic Royal Blue Shirt for Young bo,MashUp Classic Royal Blue Shirt for Young boys,449,4.1,36,2,mashup good very happy,Snapdeal,https://n1.sdlcdn.com/imgs/j/n/u/MashUp-Classic-Royal-Blue-Shirt-SDL514521862-1-391c6.jpg,1.0123,0.3885077909516785
101,https://www.snapdeal.com/product/mashup-classic-navy-shirt-for/5188147397011013135#bcrumbLabelId:527,MashUp Classic Red Shirt for Young bo,MashUp Classic Red Shirt for Young boys,469,4.1,36,2,mashup good very happy,Snapdeal,https://n4.sdlcdn.com/imgs/j/n/u/MashUp-Classic-Red-Shirt-for-SDL647648268-1-51614.jpg,1.0123,0.3885077909516785
48,http://flipkart.com/jump-cuts-boys-printed-casual-multicolor-shirt/p/itm48fe0544d0cb4?pid=SHTGCCEY9WAEAGEA&lid=LSTSHTGCCEY9WAEAGEACMLHYT&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fznf&srno=b_1_9&otracker=browse&fm=organic&iid=908cbbf6-0bab-4d45-8e26-3f5b53d7c689.SHTGCCEY9WAEAGEA.SEARCH&ppt=None&ppn=None&ssid=m669nb3pxc0000001680019301073,Jump Cuts ,Boys Slim Fit Printed Casual Shirt,₹249,4.0,1049,82,verry nice 👍👍🙂 wonderful shirt just wow everything was best nice product liked it good materialreduced one star only because rate in sale was more then after sale  bad way of selling,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/j/h/z/10-11-years-jc-boy22-hs-shirt-aop-wht-leaf-jump-cuts-original-imagcccb77pgjr3z-bb.jpeg?q=70,3.3606000000000003,0.35792064723109573
4,https://www.amazon.in/Amazon-Brand-Regular-Button-PAG-151_Blue/dp/B08HZ91HVX/ref=zg_bs_1967895031_sccl_5/258-1229559-2740407?psc=1,Amazon Brand - Jam & Honey,Boy's Regular Fit Button Down Shirt,₹959.,4.2,859,38,liked very nice product 👌 👍 i purchased a 910 yr size for my 7 yr old kid its not that he is too chubby just like any kid of his age would be but even after ordering 2 sizes higher the shirt is like  just fitting\n\nthe quality seems good but the price tag doesnt defend the quality and fitting you would expect it to be much better in terms of fitting i wasnt too impressed with the collar as its not stiff i ironed it  it still had some gathers not a value for money product fit is small  if ordering for a 6 yrs old then go for 78 yrs else it will be too short fabric quality design and fitting everything is very good totally satisfied with it the shirt is so nice looks bright in colour my son like it so much nic i like it nice product correct fit its very beautiful cloth and colour\n\ngood quality,Amazon,https://m.media-amazon.com/images/I/A1TyKMfm-aL._UX385_.jpg,8.1821,0.35424611146361784
