index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
45,http://flipkart.com/ftc-fashions-girls-mini-short-festive-wedding-dress/p/itma9f10fc5423c7?pid=KDEFZ5BCBZJMGK7E&lid=LSTKDEFZ5BCBZJMGK7ERIGBTW&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_6&otracker=browse&fm=organic&iid=a146f5b0-34ce-424d-813c-f3c1c0904421.KDEFZ5BCBZJMGK7E.SEARCH&ppt=None&ppn=None&ssid=wy1pfkpg7k0000001680019539165,FTC FASHIONS ,"Girls Mini/Short Festive/Wedding Dress  (Blue, 3/4 Sleeve)",₹172,4.0,82165,9522,paisa vasool must buy at this price range its very nice amazing superb my kid loves this ❤️,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-dress/d/5/4/10-11-years-blueribjacket-ftc-fashions-original-imafz5g6mffxnkd9-bb.jpeg?q=70,2.2042,0.8294754072281814
140,https://www.snapdeal.com/product/mojua-girls-calf-length-party/5764608178099923639,Mojua,Pink Cotton Blend Girl's A-line Dress ( Pack of 1 ),279,4.0,2065,53,good quality good quality excellent nice product thank you awesome purchase very good about the product excellent mojua,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/x/Mojua-Pink-Cotton-Blend-Girl-SDL999927068-1-f739b.jpg,3.8726000000000003,0.7939560914512733
43,http://flipkart.com/ftc-fashions-girls-midi-knee-length-casual-dress/p/itmd54ae18c7cad0?pid=KPBFGGMCNBSSJTTM&lid=LSTKPBFGGMCNBSSJTTM6OLOAC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_4&otracker=browse&fm=organic&iid=a146f5b0-34ce-424d-813c-f3c1c0904421.KPBFGGMCNBSSJTTM.SEARCH&ppt=None&ppn=None&ssid=wy1pfkpg7k0000001680019539165,FTC FASHIONS ,"Girls Midi/Knee Length Casual Dress  (Pink, Sleeveless)",₹190,3.9,44774,5287,very nice dress very good super awesomethank you flipkart 🙏💕,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/kids-apparel-combo/4/d/z/4-5-years-nfgc06-ftc-fashions-original-imafumnqfjthrc5t.jpeg?q=70,2.1099,0.44076290848306887
55,http://flipkart.com/sonia-collection-baby-girls-calf-length-casual-dress/p/itm2edcabf5ccb24?pid=KDEGAZCRCAHZTHSM&lid=LSTKDEGAZCRCAHZTHSMHJPX3H&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_17&otracker=browse&fm=organic&iid=a146f5b0-34ce-424d-813c-f3c1c0904421.KDEGAZCRCAHZTHSM.SEARCH&ppt=None&ppn=None&ssid=wy1pfkpg7k0000001680019539165,sonia collection ,"Baby Girls Calf Length Casual Dress  (Multicolor, Sleeveless)",₹269,3.9,44926,4809,just wow very good wonderful products thnx flipkart,Flipkart,https://rukminim1.flixcart.com/image/832/832/kesv0y80/kids-dress/n/q/h/4-5-years-cotton-kids-jhabla-girls-frocks-sonia-collection-original-imafvdsmxc66h5xg.jpeg?q=70,1.5981999999999998,0.38819384548134844
51,http://flipkart.com/ftc-fashions-girls-midi-knee-length-party-dress/p/itmed14d858151cf?pid=KDEFP42MDXXFRRJV&lid=LSTKDEFP42MDXXFRRJVFYNNAZ&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_13&otracker=browse&fm=organic&iid=a146f5b0-34ce-424d-813c-f3c1c0904421.KDEFP42MDXXFRRJV.SEARCH&ppt=None&ppn=None&ssid=wy1pfkpg7k0000001680019539165,FTC FASHIONS ,"Girls Midi/Knee Length Party Dress  (Multicolor, Sleeveless)",₹189,3.9,39850,4586,beautiful ❤️ gud product at this price quality also good nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/kids-apparel-combo/4/h/i/5-6-years-capfrock-ftc-fashions-original-imafumrh6fkugwh2.jpeg?q=70,1.4613,0.3425476685841705
63,http://flipkart.com/ftc-fashions-girls-maxi-full-length-festive-wedding-dress/p/itmd372057d589d5?pid=KDEGC5PASBXZNACM&lid=LSTKDEGC5PASBXZNACMVJ5VL2&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_27&otracker=browse&fm=organic&iid=a146f5b0-34ce-424d-813c-f3c1c0904421.KDEGC5PASBXZNACM.SEARCH&ppt=None&ppn=None&ssid=wy1pfkpg7k0000001680019539165,FTC FASHIONS ,"Girls Maxi/Full Length Festive/Wedding Dress  (Black, 3/4 Sleeve)",₹205,3.9,39552,3324,nice dress 👍 wow its worth price good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-dress/u/f/z/1-2-years-blackr-ftc-fashions-original-imagc5pa7nmgtnfz-bb.jpeg?q=70,1.6741000000000001,0.323233872141569
78,http://flipkart.com/fashion-dream-indi-girls-maxi-full-length-party-dress/p/itmfbzke2murdkup?pid=KDEFBYHZQGZ3QEJV&lid=LSTKDEFBYHZQGZ3QEJVV2G8TC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_2_42&otracker=browse&fm=organic&iid=d40b7e73-6dca-4a8b-a6c8-779712b94a7a.KDEFBYHZQGZ3QEJV.SEARCH&ppt=None&ppn=None&ssid=ja8hcj1qy80000001680019539949,Fashion Dream ,"Girls Maxi/Full Length Party Dress  (Red, Sleeveless)",₹251,4.0,35444,4050,mindblowing product👌👌 my canada girl looking princess very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-dress/f/s/t/10-11-years-g-flower-fashion-dream-original-imafxyarmwy8wbzp-bb.jpeg?q=70,1.327,0.30109312112237574
66,http://flipkart.com/therajstore-baby-girls-maxi-full-length-festive-wedding-dress/p/itme6fb495d4d0cb?pid=KDEGBAMFNHUCMHAR&lid=LSTKDEGBAMFNHUCMHAR8BHTXU&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_30&otracker=browse&fm=organic&iid=a146f5b0-34ce-424d-813c-f3c1c0904421.KDEGBAMFNHUCMHAR.SEARCH&ppt=None&ppn=None&ssid=wy1pfkpg7k0000001680019539165,THERAJSTORE ,"Baby Girls Maxi/Full Length Festive/Wedding Dress  (Red, Sleeveless)",₹264,4.1,25127,2079,this dress is very beautiful 🥰😍 and full comfortable 😍🥰🥰😍😍😍 very good product very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/kz8qsnk0/kids-dress/x/v/w/4-5-years-jkm1432sain5556-therajstore-original-imagbamffxb7g5wr.jpeg?q=70,3.8343000000000003,0.2814718821210666
94,http://flipkart.com/kaarigari-girls-maxi-full-length-party-dress/p/itm689e09a5a6988?pid=KDEFNYT4PWQHPGAD&lid=LSTKDEFNYT4PWQHPGADTJKCSI&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_2_58&otracker=browse&fm=organic&iid=d40b7e73-6dca-4a8b-a6c8-779712b94a7a.KDEFNYT4PWQHPGAD.SEARCH&ppt=None&ppn=None&ssid=ja8hcj1qy80000001680019539949,KAARIGARI ,"Girls Maxi/Full Length Party Dress  (Multicolor, Full Sleeve)",₹302,3.9,27763,2428,it is really nice  good dress very nice dress very nice dress,Flipkart,https://rukminim1.flixcart.com/image/832/832/k41mp3k0/kids-dress/t/2/s/10-11-years-dezine-pink-black-abstract-gown-kaarigari-original-imafnyp6fgc7kz7n.jpeg?q=70,1.7048999999999999,0.2304881082908859
53,http://flipkart.com/ftc-fashions-girls-maxi-full-length-party-dress/p/itm9c4803aabf85e?pid=KDEFZD5FRHUYPGGH&lid=LSTKDEFZD5FRHUYPGGHGQ5ZLF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_15&otracker=browse&fm=organic&iid=a146f5b0-34ce-424d-813c-f3c1c0904421.KDEFZD5FRHUYPGGH.SEARCH&ppt=None&ppn=None&ssid=wy1pfkpg7k0000001680019539165,FTC FASHIONS ,"Girls Maxi/Full Length Party Dress  (Red, Full Sleeve)",₹172,3.9,28365,2895,nice dress looking good good 👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/kids-dress/n/d/m/2-3-years-1-multi-ftc-fashions-original-imafukztyfqprksc.jpeg?q=70,1.3023,0.22840860137260305
