index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
53,http://flipkart.com/curly-tales-girls-festive-party-wedding-kurta-dhoti-pant-set/p/itmf170a365c01c6?pid=KETG5ZHEU7TA2N7J&lid=LSTKETG5ZHEU7TA2N7JK01RFU&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_14&otracker=browse&fm=organic&iid=b917f017-7f63-4495-b0e0-66a49660249e.KETG5ZHEU7TA2N7J.SEARCH&ppt=None&ppn=None&ssid=2sjc4kccs00000001680019479552,Curly Tales ,"Girls Festive & Party, Wedding Kurta and Dhoti Pant Set  (Green Pack of 1)",₹495,4.1,14757,1433,very good loved the dress worth buying it❤️ beautiful dress 😍,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/a/w/o/7-8-years-k-6-curly-tales-original-imag5zhdz3chhw5v-bb.jpeg?q=70,2.3243,0.648860062169428
99,https://www.snapdeal.com/product/sky-heights-peach-lehenga-choli/655291599210#bcrumbLabelId:808,Sky Heights Peach Lehenga Choli S,Sky Heights Peach Lehenga Choli Set,725,4.1,214,19,excellent all the best good quality awesome thanks sanpdel perfect orion awsm i loved it thank you so much five stars awesome,Snapdeal,https://n3.sdlcdn.com/imgs/k/i/e/Sky-Heights-Peach-Lehenga-Choli-SDL041548119-1-a9b36.jpg,4.8719,0.6220376568259611
61,http://flipkart.com/ftc-fashions-girls-festive-party-kurta-dhoti-pant-set/p/itmbafc28cc579db?pid=KPBFPDPS6BCJX8BV&lid=LSTKPBFPDPS6BCJX8BVEGLHRC&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_22&otracker=browse&fm=organic&iid=b917f017-7f63-4495-b0e0-66a49660249e.KPBFPDPS6BCJX8BV.SEARCH&ppt=None&ppn=None&ssid=2sjc4kccs00000001680019479552,FTC FASHIONS ,Girls Festive & Party Kurta and Dhoti Pant Set  (White Pack of 1),₹325,4.0,10147,998,😍😍 nice nice one mind blowing,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/kids-apparel-combo/e/q/m/8-9-years-rayondhoti01-ftc-fashions-original-imafumnjv9uwkmar.jpeg?q=70,1.5614,0.3889801842896232
12,https://www.amazon.in/Stanwells-kids-Tissue-Lehenga-AG008D_14/dp/B07L31VJ8N/ref=zg_bs_3659020031_sccl_13/258-1229559-2740407?psc=1,Stanwells Kids,Baby Girl's Net Readymade Lehenga Choli,₹795,4.2,2982,668,value for money i like this colour and design it suits my granddaughter very much she is a pretty kid of our family nice dress nice fitting proper expected colour as shown in picture very good quality completely satisfied 😊 worth it gifted to my niece she looks so prettyso nice choice cloth quality very nice and the color was as in the picture if given elastic for the waist instead of rope finish then for toddlers it will be easy to wear and carry got them for my neighbours baby it can be used by one year but the quality and stitching was amazing finish hats off to seller to make it affordable  size which i asked is properly fitted to my daughter and she look very pretty in that,Amazon,https://m.media-amazon.com/images/I/515iAvnFyaL._UX679_.jpg,6.2078999999999995,0.3710757520712862
114,https://www.snapdeal.com/product/fashion-dream-girls-peplum-style/5764608152151404949#bcrumbLabelId:808,Fashion Dream Girl's Peplum Style Lehenga Cho,Fashion Dream Girl's Peplum Style Lehenga Choli,625,4.0,182,7,beautiful product superb product out standing dress nice quality nice product jordar lehenga chholicolor same to same good quality,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/u/Fashion-Dream-Girl-s-Peplum-SDL955924754-1-6b097.jpg,2.5077,0.31324893569932144
43,http://flipkart.com/tik-tok-wears-legging-girls/p/itm149f96859d21b?pid=KLGG5W328KPMPSZQ&lid=LSTKLGG5W328KPMPSZQFELDB2&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_4&otracker=browse&fm=organic&iid=b917f017-7f63-4495-b0e0-66a49660249e.KLGG5W328KPMPSZQ.SEARCH&ppt=None&ppn=None&ssid=2sjc4kccs00000001680019479552,Tik Tok WEARS ,Legging For Girls  (Multicolor Pack of 5),₹449,4.0,7926,742,quality super good product all is good,Flipkart,https://rukminim1.flixcart.com/image/832/832/ksaoqkw0/kids-legging/q/z/w/2-3-years-printed-105-104-103-102-101-tik-tok-wears-original-imag5w2yuwdujqhh.jpeg?q=70,1.4802,0.29569782697627434
6,https://www.amazon.in/Fashion-Dream-Jacquard-Years_Teal-Yellow_11-12/dp/B081T79C1B/ref=zg_bs_3659020031_sccl_7/258-1229559-2740407?psc=1,Fashion Dream,Girl's Ethnic Wear Jacquard Silk Embroidered Western Style Full Stitched Lehenga Choli Set (Readymade),₹799,4.0,4836,537,nice dress same as shown in the picture dress reached corrct time but skirt to design dont have very simple looking material and design are same as shown in the picture liking the product the skirt colour was faded and the design was hardly visible perfect and beautiful dress material and the pattern is as shown is pic fit perfectly i liked the color and cloth softness texture can be better intenal belt rope can be given to tight ghaghara one hook can be fixed for the bottom,Amazon,https://m.media-amazon.com/images/I/81EPvZvOv3L._UX425_.jpg,3.9574000000000003,0.2800551085767499
64,http://flipkart.com/ftc-fashions-girls-festive-party-kurta-pallazo-set/p/itm595009358925f?pid=KETFWJGUQZF3QKD6&lid=LSTKETFWJGUQZF3QKD6HFN70J&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_25&otracker=browse&fm=organic&iid=b917f017-7f63-4495-b0e0-66a49660249e.KETFWJGUQZF3QKD6.SEARCH&ppt=None&ppn=None&ssid=2sjc4kccs00000001680019479552,FTC FASHIONS ,Girls Festive & Party Kurta and Pallazo Set  (Red Pack of 1),₹374,4.0,6206,743,thanks flipkart my daughter happy beautiful suit look how pretty she looksthnk u flipkartluv u alws,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/q/a/n/5-6-years-kidsredkurtiset-ftc-fashions-original-imafwjhtcyvtw8vc-bb.jpeg?q=70,2.1056,0.27977229159562045
18,https://www.amazon.in/Fashion-Dream-Lehenga-NAZARA-Choli_Pink_13-14/dp/B07Z5W1LMV/ref=zg_bs_3659020031_sccl_19/258-1229559-2740407?psc=1,Fashion Dream,Girl's Satin Readymade Lehenga Choli (NZ2_BLUE LC 10-11 Years_Blue_10-11 Years),₹559,3.9,2829,315,considering the price this item is absolutely amazing\npros  looks superbly fancy and expensive the satin looking fabric is shiny too that adds on to the charm of the dress the dress have got a cotton lining inside so its skin friendly for kids comes with a net dupatta with jari work at borders good finishing work of stitches the embroidery on the top looks beautiful and nit very glittery  safe for children\n\ncons  dupatta looks cheap but kids dont really carry the dupatta no sleeve option provided the dress is little bigger than the expected size but still manageable the packing is too small and the fabric gets creased making it less presentable but if you iron it its beautiful again i like very much good 👍 the product is packed in a transparent plastic cover it would be better if packed in a fine amazon paper cover atleast \nexcept the packing the dress is so nice with soft and beautiful quality of the cloth excellent nyc dress quality is good1112 year girls size is perfectly fit product is good\nquality and clothe are comfortable😊 comfortable dress good service by the seller item received as per the order looks good,Amazon,https://m.media-amazon.com/images/I/9167db35b7L._UX425_.jpg,9.3381,0.27816143071981764
42,http://flipkart.com/new-gen-baby-girls-wedding-kurta-pallazo-set/p/itm1380506c46017?pid=KETGA6S7AXZFUHHZ&lid=LSTKETGA6S7AXZFUHHZVKDCRC&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_3&otracker=browse&fm=organic&iid=b917f017-7f63-4495-b0e0-66a49660249e.KETGA6S7AXZFUHHZ.SEARCH&ppt=None&ppn=None&ssid=2sjc4kccs00000001680019479552,new gen ,Baby Girls Wedding Kurta and Pallazo Set  (Pink Pack of 1),₹229,4.0,5941,539,very nice beautiful dress best quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/kxtaxzk0/kids-ethnic-set/a/v/i/2-3-years-ng-227-pink-20-new-gen-original-imaga6s6epmhayvn.jpeg?q=70,1.6578000000000002,0.22645741462750868
