index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
60,http://flipkart.com/density-men-navy-sandals/p/itm8822fa05fc734?pid=SNDFGVGQJFERZ9VA&lid=LSTSNDFGVGQJFERZ9VA0L52HS&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_21&otracker=browse&fm=organic&iid=60bacddc-6348-4111-a220-929c4589c25d.SNDFGVGQJFERZ9VA.SEARCH&ppt=None&ppn=None&ssid=de0i3x61000000001680018682486,density ,Men Navy Sandal,₹469,4.0,80779,10366,liked the product very much good purchase in this price segment really gud product color of the product is also gud as shown in the picture awesome 😍😍😍,Flipkart,https://rukminim1.flixcart.com/image/832/832/jyq5oy80/sandal/r/q/h/den-05-grey-navy-6-density-grey-navy-original-imafgwfkhdaw7wtz.jpeg?q=70,2.327,0.39825264903881274
56,http://flipkart.com/density-men-blue-sandals/p/itm2d0e79c853146?pid=SNDFK79DHWKZ4MS7&lid=LSTSNDFK79DHWKZ4MS7AU4FRF&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_17&otracker=browse&fm=organic&iid=60bacddc-6348-4111-a220-929c4589c25d.SNDFK79DHWKZ4MS7.SEARCH&ppt=None&ppn=None&ssid=de0i3x61000000001680018682486,density ,Men Blue Sandal,₹369,4.0,79037,9150,really worth for money 👌✌️ very nice looking soft and smooth official look with low budget very good product,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/r/z/z/9-dex-01-r-blue-9-density-r-blue-original-imag6n3ym5ketnef-bb.jpeg?q=70,1.5446999999999997,0.32695282490157856
52,http://flipkart.com/sfr-men-black-grey-sandals/p/itm543f71a9872d1?pid=SNDGBTGJGUMZYFS3&lid=LSTSNDGBTGJGUMZYFS3VMPLJI&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_13&otracker=browse&fm=organic&iid=60bacddc-6348-4111-a220-929c4589c25d.SNDGBTGJGUMZYFS3.SEARCH&ppt=None&ppn=None&ssid=de0i3x61000000001680018682486,SFR ,"Men Black, Grey Sandal",₹269,4.0,39067,4061,satisfying product item  was  sooo  satisfying me  worth  for  money  you  spent  buy it  immediately  you  want  very very worth such a good quality   its comfortable  size 11 is perfect its worth on this price thanks shopsy😊,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/r/s/p/-original-imagg4zmteafew6f.jpeg?q=70,4.3554,0.23249090798300134
100,https://www.snapdeal.com/product/prolific-brown-faux-leather-sandals/651110981099#bcrumbLabelId:393,Prolific,Brown  Men's Sandals,875,4.3,1292,52,,Snapdeal,https://n2.sdlcdn.com/imgs/j/r/j/Prolific-Brown-Faux-Leather-Sandals-SDL951649932-2-23616.jpeg,0.0,0.20501367594288725
49,http://flipkart.com/aadi-men-brown-sandals/p/itm934875df08428?pid=SNDG4JHRKCYVKVPA&lid=LSTSNDG4JHRKCYVKVPAE7ONVX&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&spotlightTagId=BestsellerId_osp%2Fcil%2Fe83&srno=b_1_10&otracker=browse&fm=organic&iid=60bacddc-6348-4111-a220-929c4589c25d.SNDG4JHRKCYVKVPA.SEARCH&ppt=None&ppn=None&ssid=de0i3x61000000001680018682486,aadi ,Men Brown Sandal,₹399,3.9,52764,5141,good shoes this price range7 star very good productmust buy nice 👍👍👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/kqjtd3k0/sandal/t/7/u/9-mrj1684-9-aadi-brown-original-imag4jhkctjsefu9.jpeg?q=70,1.3023,0.1962219370470731
1,https://www.amazon.in/Sparx-Black-Athletic-Outdoor-Sandals/dp/B00IZ97K3I/ref=zg_bs_1983571031_sccl_2/258-1229559-2740407?psc=1,Sparx,mens Ss0101g Sandals,₹594,4.2,23136,4165,i think this product is full of quality and its black colour edition is more than other colour sandals liked everything except colour became dull good one but little irritating at back side of leg best as expected price very good the product is good and i loved it delivery was on time and product is also as per the description so far quality is good  will use daily and review it after 3 4 months again great nice sandal in this price range quality was also best 👍,Amazon,https://m.media-amazon.com/images/I/61BTn+U4i0L._UY500_.jpg,4.242,0.18874674094043442
27,https://www.amazon.in/Sparx-Black-Athletic-Outdoor-Sandals/dp/B00IZ9801O/ref=zg_bs_1983571031_sccl_28/258-1229559-2740407?psc=1,Sparx,Men's Athletic and Outdoor Sandals,₹679,4.2,14382,4300,its rugged and heavy duty material go for it for long run recieved a good product i have already used it and it has no different so i will try other order। very good product i am satisfied nice expected quality and comfortable nice good product quality my size is 8  but i ordered 9  and item given was also 9 only but it fits exactly so my advice is order one size bigger otherwise it will be small for u its is good product comfortable with size and fitting looks also good and must buy in this price range 😊,Amazon,https://m.media-amazon.com/images/I/81FMoaZggEL._UX500_.jpg,4.9101,0.18443381569220574
62,http://flipkart.com/sfr-men-black-red-sandals/p/itmcfdc5dcb6964e?pid=SNDG7GVVG8PFYBMQ&lid=LSTSNDG7GVVG8PFYBMQAZUHZY&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_23&otracker=browse&fm=organic&iid=60bacddc-6348-4111-a220-929c4589c25d.SNDG7GVVG8PFYBMQ.SEARCH&ppt=None&ppn=None&ssid=de0i3x61000000001680018682486,SFR ,"Men Black, Red Sandal",₹269,3.8,56661,3921,nice product average good quality products 👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/x/x/c/6-xxx-01-black-red-6-kripto-black-red-original-imagj98ybgmbzjnf.jpeg?q=70,0.8619,0.18129489360979956
17,https://www.amazon.in/Sparx-Orange-Athletic-Outdoor-Sandals/dp/B00N2G0428/ref=zg_bs_1983571031_sccl_18/258-1229559-2740407?psc=1,Sparx,Men's Athletic and Outdoor Sandals,₹879,4.0,14342,3371,super sparx means always superb product its build quality fitting and its long lasting got at very reasonable price of rs700 good product nd value for the money\nwho can predict the durability no 1 can right😪 we cant predict the durability\nsparx brand sparxlovers about durability cant predict\ngood product 👍👍\nhave improve little bit bagundi model कॉलीटी चांगली आहे looking good and its good quality product i buyed 1 extra large size but its fitting too small  but shandle is very good  its looking good and nice one\ni would recommend everyone to go 1 or 2 sizes bigger than your original size stylish and comfortable gift from relaxo,Amazon,https://m.media-amazon.com/images/I/71R3hy6ZolL._UX500_.jpg,5.9626,0.17547948640225403
45,http://flipkart.com/bruton-men-black-sandals/p/itm90aac28bd54d4?pid=SNDG5VH6FYBKBGHR&lid=LSTSNDG5VH6FYBKBGHRR7VJPK&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_6&otracker=browse&fm=organic&iid=60bacddc-6348-4111-a220-929c4589c25d.SNDG5VH6FYBKBGHR.SEARCH&ppt=None&ppn=None&ssid=de0i3x61000000001680018682486,BRUTON ,Men Black Sandal,₹249,3.9,37552,3885,nice product i like it good worth of price good one and worth for money,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/w/v/n/6-102-blk-sndl-40-bruton-black-original-imag5v6b3zzbmung-bb.jpeg?q=70,2.1161000000000003,0.16254372140798046
10,https://www.amazon.in/Sparx-Mens-Navy-Sandals-SS-453/dp/B075GCYS36/ref=zg_bs_1983571031_sccl_11/258-1229559-2740407?psc=1,Sparx,mens Ss0453g Sandal,₹569,4.1,15458,2446,like this product so much dont trust on amazon sizes chart fit was as expected and its comfortable good value of money very good quality product good quality\ncomfortable\nlooks good\ndurable comfortable good im happy with the sparx 😎 good quality ,Amazon,https://m.media-amazon.com/images/I/81LBFuFKrpL._UX500_.jpg,6.0048,0.14406534252078718
