index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
61,http://flipkart.com/ad-av-regular-fit-men-grey-trousers/p/itm51c6a36dd605f?pid=TROFSG7DDCHHCGUK&lid=LSTTROFSG7DDCHHCGUKCOP9P5&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_22&otracker=browse&fm=organic&iid=c3e030a1-f567-4bb7-ad70-011e717ed313.TROFSG7DDCHHCGUK.SEARCH&ppt=None&ppn=None&ssid=s8s6466yio0000001680018614794,AD & AV ,Men Regular Fit Grey Cotton Blend Trousers,₹459,3.7,101846,10598,amazing pant wonderful very good quality product highly recommended,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/trouser/g/u/k/44-t353-trouser-baleno-sgrey-aa36-ad-av-original-imafsgerqwzmehgs-bb.jpeg?q=70,1.8004999999999998,0.7133829706227852
52,http://flipkart.com/cyphus-regular-fit-men-grey-trousers/p/itm40e4db39b1570?pid=TROGF9CBKHAYBGJV&lid=LSTTROGF9CBKHAYBGJV7XXJZJ&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_13&otracker=browse&fm=organic&iid=c3e030a1-f567-4bb7-ad70-011e717ed313.TROGF9CBKHAYBGJV.SEARCH&ppt=None&ppn=None&ssid=s8s6466yio0000001680018614794,CYPHUS ,Men Regular Fit Grey Cotton Blend Trousers,₹399,3.8,54499,5204,color and quality too good👌❤ terrific product by cyphus nice color and comfort fit😍 amazing quality the length is a little long for me but i got it altered as they dont make good pants for women i ordered this in 30 and it was perfect for me  im a size 28 otherwise,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/trouser/y/o/i/32-cyfor-f-cyphus-original-imag6yzhz8kfsfpr-bb.jpeg?q=70,4.4503,0.5507077535112521
43,http://flipkart.com/fubar-slim-fit-men-light-green-trousers/p/itmdbed9ef148d13?pid=TROGYMJFUSZZHM2F&lid=LSTTROGYMJFUSZZHM2FTQUZ6O&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&spotlightTagId=BestsellerId_clo%2Fvua%2Fmle%2Flhk&srno=b_1_4&otracker=browse&fm=organic&iid=c3e030a1-f567-4bb7-ad70-011e717ed313.TROGYMJFUSZZHM2F.SEARCH&ppt=None&ppn=None&ssid=s8s6466yio0000001680018614794,FUBAR ,Men Slim Fit Light Green Cotton Blend Trousers,₹499,3.7,57975,4616,nice good product 🤟🏻 nice and good qualati,Flipkart,https://rukminim1.flixcart.com/image/832/832/klscivk0/trouser/q/q/k/28-sktr-4242-olv-fubar-original-imagyuff8uq6cxny.jpeg?q=70,1.7237999999999998,0.36971848881565744
44,http://flipkart.com/urbano-fashion-slim-fit-men-cream-trousers/p/itmfegvazvhkseea?pid=TROFST5WTGKS25ZV&lid=LSTTROFST5WTGKS25ZVVCB5GR&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_5&otracker=browse&fm=organic&iid=c3e030a1-f567-4bb7-ad70-011e717ed313.TROFST5WTGKS25ZV.SEARCH&ppt=None&ppn=None&ssid=s8s6466yio0000001680018614794,Urbano Fashion ,Men Slim Fit Cream Cotton Blend Trousers,₹649,3.8,34946,4014,pant is nice just i cut it bcz it is too long and it is also stretchable not much more stratchable  and my size is 30the shirt from flipkart by highlander price nearly 500 b comfortablestylish and good quality💯❤️👏 its really good 👍👍👍🥰♥️,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/trouser/6/2/u/40-chino-cream-urbano-fashion-original-imagjzqfpeuxygqm.jpeg?q=70,1.9391000000000003,0.2646557996743573
45,http://flipkart.com/moonvelly-regular-fit-men-blue-trousers/p/itmd520ad60b280e?pid=TROG9YCRGHP2JGCH&lid=LSTTROG9YCRGHP2JGCHRRLRVI&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_6&otracker=browse&fm=organic&iid=c3e030a1-f567-4bb7-ad70-011e717ed313.TROG9YCRGHP2JGCH.SEARCH&ppt=None&ppn=None&ssid=s8s6466yio0000001680018614794,MOONVELLY ,Men Regular Fit Blue Lycra Blend Trousers,₹369,3.9,22900,2295,best quality i like it🤗 excellent very good fabric smooth and comfort5 out of 5 star 🌟 this product very nice product 😊😊😊,Flipkart,https://rukminim1.flixcart.com/image/832/832/l186t8w0/trouser/c/z/1/34-slim-fit-men-dark-blue-cotton-lycra-blend-trousers-moonvelly-original-imagcu4ktfbpwef9.jpeg?q=70,3.8050999999999995,0.22178364375798723
0,https://www.amazon.in/Amazon-Brand-Stretchable-Trousers-SY-AW19-MFT-059_Grey_34W/dp/B07YT19F2J/ref=zg_bs_1968125031_sccl_1/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Slim Fit Formal Trousers,₹849,3.8,12850,1190,fabric is nice and looks rich if your height is small you might have to alter it a bit at the bottom quality of the product is okay but finishing of the product was not done properly nice at this price point fits well nice quality as you can see in the photos the ankle of pant is not finished well and length of pant is also is very long i have purchased size 32 for me waist fitting his perfect only issue with pant total length and ankle part finishing i whold like to tell all over good experience only thing is size issue i have ordered 32 but it has come 35 but after 20 rupees expand then it has been done good product dont buy it  verry nice comfortable product product was good but now days amazon coverpacking was not good it will comes in transparent cover so its is not fair for customers privacy so plz dont do again ,Amazon,https://m.media-amazon.com/images/I/81d37fLAwUL._UX342_.jpg,7.1129000000000016,0.1674527335367007
1,https://www.amazon.in/Amazon-Brand-Symbol-Chinos-AW-SY-MCT-1145_Grey_36W/dp/B07CZ8QD5T/ref=zg_bs_1968125031_sccl_2/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Straight Casual Trousers,₹729,3.6,14960,2294,on day one it looks fine material of the trouser is comfortablelittle stretchable one star minus bcoz the colour is not originally khakhi its lil bit dull even on day one good product value of money fiber is good and over all quality is good  thigh is little swiftness other all good and fine length is short for meit was above ankle i am 61  even after the exchange for a larger size although it didnt fit me fits well on my brother58 worst ever packing its was a open cover which had 3 holes on it till now the product is good lets see after some more days the trousers stitching is not upto mark\nfitting is somewhat an issue as it is tight on the thighs\nprice should not be more than rs450\ncloth material is good\nso think before purchasing comfortable to wear but not durablejust after two month use it got torncompromised quality though price is high just a little loose around the waist length seems to be perfect\n\nmaterial  5 star,Amazon,https://m.media-amazon.com/images/I/718kU7VISWL._UX342_.jpg,2.7466000000000004,0.14669405822420378
7,https://www.amazon.in/Amazon-Brand-Symbol-Straight-AW-SY-MCT-1159_Fawn_32W/dp/B07TJGJBVB/ref=zg_bs_1968125031_sccl_8/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Regular Casual Trousers,₹739,3.6,10314,1189,if you click a picture the color will match the image in reality when u keep ur phone side by side its a slight darker shade as shown in the image surprisingly its quite tight for size 32 even tho i am a size 30 individual as per price product are very nice the quality of the product is excellent to the price waist size is good  best part provided with elastic strip but length is too short and few inches above ankle seems to be a little slim fit otherwise the product is very good the description says regular fit but it looks thin so i ordered one size larger the result was correct the waist is fine with a belt but it is still slim overall the fabric is a little thin so i think it will be cold in the middle of winter the material is cotton so it feels nice to the touch ok average quality super comfortable dislike fitting is good but jio spoiled within 6 months when its washed with other cloths their colour strained the jeans which are unremoval even after repeated single washing 💯 👌 looks shine ,Amazon,https://m.media-amazon.com/images/I/71wL-coI9aL._UX342_.jpg,5.9457,0.13525764118918943
150,https://www.snapdeal.com/product/mancrew-grey-slim-fit-flat/654281971974,MANCREW,Grey Polycotton Slim - Fit Men's Formal Pants ( Pack of 1 ),519,4.0,338,16,very good good product very nice good quality products excellent i like it very nice fabric and fitting cloths i like this product mancrew grey slim fit flat trousers trousers is awesome in the price range,Snapdeal,https://n1.sdlcdn.com/imgs/k/j/u/MANCREW-Grey-Polyester-Slim-Fit-SDL031929399-1-8e6be.jpg,4.496200000000001,0.13015133545259439
3,https://www.amazon.in/Urbano-Fashion-Stretchable-Casual-chino-black-28-fba/dp/B075KKQD1R/ref=zg_bs_1968125031_sccl_4/258-1229559-2740407?psc=1,Urbano Fashion,Men's Cotton Slim Fit Casual Chinos Trousers Stretch,₹649,3.6,6965,1245,good product my waist is small compared to my thighs  so i was looking for stretchable casual pants this pants fulfilled my expectations value for moneybut not fit for me nice product if you get it bellow 600 quality is not that great but for this price you cant expect more fitting is good but not stretchable\nlength and waist size found ok texture is average just ok correct fit  amazing quality i like price and didnt like colour of the product which was shown in the image description\nthink twice before purchase lost shape after 1 wash very hard to iron as pant will not stay straight due to improper stiching its fabric not good and tight on thighs black color tone a bit faded then a original black color,Amazon,https://m.media-amazon.com/images/I/61jgOJ2QLmL._UX466_.jpg,6.0777,0.12630235910365592
