index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
0,https://www.amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_Large/dp/B06Y2FG6R7/ref=zg_bs_1968120031_sccl_1/258-1229559-2740407?psc=1,Allen Solly,Men's Regular Fit Polo,₹590,4.1,60324,8947,ordered bottle green one  the colour is similar as shown  the packaging of the product is below than average as it came wrapped in plastic bag  moreover the quality of the product is good at this price and the another plus point is the fit is perfect as expected  neither the colour fade after wash nor the quality of the product was compromised  overall its good   very nice product but it does not have pocket this product is value for money best in this price range i ordered two tshirts from same brand but different colour surprisingly both had different packaging\nhowever keeping that aside product quality is great the colour didnt fade during the wash and neither the quality of the cloth was compromised\noverall satisfied its not 100  cotton its has polister also its not good for summer little bit expensive also light weight and comfort tshirt you can buy this product blindly very good good nice👌👌👌 average quality,Amazon,https://m.media-amazon.com/images/I/71eUwDk8z+L._UY550_.jpg,7.201900000000001,0.6405707032511231
60,http://flipkart.com/reya-striped-men-round-neck-blue-t-shirt/p/itm89a5018480b93?pid=TSHFURHKZYPSPGQR&lid=LSTTSHFURHKZYPSPGQRVEMJSX&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_21&otracker=browse&fm=organic&iid=dca5c420-ca7d-4162-9b9b-974915095125.TSHFURHKZYPSPGQR.SEARCH&ppt=None&ppn=None&ssid=ihsrjiihpc0000001680018429220,Reya ,Men Striped Round Neck Blue T-Shirt,₹299,3.9,80494,8178,good product im happy 😊 i like it good product  very good product,Flipkart,https://rukminim1.flixcart.com/image/832/832/kzd147k0/t-shirt/q/z/m/m-tsrt-303-reya-original-imagbefyffzh68wj.jpeg?q=70,2.9727,0.3888611259627994
73,http://flipkart.com/tripr-color-block-men-mandarin-collar-pink-black-t-shirt/p/itma85c8cfefc747?pid=TSHGHH264EK7FUS5&lid=LSTTSHGHH264EK7FUS5DQIHP3&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_35&otracker=browse&fm=organic&iid=dca5c420-ca7d-4162-9b9b-974915095125.TSHGHH264EK7FUS5.SEARCH&ppt=None&ppn=None&ssid=ihsrjiihpc0000001680018429220,TRIPR ,"Men Color Block Mandarin Collar Pink, Black T-Shirt",₹299,3.9,109515,8869,nice products good product good product 👍🏻,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/t-shirt/p/k/k/s-tpkblhenful-d37-tripr-original-imaghazwmrzgav2j.jpeg?q=70,1.3023,0.3701901537580239
71,http://flipkart.com/blive-graphic-print-men-round-neck-white-t-shirt/p/itm2ebe957b5cd08?pid=TSHGEWHZQUYS2BHY&lid=LSTTSHGEWHZQUYS2BHYOS1AXT&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_33&otracker=browse&fm=organic&iid=dca5c420-ca7d-4162-9b9b-974915095125.TSHGEWHZQUYS2BHY.SEARCH&ppt=None&ppn=None&ssid=ihsrjiihpc0000001680018429220,BLIVE ,Men Graphic Print Round Neck White T-Shirt,₹229,3.8,84275,4505,best product in low price i love flipkart this product is very good yaar 🥰🥰🤗❤️🦸🙋🏻 nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/t-shirt/f/m/k/4xl-bwtrnful-z55-blive-original-imagnjmycmget8h9.jpeg?q=70,2.8291,0.30771607915428956
43,http://flipkart.com/ftx-solid-men-round-neck-silver-blue-black-grey-t-shirt/p/itm39275afebb5b2?pid=TSHGEMGVUDK59HTG&lid=LSTTSHGEMGVUDK59HTG7AIZ37&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_4&otracker=browse&fm=organic&iid=dca5c420-ca7d-4162-9b9b-974915095125.TSHGEMGVUDK59HTG.SEARCH&ppt=None&ppn=None&ssid=ihsrjiihpc0000001680018429220,FTX ,"Pack of 4 Men Solid Round Neck Silver, Blue, Black, Grey T-Shirt",₹449,4.1,62520,5454,nice 👍😍😍🙏 good in this price it’s awesome thank you ftx and flipkart team🤗🤗,Flipkart,https://rukminim1.flixcart.com/image/832/832/l3j2cnk0/t-shirt/2/w/p/l-723-2-5-7-8-ftx-original-imagemgrpafdug8v.jpeg?q=70,3.2472,0.3017218689894031
121,https://www.snapdeal.com/product/sidkrt-100-percent-cotton-black/634933379935,SIDKRT,Black Cotton Regular Fit Men's T-Shirt ( Pack of 1 ),299,3.9,1703,23,,Snapdeal,https://n4.sdlcdn.com/imgs/k/e/1/SIDKRT-100-Cotton-Regular-Fit-SDL252691570-1-e8de7.jpg,0.0,0.2215498112638583
6,https://www.amazon.in/Scott-International-SS20-3RN-BU-GR-CH-L_Navy-Charcoal-Grey_Large/dp/B084L9DK9H/ref=zg_bs_1968120031_sccl_7/258-1229559-2740407?psc=1,Scott International,Men's Regular Fit T-Shirt (Pack of 3),₹523,3.7,36880,4102,buy one size larger than your actual size xl fits just perfect for chest 4041 also it might shrink a bit after first wash overall the product was good definitely worth for money buy one size extra than your requirement to get the proper size shirts a little thick good for winter  i tried many t shirts online there are bad fabrics and there are non standard sizes colour variations in viewing online and realistic but here i dont feel that i lost my money or i got cheated its worth buying for this money i am using this for daily jogging or gym activity these tshirts are good but not very good just because of its clothe quality i would say its not that bad but clothe material is thin so gentle wash is recommended from my side also i ordered 3xl for my father but he then refused to wear them so i thought i should return them but its good that i didnt return these tshirts because now im wearing these and believe me these are very soft and im loving 3xl its loose but very comfortable so whoever looking to buy this item you got my recommendation decision upon you as always overall happy with the purchase quality is not gooddid not the color selected quality is good good the clothes quality doesnt mett as i expected,Amazon,https://m.media-amazon.com/images/I/71HBNT3R66L._UX466_.jpg,4.3062,0.22140589403548655
77,http://flipkart.com/blive-printed-men-round-neck-yellow-t-shirt/p/itm578071f5ac354?pid=TSHGBKQG6BKGUPC8&lid=LSTTSHGBKQG6BKGUPC8UFAIES&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_39&otracker=browse&fm=organic&iid=dca5c420-ca7d-4162-9b9b-974915095125.TSHGBKQG6BKGUPC8.SEARCH&ppt=None&ppn=None&ssid=ihsrjiihpc0000001680018429220,BLIVE ,Men Printed Round Neck Yellow T-Shirt,₹199,3.7,72806,5478,very bad😫😫 i like you 🤗 🎽 good quality🤎awesome fitting ✨amazing design for females as well✨,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/t-shirt/s/9/f/l-bylrn-z31-blive-original-imaggcfx6mshgcsp.jpeg?q=70,0.8978999999999999,0.2160202540307619
1,https://www.amazon.in/Amazon-Brand-Symbol-Polo_SS19PLS2_Fog-Teal_Large/dp/B07MZG27XK/ref=zg_bs_1968120031_sccl_2/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Regular Polo Shirt,₹349,3.9,21562,2848,i read a lot of reviews on symbol amazon and saw a couple of unboxing videos after a lot of flipping around i decided to give this product a try\nthe product came in a plastic bag wrapped\nin tape so that it was a bit disappointing but after opening the package i saw the product had its price tags and it looked unused the color is offwhite and the fabric is well stitched with good quality finishing the logo looks better near the edge and by far i havent had any discomfort wearing it lets see how long it lasts earlier i used to buy polos from westside now this brand looks good shirt is so nice material is good\nbut i m so dissapointed due to delivery agent hi is so rude\nnot satisfied product quality  comfort is very good but the colour is different from the website i like it its very comfortable cutting one star for not receiving dark green i am 510 and i ordered m size which i found perfectly fit from all angles chest and length i couldnt ask for anything more at this price fabric is fine wrt price i bought it at 369 per piece good enough good quality good looking with good comfort the product is good and exact size need price reduce but colour faded material is thin order one size small colour as shown in pic washing will fade colour\nconsidering price its value for money\ndon’t expect it to last another season\ndifficult to find plain solid polo tshirt with quality fabric,Amazon,https://m.media-amazon.com/images/I/713n+TxyfCL._UY550_.jpg,7.5020000000000024,0.2137913913816884
16,https://www.amazon.in/Chromozome-Regular-T-Shirt-OS-10_White-Grey_L/dp/B07CQMYL95/ref=zg_bs_1968120031_sccl_17/258-1229559-2740407?psc=1,Chromozome,Men Mens Tshirts,₹399,3.9,15537,3281,pretty good if you wanna have some variety for your everyday clothing but dont wanna wear your expensive ones the product is very good at this price fabric is nice and fits perfectly go for it if want to wear them as under shirts or at home not a good option to wear these outside especially when high sweating quality as per price the brand is reputed and you get good quality vests at low price i bought this because i needed black and white tshirt for daily use unfortunately it cant be used outside except for gym or playing outside the quality is good and this is not thick as expected its like vests but with a little heavy fabric i like the feel except it itches at the collar i have used it as inner layering good one good shoulder length is small so this is a good set of tees product is sort of inline with the price tag dont expect life from these material is nice somehow fit differed from tee to tee black one fits nice for me but the grey ine doesnt overall 4 star purchase can recommend if you are ok with uts shorter lifespan hate the cloth quality and fitting,Amazon,https://m.media-amazon.com/images/I/71X7pa5hBTL._UY550_.jpg,6.805300000000001,0.20521877453112347
