index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
23,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=zg_bs_1968255031_sccl_24/258-1229559-2740407?psc=1,GoSriKi,Women's Cotton Straight Kurta with Pant,₹469,3.7,39794,4517,it was a gift for my girlfriend she loves it honestly she says its very comfortable and of good quality but size wasnt as it was mentioned it was a bit loose she had to alter it but it looks good on her nice one thank you ❤️ 🥀 gosriki really nice dress fitting good only color of pant looks fade otherwise good its beautiful kurti is good but pajma is not up to the mark stiches are not that good for pajma i have bought palazo for that kurti good price worthy quality of the cloth is very good minus 1 star for color mismatch the product display has a lighter shade than the original one gosriki team please work on this other than that there are no flaws i will buy again from this vendor ok color little bit dark,Amazon,https://m.media-amazon.com/images/I/51oE5MBmb9L._UY550_.jpg,8.067100000000002,0.5723331578536152
7,https://www.amazon.in/Vaamsi-Womens-A-Line-Kurta-VPK1583_XXL_Multicoloured_Xx-Large/dp/B07N8J7K5Q/ref=zg_bs_1968255031_sccl_8/258-1229559-2740407?psc=1,Vaamsi,Women's Crepe Regular Kurta,₹189,3.5,23827,4317,this looks nice a little bit transparent but manageable color combination is beautiful good in this price good the material was good however had ordered one size big but it turned out very very big hence had to return it like this product fulfilled by amazon not good quality ok i really loved the look the print is like w and the rate is also good in this rate if i am getting such good designs then why not\nthe material is also good i would suggest everyone to go for it\njust one suggestion take one size big\ni bought 5 kurtis from vaamsi and all are amazing 👏 thanks amazon superb at this cost\ncomfortable\nblindly go for it superb as expected nyc,Amazon,https://m.media-amazon.com/images/I/61jTVxNmGHL._UY550_.jpg,8.774900000000002,0.5127657567598551
60,http://flipkart.com/ksharaa-women-embroidered-straight-kurta/p/itmf68g3ygvjdjjk?pid=KTAF68389JQKPKZK&lid=LSTKTAF68389JQKPKZKOJUYRP&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_23&otracker=browse&fm=organic&iid=2427a585-6e96-4bab-ae41-d0cad06d3779.KTAF68389JQKPKZK.SEARCH&ppt=None&ppn=None&ssid=uz4qsr0yhc0000001680018928581,KSHARAA ,Women Embroidered Cotton Blend Straight Kurta  (Pink),₹305,4.1,59400,8632,nice 💓👍 vry nice kurti pretty look💕,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/ethnic-top-wear/m/c/j/xl-sr-124-ksharaa-original-imafvmdnhwtkasgj-bb.jpeg?q=70,2.2815,0.5028184326126979
130,https://www.snapdeal.com/product/meher-impex-blue-crepe-straight/666087867438,Meher Impex,Multicolor Crepe Women's Straight Kurti ( Pack of 1 ),549,4.0,1937,60,,Snapdeal,https://n1.sdlcdn.com/imgs/k/e/9/Meher-Impex-Straight-Crepe-Multicolor-SDL298007857-1-e7682.jpg,0.0,0.457173337613187
75,http://flipkart.com/libas-women-printed-straight-kurta/p/itm4303149296c77?pid=KTAFPHEGDTZGY3GS&lid=LSTKTAFPHEGDTZGY3GSX2ZXA6&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_38&otracker=browse&fm=organic&iid=2427a585-6e96-4bab-ae41-d0cad06d3779.KTAFPHEGDTZGY3GS.SEARCH&ppt=None&ppn=None&ssid=uz4qsr0yhc0000001680018928581,LIBAS ,"Women Printed Viscose Rayon Straight Kurta  (Dark Blue, Light Blue, Beige)",₹299,4.3,53254,6689,very nice nice kurti awesome one🖤🖤,Flipkart,https://rukminim1.flixcart.com/image/832/832/k6ci8i80/kurti/h/a/d/m-si-blu-si-and-ku-fabrics-original-imafzzz82hn62xgu.jpeg?q=70,2.3234,0.44022771177387443
45,http://flipkart.com/mokshi-women-printed-straight-kurta/p/itm2b4226a62fe3e?pid=KTAG4NMWAAJNWQYN&lid=LSTKTAG4NMWAAJNWQYN3F51ZW&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&spotlightTagId=BestsellerId_clo%2Fcfv%2Fcib%2Frkt&srno=b_1_6&otracker=browse&fm=organic&iid=2427a585-6e96-4bab-ae41-d0cad06d3779.KTAG4NMWAAJNWQYN.SEARCH&ppt=None&ppn=None&ssid=uz4qsr0yhc0000001680018928581,mokshi ,Women Printed Viscose Rayon Straight Kurta  (Light Green),₹339,4.2,61058,6123,awesome beautiful awesome quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/kqpj4i80/kurta/j/h/8/xl-ku632lgn-mokshi-original-imag4nmvvfny6vyf.jpeg?q=70,1.8492,0.42647986080442896
63,http://flipkart.com/aerotick-women-printed-anarkali-kurta/p/itmb4d3886b4fe5f?pid=KTAFW7HRZSR4BU36&lid=LSTKTAFW7HRZSR4BU36VJUUTC&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_26&otracker=browse&fm=organic&iid=2427a585-6e96-4bab-ae41-d0cad06d3779.KTAFW7HRZSR4BU36.SEARCH&ppt=None&ppn=None&ssid=uz4qsr0yhc0000001680018928581,aerotick ,Women Printed Viscose Rayon Anarkali Kurta  (Dark Green),₹439,4.1,38367,3624,this dress is really good and the quality fabric is also very good  very satisfying product 🥰❤️❤️ good product mind blowing,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/d/4/a/m-sp-kurtadupatta-green-shantipancham-original-imafvtzhkhafnngu-bb.jpeg?q=70,2.5873999999999997,0.2882006487501689
84,http://flipkart.com/skyasia-women-printed-anarkali-kurta/p/itmd9c13206c7c3d?pid=KTAGBG3KYGDSJCZE&lid=LSTKTAGBG3KYGDSJCZEEJKFWX&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_2_47&otracker=browse&fm=organic&iid=c8e69d03-2cee-416b-8787-e216848d594a.KTAGBG3KYGDSJCZE.SEARCH&ppt=None&ppn=None&ssid=kp8i2bf5ps0000001680018929720,Skyasia ,Women Printed Cotton Blend Anarkali Kurta With Attached Dupatta  (Green),₹499,4.1,37178,3536,superb quality 💕💕 good its osm,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/ethnic-set/o/x/4/4xl-bkgreen-baba-kurti-original-imagbxwtc3mh9xga-bb.jpeg?q=70,1.9278,0.2544456376942442
108,https://www.snapdeal.com/product/zamaisha-turquoise-rayon-aline-kurti/636572412119#bcrumbLabelId:178,ZAMAISHA,Blue Rayon Women's Flared Kurti ( Pack of 1 ),649,4.1,736,25,very beautiful excellent product very good product satisfied excellent nice product kurti nice piece cloth is good quality nitendra singh,Snapdeal,https://n3.sdlcdn.com/imgs/k/g/7/ZAMAISHA-Blue-Rayon-Women-s-SDL871689324-1-785fa.jpg,3.8884999999999996,0.2312208254483378
133,https://www.snapdeal.com/product/rangrasiya-multicoloured-cotton-blend-straight/647860056925,Rangrasiya,Multicolor Cotton Blend Women's Straight Kurti ( Pack of 1 ),364,4.1,919,26,,Snapdeal,https://n1.sdlcdn.com/imgs/k/e/9/Rangrasiya-Straight-Cotton-Blend-Multicolor-SDL471852869-1-1c19d.jpg,0.0,0.22232620273525133
