index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
6,https://www.amazon.in/Si-Noir-Cotton-Blazer-Months/dp/B07G37215T/ref=zg_bs_1967893031_sccl_7/257-0329217-1454160?psc=1,Hopscotch,Boys Navy Polka Dot Print Top and Pant Set,₹649,4.1,9245,1108,it is so cute dress for the babyquality of product is too nice just love it soft and perfect fit nicebut so smalli will return the dress best one like good quality go for it good its luking like fr 6 to 12 months baby wear it is not worth for the money very bad quality material imperfect finishing as threads are comming outfading colour quality is very good compared to pricethank you amazon i ordered it for my son birthday,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511wuGpCVjL._UX522_.jpg,4.674500000000001,0.9916708745452523
9,https://www.amazon.in/Si-Noir-Cotton-Blazer-Style/dp/B07G38KFXZ/ref=zg_bs_1967893031_sccl_10/257-0329217-1454160?psc=1,Hopscotch,Boys Gray Graphic Print Top and Pant Set,₹639,4.1,6360,710,like comfort for my 11month boy good quality👌 product is awesome 👍 సైజ్ మరియు కలర్ బాగాలేదు cloth is okay quality good moderate and good looking very nice dress same as shown awesome,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51-ISImNTEL._UX679_.jpg,4.6709000000000005,0.6542600912491633
105,https://www.snapdeal.com/product/arshia-fashions-boys-shirt-and/627080696365#bcrumbLabelId:532,Arshia Fashions,Blue Denim Boy's Shirt & Jeans ( Pack of 1 ),849,4.1,180,5,very good बहुत अच्छ समान एवं आराम्फायक nice product boys dress quality,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/w/Arshia-Fashions-Blue-Denim-Boy-SDL030124815-1-c4eed.jpg,0.8619,0.4186515384498529
1,https://www.amazon.in/Bold-Elegant-Elephant-Clothing-Wednesday/dp/B094VTBR5F/ref=zg_bs_1967893031_sccl_2/257-0329217-1454160?psc=1,Bold N Elegant - Be Bold Inside & Elegant Outside,Baby's Cotton Tshirt Pant Set,₹639,4.2,4709,271,good cloth was very soft and comfortable for kids overall good dress  my daughter is yr old she just love it n material is damn superb acha haibut price ke hisab se kpda acha nhi haibahoot hi patla or halka kpda haiprice bahoot jyada hai\npasant aaya but kpda bahoot ptla hai isliye 3 star ⭐ only the product is same as shown in the picture loved it nice good amazing product thanks supplier 🤗😍,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51nUfiMuCLL._UX569_.jpg,5.4392000000000005,0.3782794185876643
33,https://www.amazon.in/ahhaaaa-Waistcoat-Shirt-Trouser-Boys_RBLU571-28/dp/B07CS2WKQ6/ref=zg_bs_1967893031_sccl_35/257-0329217-1454160?psc=1,AHHAAAA,"Boy's Blended Waistcoat, Shirt, Tie Trouser Set",₹399,3.4,3547,623,nice looking good thik hai good material is not as expected low in quality fitting is just okay tie is not good in price good product not bad theek thaak hai amazon also going very badly so nice dress i received this item without any tags so very difficult to return it seller i don’t want this item as the quality is not good please help with the refund thanks,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71THY4a3eXL._UX466_.jpg,3.0335,0.34292500456773245
116,https://www.snapdeal.com/product/hvm-kids-kurta-pyjama-set/5188147401283462788#bcrumbLabelId:532,harshvardhanmart,Orange Cotton Boy's Shirt & Pants ( Pack of 1 ),649,4.0,152,3,,Snapdeal,https://n4.sdlcdn.com/imgs/k/i/b/harshvardhanmart-Orange-Cotton-Boy-s-SDL532989719-1-3bf10.jpg,0.0,0.32479673493808564
2,https://www.amazon.in/Wnee-Bear-Cotton-Overall-Colour/dp/B07KX271S2/ref=zg_bs_1967893031_sccl_3/257-0329217-1454160?psc=1,Hopscotch,Boys Cotton All-Over Print T-Shirt with Jacket & Pant Set in Green Color,₹829,4.0,3152,268,jacket size is larger than usual\nhowever love the tee  printed jacket\nsuper cool i was purchased it for son for his 2nd bday theme its really awesome and fit perfectly even the matrial of this product also good\ni just loving it\ngo for it guys nice one value for money not so good as shown in picture not like pic  nice product looks good but coat material is not worth for the amount normal cloth,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61eU-2gSbgL._UX522_.jpg,5.828800000000001,0.3116556026228946
36,https://www.amazon.in/AHHAAAA-Cotton-Clothing-10-11-Years/dp/B07MGY1P6F/ref=zg_bs_1967893031_sccl_40/257-0329217-1454160?psc=1,AHHAAAA,"Boy's Cotton Waistcoat, Shirt And Trouser Set",₹479,3.4,1839,358,when requested for replacement the courier party didnot take back the item as there is no price tag which was not originally available the matter was taken up with amazon and they arranged to takeback the item and now i got refundthanks to ms amazon ok goodbut quality is little bit low nice quality material is possibly has a mixture of jute  design is nice smart good product but too small in size pl provide a replacement for 89 yrs i am prepared to pay all extra\nin cash or otherwise kindly help as otherwise this good product is all a waste for me i am a regular\ncustomer since 2011 hope you will cooperate\nthanking you material is good for that price but stitching is not good and fitting is perfect ഡ്രസ്സ് ചെയ്തുകഴിഞ്ഞു നിങ്ങൾക്\u200cതന്നെ അൽപ്ഭുതം തോന്നും i have indent for return but no body has visited so far pl initiate i have ordered another one,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71mLYBfsJSL._UX679_.jpg,4.831,0.26271393519389025
135,https://www.snapdeal.com/product/arshia-fashions-boys-cotton-shirt/629885471917,Arshia Fashions,Blue Cotton Blend Boy's Shirt & Jeans ( Pack of 1 ),949,4.2,106,4,beautiful kids dress well experienced साइज अच्छा और कपड़ा भी ठीक है,Snapdeal,https://n2.sdlcdn.com/imgs/j/s/q/Arshia-Fashions-Boy-s-Cotton-SDL224578100-1-a0c99.jpeg,0.8726,0.2575970525991758
104,https://www.snapdeal.com/product/boys-casual-tshirt-track-pants/657507991663#bcrumbLabelId:532,Rydho,Black Cotton Blend Boy's T-Shirt & Pants ( Pack of 1 ),599,4.1,102,1,good service and good quality,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/b/Rydho-Black-Cotton-Blend-Boy-SDL146587023-1-e5362.jpg,0.8808,0.22839326870714446
