index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
48,http://flipkart.com/em-dresses-baby-girls-casual-top-shorts/p/itm5cc7e2ecd0769?pid=KPBGEUZA2RJHFYKU&lid=LSTKPBGEUZA2RJHFYKULVVKT3&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_3&otracker=browse&fm=organic&iid=cbd07186-4d40-45bb-8dbe-80a8e6e3d64b.KPBGEUZA2RJHFYKU.SEARCH&ppt=None&ppn=None&ssid=49gcqs10dc0000001679481707265,EM DRESSES ,Baby Girls Casual Top Shorts  (Yellow),₹198,3.8,22953,2063,amazing 😍 😍 nice 🙂 very nice excellent,Flipkart,https://rukminim1.flixcart.com/image/832/832/l3t2fm80/kids-apparel-combo/e/t/o/0-3-months-strap-y-12-em-dresses-original-imageuzabzb746rr.jpeg?q=70,3.3216999999999994,0.6013505558085281
96,http://flipkart.com/em-dresses-baby-girls-casual-top-pant/p/itme1d69b25e10fa?pid=KPBFWCF3JTZ639UB&lid=LSTKPBFWCF3JTZ639UBVCCFF6&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_2_51&otracker=browse&fm=organic&iid=531db051-7843-47f7-b2c5-9252c4eb9bf1.KPBFWCF3JTZ639UB.SEARCH&ppt=None&ppn=None&ssid=1phpltasts0000001679481708770,EM DRESSES ,Baby Girls Casual Top Pant  (Red),₹199,4.1,22115,2264,nice dress thank you flipkart good but cloth is fully cotton nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/l37mtu80/kids-apparel-combo/u/d/k/3-6-months-red-pocket-combo-em-dresses-original-imagednznsgmzsjt.jpeg?q=70,1.6446,0.4871303739008759
62,http://flipkart.com/new-gen-baby-girls-casual-top-skirt/p/itm9a6cf1174b1d8?pid=KPBFXEHZA4YWUGGZ&lid=LSTKPBFXEHZA4YWUGGZFVAXAW&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_17&otracker=browse&fm=organic&iid=cbd07186-4d40-45bb-8dbe-80a8e6e3d64b.KPBFXEHZA4YWUGGZ.SEARCH&ppt=None&ppn=None&ssid=49gcqs10dc0000001679481707265,new gen ,Baby Girls Casual Top Skirt  (Red),₹221,3.9,12304,1147,excellent product and price is too good thnku flipkart beautiful so nice product i am very satisfied for this product thank you ❤️ for wonderful price and wonderful products,Flipkart,https://rukminim1.flixcart.com/image/832/832/khdqnbk0/kids-apparel-combo/g/g/z/9-12-months-143-red-18-new-gen-original-imafxeukgh94h42y.jpeg?q=70,3.9596999999999998,0.36215933170093717
6,https://www.amazon.in/Lariyo-Kids-wear-Printed-Multicolour/dp/B07NGQ764D/ref=zg_bs_1967982031_sccl_7/257-0329217-1454160?psc=1,Lariyo Kids wear,Kid's Cotton Tshirt And Trouser Combo,₹420,3.7,1680,307,super and good product value for money worth product was good there is no damage but it not posible long days usequality was ok same as design which amazone image shows6 no s rate wise ok very badproduct size too small the tops fit really well for someone who is from 12 to 24 months the shorts are kind of small compared to the top that is stitched my baby is not chubby and not too skinny but that shorts do not fit well it fits but they are tight and can only be your guest for two uses maybe the seller needs to work on the size of the short if you are just looking for the tops then they are really good super soft material really liked it product is good but size is small size in term of age as shown during placement\nof order is not there on product i asked for 1 to 2 year but m size is supplied we received different colors of dresses which shown in the image one pair of trouser also torned before we were received all are not same clothdifferent type of clothes product is not good and also not badokbetter fit is not perfect my baby is 22 months old so i went for 23 years size which is a bit tight should have bought 34 but it might also depend on how healthy the baby is mine doesnt eat at all and too lean even for her its tight so plan better folks its comfortable and perfect fit for my 2year old son can go a head but not satisfied with the colours very bright colours n cost is little bit high moreover delivery charges extra,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91sMs2TIG-L._UX679_.jpg,11.198200000000002,0.1625641365624685
128,https://www.snapdeal.com/product/sinimini-multicolour-cotton-top-bottom/648894036017,Sini Mini,Multicolor Cotton Girl's T-Shirt With Capris ( Pack of 2 ),699,4.2,197,3,,Snapdeal,https://n2.sdlcdn.com/imgs/k/h/p/Sini-Mini-Multicolor-Cotton-Girl-SDL324157916-1-7cec5.jpg,0.0,0.15331023365265248
66,http://flipkart.com/mars-infiniti-baby-girls-casual-dress-panty/p/itmb00cb28e641f4?pid=KPBGDQAW4CJTPEFM&lid=LSTKPBGDQAW4CJTPEFMSHOMNE&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_21&otracker=browse&fm=organic&iid=cbd07186-4d40-45bb-8dbe-80a8e6e3d64b.KPBGDQAW4CJTPEFM.SEARCH&ppt=None&ppn=None&ssid=49gcqs10dc0000001679481707265,Mars Infiniti ,Baby Girls Casual Dress Panty  (Pink),₹203,4.3,5625,558,must buy super product and comfortable soo beautiful very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/kyeqjrk0/kids-dress/k/x/4/6-12-months-t-frk01-birds-mars-infiniti-original-imagan8xtub9gydg.jpeg?q=70,2.1309,0.137893331679509
113,https://www.snapdeal.com/product/sini-mini-multicolor-girls-top/627116399222#bcrumbLabelId:553,Sini Mini Yellow and Blue Girl's Top & Capri Set Pack of,Sini Mini Yellow and Blue Girl's Top & Capri Set Pack of 2,549,4.2,117,6,,Snapdeal,https://n2.sdlcdn.com/imgs/k/i/e/Sini-Mini-Yellow-and-Blue-SDL677198110-1-65ce8.jpg,0.0,0.09105227074802202
63,http://flipkart.com/new-gen-baby-girls-casual-t-shirt-shorts/p/itm195fa0c2bf7be?pid=KPBGDHVG7YKFQSNP&lid=LSTKPBGDHVG7YKFQSNP4SCM3K&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_18&otracker=browse&fm=organic&iid=cbd07186-4d40-45bb-8dbe-80a8e6e3d64b.KPBGDHVG7YKFQSNP.SEARCH&ppt=None&ppn=None&ssid=49gcqs10dc0000001679481707265,new gen ,Baby Girls Casual T-shirt Shorts  (Blue),₹169,4.0,3906,339,good tshirt nice product same as shown in the picture👍🤩😃 nice 👍good quality 👏,Flipkart,https://rukminim1.flixcart.com/image/832/832/l22724w0/kids-apparel-combo/5/t/6/1-2-years-ng-834-new-gen-original-imagdhvgv2hxqqms.jpeg?q=70,1.6446,0.08052742285184813
55,http://flipkart.com/mars-infiniti-baby-girls-casual-top-panty/p/itm228405e3487ab?pid=KPBGCG52DRZZYHSF&lid=LSTKPBGCG52DRZZYHSFG0W0J5&marketplace=FLIPKART&store=clo%2Feof%2F1bp&srno=b_1_10&otracker=browse&fm=organic&iid=cbd07186-4d40-45bb-8dbe-80a8e6e3d64b.KPBGCG52DRZZYHSF.SEARCH&ppt=None&ppn=None&ssid=49gcqs10dc0000001679481707265,Mars Infiniti ,Baby Girls Casual Top Panty  (Multicolor),₹359,4.4,3250,351,nice product comfortable soft good for baby nice febric,Flipkart,https://rukminim1.flixcart.com/image/832/832/l0sgyvk0/kids-apparel-combo/w/3/x/0-3-months-t-frk03-printed-mars-infiniti-original-imagcg52whkgdgrm.jpeg?q=70,1.794,0.07855018528625449
111,https://www.snapdeal.com/product/catcub-girls-cotton-printed-clothing/621487721974#bcrumbLabelId:553,CATCUB,Black Cotton Girl's Top With Shorts ( Pack of 1 ),389,4.1,89,7,,Snapdeal,https://n1.sdlcdn.com/imgs/k/h/p/CATCUB-Black-Cotton-Girl-s-SDL245901460-1-a6eeb.jpg,0.0,0.06761288888065371
