index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
55,http://flipkart.com/digimart-boys-festive-party-shirt-waistcoat-pant-set/p/itmf6vjftagf4qfr?pid=KETF6VA8FUQC4R63&lid=LSTKETF6VA8FUQC4R63ESDSJJ&marketplace=FLIPKART&store=clo%2Fcfv&spotlightTagId=BestsellerId_clo%2Fcfv&srno=b_1_17&otracker=browse&fm=organic&iid=93ae6e31-9a48-496c-ae56-73376898d7c1.KETF6VA8FUQC4R63.SEARCH&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,DIGIMART ,"Boys Festive & Party Shirt, Waistcoat and Pant Set  (Black Pack of 1)",₹207,4.0,76633,8853,nice product with this range beautiful dress very nice kurtha,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/v/x/f/2-3-years-digibc001-digimart-original-imag69ha2hensycf-bb.jpeg?q=70,1.4424000000000001,0.6434799551051753
51,http://flipkart.com/ftc-fashions-boys-festive-party-kurta-pyjama-set/p/itm6f774f250aa4f?pid=KETFZRH4WEC3NFBD&lid=LSTKETFZRH4WEC3NFBDA0YEGU&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_13&otracker=browse&fm=organic&iid=93ae6e31-9a48-496c-ae56-73376898d7c1.KETFZRH4WEC3NFBD.SEARCH&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,FTC FASHIONS ,Boys Festive & Party Kurta and Pyjama Set  (Yellow Pack of 1),₹291,4.1,58451,7194,its fits well n just awsm for my baby❤️❤️ very nice 😘😘😘i love it,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdxfc7k0hlty2aw-0/kids-ethnic-set/p/b/o/7-8-years-1-yellowkp-ftc-fashions-original-imafuvmyjzpfezzf.jpeg?q=70,2.0124,0.565546995188686
43,http://flipkart.com/ftc-fashions-boys-festive-party-kurta-pyjama-set/p/itm81e38635a6088?pid=KETG4H65GJGZDHFV&lid=LSTKETG4H65GJGZDHFVWHYBVC&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_4&otracker=browse&fm=organic&iid=93ae6e31-9a48-496c-ae56-73376898d7c1.KETG4H65GJGZDHFV.SEARCH&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,FTC FASHIONS ,Boys Festive & Party Kurta and Pyjama Set  (Yellow Pack of 1),₹188,4.1,47204,4492,fabulous 👌 beautiful dress 👗👗 my looks too cute to handsome with this kurta pyjama,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/b/b/f/6-7-years-bumblebee-ftc-fashions-original-imag4qyj7y6qszke-bb.jpeg?q=70,2.8085,0.4695737926019339
64,http://flipkart.com/boom-boys-festive-party-kurta-pyjama-set/p/itm1a953953aa186?pid=KETFR58KBFZSEGUF&lid=LSTKETFR58KBFZSEGUFOIAGEW&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_26&otracker=browse&fm=organic&iid=93ae6e31-9a48-496c-ae56-73376898d7c1.KETFR58KBFZSEGUF.SEARCH&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,Boom Boys ,Boys Festive & Party Kurta and Pyjama Set  (Light Blue Pack of 1),₹196,4.0,29146,3336,nice dress good looking for my child simply wowww💙💙 perfect dress at this price ❤️go for it without any second thought ☺️ nice dress my baby looking very cute in this yellow kurta  payjama,Flipkart,https://rukminim1.flixcart.com/image/832/832/k9bo9e80/kids-ethnic-set/g/u/f/1-2-years-sky-blue-full-sleeves-kurta-with-pyjama-set-1-2-years-original-imafr5c3cequgyyh.jpeg?q=70,3.6284,0.3454863299873714
52,http://flipkart.com/smartraho-boys-festive-party-kurta-churidar-set/p/itme58b3df25225d?pid=KETFDTD345EH22UR&lid=LSTKETFDTD345EH22URUR5BEU&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_14&otracker=browse&fm=organic&iid=93ae6e31-9a48-496c-ae56-73376898d7c1.KETFDTD345EH22UR.SEARCH&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,SmartRAHO ,Boys Festive & Party Kurta and Churidar Set  (Red Pack of 1),₹263,4.0,34671,3748,fantastic shopping very nice nice product very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/f/z/w/8-9-years-40403-smartraho-original-imafdtczuhqhwfsy-bb.jpeg?q=70,1.8218999999999999,0.3057412557603288
47,http://flipkart.com/ftc-fashions-boys-festive-party-kurta-dhoti-pant-dupatta-set/p/itmf237hvmajkzgd?pid=KETF235AHVE3SXSJ&lid=LSTKETF235AHVE3SXSJOXI5SI&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_9&otracker=browse&fm=organic&iid=93ae6e31-9a48-496c-ae56-73376898d7c1.KETF235AHVE3SXSJ.SEARCH&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,FTC FASHIONS ,"Boys Festive & Party Kurta, Dhoti Pant & Dupatta Set  (Gold Pack of 1)",₹225,3.9,36354,4000,superb best products thankq flipkart ❤️❤️❤️ its fabulous🔥🔥🔥,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/6/z/s/3-4-years-tdk-21-ftc-fashions-original-imaf237gbqpb9gwg-bb.jpeg?q=70,0.8403,0.2622496435346593
59,http://flipkart.com/ftc-fashions-boys-festive-party-dhoti-kurta-set/p/itm7215b701de7f0?pid=KETFT8HEG2T2FFSS&lid=LSTKETFT8HEG2T2FFSSAXE0LN&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_21&otracker=browse&fm=organic&iid=93ae6e31-9a48-496c-ae56-73376898d7c1.KETFT8HEG2T2FFSS.SEARCH&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,FTC FASHIONS ,Boys Festive & Party Dhoti & Kurta Set  (White Pack of 1),₹172,4.0,23996,3040,nice cloth n good looks and most important thing it was soooo reasonableif not wrong 150 rs it costed to me perfect good quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/j/j/n/3-4-years-whitejabla-ftc-fashions-original-imaft8pzfzegxtyb-bb.jpeg?q=70,1.5998,0.21351475152301855
80,http://flipkart.com/ftc-fashions-boys-festive-party-kurta-dhoti-pant-set/p/itmf34shhckdz3x8?pid=KETF34Q5RUPCZNHY&lid=LSTKETF34Q5RUPCZNHYHYN5GJ&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_2_42&otracker=browse&fm=organic&iid=faf00a6c-4f27-4e38-a234-f068d839b2be.KETF34Q5RUPCZNHY.SEARCH&ppt=None&ppn=None&ssid=h4letrip8g0000001680019238225,FTC FASHIONS ,Boys Festive & Party Kurta and Dhoti Pant Set  (Black Pack of 1),₹242,3.8,17437,1902,very nice i like it good i purchased this dress  its nicess dress with good price actually i booked this dress for my daughter avadhi and she looks cute and smarty in this dressits best deal with good price thank you,Flipkart,https://rukminim1.flixcart.com/image/832/832/kv1a4cw0/kids-ethnic-set/o/h/a/1-2-years-sbnbc007-ftc-fashions-original-imag8fywmxwhspm2.jpeg?q=70,3.834,0.20209515054581284
106,https://www.snapdeal.com/product/vesh-kurta-pajama-set-for/5188147401910746123#bcrumbLabelId:525,"Vesh Kurta Pajama Set For Boys, Cott","Vesh Kurta Pajama Set For Boys, Cotton",469,3.7,628,13,kurta dress for  summer season vesh kurta best quality top item and item quality  delivery super festival look good product silai  quality not perfect very bad qwality,Snapdeal,https://n3.sdlcdn.com/imgs/i/v/4/Vesh-Kurta-Pajama-Set-For-SDL912732327-1-107aa.jpeg,2.4025,0.19831733002761961
54,http://flipkart.com/smartraho-boys-festive-party-kurta-dhoti-pant-set/p/itmffsadhtnb563z?pid=KETFD5Z63DEG9G7G&lid=LSTKETFD5Z63DEG9G7GYAVLP0&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_16&otracker=browse&fm=organic&iid=en_1WUhkq7naoPzzAOn%2FG3JKh8w5WWGQF222dx1D5fJOMHNcu6hle8x%2BVmI5qkNftb%2FSElIhKoen3lLMNczSHp3NQ%3D%3D&ppt=None&ppn=None&ssid=ad1660w45c0000001680019237493,SmartRAHO ,Boys Festive & Party Kurta and Dhoti Pant Set  (Red Pack of 1),₹239,3.9,23940,3023,nice dress good for ethnic functions osm dress nice  dressss,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/x/x/z/1-2-years-gold-4019-rydho-original-imafbh3ys4rzfzhq-bb.jpeg?q=70,1.2833999999999999,0.19586094131429208
