index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
2,https://www.amazon.in/Allen-Solly-Junior-ABSF31901792_Light-Green_15-16/dp/B07QP4RF6P/ref=zg_bs_1967895031_sccl_3/257-0329217-1454160?psc=1,Allen Solly Junior,Boys Shirt,₹869,4.2,3379,216,pure cotton material comfort wear for kids bought it for my 13y old boy he is 162cm and slim the shirt fits him very well he likes it good cotton shirt not bright colour as photo just 👌👌 quality colour style all are perfect quality of product is good very good quality its value for money product the shirt was delivered in a plastic packet the kinds you get shirts in only with a sticker which has the delivery label thankfully it didnt get damaged in any way\nproduct wise we ordered because of the brand name but the material is extremely transparent as visible in the pic overall not worth the money paid,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81JzUtI4GML._UX385_.jpg,5.319,1.2632111914327673
3,https://www.amazon.in/Allen-Solly-Junior-Checkered-ABSF31901795_Green_13-14/dp/B07QL3DJNN/ref=zg_bs_1967895031_sccl_4/257-0329217-1454160?psc=1,Allen Solly Junior,Boys Shirt,₹899,4.2,2148,130,perfect shirt for boy looks nice fits well good quality fabric too very good clothes  fiting 👍👍 shirt colour is not at all like the image it is very bright and attractive and fresh in image  but shirt that arrived is dull old looking its like old used shirt  didnt expect this from the brand like allen solly good no its comfortable to wear and gives staning outlook who ever wears it it was a good purchase the size was also correct fitting i like the quality but got different colour i ordered orange colour but got red and this is only thing im not happy good quality,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91lo6JkLNLL._UX342_.jpg,6.497000000000002,0.8708233205174445
1,https://www.amazon.in/Amazon-Brand-Honey-Regular-SS19SRT321_Khakhi_11-12/dp/B07R2W7F5H/ref=zg_bs_1967895031_sccl_2/257-0329217-1454160?psc=1,Amazon Brand - Jam & Honey,Boy's Regular Fit Shirt,₹350,4.1,1847,110,value for money good quality and ahirt perfect fit for my kid fabric is good nice colour and a perfect fit for my son amazon symbol has good quality loved it fitting is as expected could be better pricing as it feels over for the cloth quality yes i like best bahut badhiya,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/919vpm+pvnL._UX342_.jpg,6.566600000000001,0.7388968242779105
4,https://www.amazon.in/Amazon-Brand-Honey-Regular-PAG-118_Maroon/dp/B08HZ7GS5D/ref=zg_bs_1967895031_sccl_5/257-0329217-1454160?psc=1,Amazon Brand - Jam & Honey,Boys Button Down Shirt,₹449,4.1,1434,97,good cotton shirt fitting is excellent as expected all other aspects as price softness and comfort could have been better bahut accha good very nice shirt good fabric colour and fitting perfect fit and nice quality nice color n fitting overall good productworth purchasing bought if for a kid on his birthday it was a pleasent surprise to experience tbe excellent qualitycolor and fitting the product is just superb size is too small,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ntg-gRiVL._UX385_.jpg,6.802700000000001,0.6324598724805073
37,http://flipkart.com/onecentre-boys-solid-casual-pink-shirt/p/itmd4ff6b1c88e13?pid=SHTGCCPZDVDZWTCN&lid=LSTSHTGCCPZDVDZWTCNKRKB6E&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fznf&srno=b_1_1&otracker=browse&fm=organic&iid=en_pTUxB7deUboIJOPo%2BuyFpVwBYmDxDiibXfNcoNYQ%2B2O8GqYgfhtXwwlep4Zj6L%2FF9yWJCO7eE60Oy3Q3AcOxew%3D%3D&ppt=None&ppn=None&ssid=hmz95pgrog0000001679481284251,ONECENTRE ,Boys Regular Fit Solid Mandarin Collar Casual Shirt,₹347,4.0,1426,110,good quality product👌🏻👍🏼 nice product awesome product quality of material is very good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/f/n/d/3-4-years-a2103gmca2511-pl1-baby-pink-one-centre-original-imagguzycfygzvch.jpeg?q=70,2.6569,0.40711262870134307
98,https://www.snapdeal.com/product/mashup-classic-navy-shirt-for/8070451158528130575#bcrumbLabelId:527,MashUp Classic navy shirt for Young bo,MashUp Classic navy shirt for Young boys,469,4.1,36,2,mashup good very happy,Snapdeal,https://n1.sdlcdn.com/imgs/j/x/s/MashUp-Classic-navy-shirt-for-SDL546966318-1-6a547.jpeg,1.0123,0.36239987469773016
137,https://www.snapdeal.com/product/mashup-classic-navy-shirt-for/5188147397011013135,MashUp Classic Orange Shirt for Young bo,MashUp Classic Orange Shirt for Young boys,469,4.1,36,2,mashup good very happy,Snapdeal,https://n1.sdlcdn.com/imgs/j/y/x/MashUp-Classic-Orange-Shirt-for-SDL706017301-1-44411.jpeg,1.0123,0.36239987469773016
157,https://www.snapdeal.com/product/mashup-classic-navy-shirt-for/7493990406224707087,MashUp Classic White Shirt for Young bo,MashUp Classic White Shirt for Young boys,469,4.1,36,2,mashup good very happy,Snapdeal,https://n3.sdlcdn.com/imgs/j/n/u/MashUp-Classic-White-Shirt-for-SDL888902826-1-2d75f.jpg,1.0123,0.36239987469773016
117,https://www.snapdeal.com/product/mashup-classic-navy-shirt-for/5764608149314436623,MashUp Classic Royal Blue Shirt for Young bo,MashUp Classic Royal Blue Shirt for Young boys,449,4.1,36,2,mashup good very happy,Snapdeal,https://n1.sdlcdn.com/imgs/j/n/u/MashUp-Classic-Royal-Blue-Shirt-SDL514521862-1-391c6.jpg,1.0123,0.36239987469773016
90,http://flipkart.com/jump-cuts-boys-printed-casual-multicolor-shirt/p/itm48fe0544d0cb4?pid=SHTGCCEY9WAEAGEA&lid=LSTSHTGCCEY9WAEAGEACMLHYT&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fznf&srno=b_2_54&otracker=browse&fm=organic&iid=0e268115-4ebd-4c7c-baf6-ba7b9aa3c62e.SHTGCCEY9WAEAGEA.SEARCH&ppt=None&ppn=None&ssid=y0sftyi6hc0000001679481287430,Jump Cuts ,Boys Slim Fit Printed Casual Shirt,₹249,4.0,1041,82,verry nice 👍👍🙂 wonderful shirt just wow everything was best nice product liked it good materialreduced one star only because rate in sale was more then after sale  bad way of selling,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/j/h/z/10-11-years-jc-boy22-hs-shirt-aop-wht-leaf-jump-cuts-original-imagcccb77pgjr3z-bb.jpeg?q=70,3.3606000000000003,0.33412138933814806
