index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
118,https://www.snapdeal.com/product/soft-apparels-peppy-boys-printed/656824826274,Soft Apparels,Multicolor Cotton Boy's T-Shirt ( Pack of 5 ),549,4.0,827,27.0,nice excellent good quality its an great deal good quality soft appreals quality t shirt very good products are good its good super,Snapdeal,https://n3.sdlcdn.com/imgs/k/f/6/Soft-Apparels-Peppy-Boy-s-SDL918774272-1-1c3aa.jpg,4.4197,0.7779542793446779
103,https://www.snapdeal.com/product/hellcat-cotton-round-neck-printed/665772789383#bcrumbLabelId:526,HELLCAT,Grey Cotton Blend Boy's T-Shirt ( Pack of 3 ),399,4.0,1046,27.0,,Snapdeal,https://n3.sdlcdn.com/imgs/k/i/w/HELLCAT-Grey-Cotton-Blend-Boy-SDL174891425-1-5e370.jpg,0.0,0.7121726371834457
0,https://www.amazon.in/Max-Regular-T-Shirt-M21DBTAMZ2MULTI_Multi-Years/dp/B097C4MG5G/ref=zg_bs_1967925031_sccl_1/257-0329217-1454160?psc=1,Max,Boys Printed Crew Neck T-Shirt - Set of 5,₹469,4.4,11860,1077.0,good quality good product great quality of material i liked it good product 👍 very good bright colours and print is good toomy son liked it go for it over all very good quality cloth 👍👍 quality is awesome and fit is perfect but colours which were received are a little brighter compared to the pics shown that’s ok they’re also looking good😊 nice product value of money great quality i like the product the t shirt was so soft,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61hw4yQH6nL._UX569_.jpg,9.3701,0.5410998850216883
7,https://www.amazon.in/T2F-Plain-Regular-T-Shirt-TSRT5P04_Multicolor_9-10/dp/B07TJFT66L/ref=zg_bs_1967925031_sccl_8/257-0329217-1454160?psc=1,T2F,Boy's Solid Regular fit T-Shirt,₹639,4.2,9902,874.0,its a good product value for money and size is perfect fit need to see how much shrinkage after washing over all good buy fit size and good material quality quality very good i am happy very good perfect fit for my grandson nice fabric if your son 6 years old  order 4 to 5 years size that could be perfect fit gud color wanted to order for my son saw this looked good  i wasnt sure if the quality would be good but took a risk which paid off the shirts are of good quality  dont shrink much after washing  the sizes mentioned are correct fit thank you very nice quality,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81yvtGob6yL._UX342_.jpg,9.206000000000001,0.4313584647937868
131,https://www.snapdeal.com/product/soft-apparels-peppy-boys-printed/647450103107,Soft Apparels,Multicolor Cotton Boy's T-Shirt ( Pack of 5 ),549,4.1,568,20.0,,Snapdeal,https://n1.sdlcdn.com/imgs/k/f/5/Soft-Apparels-Peppy-Boy-s-SDL246767046-1-12c1d.jpg,0.0,0.396392838784132
144,https://www.snapdeal.com/product/force-kids-cotton-tshirt-redwhite/679329547772,Force,Multicolor Cotton Boy's T-Shirt ( Pack of 1 ),399,4.0,387,19.0,great deal mst gd like it dress review fantastic products best product good quality nice quality tshirts excellent,Snapdeal,https://n3.sdlcdn.com/imgs/k/i/x/Force-Multicolor-Cotton-Boy-s-SDL689150293-1-f1f92.jpg,3.6141999999999994,0.3871483297123557
107,https://www.snapdeal.com/product/kuchipoo-boys-girls-printed-cotton/658242076954#bcrumbLabelId:526,Kuchipoo,Multi Color Cotton Blend Boy's T-Shirt ( Pack of 5 ),675,4.3,468,12.0,,Snapdeal,https://n3.sdlcdn.com/imgs/k/j/g/Kuchipoo-Multi-Color-Cotton-Blend-SDL049003571-1-7450e.jpg,0.0,0.34253733629731503
120,https://www.snapdeal.com/product/force-kids-cotton-tshirt-greyblackwhite/668268101823,Force,Multicolor Cotton Boy's T-Shirt ( Pack of 2 ),649,4.2,449,18.0,,Snapdeal,https://n1.sdlcdn.com/imgs/k/i/w/Force-Multicolor-Cotton-Boy-s-SDL225106138-1-0c230.jpg,0.0,0.32098832676877204
94,http://flipkart.com/smartraho-boys-printed-cotton-blend-t-shirt/p/itme8c5b81ebd953?pid=KTBGYEF6FQEFZCFR&lid=LSTKTBGYEF6FQEFZCFRNSWKDA&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_2_58&otracker=browse&fm=organic&iid=9ff9ec6a-d0c2-4293-83d9-f653ea00e5e0.KTBGYEF6FQEFZCFR.SEARCH&ppt=None&ppn=None&ssid=k6lulkg1k00000001679481372301,SmartRAHO ,"Boys Printed Cotton Blend T Shirt  (Black, Pack of 1)",₹278,4.1,17722,1686.0,lovely dress quality productlike it my son is looking rockstar in this superb army type hoodie tshirtmust buy,Flipkart,https://rukminim1.flixcart.com/image/832/832/kl8ccy80/kids-t-shirt/n/a/q/6-7-years-h-printed-40783-smartraho-original-imagyef4gzrzcpbg.jpeg?q=70,1.2107999999999999,0.3208766044804222
86,http://flipkart.com/tripr-boys-printed-cotton-blend-t-shirt/p/itmf9449dd34ae44?pid=KTBG5MEJGHZ5JQJY&lid=LSTKTBG5MEJGHZ5JQJYZV6889&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_2_50&otracker=browse&fm=organic&iid=9ff9ec6a-d0c2-4293-83d9-f653ea00e5e0.KTBG5MEJGHZ5JQJY.SEARCH&ppt=None&ppn=None&ssid=k6lulkg1k00000001679481372301,TRIPR ,"Boys Printed Cotton Blend T Shirt  (Black, Pack of 1)",₹228,4.2,15107,1302.0,awesome i like too much❤️ 👍👍 good product this product is very nice ⚡️,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-t-shirt/z/y/8/15-16-years-tblhdfulmaskboy-lion-tripr-original-imag5mejmgxczgx5-bb.jpeg?q=70,1.8479999999999999,0.30265489098955595
1,https://www.amazon.in/Marvel-Kidsville-Regular-T-Shirt-MC009_Multicolor/dp/B08616PZL5/ref=zg_bs_1967925031_sccl_2/257-0329217-1454160?psc=1,Marvel By Kidsville,Boys' T-Shirt (Pack of 3),₹679,4.3,8586,642.0,very nice trshtsmust buy review after 2 years wearing this t shirt continuous by my son and too good it’s such a great product at reasonable price it’s look is fabulous good quality product bright colors nice product my son loved it like the quality wrt price fabric seems to be good and the colors seems to be exact as shown in the pictureneed to check after wash😜 fit as prefect tshirt is a great combo of smooth fabric and look nice product price vise,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81fHfCkFW7L._UY550_.jpg,6.1244000000000005,0.2672920276371242
49,http://flipkart.com/fashionate-world-boys-printed-pure-cotton-t-shirt/p/itm3bafe66411396?pid=KTBFNHGC6HFWSH6D&lid=LSTKTBFNHGC6HFWSH6D0NNE1E&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_12&otracker=browse&fm=organic&iid=en_cq07NXwiTmDbDFlcrYRGkfJKKqu7CnvG6v6RSnJ8FGRFd8%2FQZ8USkqWMm4bvGHqw2hN8H9iAgzYdxXwhXcSWjA%3D%3D&ppt=None&ppn=None&ssid=b3n2o2zhog0000001679481371033,Fashionate World ,"Boys Printed Pure Cotton T Shirt  (Multicolor, Pack of 6)",₹449,4.0,13005,1456.0,very nice fabric is good value for money i give 5 ,Flipkart,https://rukminim1.flixcart.com/image/832/832/k4n2avk0/kids-t-shirt/g/m/m/3-4-years-meenboystshirts-aop-6pcs-blk-red-yel-lblu-mil-rblu-original-imafnhm6khggkgrw.jpeg?q=70,1.2019,0.24011547777918574
46,http://flipkart.com/disney-miss-chief-boys-printed-cotton-blend-t-shirt/p/itm06e256ec5cae5?pid=KTBGFFF5B5YE2PKG&lid=LSTKTBGFFF5B5YE2PKGDNJNVE&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_9&otracker=browse&fm=organic&iid=1e6ab689-b2cf-4734-abeb-929260bdb174.KTBGFFF5B5YE2PKG.SEARCH&ppt=None&ppn=None&ssid=b3n2o2zhog0000001679481371033,DISNEY BY MISS & CHIEF ,"Boys Printed Cotton Blend T Shirt  (Multicolor, Pack of 4)",₹594,4.3,11002,1310.0,good product good its cute,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-t-shirt/g/l/7/3-4-years-mactshrt148-disney-by-miss-chief-original-imagchtskjfyzapg-bb.jpeg?q=70,1.3396,0.2242534352400849
75,http://flipkart.com/fabtag-kiddeo-boys-printed-cotton-blend-t-shirt/p/itmf5hjpregbxstp?pid=KTBF5HH8XNABYQMT&lid=LSTKTBF5HH8XNABYQMT96Y1I5&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_38&otracker=browse&fm=organic&iid=1e6ab689-b2cf-4734-abeb-929260bdb174.KTBF5HH8XNABYQMT.SEARCH&ppt=None&ppn=None&ssid=b3n2o2zhog0000001679481371033,FabTag - kiddeo ,"Boys Printed Cotton Blend T Shirt  (Multicolor, Pack of 3)",₹399,4.2,9228,1379.0,awesome fabulous  nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-t-shirt/e/u/r/3-4-years-ki-boys-6pcs-new-3c-04-ml-kiddeo-original-imaggfsfjnbh2zhc.jpeg?q=70,1.5731,0.21006931783458158
138,https://www.snapdeal.com/product/neuvin-boys-polo-tshirt-combo9t1gryblt2ylt2rd1314y/652821653611,NEUVIN,Multicolor Cotton Blend Boy's Polo T-Shirt ( Pack of 3 ),539,4.2,225,8.0,very nice mast badiya amazing excellent product  excellent t shirt nice cloths and nice fitting nice product,Snapdeal,https://n4.sdlcdn.com/imgs/k/f/6/NEUVIN-Multicolor-Cotton-Blend-Boy-SDL469311778-1-bd890.jpg,3.4156999999999997,0.21005855515388847
114,https://www.snapdeal.com/product/kuchipoo-boys-printed-cotton-blend/625512070144#bcrumbLabelId:526,Kuchipoo,Multicolor Cotton Blend Boy's T-Shirt ( Pack of 5 ),575,4.4,249,4.0,superb product 100 cotton meterial good quality good t shirts with correct sizes,Snapdeal,https://n2.sdlcdn.com/imgs/k/f/5/Kuchipoo-Multicolor-Cotton-Blend-Boy-SDL072462930-1-d11c1.jpg,1.5057,0.1973313797788008
