index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
60,http://flipkart.com/ftc-fashions-girls-mini-short-festive-wedding-dress/p/itma9f10fc5423c7?pid=KDEFZ5BCBZJMGK7E&lid=LSTKDEFZ5BCBZJMGK7ERIGBTW&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_11&otracker=browse&fm=organic&iid=88a70cae-9dcd-43b0-8a1d-709d2375774d.KDEFZ5BCBZJMGK7E.SEARCH&ppt=None&ppn=None&ssid=89e2131y280000001679481611170,FTC FASHIONS ,"Girls Mini/Short Festive/Wedding Dress  (Blue, 3/4 Sleeve)",₹172,4.0,81983,9514,paisa vasool must buy at this price range its very nice amazing  super,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-dress/d/5/4/10-11-years-blueribjacket-ftc-fashions-original-imafz5g6mffxnkd9-bb.jpeg?q=70,1.6068000000000002,0.6135552347150385
58,http://flipkart.com/ftc-fashions-girls-midi-knee-length-casual-dress/p/itmd54ae18c7cad0?pid=KPBFGGMCNBSSJTTM&lid=LSTKPBFGGMCNBSSJTTM6OLOAC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_9&otracker=browse&fm=organic&iid=88a70cae-9dcd-43b0-8a1d-709d2375774d.KPBFGGMCNBSSJTTM.SEARCH&ppt=None&ppn=None&ssid=89e2131y280000001679481611170,FTC FASHIONS ,"Girls Midi/Knee Length Casual Dress  (Pink, Sleeveless)",₹190,3.9,44612,5283,very nice dress very good super awesomethank you flipkart 🙏💕,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/kids-apparel-combo/4/d/z/4-5-years-nfgc06-ftc-fashions-original-imafumnqfjthrc5t.jpeg?q=70,2.1099,0.3645193759912368
93,http://flipkart.com/ftc-fashions-girls-maxi-full-length-party-dress/p/itmfhz87m2eygf3d?pid=KDEFB5CDGPEVK2Y2&lid=LSTKDEFB5CDGPEVK2Y24TNW7A&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_2_44&otracker=browse&fm=organic&iid=en_QR0gnv3NPBJNAlnFkzpTUMjEIxBicgLNkuAnBZDsS5Dr%2FKnOCGdUO7LvqNUjFbEaToKZ3T2DhNJCYhaSnefixQ%3D%3D&ppt=None&ppn=None&ssid=cnijfdqrb40000001679481612279,FTC FASHIONS ,"Girls Maxi/Full Length Party Dress  (Black, Full Sleeve)",₹219,3.9,41751,3724,so good nice dress awesome look good but not good material,Flipkart,https://rukminim1.flixcart.com/image/832/832/kuzuoi80/kids-dress/t/2/m/6-7-years-new-blackjali-ftc-fashions-original-imag7zghqg4vgbd7.jpeg?q=70,2.3676,0.32040190912537636
59,http://flipkart.com/sonia-collection-baby-girls-calf-length-casual-dress/p/itm2edcabf5ccb24?pid=KDEGAZCRCAHZTHSM&lid=LSTKDEGAZCRCAHZTHSMHJPX3H&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_10&otracker=browse&fm=organic&iid=88a70cae-9dcd-43b0-8a1d-709d2375774d.KDEGAZCRCAHZTHSM.SEARCH&ppt=None&ppn=None&ssid=89e2131y280000001679481611170,sonia collection ,"Baby Girls Calf Length Casual Dress  (Multicolor, Sleeveless)",₹269,3.9,44577,4792,just wow very good wonderful products thnx flipkart,Flipkart,https://rukminim1.flixcart.com/image/832/832/kesv0y80/kids-dress/n/q/h/4-5-years-cotton-kids-jhabla-girls-frocks-sonia-collection-original-imafvdsmxc66h5xg.jpeg?q=70,1.5981999999999998,0.3195458573085971
54,http://flipkart.com/ftc-fashions-girls-midi-knee-length-party-dress/p/itmed14d858151cf?pid=KDEFP42MDXXFRRJV&lid=LSTKDEFP42MDXXFRRJVFYNNAZ&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_5&otracker=browse&fm=organic&iid=88a70cae-9dcd-43b0-8a1d-709d2375774d.KDEFP42MDXXFRRJV.SEARCH&ppt=None&ppn=None&ssid=89e2131y280000001679481611170,FTC FASHIONS ,"Girls Midi/Knee Length Party Dress  (Multicolor, Sleeveless)",₹189,3.9,39702,4579,beautiful ❤️ gud product at this price quality also good nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/kids-apparel-combo/4/h/i/5-6-years-capfrock-ftc-fashions-original-imafumrh6fkugwh2.jpeg?q=70,1.4613,0.28293366119856916
106,http://flipkart.com/fashion-dream-indi-girls-maxi-full-length-party-dress/p/itmfbzkeuggfjzum?pid=KDEFBYHZJHWT7FBA&lid=LSTKDEFBYHZJHWT7FBAPFRUF8&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_2_57&otracker=browse&fm=organic&iid=8aec61e2-510a-4716-be70-642780196d1d.KDEFBYHZJHWT7FBA.SEARCH&ppt=None&ppn=None&ssid=cnijfdqrb40000001679481612279,Fashion Dream ,"Girls Maxi/Full Length Party Dress  (Blue, Sleeveless)",₹251,4.0,35382,4045,mindblowing product👌👌 our lil girl looks like a princess in this dress very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-dress/f/b/a/11-12-years-g-flower-fashion-dream-original-imafxyar2pe65hhe-bb.jpeg?q=70,1.6882,0.2677660846826993
75,http://flipkart.com/ftc-fashions-girls-maxi-full-length-festive-wedding-dress/p/itmd372057d589d5?pid=KDEGC5PASBXZNACM&lid=LSTKDEGC5PASBXZNACMVJ5VL2&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_26&otracker=browse&fm=organic&iid=88a70cae-9dcd-43b0-8a1d-709d2375774d.KDEGC5PASBXZNACM.SEARCH&ppt=None&ppn=None&ssid=89e2131y280000001679481611170,FTC FASHIONS ,"Girls Maxi/Full Length Festive/Wedding Dress  (Black, 3/4 Sleeve)",₹205,3.9,39409,3320,wow its worth price good nice dress 👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-dress/u/f/z/1-2-years-blackr-ftc-fashions-original-imagc5pa7nmgtnfz-bb.jpeg?q=70,1.6741000000000001,0.2669241297971758
90,http://flipkart.com/therajstore-baby-girls-maxi-full-length-festive-wedding-dress/p/itme6fb495d4d0cb?pid=KDEGBAMFNHUCMHAR&lid=LSTKDEGBAMFNHUCMHARXXPSAX&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_2_41&otracker=browse&fm=organic&iid=8aec61e2-510a-4716-be70-642780196d1d.KDEGBAMFNHUCMHAR.SEARCH&ppt=None&ppn=None&ssid=cnijfdqrb40000001679481612279,THERAJSTORE ,"Baby Girls Maxi/Full Length Festive/Wedding Dress  (Red, Sleeveless)",₹311,4.1,24619,2061,this dress is very beautiful 🥰😍 and full comfortable 😍🥰🥰😍😍😍 very nice very good product,Flipkart,https://rukminim1.flixcart.com/image/832/832/kz8qsnk0/kids-dress/x/v/w/4-5-years-jkm1432sain5556-therajstore-original-imagbamffxb7g5wr.jpeg?q=70,3.8343000000000003,0.22991637982974406
87,http://flipkart.com/ftc-fashions-girls-maxi-full-length-party-dress/p/itmf3vv3hmfswn5n?pid=KDEFB3XY7SHE5EHH&lid=LSTKDEFB3XY7SHE5EHHHN8THF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_38&otracker=browse&fm=organic&iid=88a70cae-9dcd-43b0-8a1d-709d2375774d.KDEFB3XY7SHE5EHH.SEARCH&ppt=None&ppn=None&ssid=89e2131y280000001679481611170,FTC FASHIONS ,"Girls Maxi/Full Length Party Dress  (Blue, Full Sleeve)",₹216,3.8,26245,3009,superb nice👌👌👌👌 good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-dress/n/q/5/9-10-years-bngown02-ftc-fashions-original-imaffjsprhmjwhkt-bb.jpeg?q=70,2.0437,0.20586557343138107
91,http://flipkart.com/ftc-fashions-girls-calf-length-party-dress/p/itm095e758f768b5?pid=KDEFZP56EUKY39HH&lid=LSTKDEFZP56EUKY39HH64CT27&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_2_42&otracker=browse&fm=organic&iid=8aec61e2-510a-4716-be70-642780196d1d.KDEFZP56EUKY39HH.SEARCH&ppt=None&ppn=None&ssid=cnijfdqrb40000001679481612279,FTC FASHIONS ,"Girls Calf Length Party Dress  (Red, 3/4 Sleeve)",₹220,3.9,30998,3540,suuuuper dress good very good,Flipkart,https://rukminim1.flixcart.com/image/832/832/ku5ufm80/kids-dress/o/c/a/7-8-years-redribjacket01-20-ftc-fashions-original-imag7c572ffzfufy.jpeg?q=70,0.8808,0.19385200293088908
