index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
103,https://www.snapdeal.com/product/sky-heights-peach-lehenga-choli/655291599210#bcrumbLabelId:808,Sky Heights Peach Lehenga Choli S,Sky Heights Peach Lehenga Choli Set,725,4.1,213,19,excellent all the best good quality awesome thanks sanpdel perfect orion awsm i loved it thank you so much five stars awesome,Snapdeal,https://n3.sdlcdn.com/imgs/k/i/e/Sky-Heights-Peach-Lehenga-Choli-SDL041548119-1-a9b36.jpg,4.8719,0.5178122949507271
39,http://flipkart.com/curly-tales-girls-festive-party-wedding-kurta-dhoti-pant-set/p/itm7ba5a5586d1ea?pid=KETG5ZHEZPN9ZGCZ&lid=LSTKETG5ZHEZPN9ZGCZLIEAIQ&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_4&otracker=browse&fm=organic&iid=030a4d3f-4e63-456c-a346-21166f0188fb.KETG5ZHEZPN9ZGCZ.SEARCH&ppt=None&ppn=None&ssid=4364ngaaps0000001679481532319,Curly Tales ,"Girls Festive & Party, Wedding Kurta and Dhoti Pant Set  (Pink Pack of 1)",₹495,4.1,14549,1420,very good loved the dress worth buying it❤️ good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kids-ethnic-set/o/4/f/7-8-years-k-6-curly-tales-original-imag5zhdhk88dnty-bb.jpeg?q=70,1.7065000000000001,0.4865871235627509
41,http://flipkart.com/ftc-fashions-girls-festive-party-kurta-dhoti-pant-set/p/itmbafc28cc579db?pid=KPBFPDPS6BCJX8BV&lid=LSTKPBFPDPS6BCJX8BVEGLHRC&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_6&otracker=browse&fm=organic&iid=030a4d3f-4e63-456c-a346-21166f0188fb.KPBFPDPS6BCJX8BV.SEARCH&ppt=None&ppn=None&ssid=4364ngaaps0000001679481532319,FTC FASHIONS ,Girls Festive & Party Kurta and Dhoti Pant Set  (White Pack of 1),₹325,4.0,10119,996,😍😍 nice nice one mind blowing,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/kids-apparel-combo/e/q/m/8-9-years-rayondhoti01-ftc-fashions-original-imafumnjv9uwkmar.jpeg?q=70,1.5614,0.3251263826441754
4,https://www.amazon.in/Stanwells-kids-Tissue-Lehenga-AG008D_14/dp/B07L31VJ8N/ref=zg_bs_3659020031_sccl_5/257-0329217-1454160?psc=1,Stanwells Kids,Baby Girl's Net Readymade Lehenga Choli,₹795,4.2,2977,667,value for money i like this colour and design it suits my granddaughter very much she is a pretty kid of our family nice fitting proper expected colour as shown in picture very good quality completely satisfied 😊 worth it gifted to my niece she looks so prettyso nice choice cloth quality very nice and the color was as in the picture if given elastic for the waist instead of rope finish then for toddlers it will be easy to wear and carry got them for my neighbours baby it can be used by one year but the quality and stitching was amazing finish hats off to seller to make it affordable  size which i asked is properly fitted to my daughter and she look very pretty in that excellent service and product as always,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/515iAvnFyaL._UX679_.jpg,6.3583,0.3133660573050161
100,https://www.snapdeal.com/product/fashion-dream-girls-peplum-style/8070451161365098901#bcrumbLabelId:808,Fashion Dream Girl's Peplum Style Lehenga Cho,Fashion Dream Girl's Peplum Style Lehenga Choli,539,4.0,182,7,beautiful product superb product out standing dress nice quality nice product jordar lehenga chholicolor same to same good quality,Snapdeal,https://n2.sdlcdn.com/imgs/k/i/u/Fashion-Dream-Girl-s-Peplum-SDL009794261-1-5bdc5.jpg,2.5077,0.26289392660328287
27,https://www.amazon.in/Stanwells-Kids-Kerala-Lehenga-Golden/dp/B07V9N17ZP/ref=zg_bs_3659020031_sccl_30/257-0329217-1454160?psc=1,Stanwells Kids,Girl's Net Readymade Lehenga Choli,₹941,4.4,2227,432,looks awesome just loved it value for money good qualityreceived as expectedgives a grand look drees is so good looks very good good good i have ordered this dress for my niece she is 4 yrs old but i ordered size for 56 years that will be suitable for her height so go for a next size quality is satisfied with my expectation recommended to all best price good quality 👌 value for money and comfortable one for kids good,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Gs1b+xvmL._UX522_.jpg,7.946900000000001,0.2517787473614682
105,https://www.snapdeal.com/product/mirrow-trade-girls-indo-western/5764608195157701457#bcrumbLabelId:808,Mirrow Trade Girl’s Indo Western Style Lehenga Cho,Mirrow Trade Girl’s Indo Western Style Lehenga Choli,649,4.3,132,8,excellent 👍 my daughter looks like princess beautiful everything excellent good collection excellent mirror trade girls western style lehenga choli so good product,Snapdeal,https://n1.sdlcdn.com/imgs/j/s/u/Mirrow-Trade-Girl-s-Indo-SDL183893149-1-0978a.jpg,3.5570999999999997,0.24678743661777522
38,http://flipkart.com/tik-tok-wears-legging-girls/p/itm149f96859d21b?pid=KLGG5W328KPMPSZQ&lid=LSTKLGG5W328KPMPSZQFELDB2&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_3&otracker=browse&fm=organic&iid=030a4d3f-4e63-456c-a346-21166f0188fb.KLGG5W328KPMPSZQ.SEARCH&ppt=None&ppn=None&ssid=4364ngaaps0000001679481532319,Tik Tok WEARS ,Legging For Girls  (Multicolor Pack of 5),₹436,4.0,7751,736,quality super good product all is good,Flipkart,https://rukminim1.flixcart.com/image/832/832/ksaoqkw0/kids-legging/q/z/w/2-3-years-printed-105-104-103-102-101-tik-tok-wears-original-imag5w2yuwdujqhh.jpeg?q=70,1.4802,0.24327789508967876
81,http://flipkart.com/ftc-fashions-girls-festive-party-kurta-pallazo-set/p/itmf3b71316d0c2b?pid=KETFWJFSPQEUYTHQ&lid=LSTKETFWJFSPQEUYTHQCU2HIW&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_2_47&otracker=browse&fm=organic&iid=570ab4a0-28bc-4749-8254-2d4f78a88a31.KETFWJFSPQEUYTHQ.SEARCH&ppt=None&ppn=None&ssid=e68stowhow0000001679481533751,FTC FASHIONS ,Girls Festive & Party Kurta and Pallazo Set  (Black Pack of 1),₹347,4.0,6188,743,thanks flipkart my daughter happy beautiful suit look how pretty she looksthnk u flipkartluv u alws,Flipkart,https://rukminim1.flixcart.com/image/832/832/kg9qbgw0/kids-ethnic-set/w/z/d/9-10-years-kidsblackkurtiset-ftc-fashions-original-imafwjhtgpurvfz4.jpeg?q=70,2.1056,0.23355685146161564
7,https://www.amazon.in/Fashion-Dream-Readymade-Lehenga-Set_Yellow_5-6/dp/B081T6CBVH/ref=zg_bs_3659020031_sccl_9/257-0329217-1454160?psc=1,Fashion Dream,Girl's Ethnic Wear Jacquard Silk Embroidered Western Style Full Stitched Lehenga Choli Set (Readymade),₹639,4.0,4828,537,nice dress same as shown in the picture dress reached corrct time but skirt to design dont have very simple looking material and design are same as shown in the picture liking the product the skirt colour was faded and the design was hardly visible perfect and beautiful dress material and the pattern is as shown is pic fit perfectly i liked the color and cloth softness texture can be better intenal belt rope can be given to tight ghaghara one hook can be fixed for the bottom,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81EPvZvOv3L._UX425_.jpg,3.9574000000000003,0.23344024631793475
