index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
67,http://flipkart.com/density-men-blue-sandals/p/itm2d0e79c853146?pid=SNDFK79DHWKZ4MS7&lid=LSTSNDFK79DHWKZ4MS7AU4FRF&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_26&otracker=browse&fm=organic&iid=b05845c7-18f4-4cdc-a252-562f89e55eeb.SNDFK79DHWKZ4MS7.SEARCH&ppt=None&ppn=None&ssid=k3ihxn1dz40000001679480454574,density ,Men Blue Sandal,₹369,4.0,78113,9101,really worth for money 👌✌️ very nice looking soft and smooth official look with low budget very good product,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/r/z/z/9-dex-01-r-blue-9-density-r-blue-original-imag6n3ym5ketnef-bb.jpeg?q=70,1.5446999999999997,0.40905740921874845
48,http://flipkart.com/aadi-men-brown-sandals/p/itm934875df08428?pid=SNDG4JG4AGZ66BVZ&lid=LSTSNDG4JG4AGZ66BVZYV3R0N&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_4&otracker=browse&fm=organic&iid=b05845c7-18f4-4cdc-a252-562f89e55eeb.SNDG4JG4AGZ66BVZ.SEARCH&ppt=None&ppn=None&ssid=k3ihxn1dz40000001679480454574,aadi ,Men Brown Sandal,₹399,3.9,51665,5090,good shoes this price range7 star very good productmust buy realy fantastic product value for money excellent,Flipkart,https://rukminim1.flixcart.com/image/832/832/kqjtd3k0/sandal/t/7/u/9-mrj1684-9-aadi-brown-original-imag4jhkctjsefu9.jpeg?q=70,2.3501000000000003,0.2873944244669815
136,https://www.snapdeal.com/product/prolific-brown-faux-leather-sandals/651110981099,Prolific,Brown  Men's Sandals,875,4.3,1289,51,,Snapdeal,https://n2.sdlcdn.com/imgs/j/r/j/Prolific-Brown-Faux-Leather-Sandals-SDL951649932-2-23616.jpeg,0.0,0.261200957961476
66,http://flipkart.com/sfr-men-black-grey-sandals/p/itm543f71a9872d1?pid=SNDGBTGJGUMZYFS3&lid=LSTSNDGBTGJGUMZYFS3VMPLJI&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_25&otracker=browse&fm=organic&iid=b05845c7-18f4-4cdc-a252-562f89e55eeb.SNDGBTGJGUMZYFS3.SEARCH&ppt=None&ppn=None&ssid=k3ihxn1dz40000001679480454574,SFR ,"Men Black, Grey Sandal",₹269,4.0,37891,3989,satisfying product item  was  sooo  satisfying me  worth  for  money  you  spent  buy it  immediately  you  want  very very worth awesome quality and comfort strongly recommend,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/r/s/p/-original-imagg4zmteafew6f.jpeg?q=70,3.0679000000000003,0.2425836774026462
1,https://www.amazon.in/Sparx-Black-Athletic-Outdoor-Sandals/dp/B00IZ97K3I/ref=zg_bs_1983571031_sccl_2/257-0329217-1454160?psc=1,Sparx,mens Ss0101g Sandals,₹663,4.2,23060,4163,i think this product is full of quality and its black colour edition is more than other colour sandals liked everything except colour became dull best as expected price very good the product is good and i loved it good one but little irritating at back side of leg delivery was on time and product is also as per the description so far quality is good  will use daily and review it after 3 4 months again great nice sandal in this price range quality was also best 👍,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61BTn+U4i0L._UY500_.jpg,4.242,0.23520133717790215
68,http://flipkart.com/sfr-men-black-red-sandals/p/itma98c0ea753ee2?pid=SNDGDD3QHA8DPNEW&lid=LSTSNDGDD3QHA8DPNEWLND8FE&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_27&otracker=browse&fm=organic&iid=b05845c7-18f4-4cdc-a252-562f89e55eeb.SNDGDD3QHA8DPNEW.SEARCH&ppt=None&ppn=None&ssid=k3ihxn1dz40000001679480454574,SFR ,"Men Black, Red Sandal",₹269,3.8,55661,3873,average good quality products 👍 good quality is very comprotabl,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/x/x/c/6-xxx-01-black-red-6-kripto-black-red-original-imagj98ybgmbzjnf.jpeg?q=70,0.8808,0.2271519390246522
14,https://www.amazon.in/Sparx-Synthetic-Sandals-Floaters-SS0502G/dp/B00P97DCS6/ref=zg_bs_1983571031_sccl_15/257-0329217-1454160?psc=1,Sparx,Men's Athletic and Outdoor Sandals,₹879,4.0,14293,3369,super sparx means always superb product its build quality fitting and its long lasting got at very reasonable price of rs700 good product nd value for the money\nwho can predict the durability no 1 can right😪 we cant predict the durability\nsparx brand sparxlovers about durability cant predict\ngood product 👍👍\nhave improve little bit bagundi model कॉलीटी चांगली आहे looking good and its good quality product i buyed 1 extra large size but its fitting too small  but shandle is very good  its looking good and nice one\ni would recommend everyone to go 1 or 2 sizes bigger than your original size stylish and comfortable gift from relaxo,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/814OCn0lIzL._UX500_.jpg,5.9626,0.21759456716799502
20,https://www.amazon.in/Sparx-Black-Athletic-Outdoor-Sandals/dp/B00IZ980I2/ref=zg_bs_1983571031_sccl_21/257-0329217-1454160?psc=1,Sparx,Men's Athletic and Outdoor Sandals,₹677,4.2,14350,4300,its rugged and heavy duty material go for it for long run recieved a good product i have already used it and it has no different so i will try other order। expected quality and comfortable nice good product quality perfect fit on time delivery my size is 8  but i ordered 9  and item given was also 9 only but it fits exactly so my advice is order one size bigger otherwise it will be small for u its is good product comfortable with size and fitting looks also good and must buy in this price range 😊 size,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81FMoaZggEL._UX500_.jpg,4.5598,0.21659562098736368
55,http://flipkart.com/aadi-men-blue-black-sandals/p/itmc487ed5cb66d8?pid=SNDG5UDX5JD7H2BS&lid=LSTSNDG5UDX5JD7H2BSS1LXL6&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_12&otracker=browse&fm=organic&iid=en_LDeiKaJZqbjMryAxIQHUcshWv1Bd6RVhF9jqYtchJc0BxGn862FygrsKHMoGx3otfAHLrP%2FZ%2FKMSaBqGLqxa7w%3D%3D&ppt=None&ppn=None&ssid=k3ihxn1dz40000001679480454574,aadi ,"Men Blue, Black Sandal",₹349,3.7,29631,3664,loved it ❤️ quality  comfort nice product awesome 👍👍👍 good looking,Flipkart,https://rukminim1.flixcart.com/image/832/832/kn22m4w0/sandal/r/u/w/6-mrj1638-6-aadi-blue-original-imagfsw2dxjkc9rs.jpeg?q=70,2.4474,0.1764111239978821
5,https://www.amazon.in/Sparx-Mens-Navy-Sandals-SS-453/dp/B075GCYS36/ref=zg_bs_1983571031_sccl_6/257-0329217-1454160?psc=1,Sparx,mens Ss0453g Sandal,₹569,4.1,15419,2442,fit was as expected and its comfortable good value of money good quality\ncomfortable\nlooks good\ndurable comfortable good im happy with the sparx 😎 good quality nice product not bad as expected awesome quality is super  suggest to buy\nmoney isnt wasted,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81LBFuFKrpL._UX500_.jpg,5.124300000000001,0.16156383942568442
