index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
42,http://flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm0f168b89ba37a?pid=SHTFT97HQAMTKYJE&lid=LSTSHTFT97HQAMTKYJE32E0KC&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&spotlightTagId=BestsellerId_clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_3&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFT97HQAMTKYJE.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Surhi ,Men Slim Fit Checkered Spread Collar Casual Shirt,₹349,3.8,176546,18580,very nice shirt happy nice as better as expected👍👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/o/p/0/5xl-pk19sh09g-surhi-original-imaft8vgvhmhbhsy.jpeg?q=70,1.8552999999999997,0.5095240593595862
46,http://flipkart.com/pepzo-men-striped-casual-red-shirt/p/itm841b09ef732d0?pid=SHTFYUQXZCFVDZUK&lid=LSTSHTFYUQXZCFVDZUKDXIJGV&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_7&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFYUQXZCFVDZUK.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Pepzo ,Men Regular Fit Striped Spread Collar Casual Shirt,₹279,3.8,161910,13717,nice shirt this product is super good,Flipkart,https://rukminim1.flixcart.com/image/832/832/kxxl9jk0/shirt/9/a/m/xl-vx-db-red-voroxy-original-imagaa4yshwvnhsm.jpeg?q=70,1.4613,0.40731127186509264
62,http://flipkart.com/vebnor-men-solid-casual-maroon-shirt/p/itm888dc158ad656?pid=SHTFXW9K9688TXCB&lid=LSTSHTFXW9K9688TXCBMMDIDT&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_23&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFXW9K9688TXCB.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,VeBNoR ,Men Regular Fit Solid Spread Collar Casual Shirt,₹329,4.0,115501,12089,nice product nice product nice shirt,Flipkart,https://rukminim1.flixcart.com/image/832/832/l1pc3gw0/shirt/c/i/t/l-st2-vebnor-original-imagd7b7aeybhxvs.jpeg?q=70,1.2645,0.30707163330362214
50,http://flipkart.com/qlonz-store-men-solid-casual-white-shirt/p/itmfh6jvdpnja43f?pid=SHTFH66SFEXGQRRW&lid=LSTSHTFH66SFEXGQRRW3HJJPZ&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_11&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFH66SFEXGQRRW.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Qlonz store ,Men Regular Fit Solid Mandarin Collar Casual Shirt,₹289,3.9,56893,4242,excellent 😍 good product 😊😊 very good products 👌,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/h/2/a/s-double-shirt-foramal-qlonz-store-original-imafh87megng23cb-bb.jpeg?q=70,3.5412999999999997,0.18729000609838503
44,http://flipkart.com/tanip-men-checkered-casual-light-blue-shirt/p/itmea0b8aa531675?pid=SHTGGUZDTSGJWMVM&lid=LSTSHTGGUZDTSGJWMVMLJ7U4S&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_5&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTGGUZDTSGJWMVM.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Tanip ,Men Slim Fit Checkered Spread Collar Casual Shirt,₹279,3.8,50264,4443,nice shirt thank you filipkart 🥰 its mor comfortable to this price rangethanks to flipkart for fasting delivery im very happy with flipkartthanks filpkart,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/h/m/a/3xl-dt-shirt1314-darkage-original-imagguzdmwp6wspz.jpeg?q=70,2.6726,0.15574448442720018
66,http://flipkart.com/try-men-color-block-casual-white-black-shirt/p/itm60628958d25f3?pid=SHTFNNJGGBMUHWJP&lid=LSTSHTFNNJGGBMUHWJP8RSFY2&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_27&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFNNJGGBMUHWJP.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Try This ,Men Slim Fit Color Block Spread Collar Casual Shirt,₹314,3.9,48747,4766,fantastic product its lovely ❤️😍😍 better,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/p/d/k/xl-bss-try-this-original-imafvvae4ghhy5pd-bb.jpeg?q=70,2.3021,0.15062695104187446
53,http://flipkart.com/fubar-men-striped-casual-maroon-shirt/p/itm2273aa6b645c3?pid=SHTFD6ZAFZZK2TQF&lid=LSTSHTFD6ZAFZZK2TQFXUAAR4&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_14&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFD6ZAFZZK2TQF.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,FUBAR ,Men Slim Fit Striped Mandarin Collar Casual Shirt,₹399,3.9,55367,5071,osm quality nice productsthanks for flipkart nice shirt with good quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/k/n/i/l-skcsh-1106-mao-fubar-original-imafycz5hpfmhhyp-bb.jpeg?q=70,1.2833999999999999,0.14021954887552104
77,http://flipkart.com/icome-men-striped-casual-multicolor-shirt/p/itm8aa7cc55aaf80?pid=SHTGFBT8QZYTJACZ&lid=LSTSHTGFBT8QZYTJACZ85ITKZ&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_38&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTGFBT8QZYTJACZ.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,icome ,Men Regular Fit Striped Casual Shirt,₹289,4.1,35845,4048,cloth quality is good soft nd silky super shirtloved it ❤️ one of the most beautifull shirts i have  comfortable and the best fabric used  its bit shiny but that give it a very amoozing look  fabric is really up to the mark  nice dress fits very well👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/t/l/2/xl-men-regular-super-slim-fit-striped-casual-shirt-icome-original-imagf9q2epye5kks-bb.jpeg?q=70,2.8820000000000006,0.1329492549964536
48,http://flipkart.com/fubar-men-washed-casual-maroon-shirt/p/itmfb6zyffczwpyv?pid=SHTFB6HC6UQHHCSH&lid=LSTSHTFB6HC6UQHHCSHGBKGVH&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_9&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFB6HC6UQHHCSH.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,FUBAR ,Men Slim Fit Washed Mandarin Collar Casual Shirt,₹399,3.8,56347,5544,decent quality at this price u can replace button to black for osm looks really nice product good quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/ku4ezrk0/shirt/t/j/e/xl-sksh-bb110-xl-ma3-fubar-original-imag7baxs7pp5yuq.jpeg?q=70,0.8619,0.13035890539591743
12,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C301_Black_Medium/dp/B0713QPGCF/ref=zg_bs_1968094031_sccl_13/258-1229559-2740407?psc=1,Dennis Lingo,Men's Solid Slim Fit Casual Shirt,₹599,3.9,11610,2006,overall its ok  cloth quality is good but talk about packaging its in bad shape packed and my shirts shoulder is tiny tite but its ok for me fabric 100 cotton colour and fitting is good at 460 it worth the money overall good\ndoesnt feel like 100cotton\ncompany should write 100 cotton inside shirtbut only on tag is mentioned  fabric is nice and comfortable good product the fitting and everything is best in the shirt as per the price range but this product isnt 100 cotton as mentioned above although it is a blend of polyester comfortable and fit\ngood product it was a gift for my dad n when he wore it it was looking good on him😍and he was happybut packaging was poor and should be packed decently they just rolled up the shirt n packed in one plastic n handed me the parcel definitely a worthy purchase i am not sure weather its 100 cotton as they say but feels quite comfortable and of decent quality even the fitting was precise as i order s size perfect body fit for me\nso this dennis lingo shirt is a good choice but choose the colour wisely it will fade after 2 or 3 regular washes  go for your regular wearing size fabric quality is nice at first look but very thin fabric and also non stretchable fit is ok but sleeve and angle size is bit low its tight for me all other chest and all ok nice fit i returned because of that sleeve is too much tight on rolledup,Amazon,https://m.media-amazon.com/images/I/61qcnAHZP3L._UX522_.jpg,10.251200000000003,0.12892859537212933
148,https://www.snapdeal.com/product/life-roads-100-percent-cotton/6341068894002727105,Life Roads,Black Cotton Slim Fit Men's Casual Shirt ( Pack of 1 ),675,3.9,775,28,quality nice product mast shirt nice shirt excellent perfect fit delivery was late product is ok great product and good deal super quality good shirt,Snapdeal,https://n1.sdlcdn.com/imgs/k/j/v/Life-Roads-Black-Cotton-Slim-SDL415131560-1-001fd.jpg,4.749099999999999,0.10899048698962263
52,http://flipkart.com/tanip-men-solid-casual-white-shirt/p/itmd7ac59f3558d1?pid=SHTG9UJFZUXZ7MKF&lid=LSTSHTG9UJFZUXZ7MKFYOJEYX&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_13&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTG9UJFZUXZ7MKF.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Tanip ,Men Slim Fit Solid Spread Collar Casual Shirt,₹329,3.9,32399,2597,looking for good good product 👍 👍 looking awesome  delivery boy also good 😊 thanku flipkart 😊,Flipkart,https://rukminim1.flixcart.com/image/832/832/kxdl3m80/shirt/a/7/a/l-ts-shirt1083-tanip-original-imag9ugfzkdhprzn.jpeg?q=70,3.3829,0.10785223950571367
18,https://www.amazon.in/Dennis-Lingo-Solid-Casual-CC201_Dustypink_M_Dustypink_M/dp/B07HK6NT81/ref=zg_bs_1968094031_sccl_19/258-1229559-2740407?psc=1,Dennis Lingo,Men Casual Shirts,₹499,4.0,14631,2411,colour is slightly more pinkish than shown in the image its not the mauve colour like in the image good product quality of material is good colour is little bit faded but looks good the shirt is not properly stitched nearby chest area i am happy with the shirt as it was perfectly fit to the person i gifted also the quality of the product was also good hey folks if you ordering this product plz order one size smaller its biggy worth the money its not good for long run product quality is great but fit at waist area replaced with next size quality is not good,Amazon,https://m.media-amazon.com/images/I/61YQd1wdQBL._UY550_.jpg,5.863200000000001,0.10213975098740646
0,https://www.amazon.in/Dennis-Lingo-Solid-Casual-C301_Dustypink_M_Dustypink_M/dp/B07HK7B2PQ/ref=zg_bs_1968094031_sccl_1/258-1229559-2740407?psc=1,Dennis Lingo,Men's Solid Slim Fit Cotton Casual Shirt with Spread Collar & Full Sleeves,₹575,3.8,29879,3025,it s a bit difficult to iron gets wrinkled but worth the money 100 cotton as expected good colour and well fitted black and bottle green—460₹ each but the dusty orange one 414₹ is not made of 100 cotton its fabric was bad so i returned that one very good product value for money my height us 5qq and weight is 68 so i ordered size l and i think it is proper for me only thing i felt bad is its apple cut doesnt match at buttons part and also last button is not given as per shirts lenght gud nice quality\ngood product quality is good but its not cotton its polyester cloth nice looking and comfortable shirt only con is that it looks wrinkled after being worn for few hours good product,Amazon,https://m.media-amazon.com/images/I/618Wek95laS._UY550_.jpg,2.3985,0.09360140580907106
20,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C201_Black_Medium/dp/B0158FJW4G/ref=zg_bs_1968094031_sccl_21/258-1229559-2740407?psc=1,Dennis Lingo,Men's Solid Chinese Collar Casual Shirt,₹575,3.9,15074,3223,play video good soft nice shirt ❤️ good worth for money its so comfortable to wear value for money xl is very large 44 size right fit very good,Amazon,https://m.media-amazon.com/images/I/514KfWLx9wL._UX522_.jpg,3.5208,0.08781437238211377
60,http://flipkart.com/plus91-men-graphic-print-casual-black-shirt/p/itm7dd7bcdaad809?pid=SHTG4DVYREGVGFYH&lid=LSTSHTG4DVYREGVGFYHAHCGBP&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_21&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTG4DVYREGVGFYH.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Plus91 ,Men Slim Fit Graphic Print Ribbed Collar Casual Shirt,₹379,4.0,35545,2142,good products very nice very nice 👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/5/f/u/s-p1-sht-hood-geographical-plus91-original-imag4dvycrmpz22p-bb.jpeg?q=70,1.2833999999999999,0.08436400253548526
5,https://www.amazon.in/Amazon-Brand-Inkast-S-02C_Medium-Grey_Medium/dp/B07GSL2C7V/ref=zg_bs_1968094031_sccl_6/258-1229559-2740407?psc=1,Amazon Brand - Inkast Denim Co.,Men Casual Shirt,₹700,4.0,15995,1909,shirt is good fit as per expectation and quality is also upto the mark as per the price also color is not very dull and gives good contrast with white pants quality is good but color could be little bright value for money very good quantity like nice little bit fitting issues material is good rest depend after wash about colour excellent👍 overall this shirt is good good,Amazon,https://m.media-amazon.com/images/I/71ssF1s7V1L._UY550_.jpg,5.1771,0.08278290833533798
2,https://www.amazon.in/Allen-Solly-Geometric-Regular-ASSFWMOFO48848_White_44/dp/B07DMQRD6H/ref=zg_bs_1968094031_sccl_3/258-1229559-2740407?psc=1,Allen Solly,Men's Slim Fit Shirt,₹759,3.7,12278,1788,it gives comfort the quality is good and really it is value for money it fits well  but the quality could have given better too large good product quality material but sleeve circumference is a bit big if you are slim i brought it to gift my friend he really likes it like product was good but the packaging was very very bad blue is my favorite color i liked this shirt very much in this price range shirt is made of cotton material good to wear and good for casual wearing to put on this clothes size is little bit smaller,Amazon,https://m.media-amazon.com/images/I/71T3EQknkBL._UY550_.jpg,5.874100000000001,0.0768476175796112
45,http://flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm371e267caab8a?pid=SHTGAHWHMZUQZYCC&lid=LSTSHTGAHWHMZUQZYCCI7LP8J&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_6&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTGAHWHMZUQZYCC.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,Surhi ,Men Slim Fit Checkered Spread Collar Casual Shirt,₹349,3.7,30349,1781,excellent 🔥nice product 👌🏻🔥 excellent product ❤️❤️✨,Flipkart,https://rukminim1.flixcart.com/image/832/832/l2z26q80/shirt/b/v/w/m-pk19sh786e-surhi-original-image77wzjmhwyty.jpeg?q=70,2.0385999999999997,0.07419556865244283
61,http://flipkart.com/vebnor-men-solid-casual-light-green-shirt/p/itm2dbe1675ce9df?pid=SHTFZH58WTMMUHQD&lid=LSTSHTFZH58WTMMUHQDPSHFQS&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_22&otracker=browse&fm=organic&iid=eefc1ef4-eb75-4d8e-8288-6015d23c7a67.SHTFZH58WTMMUHQD.SEARCH&ppt=None&ppn=None&ssid=1azmxj5o680000001680018484890,VeBNoR ,Men Regular Fit Solid Mandarin Collar Casual Shirt,₹329,4.0,17532,1820,awesome looks great and i really liked it shirt fabric is really awsm fitting,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shirt/4/o/m/xl-st1-vebnor-original-imagn6btezzsp5uf.jpeg?q=70,1.6713,0.05035034676882928
