index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
9,https://www.amazon.in/Sparx-Sneakers-9-India-43-33-SD0323G/dp/B077MZ785Q/ref=zg_bs_9780814031_sccl_10/257-0329217-1454160?psc=1,Sparx,Mens Sd0323g Sneakers,₹539,4.1,45075,9639,genuine review\n\nstill using shoes quality is awesome dosent tares at folds wash and get back the new look 👌\nnot recommended for running or workouts best to use 2 to 3 hours per day or else you and your neighbours will faint after removing shoes in a closed environment\nno air circulation\nsweats a lot these are nearly identical to the adidas superstarscosts 6k which have been iconic shoes over the decades so these are a great substitute if your want the iconic design on a budget i have got both the white and black ones and have been using them for 4 to 5 months\n\npros\n1 a great addition for your outfits looks super cool\n2 affordable price\n\ncons\n1 the white shoes get dirty very easily\n2 they are not comfortable if you walk a lot the sole is thin and not that soft you are better off with sports shoes\n\ni use them in college and we have to walk a lot as our campus is huge recently i have preferred to wear sports shoes on most days\n\nrecommendation\nhave a pair of sports shoespreferably black to wear everyday and buy the white pair to wear on special occasions\n\nimages\nthe first one has one clean and one dirty white sneaker the others include both black and white ones after use it for months what just i need to do is clean throughly otherwise its really nice and super cheap but a good quality pu leather shoe i like it and say its 45 all for this price range  size is loose so order one size lesser than your usual size i ordered white color and it was nice overall a good and priceworthy product from sparx awesome but its loose means your size is 9 then you ordered 8 little bit size problem all other things good it fits it shine it is value for moneu\ni loved it\nthanks good product good sneakers got these shoes in 300 only so at this price its value for money,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51g6S2XoAcL._UY500_.jpg,10.0296,0.9842321889550257
148,https://www.snapdeal.com/product/asian-lifestyle-navy-casual-shoes/656236862593,ASIAN Lifestyle Navy Casual Sho,ASIAN Lifestyle Navy Casual Shoes,589,4.2,3279,93,awesome product excellent performance nord deodorant very good shoes best quality all deal  is fantastic good quality good qualitysatisfied shoes looks beautiful perfect product original 👌,Snapdeal,https://n2.sdlcdn.com/imgs/j/s/u/ASIAN-Lifestyle-Navy-Casual-Shoes-SDL149794011-1-2474c.jpeg,5.9315,0.8432684889440061
66,http://flipkart.com/hotstyle-trendy-stylish-loafers-men/p/itm5694b3a1d6910?pid=SHOG483UHWHEGSE7&lid=LSTSHOG483UHWHEGSE7LOLQHU&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&spotlightTagId=BestsellerId_osp%2Fcil%2Fe1f&srno=b_1_26&otracker=browse&fm=organic&iid=0c311d22-e8b9-46a0-94c6-d88a99ef262e.SHOG483UHWHEGSE7.SEARCH&ppt=None&ppn=None&ssid=ilwlklludc0000001679480541085,HOTSTYLE ,Trendy & Stylish Loafers For Men  (Black),₹249,3.7,162449,10791,good quality 👍 very nice product very good quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/y/u/o/-original-imaghvb3gmh7t9zg.jpeg?q=70,1.3023,0.6509897441987471
0,https://www.amazon.in/Crocs-Bayaband-Pepper-Clogs-9-205089-4CC/dp/B0819RC5HR/ref=zg_bs_9780814031_sccl_1/257-0329217-1454160?psc=1,crocs,Null,"₹1,747",4.3,40828,4948,so finally i joined the trend to buy crocs it was a little bit uncomfortable for me because i am not that comfortable with rubberized material but it is a good comfortable one you can go for it one month of use it is very comfortable just the size is too free its absolutely good product\nbut im little bit dispointed with packing with care products\nbut one thing is true amazon delivery is very good than other apps the package was very blund it just came with a polythene cover used this clog and it is worth for the cost you can go for this crocs its totally comfort light weight and durability is high good one its good but with certain conditions\nit is durable but the width of the footwear is lil bit wide so u might feel it lil bit bigger than other footware comfort is not that good in the beginning i almost changed my mind to return it but dont know why i tried it back to back and now i m addicted to it so yeah some of u might not like it but once u get used to it u would use it almost everywhere soo yeah go for it and have a try 👻\none more thing i dont wear narrow jeans with this crocs my foot looks so big with narrow pants or jeans thankyou expected size the product is very nice and feel comfortable,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/712Brp0hwfL._UX500_.jpg,8.503500000000003,0.5125078331334791
152,https://www.snapdeal.com/product/asian-lifestyle-black-casual-shoes/684665745019,ASIAN,Black Men's Sneakers,575,4.0,2290,43,5 star quality nice product every thing  is good value for money nyc and superb very nice snapdel good one comportable shoes very good delevery and product,Snapdeal,https://n4.sdlcdn.com/imgs/i/e/q/ASIAN-Sneakers-Black-Casual-Shoes-SDL942280399-3-d5afe.jpeg,3.1290999999999998,0.4622492178525538
12,https://www.amazon.in/Sparx-Mens-Navy-Blue-Sneakers/dp/B00IZ95WBA/ref=zg_bs_9780814031_sccl_13/257-0329217-1454160?psc=1,Sparx,Men's Canvas Sneakers,₹659,4.1,20150,6517,very good product and nice built quality\n\ngood for money laces are too long and it takes a lot time to knot them well overall shoe quality is quite nice suggest to buy if you are okay with laces this shoe is little expensive for me\nbut the quality is very good\nand value for money 🤑 great product at this price nice shoes but madebfor teenagers feet just regretted by ordering this colour possessed by product thankfully returned it on time good product product looks awesome but not sure why it was opened and not having hard copy of bill in the amazon box little heavy but comfortable,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61VzAAvV6RL._UY500_.jpg,5.1783,0.3595849061245423
54,http://flipkart.com/labbin-sneakers-men/p/itm22551963c0809?pid=SHOG497GM6AVWCEU&lid=LSTSHOG497GM6AVWCEUBBOTEM&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_11&otracker=browse&fm=organic&iid=0c311d22-e8b9-46a0-94c6-d88a99ef262e.SHOG497GM6AVWCEU.SEARCH&ppt=None&ppn=None&ssid=ilwlklludc0000001679480541085,Labbin ,Sneakers For Men  (White),₹399,3.8,49177,4450,very good quality this product is very nice 💓😘😘😘😘 thanks for flipkart nice good product,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/c/d/i/7-95000215-41-roamra-white-original-imag4ahytjmqdzz8-bb.jpeg?q=70,3.0723,0.28137270490587857
89,http://flipkart.com/bruton-combo-pack-2-casual-shoes-slip-sneakers-men/p/itmf6m7y2a52qnsa?pid=SHOF6M4S3G6GPGBQ&lid=LSTSHOF6M4S3G6GPGBQYRW5I1&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_2_52&otracker=browse&fm=organic&iid=en_OLEIRqztrgUZnjJxtl5oWgpMY%2BIPpOWodIEH%2BFsoYn8gOipAYgNi1SDdVcaH2O02Ogv%2FafnXy5VlaR1kwfF4zA%3D%3D&ppt=None&ppn=None&ssid=w9y13o3kxs0000001679480542257,BRUTON ,Combo Pack Of 2 Casual Shoes Slip On Sneakers For Men  (Multicolor),₹359,3.9,41173,4951,this lofer is very nice stylish shoes i am happy this product very nice very nice product and very nice service nice to wear    delivery boy is also a good guy prodect is very good but package is very poor,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/y/4/4/9-n-combo-fitman-red-fitman-blue-9-bruton-multicolor-original-imaggeffzhhuhqmh.jpeg?q=70,3.0834999999999995,0.2716488610358351
48,http://flipkart.com/bruton-modern-trendy-shoes-sneakers-men/p/itm6036f913ec47f?pid=SHOG293HAHJ9HCTE&lid=LSTSHOG293HAHJ9HCTEHEHAPE&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_4&otracker=browse&fm=organic&iid=0c311d22-e8b9-46a0-94c6-d88a99ef262e.SHOG293HAHJ9HCTE.SEARCH&ppt=None&ppn=None&ssid=ilwlklludc0000001679480541085,BRUTON ,"Modern Trendy Shoes Sneakers For Men  (Orange, Grey)",₹229,3.8,46526,4151,i like it great purchase cheap  best products its unbelievable 😍  im giving it 4 stars because of late delivery i will suggest you that if you are going to purchase this product then you are all right note this is not any net shoe its cheap  best product,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/1/i/u/-original-imaggcb7ndjv7fue.jpeg?q=70,3.261,0.2713128398328143
13,https://www.amazon.in/Knoos-Synthetic-Casual-Loafers-Black/dp/B07H95M94G/ref=zg_bs_9780814031_sccl_14/257-0329217-1454160?psc=1,KNOOS,Men's Loafer,₹538,3.7,21181,2849,nice loafers for wearing in a function for colleges and also for parties one of the cool products which is even in a good condition for me to use looks are fantastic good loffer value for money good price is prime factor and also everything is superb liked it value for money worth for money looking good and comfortable as well really a good shoes normal product for daily use only,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71TKCyer+XL._UY500_.jpg,6.6375,0.22986821968629614
