index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
1,https://www.amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_X-Large/dp/B06Y2CH63N/ref=zg_bs_1968120031_sccl_2/257-0329217-1454160?psc=1,Allen Solly,Men's Regular Fit Polo,₹590,4.1,60136,8933,ordered bottle green one  the colour is similar as shown  the packaging of the product is below than average as it came wrapped in plastic bag  moreover the quality of the product is good at this price and the another plus point is the fit is perfect as expected  neither the colour fade after wash nor the quality of the product was compromised  overall its good   this product is value for money best in this price range i ordered two tshirts from same brand but different colour surprisingly both had different packaging\nhowever keeping that aside product quality is great the colour didnt fade during the wash and neither the quality of the cloth was compromised\noverall satisfied very good nice👌👌👌 good average quality first of all i thought that it’s fake allen then got to know that yeah it’s original but the material is bit of cheap quality so yeah according to price point of view it’s okay deal not a great but from my pov if it’s price would be around 450 k then it would be great recommend allen solly products on amazon they are genuine the tshirts i ordered are of good quality and fit perfectly been using them for almost 3 months now and they have not degraded,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71eUwDk8z+L._UY550_.jpg,9.444500000000001,0.7894629647348487
95,http://flipkart.com/tripr-printed-men-hooded-neck-red-t-shirt/p/itm945f2c551636d?pid=TSHG4U95NHNJHV8N&lid=LSTTSHG4U95NHNJHV8NWY9HAG&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_2_55&otracker=browse&fm=organic&iid=21092790-7e41-413e-9573-facd6ed135b7.TSHG4U95NHNJHV8N.SEARCH&ppt=None&ppn=None&ssid=3v9mz9l50w0000001679480076415,TRIPR ,Men Printed Hooded Neck Red T-Shirt,₹279,4.1,93798,8026,best t shirt nice good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/t-shirt/v/h/u/xxl-trdhdfulmask-lion-tripr-original-imagjhhhfhgzgyng.jpeg?q=70,1.4988000000000001,0.3453793541676135
64,http://flipkart.com/blive-graphic-print-men-round-neck-white-t-shirt/p/itm2ebe957b5cd08?pid=TSHGEWHZH3NADJBQ&lid=LSTTSHGEWHZH3NADJBQKWAIZP&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_18&otracker=browse&fm=organic&iid=2ab0b4a3-c077-43b9-9e75-6b60fb27171b.TSHGEWHZH3NADJBQ.SEARCH&ppt=None&ppn=None&ssid=8wi3xv8uwg0000001679480069493,BLIVE ,Men Graphic Print Round Neck White T-Shirt,₹259,3.8,81496,4392,nice product good this product is very good yaar 🥰🥰🤗❤️🦸🙋🏻,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/t-shirt/f/m/k/4xl-bwtrnful-z55-blive-original-imagnjmycmget8h9.jpeg?q=70,2.2689,0.280184995903478
52,http://flipkart.com/ftx-solid-men-round-neck-silver-blue-black-grey-t-shirt/p/itm39275afebb5b2?pid=TSHGEMGVQKQFYMPY&lid=LSTTSHGEMGVQKQFYMPYESG18N&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_3&otracker=browse&fm=organic&iid=2ab0b4a3-c077-43b9-9e75-6b60fb27171b.TSHGEMGVQKQFYMPY.SEARCH&ppt=None&ppn=None&ssid=8wi3xv8uwg0000001679480069493,FTX ,"Pack of 4 Men Solid Round Neck Silver, Blue, Black, Grey T-Shirt",₹449,4.1,60323,5328,good in this price it’s awesome thank you ftx and flipkart team🤗🤗 awesome product,Flipkart,https://rukminim1.flixcart.com/image/832/832/l3j2cnk0/t-shirt/2/w/p/l-723-2-5-7-8-ftx-original-imagemgrpafdug8v.jpeg?q=70,2.7321999999999997,0.2726631502874497
7,https://www.amazon.in/Scott-International-SS20-3RN-BU-GR-CH-L_Navy-Charcoal-Grey_Large/dp/B084L9DK9H/ref=zg_bs_1968120031_sccl_8/257-0329217-1454160?psc=1,Scott International,Men's Regular Fit T-Shirt (Pack of 3),₹523,3.7,36780,4097,definitely worth for money buy one size extra than your requirement to get the proper size shirts a little thick good for winter  i tried many t shirts online there are bad fabrics and there are non standard sizes colour variations in viewing online and realistic but here i dont feel that i lost my money or i got cheated its worth buying for this money i am using this for daily jogging or gym activity these tshirts are good but not very good just because of its clothe quality i would say its not that bad but clothe material is thin so gentle wash is recommended from my side also i ordered 3xl for my father but he then refused to wear them so i thought i should return them but its good that i didnt return these tshirts because now im wearing these and believe me these are very soft and im loving 3xl its loose but very comfortable so whoever looking to buy this item you got my recommendation decision upon you as always overall happy with the purchase quality is good good the clothes quality doesnt mett as i expected good it does the job its just a tshirt nice products for daily uses 👌 😊 👍🏻,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71HBNT3R66L._UX466_.jpg,5.603899999999999,0.26080602632759503
5,https://www.amazon.in/Jockey-2714-0105-WHITE-White-T-Shirt-2714-0105-WHITE_White_M/dp/B012STP7EO/ref=zg_bs_1968120031_sccl_6/257-0329217-1454160?psc=1,Jockey,2714 Men's Super Combed Cotton Rich Solid Round Neck Half Sleeve T-Shirt,₹549,4.3,20263,2734,the tshirts are comfortable cheap good fit nice colours and lasts long has been using for more than a year and have reordered now value for money nice fabric and very comfertable nice t shirt but a bit loose ausome quality and doesnt spoil after wash worth it nice tshirt original product very good material and original jockey t shirt great as always nothing has fit me better nice product from jockey but slightly big in size i have purchased it in 350 rs if you find this t shirt under 500 rs thn it is definitely worth it but size is bigger buy 2 size smaller than yours if you wear xl then for perfect fit buy medium size😊👍,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71DaKKQ93ZL._UY550_.jpg,8.450800000000003,0.22926413273496182
59,http://flipkart.com/blive-printed-men-round-neck-yellow-t-shirt/p/itm578071f5ac354?pid=TSHGBKQG6BKGUPC8&lid=LSTTSHGBKQG6BKGUPC8UFAIES&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_11&otracker=browse&fm=organic&iid=2ab0b4a3-c077-43b9-9e75-6b60fb27171b.TSHGBKQG6BKGUPC8.SEARCH&ppt=None&ppn=None&ssid=8wi3xv8uwg0000001679480069493,BLIVE ,Men Printed Round Neck Yellow T-Shirt,₹199,3.7,71657,5434,very bad😫😫 i like you 🤗 🎽 good quality🤎awesome fitting ✨amazing design for females as well✨,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/t-shirt/s/9/f/l-bylrn-z31-blive-original-imaggcfx6mshgcsp.jpeg?q=70,0.8978999999999999,0.21281186250712386
17,https://www.amazon.in/Jockey-2726-0105-BLACK-Black-T-Shirt-2726-0105-BLACK_Black_M/dp/B00W05Z1L6/ref=zg_bs_1968120031_sccl_18/257-0329217-1454160?psc=1,Jockey,2726 Men's Super Combed Cotton Rich Solid V Neck Half Sleeve T-Shirt,₹549,4.3,15684,2740,this is jockey so always good quality overall good superb quality very comfortable thickness of the material is perfect and breathable stuff packaging was not done properly it didnt come in amazon packet rather in plastic button cover like jockey provide amazon brand should make such mistake comfortable wearing good fit and quality material i bought 1 black t shirt overall very nice extremly comfortable good fitting value for money good nice fitting comfortable t shirt good feel after use,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71sGfOZcpwL._UY550_.jpg,7.802800000000002,0.20336369674800192
2,https://www.amazon.in/Amazon-Brand-Symbol-Mens-AW17MPCP6_L_Pomegranate/dp/B073X4H6BJ/ref=zg_bs_1968120031_sccl_3/257-0329217-1454160?psc=1,Amazon Brand - Symbol,Men's Regular Polo Shirt,₹359,3.9,21424,2827,shirt is so nice material is good\nbut i m so dissapointed due to delivery agent hi is so rude\nnot satisfied good enough cutting one star for not receiving dark green i am 510 and i ordered m size which i found perfectly fit from all angles chest and length i couldnt ask for anything more at this price fabric is fine wrt price i bought it at 369 per piece good quality good looking with good comfort the product is good and exact size need price reduce good fabric and fitting also good but colour faded dont expect muchfor the price range its ok\n\nhavent washed itbut looking at the texture have no more expectations\n\ni purchased black color and it is best vaccum cleaner for dust easily catch the dust\n\nif you are six feet and have little belly go for xl xxl if u are big  good quality product at this price,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71rzKMArJZL._UY550_.jpg,6.658600000000001,0.19516026998884473
0,https://www.amazon.in/Van-Heusen-Solid-Regular-VSKP517S011419_Nautical_X-Large/dp/B076CNJ1YN/ref=zg_bs_1968120031_sccl_1/257-0329217-1454160?psc=1,Van Heusen,Men's Regular Fit Polo Shirt,₹550,4.0,28790,3173,product is good but the problem is size mentioned is totally inaccurate amazing product fitting is good\noverall value for money the product quality is very nice the color is also exactly the same as shown the fitting is also perfect ok quality is good very nice fit its nice product nice tshirt got for 560 but its over sized buy one size small value for money,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ISzvgAl2L._UY550_.jpg,4.6599,0.18629712505903423
