index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
49,http://flipkart.com/aayu-women-fit-flare-multicolor-dress/p/itm96321c7e92316?pid=DREG8K64ZZC9S7UP&lid=LSTDREG8K64ZZC9S7UP8LYKFW&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_10&otracker=browse&fm=organic&iid=e0c9ed8c-9d17-4a74-80e7-cec49a170019.DREG8K64ZZC9S7UP.SEARCH&ppt=None&ppn=None&ssid=ujmwela9cw0000001680018800793,AAYU ,Women Fit and Flare Multicolor Dress,₹399,4.0,145289,18302,amazingvery comfortable this dress looks pretty satisfied with this product perfect 👍😊,Flipkart,https://rukminim1.flixcart.com/image/832/832/kvpklu80/dress/r/3/4/s-aa-0119-mauve-boho-long-dress-aayu-original-imag8k648mcxpeud.jpeg?q=70,2.7163,1.12481994206067
58,http://flipkart.com/micozy-women-a-line-multicolor-dress/p/itm8bf8b675bfc32?pid=DREFEHWMUZ8X3EHD&lid=LSTDREFEHWMUZ8X3EHDY4L2RF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_19&otracker=browse&fm=organic&iid=e0c9ed8c-9d17-4a74-80e7-cec49a170019.DREFEHWMUZ8X3EHD.SEARCH&ppt=None&ppn=None&ssid=ujmwela9cw0000001680018800793,Micozy ,Women A-line Multicolor Dress,₹206,3.9,64826,8216,fabric is good  nice dress👗 very comfortable 🐱🐱😁,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/6/g/d/xl-dr-18-zakar-style-original-imafem2cupdez6qw-bb.jpeg?q=70,1.8313000000000001,0.42533218436917797
79,http://flipkart.com/daevish-women-skater-blue-dress/p/itmacb9f34324a75?pid=DREGB8HRGKATNCY6&lid=LSTDREGB8HRGKATNCY6W7LHC1&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_42&otracker=browse&fm=organic&iid=397cd035-2ed4-4d3f-85e1-45b2cbccb254.DREGB8HRGKATNCY6.SEARCH&ppt=None&ppn=None&ssid=nl9thinxts0000001680018801745,Daevish ,Women Skater Blue Dress,₹349,4.3,32136,4096,its amazing product very pretty dress❤❤ i love this so much ❤❤❤ loved it more than the pic,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/b/u/l/xl-dv226-daevish-original-imagb8hrxnfjmfeh-bb.jpeg?q=70,4.099,0.31577576711875377
67,http://flipkart.com/aask-women-pleated-purple-dress/p/itm0aba061ec23b6?pid=DREG7XT9ZHBPGW7Q&lid=LSTDREG7XT9ZHBPGW7QD8YXNO&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_29&otracker=browse&fm=organic&iid=e0c9ed8c-9d17-4a74-80e7-cec49a170019.DREG7XT9ZHBPGW7Q.SEARCH&ppt=None&ppn=None&ssid=ujmwela9cw0000001680018800793,AASK ,Women Pleated Purple Dress,₹349,4.1,36620,3306,it’s really beautiful 😍 lovly dress awesome dress,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/t/g/w/m-ut-3006-aask-original-imag7xssme44aynm-bb.jpeg?q=70,1.6831,0.21980813352533796
43,http://flipkart.com/daevish-women-maxi-blue-dress/p/itmea2ccc567d5af?pid=DREG8ZFGP3YEUYA2&lid=LSTDREG8ZFGP3YEUYA2DGHGL3&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&spotlightTagId=BestsellerId_clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_4&otracker=browse&fm=organic&iid=e0c9ed8c-9d17-4a74-80e7-cec49a170019.DREG8ZFGP3YEUYA2.SEARCH&ppt=None&ppn=None&ssid=ujmwela9cw0000001680018800793,Daevish ,Women Maxi Blue Dress,₹379,4.2,32181,2733,too good 🤩 lovely 😍️ awesome metrial,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/1/h/g/m-pw333-purshottam-wala-original-imag8zf6ybkmhehy-bb.jpeg?q=70,2.1100000000000003,0.20524167854294142
52,http://flipkart.com/purshottam-wala-women-ethnic-dress-black/p/itmd1036842af9e2?pid=DREG62QVKAJQKCFW&lid=LSTDREG62QVKAJQKCFWOQWTFN&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_13&otracker=browse&fm=organic&iid=e0c9ed8c-9d17-4a74-80e7-cec49a170019.DREG62QVKAJQKCFW.SEARCH&ppt=None&ppn=None&ssid=ujmwela9cw0000001680018800793,Purshottam Wala ,Women Ethnic Dress Black Dress,₹379,4.2,25024,2455,amazing look😍❤️ superb dress 🧡 awsm n comfortable,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/c/6/z/xs-pw320-purshottam-wala-original-imagm5xzsmbf65sv.jpeg?q=70,2.8171,0.1832456286410598
115,https://www.snapdeal.com/product/frionkandy-rayon-grey-a-line/660447366829#bcrumbLabelId:46138790,Frionkandy,Light Grey Rayon Women's A- line Dress ( Pack of 1 ),449,3.9,531,9,veri nice good quality good product light grey gown nice dress my review very good quality good product grey dress,Snapdeal,https://n4.sdlcdn.com/imgs/k/i/m/Frionkandy-Light-Grey-Rayon-Women-SDL043789357-1-6b452.jpg,2.7078,0.12612142401700654
15,https://www.amazon.in/Rare-Synthetic-a-line-Dress-ep3153-xl_Blue_X-Large/dp/B07NTBVB97/ref=zg_bs_15330093031_sccl_16/258-1229559-2740407?psc=1,RARE,Women's Synthetic a-line Knee-Long Dress,₹752,4.0,7963,854,and pattern good nice product 👌👌 product is really good and perfect fitted i like this product but it is to fit size not ok can change size loved it  very comfortable its been 2 years  still looks ew and great comfortable and you will love itjust go true to your size it will surely standout in crowd 😍 nice dress but a bit tight on the chest area due to the stitching it covers my ankle too the neck line is a bit deep super,Amazon,https://m.media-amazon.com/images/I/61SoKnvHn2L._UY550_.jpg,9.0221,0.11008064305193693
60,http://flipkart.com/aayu-women-maxi-black-dress/p/itmf3vcns3yvhrg4?pid=DREFFE74P7YFP9GM&lid=LSTDREFFE74P7YFP9GM0BR7KH&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_21&otracker=browse&fm=organic&iid=e0c9ed8c-9d17-4a74-80e7-cec49a170019.DREFFE74P7YFP9GM.SEARCH&ppt=None&ppn=None&ssid=ujmwela9cw0000001680018800793,AAYU ,Women Maxi Black Dress,₹399,4.2,16395,2307,osm product good quality nice product👍👍👍 amazing,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/l/p/t/l-aa-0108-queen-1-aayu-original-imag3ghz5fkuzc4z-bb.jpeg?q=70,1.4478,0.10847415829671231
91,http://flipkart.com/miss-chase-women-gown-brown-dress/p/itm85ad6422039ef?pid=DREFZFWPYT6CFRMH&lid=LSTDREFZFWPYT6CFRMHVHXHSC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_54&otracker=browse&fm=organic&iid=397cd035-2ed4-4d3f-85e1-45b2cbccb254.DREFZFWPYT6CFRMH.SEARCH&ppt=None&ppn=None&ssid=nl9thinxts0000001680018801745,Miss Chase ,Women Gown Brown Dress,₹934,4.3,10784,1566,very nice dress love it just i love it 😍👌🏻 i am happy with this product,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/k/z/r/l-mcaw19d08-57-217-miss-chase-original-imafz2ftwd7j8ghy-bb.jpeg?q=70,3.1127,0.09857876820270901
