index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
133,https://www.snapdeal.com/product/dk-life-style-blue-rayon/661231434953,dk life style,Blue Rayon Women's Straight Kurti ( Pack of 1 ),489,4.1,1689,66,i like this kurthi🥰🥰 amazing product at amazing price loved it superb quality super good beautiful excellent good 👍 nice quality quality,Snapdeal,https://n2.sdlcdn.com/imgs/k/k/t/dk-life-style-Blue-Rayon-SDL265103922-1-cba37.jpg,6.769600000000001,1.4922734966600368
32,https://www.amazon.in/GoSriKi-straight-Checkered-DISINI-MULTI_XL_/dp/B08DD24M1Y/ref=zg_bs_1968255031_sccl_33/257-0329217-1454160?psc=1,GoSriKi,Women's Cotton Straight Kurta with Pant,₹449,3.7,39741,4512,nice one thank you ❤️ 🥀 gosriki really nice dress fitting good only color of pant looks fade otherwise good its beautiful kurti is good but pajma is not up to the mark stiches are not that good for pajma i have bought palazo for that kurti good price worthy quality of the cloth is very good minus 1 star for color mismatch the product display has a lighter shade than the original one gosriki team please work on this other than that there are no flaws i will buy again from this vendor ok color little bit dark in this range its good deal to buy this beautiful piece 😍 very comfortable and classy 👌,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51oE5MBmb9L._UY550_.jpg,8.702100000000002,1.3686338365623634
116,https://www.snapdeal.com/product/rangrasiya-rust-cotton-front-slit/634657960563,Rangrasiya,Yellow Cotton Women's Front Slit Kurti ( Pack of 1 ),364,4.0,1728,44,evening is perfect no complane quality must buy it nice cloth great deal good quality views rangrasiya kurti very nice good quality supper value for money,Snapdeal,https://n4.sdlcdn.com/imgs/k/e/9/Rangrasiya-Front-Slit-100-Cotton-SDL327920664-1-62616.jpg,2.9646,1.1001371745790514
45,http://flipkart.com/surhi-women-printed-straight-kurta/p/itmaa88ce2ef26d2?pid=KTAGY2BGUGH9W2W3&lid=LSTKTAGY2BGUGH9W2W3AIZMA4&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_13&otracker=browse&fm=organic&iid=258f973f-c156-4807-bc96-cb33709c6d1b.KTAGY2BGUGH9W2W3.SEARCH&ppt=None&ppn=None&ssid=hwuwew0xv40000001679480808423,Surhi ,Women Printed Pure Cotton Straight Kurta  (White),₹299,3.9,54960,5654,goodproduct😊😊😊 good quality product fully satisfied😍 love it  nyc  go for it 😇,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/h/6/v/xl-sa19kr328w-surhi-original-imafpf3cqbzkxuhz-bb.jpeg?q=70,3.1881000000000004,1.027357044831265
126,https://www.snapdeal.com/product/tissu-pink-rayon-aline-kurti/680520774110,Tissu,Pink Rayon Women's Flared Kurti ( Pack of 1 ),725,4.1,868,31,very good  product tissue pink rayon aline kurti happy with product amazing print and fabric  is too soothing😇 i like  colour and clothe good quality nice deal super cool product great deal benefits,Snapdeal,https://n1.sdlcdn.com/imgs/k/h/t/Tissu-Pink-Rayon-Women-s-SDL685120226-1-2591d.jpg,5.3942000000000005,0.6899052976315908
57,http://flipkart.com/lee-moda-women-floral-print-anarkali-kurta/p/itm5c8e051011e75?pid=KTAGY39KXEXXNJGR&lid=LSTKTAGY39KXEXXNJGRMB5ZBR&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_34&otracker=browse&fm=organic&iid=258f973f-c156-4807-bc96-cb33709c6d1b.KTAGY39KXEXXNJGR.SEARCH&ppt=None&ppn=None&ssid=hwuwew0xv40000001679480808423,Lee Moda ,Women Floral Print Viscose Rayon Anarkali Kurta  (Blue),₹623,4.3,30304,4100,its really amazing really very nice product awesome product i just love it🥰  pls buy ittq soo much flipkart,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/3/n/y/s-4053-lee-moda-original-imag84eargmp3hmf-bb.jpeg?q=70,3.1538,0.6732418299252247
132,https://www.snapdeal.com/product/rangrasiya-green-cotton-anarkali-kurti-/670608099057,Rangrasiya,Blue Cotton Women's Flared Kurti ( Pack of 1 ),444,4.2,854,34,rangrasiya kurti awesome kurti review beautiful exchange facility is super very good product nice cloth material amruta adhav fabric quality l👌 blue cotton kurti,Snapdeal,https://n4.sdlcdn.com/imgs/k/j/w/Rangrasiya-Blue-Cotton-Women-s-SDL510110000-1-2e32d.jpg,3.5311,0.6355099881034806
94,https://www.snapdeal.com/product/rangrasiya-multicoloured-cotton-blend-straight/647860056925#bcrumbLabelId:178,Rangrasiya,Multicolor Cotton Blend Women's Straight Kurti ( Pack of 1 ),364,4.1,914,26,rangrasiya good 👍 that kurti was looking good in this budget excellent rang rasi ya multicolour  cotton blend kurti for women nice products excellent product lovable one kurti quality and great deal,Snapdeal,https://n1.sdlcdn.com/imgs/k/e/9/Rangrasiya-Straight-Cotton-Blend-Multicolor-SDL471852869-1-1c19d.jpg,3.6834,0.6273584313663755
104,https://www.snapdeal.com/product/rangrasiya-pink-cotton-front-slit/622974526903,Rangrasiya,Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),364,4.0,1140,30,,Snapdeal,https://n4.sdlcdn.com/imgs/k/e/9/Rangrasiya-Front-Slit-100-Cotton-SDL724833208-1-50a1f.jpg,0.0,0.6195904724377352
112,https://www.snapdeal.com/product/rang-rup-grey-cotton-blend/664926788687,RANG RUP,Grey Cotton Blend Women's Straight Kurti ( Pack of 1 ),419,4.1,1110,39,,Snapdeal,https://n1.sdlcdn.com/imgs/k/e/9/RANG-RUP-Straight-Cotton-Blend-SDL305582114-1-ed4c1.jpg,0.0,0.6183675965052924
