index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
2,https://www.amazon.in/crocs-Womens-Swiftwater-Fashion-203998-066/dp/B01H70LQS0/ref=zg_bs_1983633031_sccl_3/258-1229559-2740407?psc=1,crocs,girls Swiftwater Sandal W Outdoor Sandals,"₹1,527",4.1,31824,6625,very comfortable wear heal shorter than expected liked the product as its very comfortable to wear the product was bought for me during pregnancyit was easy to wear but was not very confident to wear but it differs for people because my mum loved this product and she was comfortable wearing it for outdoor its perfect order 6 if your size is 7 very comfortable and good looking it looks very pretty color is nice but there was no choice of colors also we ordered a size too large and had to return had it been correct size we wud have kept packing is blah n size n fit is too loose good looking got it  1499 quality product though expensive as many good quality flip flops available at much cheaper price however crocs swiftwater has its own elegance quality is good but quite expensive similar cheaper options available good one,Amazon,https://m.media-amazon.com/images/I/71vqVxTotbL._UX500_.jpg,7.467900000000003,1.487373993029288
5,https://www.amazon.in/crocs-White-Fashion-Sandals-206756-100/dp/B0888S467Z/ref=zg_bs_1983633031_sccl_6/258-1229559-2740407?psc=1,crocs,womens Kadee Sandal,"₹1,040",3.9,11311,1722,i like it very comfortable comfortable and good for outing to use roughly value for money colour matches with most dress above all its very comfortable very comfortable and easy to wear all weather footwear value for money and they last for a long time if maintained well i disliked the colour as i could not get black which was out of stock  i have been using crocs for sometime now the same pair i bought on amazon and have been very happy with my purchase\nthis one i purchased as a birthday gift for my sister on her 12th birthday although it is a tad bit big for her but i guess over the months as she grows it would be perfect for her\nit was very comfortable and she loved the design and feel of wearing them material quality is good and looks like it would last her a very long time look 25\nanti skid feature 55\nfit 45\nprice is too high as compared to the actual product original crocs very comfortable,Amazon,https://m.media-amazon.com/images/I/612Qtij0XML._UY500_.jpg,8.3382,0.4476251976212157
48,http://flipkart.com/footsoul-women-brown-flats/p/itmf3xff9v29cees?pid=SNDFFHQ2YDCXZPTQ&lid=LSTSNDFFHQ2YDCXZPTQCQ6PXT&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_9&otracker=browse&fm=organic&iid=25d08c2b-116b-437e-b7d7-13c9411da35f.SNDFFHQ2YDCXZPTQ.SEARCH&ppt=None&ppn=None&ssid=7c2xuwjlxc0000001680019115979,Footsoul ,Women Brown Flats Sandal,₹449,4.1,30144,3453,very soft and comfort to use 👍 smooth and nice product satisfied with the product  delivered on time,Flipkart,https://rukminim1.flixcart.com/image/832/832/ktyp8cw0/sandal/c/g/g/5-fsl-167-166-05-38-footsoul-brown-original-imaffhzunynmzu4f.jpeg?q=70,1.2042,0.4128910815438881
73,http://flipkart.com/denill-women-brown-heels/p/itmab3b17427e400?pid=SNDFGH9DCDPDUPQK&lid=LSTSNDFGH9DCDPDUPQKZ94IR7&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_34&otracker=browse&fm=organic&iid=25d08c2b-116b-437e-b7d7-13c9411da35f.SNDFGH9DCDPDUPQK.SEARCH&ppt=None&ppn=None&ssid=7c2xuwjlxc0000001680019115979,Denill ,Women Brown Heels Sandal,₹599,4.1,19826,2735,best i really like it tq so much flip card 😋💯 brilliant,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/v/0/z/-original-imaghvb9sk7yzdhd.jpeg?q=70,1.584,0.3088173564633314
42,http://flipkart.com/paduki-women-grey-flats/p/itmc739c3b40c022?pid=SNDFWBZUU3SGGJQV&lid=LSTSNDFWBZUU3SGGJQVBXVKQV&marketplace=FLIPKART&store=osp%2Fiko&spotlightTagId=BestsellerId_osp%2Fiko&srno=b_1_3&otracker=browse&fm=organic&iid=25d08c2b-116b-437e-b7d7-13c9411da35f.SNDFWBZUU3SGGJQV.SEARCH&ppt=None&ppn=None&ssid=7c2xuwjlxc0000001680019115979,Paduki ,Women Grey Flats Sandal,₹299,4.0,20126,1383,beautiful product super nice and comfortable ☺️☺️,Flipkart,https://rukminim1.flixcart.com/image/832/832/l5h2xe80/sandal/y/8/p/-original-imagg58fpacvuurg.jpeg?q=70,2.8493,0.297682668024754
104,https://www.snapdeal.com/product/inblu-red-flats/649541726508#bcrumbLabelId:264,Inblu Red Fla,Inblu Red Flats,379,4.2,395,15,quality achhi h escellent good👍 good delivery guy nice product  services wow wow wow very good product of inbluusing since 10 years quality great deal sleeper,Snapdeal,https://n2.sdlcdn.com/imgs/i/6/9/Inblu-Red-Flats-SDL942600420-1-0df0e.jpg,4.1253,0.284190464504956
69,http://flipkart.com/picktoes-women-pink-heels/p/itm0707d0abb900a?pid=SNDG5SSBZFU7KGEH&lid=LSTSNDG5SSBZFU7KGEHLCHVIZ&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_30&otracker=browse&fm=organic&iid=25d08c2b-116b-437e-b7d7-13c9411da35f.SNDG5SSBZFU7KGEH.SEARCH&ppt=None&ppn=None&ssid=7c2xuwjlxc0000001680019115979,Picktoes ,Women Pink Heels Sandal,₹479,4.2,13575,1193,nice and super comfortable perfect 😁❤ very comfortable ❤️❤️and quality  colour are very good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/w/q/m/-original-imagg6y5cegch2zs-bb.jpeg?q=70,3.8564000000000003,0.25303612537469045
79,http://flipkart.com/picktoes-women-white-flats/p/itmd12406e9f3a54?pid=SNDG2ZGWKXHQCJNU&lid=LSTSNDG2ZGWKXHQCJNUEMB5A1&marketplace=FLIPKART&store=osp%2Fiko&srno=b_2_41&otracker=browse&fm=organic&iid=f5fcd0bd-d477-4242-a189-0e5d1279be95.SNDG2ZGWKXHQCJNU.SEARCH&ppt=None&ppn=None&ssid=uspv1s5s9c0000001680019116685,Picktoes ,Women White Flats Sandal,₹449,4.0,11122,965,nice product 😍 i like it 😍😍 nice sandleperfect sizeaswm feeting amazing flat its very comfortable and colour is nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/l5h2xe80/sandal/a/m/i/-original-imagg58frj9sjkkp.jpeg?q=70,3.8994000000000004,0.20147688314151008
56,http://flipkart.com/denill-women-pink-wedges/p/itmfdj2uqxkkxmvq?pid=SNDF3XT5NHNJHHD9&lid=LSTSNDF3XT5NHNJHHD96JJM92&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_17&otracker=browse&fm=organic&iid=25d08c2b-116b-437e-b7d7-13c9411da35f.SNDF3XT5NHNJHHD9.SEARCH&ppt=None&ppn=None&ssid=7c2xuwjlxc0000001680019115979,Denill ,Women Pink Wedges Sandal,₹449,4.0,13459,1366,nice product superb quality nice product nice sandals go for it,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/8/i/p/-original-imaggkk3bczzgx4n.jpeg?q=70,1.8894,0.19780519635366034
46,http://flipkart.com/vendoz-women-off-white-flats/p/itmf9306c383b72c?pid=SNDFKYBY6XKQZ8HH&lid=LSTSNDFKYBY6XKQZ8HHQWM5TA&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_7&otracker=browse&fm=organic&iid=25d08c2b-116b-437e-b7d7-13c9411da35f.SNDFKYBY6XKQZ8HH.SEARCH&ppt=None&ppn=None&ssid=7c2xuwjlxc0000001680019115979,VENDOZ ,Women Off White Flats Sandal,₹499,4.0,13466,1517,love it its really good flat sandle easy to wear i used it for my all hilly area journy really worth it lil bit loose but no issues good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sandal/t/v/v/vdfl35-41-belletona-cream-original-imafkyg4hauxg4wk-bb.jpeg?q=70,1.5701999999999998,0.19323739644515373
