index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
80,http://flipkart.com/vj-fashion-self-design-bollywood-cotton-blend-saree/p/itmcf6f12354d4ac?pid=SARF9GFGK39PZYBQ&lid=LSTSARF9GFGK39PZYBQEUZKLN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_43&otracker=browse&fm=organic&iid=beb315cd-c1ea-422a-854b-6ee3c5d3a262.SARF9GFGK39PZYBQ.SEARCH&ppt=None&ppn=None&ssid=p7rgmmjbi80000001679480884502,VJ FASHION ,Self Design Bollywood Cotton Blend Saree  (Mustard),₹287,3.9,54335,5877,we bought this saree for special occasions nd it eas nice nd light weightgood product at this price feel good 👍 i really like this sareetq flipkart😍😍 super one 👌best products 🥰🥰🥰🥰,Flipkart,https://rukminim1.flixcart.com/image/832/832/k3xcdjk0pkrrdj/sari/c/8/z/free-mustard-vjs1137-1-v-j-fashion-vjs1137-1-original-imafn2uqd7pyggy4.jpeg?q=70,4.3731,0.5337252690012828
49,http://flipkart.com/jsitaliya-self-design-embroidered-bollywood-net-saree/p/itm6e245e4dc7154?pid=SARF94M8YSGEKGKR&lid=LSTSARF94M8YSGEKGKRMQTQ3J&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_12&otracker=browse&fm=organic&iid=en_aUNNhGgRyQYBTeC3Hc3bDAkANPKX48%2FjWXzwfk5o%2F6W8LAudQQsjoyexCeW5ogcw61UOoy23uLUsz1uhUOUdaw%3D%3D&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,JSItaliya ,"Self Design, Embroidered Bollywood Net Saree  (White)",₹345,4.1,53849,7475,osm sari i cant explain  about this beautiful work odrable wonderful i am sooo happy nic saree thnku soo much flipkart😘😍 very nice saree,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sari/x/g/i/free-fl-1199-jsitaliya-unstitched-original-imagc4q5csjac5bq-bb.jpeg?q=70,2.8649999999999998,0.49459387767115814
123,https://www.snapdeal.com/product/sherine-yellow-georgette-saree/674527363414,Anand Sarees,Yellow Georgette Saree With Blouse Piece (Pack of 1),344,3.9,2242,47,,Snapdeal,https://n1.sdlcdn.com/imgs/k/h/p/Sherine-Yellow-Georgette-Saree-With-SDL411665078-1-17dc4.jpg,0.0,0.49305066854327934
75,http://flipkart.com/krishna-r-fashion-woven-bollywood-jacquard-saree/p/itmed42935fab950?pid=SARFPHNZZ5KVFJZY&lid=LSTSARFPHNZZ5KVFJZYB532EU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_38&otracker=browse&fm=organic&iid=b77640b9-2934-429a-bfae-a57c3a90c82c.SARFPHNZZ5KVFJZY.SEARCH&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,Krishna R fashion ,"Woven Bollywood Jacquard Saree  (Pink, Cream)",₹396,4.0,47771,4548,good quality material is tooo good❤ everything is wow😍🤩❤ so nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/k7c88sw0/sari/j/z/y/free-ladli-krishna-r-fashion-original-imafphxuxmkutnt8.jpeg?q=70,2.5584000000000002,0.34893960437975463
97,http://flipkart.com/villagius-striped-maheshwari-cotton-silk-saree/p/itm809becb51aae7?pid=SARGHFPAD2ZHQGYE&lid=LSTSARGHFPAD2ZHQGYERUAEFA&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_60&otracker=browse&fm=organic&iid=en_8f9RSHenQrA1W0AQlvs3%2Bipe4qBZuUMCF47Kb0pyAQYWiqXORGCd9QvQC81k8NbmiWxH5tdMi3H6SkG8fuhcTg%3D%3D&ppt=None&ppn=None&ssid=p7rgmmjbi80000001679480884502,VILLAGIUS ,"Striped Maheshwari Cotton Silk Saree  (Light Blue, Pink)",₹418,4.0,40654,3517,super sach a beautiful saree ♥️ super nice collection,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sari/o/z/p/free-n260aw-skypink-villagius-unstitched-original-imaghfpa3kay6qvu.jpeg?q=70,2.8566000000000003,0.29861176189232475
48,http://flipkart.com/rhey-printed-bollywood-chiffon-saree/p/itma4a786a8f5960?pid=SARFSS4HDBSNR2RH&lid=LSTSARFSS4HDBSNR2RHQF8ZKZ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_11&otracker=browse&fm=organic&iid=b77640b9-2934-429a-bfae-a57c3a90c82c.SARFSS4HDBSNR2RH.SEARCH&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,RHEY ,Printed Bollywood Chiffon Saree  (Black),₹283,4.0,38016,2664,amezing nice products nice saree  i am happy with my product ❤️❤️🥰,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sari/2/r/h/free-box04bn-rhey-unstitched-original-imafssh49zejvhpx-bb.jpeg?q=70,2.2222999999999997,0.23938815132720254
60,http://flipkart.com/patlani-style-embroidered-bollywood-net-saree/p/itm6434b4d1d0d2f?pid=SARFSA6VJW8YBV9Y&lid=LSTSARFSA6VJW8YBV9YAEJJDU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_23&otracker=browse&fm=organic&iid=b77640b9-2934-429a-bfae-a57c3a90c82c.SARFSA6VJW8YBV9Y.SEARCH&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,PATLANI STYLE ,Embroidered Bollywood Net Saree  (Brown),₹323,4.0,35190,3242,beautiful saree excellent saree 👍 very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sari/i/t/a/free-n-gulzar-coffe-patlani-style-unstitched-original-imag6zf2js6xdp2a.jpeg?q=70,1.5928,0.2179657835552699
51,http://flipkart.com/ejoty-fashion-floral-print-bollywood-lycra-blend-saree/p/itm2b3defcf467f6?pid=SARFZP5YSGHHMQNG&lid=LSTSARFZP5YSGHHMQNGG2O1K9&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_14&otracker=browse&fm=organic&iid=b77640b9-2934-429a-bfae-a57c3a90c82c.SARFZP5YSGHHMQNG.SEARCH&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,Ejoty Fashion ,Floral Print Bollywood Lycra Blend Saree  (Black),₹285,3.9,21356,1847,nice thanks 😌😍 filipkart thank you so much thanks for this product flipkart very nice product we like this product  and best quality product i am very happy and love this saari ❤️😍😍😍,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/sari/w/5/n/free-pattu-saree-ejoty-fashion-unstitched-original-imag4abzywzyk5ry-bb.jpeg?q=70,5.812900000000001,0.2170587216379984
66,http://flipkart.com/shaibo-saree-checkered-daily-wear-cotton-silk/p/itm75d23e84b027f?pid=SARFPFQ2XDHXDDUZ&lid=LSTSARFPFQ2XDHXDDUZTBAQFN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_29&otracker=browse&fm=organic&iid=b77640b9-2934-429a-bfae-a57c3a90c82c.SARFPFQ2XDHXDDUZ.SEARCH&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,Shaibo saree ,Checkered Daily Wear Cotton Silk Saree  (Multicolor),₹299,4.0,29599,2692,awsm saree awesome 🥰 am so happy i love this saree,Flipkart,https://rukminim1.flixcart.com/image/832/832/kn97te80/sari/l/d/n/free-1068-k-shaibo-saree-unstitched-original-imagfz7jpaquwduy.jpeg?q=70,2.6411,0.21506138259993943
46,http://flipkart.com/anand-sarees-printed-striped-daily-wear-georgette-saree/p/itmbb9c305b2ccd1?pid=SARG9S7GHF7YJCTC&lid=LSTSARG9S7GHF7YJCTCSKEC9N&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_9&otracker=browse&fm=organic&iid=b77640b9-2934-429a-bfae-a57c3a90c82c.SARG9S7GHF7YJCTC.SEARCH&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,Anand Sarees ,"Printed, Striped Daily Wear Georgette Saree  (White, Black)",₹273,3.8,24802,2128,its look so amazing awesome❤ more better than expectation 😍 nice quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/kxaq7ww0/sari/o/k/q/free-grey-1692-6-kashvi-sarees-unstitched-original-imag9s7ggsjw2gcn.jpeg?q=70,2.7585,0.17360964933913595
65,http://flipkart.com/sareeopera-woven-bollywood-cotton-blend-saree/p/itm4e1d4b1448d3a?pid=SARFE8QEA3GHWS6B&lid=LSTSARFE8QEA3GHWS6B1YWXMW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_28&otracker=browse&fm=organic&iid=en_aUNNhGgRyQYBTeC3Hc3bDAkANPKX48%2FjWXzwfk5o%2F6W7qvjF%2BcLrjCyxm%2BEqrz3oX99nEEKgsT0EfAh6Qeo7jA%3D%3D&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,SareeOpera ,Woven Bollywood Cotton Blend Saree  (Black),₹266,3.9,24287,2269,its beautiful saree nice 😍😍😍😍😍 nice according to the price,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shopsy-sari/j/s/u/free-s-black-patta-tejas-textiles-unstitched-original-imagggzcchw4zvgg.jpeg?q=70,2.3749000000000002,0.16862032969832835
44,http://flipkart.com/samah-printed-geometric-print-embellished-bhagalpuri-silk-blend-cotton-saree/p/itme7215e210e80b?pid=SARGFGQ7GGNAWSRF&lid=LSTSARGFGQ7GGNAWSRFTIZIH3&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_7&otracker=browse&fm=organic&iid=b77640b9-2934-429a-bfae-a57c3a90c82c.SARGFGQ7GGNAWSRF.SEARCH&ppt=None&ppn=None&ssid=p7rmstsnvk0000001679480883118,Samah ,"Printed, Geometric Print, Embellished Bhagalpuri Silk Blend, Cotton Silk Saree  (Green, Pink)",₹275,3.7,28192,2130,very awesome color combination is good thanks flipkart nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/l4ln8nk0/sari/p/2/u/free-2535s934-samah-unstitched-original-imagfgq7pc2mc4vz.jpeg?q=70,1.9272,0.16471492881211366
