index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
41,http://flipkart.com/base-41-solid-women-round-neck-red-t-shirt/p/itmf1d3845211aad?pid=TSHFZPBQCZWEBZNN&lid=LSTTSHFZPBQCZWEBZNNAVKJPM&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_4&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.TSHFZPBQCZWEBZNN.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,BASE 41 ,Women Solid Round Neck Red T-Shirt,₹249,4.0,45366,4984,awesome top its too good😍🤗🤗🤗🤗 its very nice product,Flipkart,https://rukminim1.flixcart.com/image/832/832/ktd9mkw0/t-shirt/q/h/j/l-necktop-red-base-41-original-imag6qdhgygmybkh.jpeg?q=70,2.1929,0.6114536017762133
94,http://flipkart.com/young-trendz-solid-women-round-neck-white-black-t-shirt/p/itm782cfe29db680?pid=TSHFTGDEYCNWZ62W&lid=LSTTSHFTGDEYCNWZ62W7AKCJT&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_59&otracker=browse&fm=organic&iid=d93eecbe-d51a-4c9e-8198-c9eb13aedf80.TSHFTGDEYCNWZ62W.SEARCH&ppt=None&ppn=None&ssid=gjlutjhq740000001680019707029,Young trendz ,"Pack of 2 Women Solid Round Neck White, Black T-Shirt",₹396,4.1,21651,1827,nice product this top is awesome an fabric is very good nyc i love it🤩❤🥰thank you flipkart 😘😘 🤩😘🥰🥰❤❤,Flipkart,https://rukminim1.flixcart.com/image/832/832/ky1vl3k0/t-shirt/f/u/6/m-2co-w-regular-must-blk-young-trendz-original-imagadhfgte57e67.jpeg?q=70,4.7882,0.37198553146106483
52,http://flipkart.com/popwings-casual-bell-sleeve-printed-women-yellow-top/p/itm2d5c49e86b663?pid=TOPFBSSGMHTVHZPF&lid=LSTTOPFBSSGMHTVHZPFAFCRUJ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_15&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.TOPFBSSGMHTVHZPF.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,POPWINGS ,Casual Bell Sleeves Printed Women Yellow Top,₹299,3.9,15870,2220,very nice quality 🥰 love it💛💚💙💜❤️💛 its fabulous top good quality as well as fitting its look more prettier then in picture,Flipkart,https://rukminim1.flixcart.com/image/832/832/krqoknk0/top/i/z/r/xxl-p-popt00051-popwings-original-imag5gpuw5xsy5nr.jpeg?q=70,4.757000000000001,0.35493326709744577
40,http://flipkart.com/funday-fashion-women-solid-casual-black-shirt/p/itm3ce805ff67fed?pid=SHTFCXYZAVNGV3FF&lid=LSTSHTFCXYZAVNGV3FFEGWDNR&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_3&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.SHTFCXYZAVNGV3FF.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,FUNDAY FASHION ,Women Regular Fit Solid Spread Collar Casual Shirt,₹279,3.9,21880,2164,extremely great fabric 😍love it❤️ i loved it 🥰 awesome shirt go  4 it,Flipkart,https://rukminim1.flixcart.com/image/832/832/kflftzk0hlty2aw-0/shirt/m/8/j/s-1-sys-4001-funday-fashion-original-imafw7ks3kkvqzpy.jpeg?q=70,3.1154,0.3218569035902943
47,http://flipkart.com/fab-star-casual-3-4-sleeve-solid-women-pink-top/p/itm37cd1a6030668?pid=TOPFZNZY5UZAQ5K2&lid=LSTTOPFZNZY5UZAQ5K2IP7RUN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_10&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.TOPFZNZY5UZAQ5K2.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,Fab Star ,Casual Regular Sleeves Solid Women Pink Top,₹377,4.1,25627,2272,its good product really osm🥰😊 fabulous,Flipkart,https://rukminim1.flixcart.com/image/832/832/klphn680/top/n/5/x/xl-regular-top-fab-star-original-imagyry2geb5ztzq.jpeg?q=70,1.8902,0.31047148635409283
74,http://flipkart.com/girls-shoppie-solid-women-round-neck-pink-t-shirt/p/itm95fd14537faa1?pid=TSHG3DF7GHBYZ6ZQ&lid=LSTTSHG3DF7GHBYZ6ZQDH40DI&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_37&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.TSHG3DF7GHBYZ6ZQ.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,GIRLS SHOPPIE ,Women Solid Round Neck Pink T-Shirt,₹279,4.0,22252,1916,in love with this tshirt😍❤️ i loved it super quality 👍👍,Flipkart,https://rukminim1.flixcart.com/image/832/832/kq43iq80/top/d/h/s/xs-upt-try-this-original-imag46vymjsvgun8.jpeg?q=70,2.2945,0.27925248972438926
59,http://flipkart.com/dl-fashion-casual-solid-women-purple-top/p/itm8cc2f7011695b?pid=TOPGGF53YYHPZTQH&lid=LSTTOPGGF53YYHPZTQHKC2UA1&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_22&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.TOPGGF53YYHPZTQH.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,DL Fashion ,Casual Puff Sleeves Solid Women Purple Top,₹279,4.0,22118,2201,good good quality 😊 nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/top/s/n/l/xxl-0013-top-dl-fashion-original-imaggf53g4fwqhye.jpeg?q=70,2.0207,0.27923700350036085
51,http://flipkart.com/viral-trend-printed-women-round-neck-light-green-t-shirt/p/itmc58ce009206e8?pid=TSHG2GY8SGWYZ38Z&lid=LSTTSHG2GY8SGWYZ38ZM9VBNN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_14&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.TSHG2GY8SGWYZ38Z.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,Viral Trend ,Women Printed Round Neck Light Green T-Shirt,₹272,4.3,19204,1924,i love this t shirt comfortable fabric is soft overall product is great,Flipkart,https://rukminim1.flixcart.com/image/832/832/knunf680/t-shirt/u/c/f/s-crp-nvr-viral-trend-original-imag2gy84dsejzax.jpeg?q=70,1.7724,0.24475429517042568
11,https://www.amazon.in/OOMPH-Womens-Crepe-Tank-Top/dp/B07HGBFSC7/ref=zg_bs_1968444031_sccl_12/258-1229559-2740407?psc=1,OOMPH!,Women's Crepe Tank Top - Scarlet Red,₹199,3.4,7411,1263,good little sheer but ok quality is good but size is little bit low and product is slightly different from that of product shown in image nice and looks great too light  comfortable nice product worth for money and so comfortable a simple tops quality is not good quality is not up to the price not too bad and not too great either dress material is not good alsobut the dress looking nice good and comfortable,Amazon,https://m.media-amazon.com/images/I/81VkRfni1ML._UX522_.jpg,6.465500000000001,0.22733330901560375
56,http://flipkart.com/popwings-casual-solid-women-beige-top/p/itm05e6f18dcb01a?pid=TOPG6442CAJZYBFY&lid=LSTTOPG6442CAJZYBFYAHMQFR&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_19&otracker=browse&fm=organic&iid=061cc1d2-4d68-4921-a835-390ea05c313c.TOPG6442CAJZYBFY.SEARCH&ppt=None&ppn=None&ssid=xds1sie8e80000001680019706144,POPWINGS ,Casual Regular Sleeves Solid Women Beige Top,₹299,4.1,13790,1244,excellent 👌 good tshirt superb quality,Flipkart,https://rukminim1.flixcart.com/image/832/832/kskotjk0/top/p/x/v/l-p-popt00946-popwings-original-imag6442ax2xreug.jpeg?q=70,2.3669000000000002,0.1806381017371116
