index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
21,https://www.amazon.in/crocs-Unisex-Adult-Classic-Color/dp/B09GHHM49D/ref=zg_bs_9780815031_sccl_22/257-0329217-1454160?psc=1,crocs,Unisex-Adult Classic Clog,"₹1,496",4.3,67384,8294,good gorgeous colour exactly what i wanted beautifully made and packed arrived before scheduled time loved them i brought it for just rs 1495 during the offer usually it costs around 2495 its worth buying it very comfortable to wearfully satisfied instead of buying new footwears every monthbuy this once and it will last till 3 4 yrs buy it order one size smaller than normal if you generally order uk8 order us8uk7 here this was a bit too big great comfort and amazing durability worth the money it is good quality product worthy nice one the comfort is on next level and i have never felt this comfort in any other clogs that i have worn so far i got it for 1200 during festive sale\nalways order one size smaller than your actual size in crocs i ordered m6w8 crocs size as my actual uk size is 6uk and 25 cm whereas in crocs if you order uk6 it will be actual uk7 ie crocs scale m7w9 hence refer m6 or the letter m as your uk number also refer the size chart in cms\nalways buy crocs from cocoblu retail only as they provide genuine crocs product which i have observed so far\ni had ordered the same pair on flipkart and got a fake one\n\nthe stucco color is same like the yeezy foam runner bone color\noverall the most satisfying purchase so far go for it blindly even if you get it for 1400 or 1500 nice,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61P63Csd8mL._UX500_.jpg,8.210300000000002,2.3421363866988893
36,https://www.amazon.in/crocs-204592-0DD-LiteRide-Clog/dp/B0B5XCDFVJ/ref=zg_bs_9780815031_sccl_37/257-0329217-1454160?psc=1,crocs,Unisex-Adult LiteRide Clog,"₹2,445",4.0,29450,5208,crocs are the best i’ve used them for more than two years now and i must say that these are the best if there was no problem i would have worn them at my work place or parties\nbut i am very disappointed with amazon because i ordered a 8uk size but they have sent me a 9 and now 8 is unavailable great not upto the mark but ok for rough use  crocs literide\ni love this product very much and this fit also so cool and crocs was fabulous 😍 finally satisfied product raised warranty claim with crocs and they informed me that instead of replacement they will provide crocs coupon for purchase value i will update unp the receipt of coupon absolutely perfect good fit and worth buy i was a little worried i won’t get em right as there were no reviews but i took the shot also for those who wants to know the size it’s m10 and it’s mentioned in the comparison only that’s what made it hard to know the size superior quality as always feels nice this is my 2nd time first one lasted for more than 5 years this product was completely disgusting brocken mrom upper side and lower side not durable,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6159+fkn0BL._UX500_.jpg,5.011500000000001,0.9159716335943207
91,http://flipkart.com/asian-barfi-02-grey-casual-sneakers-ladies-sports-shoes-women-without-laces-running-girls-stylish-latest-design-new-fashion-slip-black-jogging-walking-gym-party-walking/p/itme5c5e3b92dd90?pid=SHOFKUCN7PZKFRXW&lid=LSTSHOFKUCN7PZKFRXWPT6VYO&marketplace=FLIPKART&store=osp%2Fiko&srno=b_2_54&otracker=browse&fm=organic&iid=bf4c57e6-29e5-4812-8263-55b3f3c7ea64.SHOFKUCN7PZKFRXW.SEARCH&ppt=None&ppn=None&ssid=iqo2gqb1xs0000001679481120822,asian ,"Barfi-02 Grey Casual sneakers for ladies | sports shoes for women without laces | Running shoes for girls stylish latest design new fashion | Slip on black shoes for jogging, walking, gym & party Walking Shoes For Women  (Grey)",₹337,4.0,41619,4636,very nice  comfartable very nice product nice casuals vry comfortable i liked it 😍😍,Flipkart,https://rukminim1.flixcart.com/image/832/832/k186fm80/shoe/4/9/9/barfi-02cgrey-5-asian-grey-original-imafkufkwjcgbttj.jpeg?q=70,2.915,0.7601506076420887
5,https://www.amazon.in/Sparx-Women-SL-123-Sports-Shoes/dp/B07KF79XQQ/ref=zg_bs_9780815031_sccl_6/257-0329217-1454160?psc=1,Sparx,Womens Sx0123l Walking Shoes,₹764,4.3,14677,1949,the shoes are very light in weight fits good looks cool  good very comfortable and easy to maintain i am happy with this purchase comfortable and value for money perfect fit very soft and comfortable looks good for my feet i was recovering from an ankle fracture and was walking on crutches\ni found this shoes very comfortable\ncheck your size before buying very very very comfortable 👌🏼👌🏼love this shoes ❤️ nice slightly larger in right shoe felt some fitting issue,Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71PHQR5OO1L._UX500_.jpg,7.294200000000001,0.4960667140956082
39,http://flipkart.com/sukun-walking-shoes-women/p/itm808dd720a6058?pid=SHOFUDPGXMNZ6WYF&lid=LSTSHOFUDPGXMNZ6WYF2MYCAU&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_2&otracker=browse&fm=organic&iid=en_i2Ynv%2F2h3XgpFZnW2xIygPItyD7gY4UmGnv%2F3ODJNknfMpVT%2BErVmL%2BBxod7TmeCpGjX9jRODOxEl%2FTwLZRtWw%3D%3D&ppt=None&ppn=None&ssid=vfgk5czj7k0000001679481119570,SUKUN ,Walking Shoes For Women  (Black),₹398,3.9,20216,2076,awesome 🥰 amazing😍 i loved it❤❤❤❤so comfortable,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/7/2/o/-original-imagfxf72qucgrzr-bb.jpeg?q=70,4.248,0.41530158716010035
125,https://www.snapdeal.com/product/asian-gray-sneakers/647101782215,ASIAN,Dark Grey Women's Sneakers,469,3.8,656,23,,Snapdeal,https://n4.sdlcdn.com/imgs/g/y/e/Asian-Gray-Sneakers-SDL450701098-1-dbb9f.jpg,0.0,0.33780432608524785
72,http://flipkart.com/denill-sneakers-women-girls/p/itmc22fd2aad3dd7?pid=SHOFGMYMW9JSYK3X&lid=LSTSHOFGMYMW9JSYK3XVFK6FG&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_35&otracker=browse&fm=organic&iid=14639c9a-4053-4688-b979-50fcfd8d974d.SHOFGMYMW9JSYK3X.SEARCH&ppt=None&ppn=None&ssid=vfgk5czj7k0000001679481119570,Denill ,Sneakers For Women And Girls Sneakers For Women  (Green),₹349,4.0,16998,1736,loved this product looks great n comfortable one i loved it 😍😍😍❤️❤️❤️,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/n/l/h/-original-imaggcr5hsqgxm86-bb.jpeg?q=70,3.1745,0.3102676032812801
42,http://flipkart.com/denill-running-shoes-women/p/itmb730d8e9b42b1?pid=SHOFZ4DST9BDHA2W&lid=LSTSHOFZ4DST9BDHA2WPOMGGI&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_5&otracker=browse&fm=organic&iid=14639c9a-4053-4688-b979-50fcfd8d974d.SHOFZ4DST9BDHA2W.SEARCH&ppt=None&ppn=None&ssid=vfgk5czj7k0000001679481119570,Denill ,Running Shoes For Women  (Grey),₹349,4.0,16546,2018,its perfect which reveal at my picture 😉 very good product flipkart😍😍 good productcomfortable stylishtrue to size😌satisfied with it,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/n/d/e/-original-imaggbwye2bpymec.jpeg?q=70,2.5529,0.2971557882199524
70,http://flipkart.com/kraasa-walking-shoes-women/p/itma8823331ea3f9?pid=SHOGFH6HXGCMBHDN&lid=LSTSHOGFH6HXGCMBHDNYLZPOY&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_33&otracker=browse&fm=organic&iid=14639c9a-4053-4688-b979-50fcfd8d974d.SHOGFH6HXGCMBHDN.SEARCH&ppt=None&ppn=None&ssid=vfgk5czj7k0000001679481119570,Kraasa ,Walking Shoes For Women  (Pink),₹399,4.0,14137,1165,product is nyc and light to wear ☺️ i loved it 💗 comfortable and got as shown in the picture 💝but packaging is very bad 🙂 love it 💜🦋,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/q/o/e/4-shoe1417-4-kraasa-pink-original-imagmfuumghujqft.jpeg?q=70,4.0501,0.2611316910207454
63,http://flipkart.com/campus-alice-running-shoes-women/p/itm369cd84760fc5?pid=SHOFXNU8ZDKXZHBF&lid=LSTSHOFXNU8ZDKXZHBFUKEUUA&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_26&otracker=browse&fm=organic&iid=14639c9a-4053-4688-b979-50fcfd8d974d.SHOFXNU8ZDKXZHBF.SEARCH&ppt=None&ppn=None&ssid=vfgk5czj7k0000001679481119570,CAMPUS ,ALICE Running Shoes For Women  (Navy),₹949,4.3,13792,1566,comfortable nice product loved it,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/shoe/n/u/e/-original-imagg74fxyg5xf6k-bb.jpeg?q=70,1.5315,0.21556389676615154
