URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/ARIEL-Cotton-Fleece-Clothing-girls/dp/B0BF5R4Z9Q/ref=zg_bs_1967893031_sccl_1/258-1229559-2740407?psc=1,ARIEL,Cotton Clothing Sets for Baby Boys & girls - Unisex Clothing sets Full Sleeve T-shirt & Pant,₹349,4.1,331,46,"['Good', 'Liked the quality and print', 'Product fabric is good, value for money', 'Good', 'Price shoulb be some less', 'Jaisi imege hai waisa hi product hai... good 😊', 'Quality is good bt pant is loose', 'Nice product', 'Nice product. Quality of fabric is good, no discomfort for the baby at all.']",Amazon,https://m.media-amazon.com/images/I/81tW-FphDdL._UX522_.jpg
https://www.amazon.in/Bold-Elegant-Wednesday-Elephant-Full-Length/dp/B085T8CJ7T/ref=zg_bs_1967893031_sccl_2/258-1229559-2740407?psc=1,Bold N Elegant - Be Bold Inside & Elegant Outside,Baby's Cotton Tshirt Pant Set,₹639,4.2,4754,277,"['Good one at this price', 'Very good', 'Nice', 'Good', 'Cloth was very soft and comfortable for kids. Overall good dress', '', 'I like the quality of material. Worth buying in this price', 'Length of pant is small. :(', 'My daughter is yr old she just love it n material is damn superb']",Amazon,https://m.media-amazon.com/images/I/51nUfiMuCLL._UX569_.jpg
https://www.amazon.in/Wnee-Bear-Cotton-Overall-Colour/dp/B07KX271S2/ref=zg_bs_1967893031_sccl_3/258-1229559-2740407?psc=1,Hopscotch,Boys Cotton All-Over Print T-Shirt with Jacket & Pant Set in Green Color,₹829,4.0,3171,268,"['Jacket size is larger than usual\nHowever love the tee & printed jacket\nSuper cool', ""I was purchased it for son for his 2nd b'day theme, it's really awesome and fit perfectly even the matrial of this product also good.\nI just loving it......\nGo for it guys...."", 'Nice one', 'Value for money', 'Not so good as shown in picture.', 'Not like pic', '', 'Nice product.', 'Looks good but coat material is not worth for the amount', 'Normal cloth']",Amazon,https://m.media-amazon.com/images/I/61eU-2gSbgL._UX522_.jpg
https://www.amazon.in/Si-Noir-Hopscotch-Cotton-Blazer/dp/B07NMTLP7Y/ref=zg_bs_1967893031_sccl_4/258-1229559-2740407?psc=1,Hopscotch,Boy's Cotton Blend Formal Set,₹649,4.1,9258,1108,"['It is so cute dress for the baby.quality of product is too nice. Just love it', 'Nice...but so small..I will return the dress.', 'Soft and perfect fit', 'Best one', 'Like', 'Good quality, go for it', 'good', ""It's luking like fr 6 to 12 months baby wear"", 'It is not worth for the money.. Very bad quality material... Imperfect finishing as threads are comming out..fading colour..', 'Quality is very good compared to price..thank you amazon i ordered it for my son birthday']",Amazon,https://m.media-amazon.com/images/I/511wuGpCVjL._UX522_.jpg
https://www.amazon.in/Googo-Gaaga-Trending-Sleeves-T-Shirt/dp/B07YHM7MP6/ref=zg_bs_1967893031_sccl_5/258-1229559-2740407?psc=1,Googo Gaaga,Boy's Cotton Blazer Attached T-Shirt with Pant Set in Green Color,₹597,3.5,767,78,"['good quality product', 'I Love it and my son also loves it...', 'Good quality products.', 'We ordered this dress for my son’s birthday. The inner shirt is not that good. The Pant is useless. The pant fitting is awkward and doesn’t suit with the green coat. The pant cloth is of banian cloth. Could have been better if they give jeans cloth.', 'Cloth material not like other product of Google gaaga', 'T-shirt was small around the neck than expected and needed to get re-worked from a local tailor.', 'Ok', 'There was no pricetag with the product when delivered to my home.', 'Not good', 'Product quality is very cheap. Received a diffrent colour product. And Amazon is denied for refund and tell that sellere is sending original product. I send the real product which I have received and amazone is fail it in verification. Because product colour is little bit different from the colour which is shown in image.']",Amazon,https://m.media-amazon.com/images/I/41mCak1OFiL.jpg
https://www.amazon.in/Googogaaga-Cotton-Printed-T-Shirt-Shorts/dp/B096FWDWL9/ref=zg_bs_1967893031_sccl_6/258-1229559-2740407?psc=1,Googo Gaaga,Boy's Cotton T-Shirt With Shorts,₹499,3.8,300,31,"['Good', 'Good quality', 'I like this dress... Go for it', 'Good', 'Product was okay because t-shirt was similar but half pant was not similar which see in pics,it was totally different.', 'Nice product', 'Average', 'The texture is nice and quality is also good.', 'Received used and broken short...third class quality...', 'Just wow']",Amazon,https://m.media-amazon.com/images/I/41UFWUHAMYS.jpg
https://www.amazon.in/Googo-Gaaga-Sleeves-Sweatshirt-Clothing/dp/B081X5KP55/ref=zg_bs_1967893031_sccl_7/258-1229559-2740407?psc=1,Googo Gaaga,Boys Cotton Track Suit,₹593,3.9,631,54,"['Nice clothes quality is good', 'Good but not received as show in image', 'Best quality , Nice fabroc and fits well.', 'The product look really good on my son . Just as expected.', 'Good', 'Overall fabric quality is good and it looks great on my my kid 🙂', 'Same as shown', 'My son like too much', 'Fabric quality is not good. Actual product is different from Amazon platform.']",Amazon,https://m.media-amazon.com/images/I/31zTx4VIh8L.jpg
https://www.amazon.in/Clothe-Funn-Coordinate-Tshirt-Pyjama/dp/B08VW26MW8/ref=zg_bs_1967893031_sccl_8/258-1229559-2740407?psc=1,Clothe Funn,"Boys Coordinate Set, Tshirt Pyjama Set, Tshirt Shorts Set, Boys Set",₹550,4.3,624,44,"['value for money..', 'Soft n comfortable material...', 'It is not pure cotton.', 'Size is small, you should order a larger size.\n\nMy son is tall for his age. He will be 12 in a few months. and I bought a size for 13-14 years. This fit well. So buy a bigger size if your son is taller or bigger than the average child of his age.', 'It looks so nice . It is same as shown in picture. Fully recommended. Thank you', 'I purchased multiple times from this brand and the quality is good and at reasonable price.', 'Value for money', 'Fitting is good and stuff if cotton, Good Quality at nice price, I brought both set of 3 and single set and quality is same… better to pick 3 at 999 rather than 1 at 599.', 'Fitting is perfect', 'I think for the first time in my online purchase of cloths I got everything perfect in one brand. Fabric, size, colour and colour combinations everything is superb.']",Amazon,https://m.media-amazon.com/images/I/51v1snNH5mL._UX522_.jpg
https://www.amazon.in/Hopscotch-Polyester-Sleeves-Dungaree-Yah-3064175/dp/B08FBJP35K/ref=zg_bs_1967893031_sccl_9/258-1229559-2740407?psc=1,Hopscotch,"Boys Cotton,Polyester Half Sleeves Printed T-Shirt with Dungaree Set in Blue Color",₹629,4.0,275,15,"['Good quality', 'We loved the design so ordered this one. The dress and Color look just as shown in pic. But the belt is falling off again n again as there is no proper fixture. My son keeps removing it which makes the dress even more loose.', 'Good to gift near & dear ones. The baby is comfortable & good material. Value for money. Thank you', 'Nice products', 'Product quality is good enough but the packaging was worst. It was kept in a simple polythin bag.', 'You can go for it', 'Size smaller and look not as shown in photo.', 'Very good clothes, thanks', 'Cloth quality is not that soft']",Amazon,https://m.media-amazon.com/images/I/61uKuBfM5dL._UX522_.jpg
https://www.amazon.in/Sweatshirt-Hosiery-Cotton-Printed-Sleeves/dp/B0BMQHH2BS/ref=zg_bs_1967893031_sccl_11/258-1229559-2740407?psc=1,Generic,"tshirt Pant Set For Boys | Kids Hosiery Cotton Printed Dress | Full Sleeves Dress For Kids, Boys",₹449,2.6,40,8,"['Ok not bad', ""What I saw in the picture it's not like that, difference is there but clothes are good👍"", 'Very poor quality, i received different product, different design,', 'Good Product', 'Product quality is very poor.', 'Duplicate product', 'Not satisfied this product', 'Very thin cloth']",Amazon,https://m.media-amazon.com/images/I/51S8RhfDsHL._UY550_.jpg
https://www.amazon.in/Googogaaga-Cotton-Detailed-Sleeves-Sweatshirt/dp/B09VDPBKGT/ref=zg_bs_1967893031_sccl_12/258-1229559-2740407?psc=1,Googo Gaaga,Boys Cotton Track Suit,₹799,4.1,108,17,"[""It's value for money...."", 'Material quality should have been better compared to price', 'So good 👍 👏 👌 🙌', 'Best quality cloth, and print is good my child liked it very much', 'Nice shoping', 'Colour & combination most like….!!!', 'In one wash only the colour got faded', 'Take one size bigger than actual size', 'Perfect fitting & nice dress quality. Go for it.. Am sure your little champ will look more handsome in this👍', 'Value for money, the fit and finish is Fantastic.']",Amazon,https://m.media-amazon.com/images/I/518Xd9hgamL._UX522_.jpg
https://www.amazon.in/Pohar-Creation-Ethnic-dress-RRR02/dp/B0B8TFHV78/ref=zg_bs_1967893031_sccl_13/258-1229559-2740407?psc=1,Pohar Creation,Boys Ethnic wear Boys dress Set RRR02,₹945,3.7,39,7,"['Value for money', 'Fabulous product. But size is smaller than what we order for age group. But dress is fantastic . order 1 size above', 'To large.', 'Good product', 'Same as described with good quality', 'Good. But cap for one dress not received.', 'The dress received was with very poor quality product']",Amazon,https://m.media-amazon.com/images/I/61j1E8ilmQL._UY550_.jpg
https://www.amazon.in/SUPERKID-Kids-Printed-Sleeve-t-shirt/dp/B0BW9CHQM5/ref=zg_bs_1967893031_sccl_14/258-1229559-2740407?psc=1,SUPERKID,Kids Printed Full Sleeve t-shirt and Pant set,₹299,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/41-GgkXUzWL._UY445_.jpg
https://www.amazon.in/KYDA-KIDS-Cotton-Clothing-Tshirt/dp/B09YMJKJ1K/ref=zg_bs_1967893031_sccl_15/258-1229559-2740407?psc=1,KYDA KIDS,100% Cotton Boys Clothing Set Tshirt & Shorts - Half Sleeve Tshirt & Half Pant for- Boys,₹349,3.9,35,2,"['100/cotton product nice quality', 'The quality of the product was very good']",Amazon,https://m.media-amazon.com/images/I/81QxLphrxpL._UX466_.jpg
