URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/superminis-Boys-Cotton-Kurta-Dhoti/dp/B09BTNWK3X/ref=zg_bs_3659021031_sccl_1/257-0329217-1454160?psc=1,superminis,"Boy's Cotton Kurta with Dhoti - Golden Thread Work, Round Collar, Full Sleeves, Side Button Kurta Set for Ethnic Wear",₹549,4.3,1370,129,"['You can choose a larger size as neck won’t fit especially if your child head is in good shape. Though I liked the lower, that is really cute', 'Nice', 'Will be nice if it had a lining which would make the dress comfortable for the child', 'Cloth n looks wise it is very nice.. but was Lil smaller for the age.. was able to put it on my baby just once forcefully.', 'Very nice 👍👍👍', 'Cloth quality need to review!', 'I m buying it second time for my baby girl, she looks super cute in this kurta set.', ""Bought yellow kurta, it's bright and good. Will update review after wash"", 'I bought size M for my 5 month old baby. Size is perfect and baby was comfortable in the dress.\nGood overall', ""Good quality and it's very comfortable, stylish but we're get the small size ,iwant to exchange to big size.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-F6XFVNVL._UX385_.jpg
https://www.amazon.in/superminis-Ethnic-Chikan-Cotton-Pyjama/dp/B096QPSXK5/ref=zg_bs_3659021031_sccl_2/257-0329217-1454160?psc=1,superminis,Baby Boys Ethnic Wear Khadi Cotton Kurta Pyjama Set with Wooden Button,₹549,3.8,24,4,"['I bought it for my son ..neck poetiin was small', ""My baby kurta was perfect from all ways,right from size price & quality.. But i found a scissor cut in back side. Hence I have to return it, I requested for return but it got failed bcz it doesn't have a price tag, but i did not receive any price tag 🔖 while I received it. Kindly approve my return without price tag, will be highly obliged"", 'Very good product and price is also good. It is pure cotton . Overall good I am happy with this dress thank you Amazon', ""Got the exact same set. It's the right size for 9 - 12m baby. Fabric is good too. Well packaged.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61DPDheebqL._UX385_.jpg
https://www.amazon.in/Superminis-Traditional-Ethnic-Handloom-Pattern/dp/B08D7VYW4S/ref=zg_bs_3659021031_sccl_3/257-0329217-1454160?psc=1,superminis,Baby Boys Traditional Ethnic Wear Handloom Cotton Solid Pattern Kurta with White Pyjama Set,₹649,3.7,53,2,"['Waste of money', 'Quality is good ,fit is also good .']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ldibfS+5L._UX385_.jpg
https://www.amazon.in/Vesh-Cotton-Kurta-Pyjama-Years/dp/B07ZHN1LCX/ref=zg_bs_3659021031_sccl_4/257-0329217-1454160?psc=1,Vesham,Cotton Kurta Pajama Set for Boy's Kids,₹409,3.7,2447,207,"['Good kurta, a bit transparent.', 'Beautiful design but the color arrived is different from the picture, online it looks yellow but arrived mango color.', 'Kurta is good and fit to children', 'Quality has not good and short size 😔', 'Was very disappointed, as we received a different colour than what is ordered.\nI have ordered pink kurta but received red kurta. It was for an occasion,and of our family of 4, only our boy was in different colour,than we 3. Planned everything but failed with disappointment. It was a big day and not much time left to order another one', 'I liked much', 'Colour is fine but the fabric is extremely low quality and it was not stitched neatly.\nWill not recommend any one to purchase this product', 'Product was good as per its price.', 'Material quality not good', 'Value for money']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Jr+YexqOL._UY550_.jpg
https://www.amazon.in/NEW-GEN-Festive-Pajama-Jacket/dp/B07QNVJMZS/ref=zg_bs_3659021031_sccl_5/257-0329217-1454160?psc=1,NEW GEN,"Baby Boy's Cotton Silk Jacket, Kurta Pyjama Set",₹263,3.8,3144,227,"['Quality is okay okay the main problem is not clean soil mark is there', 'Ok ok ok', 'Mostly Like!', 'The product is of very average quality. Very thin and below average quality', ""It's jst for 1-2time use , quality is not good"", 'Good', 'Ko excellent', 'And bad smel is coming from these clothes hance return request filed. But coureer personell did not came to collect the both packits. So plz advise to return from my residence at earliest.', 'It is good. The material also soft enough and good.', 'Good value for money']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81fXb6CERRL._UY445_.jpg
https://www.amazon.in/MS-TRENDS-Traditional-ACCESSORIES-Months_MSTCMMD2_18/dp/B08TCJMYR7/ref=zg_bs_3659021031_sccl_6/257-0329217-1454160?psc=1,MS TRENDS,Boys Traditional Dhoti & Shirts SET WITH ACCESSORIES (MSTCM - $P),₹480,4.2,317,28,"['I liked it', 'Product size and quality everything is nice ...', 'Shirt size is Plus one size bigger.. I purchse 1yr baby size', 'Look wise great...', 'good product, as expected', 'Nice one ✔️👍', 'Gifted to my relatives.\nThey liked it a lot', 'I liked it overall', 'Happy with the quality of the product and the stylish accessories.❤️', 'Good product cloth quality is good... Chain and bracelets are not good quality...']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ZoCuFVXSL._UX522_.jpg
https://www.amazon.in/ITSMYCOSTUME-Morpankh-Kamarband-Bajuband-Janmasthmi/dp/B09CWVJ7VN/ref=zg_bs_3659021031_sccl_7/257-0329217-1454160?psc=1,ITSMYCOSTUME,"Krishna Dress for Baby Boy Kids Set of 10(Dhoti,Patka,Hip Cover,Mukut,Morpankh,Bansuri,Kamarband,Bajuband,Kundal)Little Krishna Ji Kanha Janmasthmi Costume for Kids",₹749,3.8,412,42,"['Quality of accessories is very poor and it seems that wastege items have been packed and sent to customers.', 'accessories were really not worth. loved only the costume .', 'Not bad', 'For this price range we will receive the entire set!!and my nephew ws so cute in this costume!!loved it!!', 'Dress is good,but m not satisfied with the accessories.\nEarpiece was broken, thread is also not enough for tieghting the crown,flute is not decorated as shown in the picture. Quality of accessories is not up to the mark according to price.', 'Ear ring is missing very disappointing.', 'Dress is good but for the arm band, etc, they have used staple pins and a couple of them fell off. Need to be very careful while using it', 'Awesome quality', 'If I will go for the price, it is the best product, my baby with this costumes portray like the real kanha...', 'Dhoti size is ok but ornaments size is the small for 5 -6 age group']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61wecAVeGwL._UX522_.jpg
https://www.amazon.in/Pyjama-Ethnic-Cotton-Festive-Months/dp/B08JJC3B3Y/ref=zg_bs_3659021031_sccl_10/257-0329217-1454160?psc=1,TANGY,Kids Wear Kurta Pyjama Set I Ethnic Cotton Kurta Pyjama I Festive Kurta Kids,₹395,4.0,268,45,"['I bought this for holi for my 8 month old... And although she is a bit smaller kid - the kurta was just a little bit tight.\nBut overall it was fantastic. My kid was comfortable. The kurta looked very good... Especially for holi. I will buy again for the next celebration.', 'This is a lovely cotton kurta set for babies, I bought 4 of the white ones. Remember to buy one size up as the sleeve part gets a little difficult to put on otherwise this is very good!', 'Product quality is really good and perfect size', 'product quality is good but ordered different color received another color', 'In just 1 wash it’s faded.Not worth it as pricing', 'Nice one', 'Size small', 'It’s good, try to it’s size.\nGood product, my 3 month baby was comfortable in it', 'Fitting is okay but could be better if buttons are used at shoulders so it is easy to make baby wear the kurta. Size can be little\nLoose', 'Quality of clothe is very nice. Perfect fit for my baby. Happy Maa n Happy Baby.\nThank you!!!!']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41o8dr5urKL._UY445_.jpg
https://www.amazon.in/Zolario-Sherwani-Birthday-Marriage-Functions/dp/B09HC6HQV9/ref=zg_bs_3659021031_sccl_12/257-0329217-1454160?psc=1,Zolario,"Sherwani for Kids Boys, Ideal for Birthday, Marriage, Diwali and Other Functions.",₹949,3.8,219,17,"['Play Video', 'Very good', 'Fabric quality is not good', 'All over the product is very good with a good design and cut', 'We had ordered Blue color and shipment was of Maroon color. Again asked for the replacement and received a wrong color. Seller needs to check the SKU before shipment. Product was good and fit was perfect still sent back due to wrong color.', 'Dress bahot achha hai zarur kharide', ""My Kid is only 1.6 yrs.\n\nI ordered 3-4 yrs size. But 3-4 yrs size didn't fitted my kid. He is only 1.6 yrs and 16 Kg weight.\n\nDesign and Fabric Quality is good. But Fitting is very big issue.\n\nI really didn't wanted to return it. But due to fitting and size issue. I returned it."", ""It's very beautiful sherwani, nic cloth"", 'Good', 'I will suggest kindly improve fabrica quality ASAP']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61qg-C3Wx5L._UX522_.jpg
https://www.amazon.in/NEW-GEN-SLEEVE-KURTA-PAIJAMA/dp/B0B1XBPKK4/ref=zg_bs_3659021031_sccl_13/257-0329217-1454160?psc=1,NEW GEN,BOYS FULL SLEEVE KURTA & PAIJAMA PANT,₹204,3.7,42,5,"['thin but Good fabric. Compatibility yet to be seen', ""I am giving still 5 stars even though I didnt receive the color that I ordered, for Rs.200 I paid I can't expect more than this, it's worth the penny."", 'Quality of the cloth material is good. The length of the kurta is short so I ordered for a bigger size again. Twice I ordered for a white kurta pajama but the seller send yellow instead of white on both the occasions', 'Too small', 'Perfect']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/616DbeqDsHL._UY445_.jpg
