URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/GLORYBOYZ-Regular-Hawaiian-Tropical-Printed/dp/B0BFR7YLWM/ref=zg_bs_1967895031_sccl_1/257-0329217-1454160?psc=1,GLORYBOYZ,Regular Fit Hawaiian Tropical Printed Kids & Junior Boys Shirt,₹511,4.1,124,14,"['Slightly Overpriced, but very comfortable to wear for Kids', ""The fabric is so soft and it's worth buying... However size is lil small for 7-8 years age boy"", 'Good item', 'Color, cloth, fit and everything was perfect', 'Rayan cloth.size perfect.quality super', 'Looks good but when i received the priduct it s a verybad quality cloth not at all good for children.', 'Looks beautiful and satisfied', 'Good one if you are looking for a vacation for your child.', 'Nice', 'Really good. Very good quality']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61pNN-dUZlL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Honey-Regular-SS19SRT321_Khakhi_11-12/dp/B07R2W7F5H/ref=zg_bs_1967895031_sccl_2/257-0329217-1454160?psc=1,Amazon Brand - Jam & Honey,Boy's Regular Fit Shirt,₹350,4.1,1847,110,"['Value for money', 'good quality and ahirt', 'Perfect fit for my kid. Fabric is good', 'Nice colour and a perfect fit for my son', 'Amazon symbol has good quality. Loved it', 'Fitting is as expected. Could be better pricing. As it feels over for the cloth quality', 'yes I like.', 'Best', 'Bahut badhiya']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/919vpm+pvnL._UX342_.jpg
https://www.amazon.in/Allen-Solly-Junior-ABSF31901792_Light-Green_15-16/dp/B07QP4RF6P/ref=zg_bs_1967895031_sccl_3/257-0329217-1454160?psc=1,Allen Solly Junior,Boys Shirt,₹869,4.2,3379,216,"['Pure cotton material comfort wear for kids.', 'Bought it for my 13y old boy. He is 162cm and slim. The shirt fits him very well. He likes it.', 'Good cotton shirt', 'Not bright colour as photo.', 'Just 👌👌', 'Quality, colour, style all are perfect..', 'Quality of product is good.', 'Very good quality', ""It's value for money product"", ""The shirt was delivered in a plastic packet (the kinds you get shirts in) only with a sticker which has the delivery label. Thankfully it didn't get damaged in any way.\nProduct wise: we ordered because of the brand name but the material is extremely transparent (as visible in the pic). Overall not worth the money paid.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81JzUtI4GML._UX385_.jpg
https://www.amazon.in/Allen-Solly-Junior-Checkered-ABSF31901795_Green_13-14/dp/B07QL3DJNN/ref=zg_bs_1967895031_sccl_4/257-0329217-1454160?psc=1,Allen Solly Junior,Boys Shirt,₹899,4.2,2148,130,"['Perfect shirt for boy', 'Looks nice, fits well. Good quality fabric too.', 'Very good clothes & fiting 👍👍', ""Shirt colour is not at all like the image it is very bright and attractive and fresh in image , but shirt that arrived is dull ,old looking it's like old used shirt , didn't expect this from the brand like ALLEN SOLLY"", 'Good', 'no', ""It's comfortable to wear and gives staning outlook who ever wears it."", 'It was a good purchase. The size was also correct fitting', ""I like the quality but got different colour. I ordered orange colour but got red and this is only thing I'm not happy."", 'Good quality']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91lo6JkLNLL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Honey-Regular-PAG-118_Maroon/dp/B08HZ7GS5D/ref=zg_bs_1967895031_sccl_5/257-0329217-1454160?psc=1,Amazon Brand - Jam & Honey,Boys Button Down Shirt,₹449,4.1,1434,97,"['Good cotton shirt', 'Fitting is excellent as expected. All other aspects as price, softness and comfort could have been better.', 'Bahut accha', 'Good', 'Very nice shirt, good fabric, colour and fitting.', 'Perfect Fit and Nice Quality', 'Nice color n fitting', 'Overall good product,worth purchasing', 'Bought if for a kid on his birthday. It was a pleasent surprise to experience tbe excellent quality,color and fitting. The product is just superb.', 'Size is too small']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ntg-gRiVL._UX385_.jpg
https://www.amazon.in/PELICAN-HUB-Latest-Printed-Designer/dp/B0BSS5BW1Y/ref=zg_bs_1967895031_sccl_6/257-0329217-1454160?psc=1,PELICAN HUB,Latest Lining Printed Designer Casual Wear Full Sleeve Cotton Shirt for Boys,₹299,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/314QzwBn9bL._UY445_.jpg
https://www.amazon.in/Amazon-Brand-Regular-Button-PAG-151_Blue/dp/B08HZ6XL9V/ref=zg_bs_1967895031_sccl_7/257-0329217-1454160?psc=1,Amazon Brand - Jam & Honey,Boy's Regular Fit Button Down Shirt,₹479,4.2,854,37,"['Very nice product 👌 👍', 'I purchased a 9-10 yr size for my 7 yr old kid. Its not that he is too chubby- just like any kid of his age would be but even after ordering 2 sizes higher- The shirt is like - Just fitting.\n\nThe quality seems good but the price tag doesnt defend the quality and fitting. You would expect it to be much better in terms of fitting. I wasnt too impressed with the collar as its not stiff. I Ironed it & it still had some gathers.', 'Not a value for money product, fit is small - If ordering for a 6 yrs old then go for 7-8 yrs else it will be too short', 'Fabric quality, design and fitting everything is very good. Totally satisfied with it', 'The shirt is so nice .looks bright in colour my son like it so much.', 'nic i like it', 'Nice product.. correct fit...', ""It's very beautiful cloth and colour\n\nGood quality"", ""It's just ok""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/910GZwufxwL._UX385_.jpg
https://www.amazon.in/Amazon-Brand-Symbol-Regular-SYMAW22SHR02_Navy/dp/B0BBR8B9FQ/ref=zg_bs_1967895031_sccl_8/257-0329217-1454160?psc=1,Amazon Brand - Symbol,Boys Shirt,₹613,3.6,32,3,"['Size to much short', 'Good']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Ei4H9Ae2L._UX385_.jpg
https://www.amazon.in/Amazon-Brand-Regular-Button-PAG-46_White/dp/B08HZ8SBTH/ref=zg_bs_1967895031_sccl_9/257-0329217-1454160?psc=1,Amazon Brand - Jam & Honey,Boys' Button Down Shirt,₹419,4.2,777,41,"['Good quality', 'Nice quality of product. Worth buying it.', ""Brought this for a niece,\n\nWe had tried multiple brands earlier which to accommodate his shoulders and his belly (he is little chubby), had to order larger sizes, which when tried up on, are very lengthy and don't look good at all\n\nWE had measured the actual measurements, referred to the size chart of Jam & Honey and brought the size, and it is perfect.\n\nIt fits superbly well, looks super good and the materials look and feel premium - all of this at an affordable price"", 'Nice shirt, true colour. Design is attractive. Fitting well, genuine quality. Value for money.', 'The colour was not as bright as shown..dim it is', 'Product is good', 'very good quality for this shirt👍', 'Not bad', 'OK', 'Very nice shirt. I really liked the material quality.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91PB1uOdX6L._UX522_.jpg
https://www.amazon.in/Jubination-Shirts-School-Uniform-Sleeve/dp/B0BVGHX42Z/ref=zg_bs_1967895031_sccl_10/257-0329217-1454160?psc=1,JUBINATION,White Shirts School Uniform Full Sleeve Shirt for Boys & Girls,₹399,2.5,3,3,"['Don’t go for it if you want white colour ..', 'Cheap quality', 'The product is same what i have seen in image . Fabric is gud have no issue']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41cvPMmla-L._UX385_.jpg
