URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Max-Regular-T-Shirt-M21DBTAMZ2MULTI_Multi-Years/dp/B097C4MG5G/ref=zg_bs_1967925031_sccl_1/257-0329217-1454160?psc=1,Max,Boys Printed Crew Neck T-Shirt - Set of 5,₹469,4.4,11860,1077,"['Good quality', 'Good product', 'Great quality of material. I liked it.', 'Good Product 👍', 'Very good, bright colours and print is good too..my son liked it. Go for it..', 'Over all very good quality cloth 👍👍', 'Quality is awesome and fit is perfect. But colours which were received are a little brighter compared to the pics shown. That’s ok they’re also looking good😊', 'Nice product. Value of money', 'great quality', 'I like the product. The t shirt was so soft']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61hw4yQH6nL._UX569_.jpg
https://www.amazon.in/Marvel-Kidsville-Regular-T-Shirt-MC009_Multicolor/dp/B08616PZL5/ref=zg_bs_1967925031_sccl_2/257-0329217-1454160?psc=1,Marvel By Kidsville,Boys' T-Shirt (Pack of 3),₹679,4.3,8586,642,"['Very nice trshts..must buy', 'Review after 2 years wearing this t -shirt continuous by my son and too good.', 'It’s such a great product at reasonable price. It’s look is fabulous.', 'Good quality product. Bright colors.', 'Nice product. my son loved it', 'Like the quality wrt price', 'Fabric seems to be good and the colors seems to be exact as shown in the picture...need to check after wash..😜', 'fit as prefect', 'T-shirt is a great combo of smooth fabric and look', 'Nice product price vise']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81fHfCkFW7L._UY550_.jpg
https://www.amazon.in/Messi-Football-Jersey-Shorts-10-11Years/dp/B0BX44TMTH/ref=zg_bs_1967925031_sccl_3/257-0329217-1454160?psc=1,Generic, Football Jersey 2022/23 with Black Shorts (Boys & Kids),₹329,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41IIy0HeaDL._UX342_.jpg
https://www.amazon.in/Chromozome-Printed-Regular-T-Shirt-CB/dp/B08G8LM6YJ/ref=zg_bs_1967925031_sccl_4/257-0329217-1454160?psc=1,Chromozome,Boy's Regular Fit T-Shirt (Pack of 3),₹229,3.9,3917,243,"['Quality and colours are good considering price but got one T shirt large and other two little small', '', ""It's good 👍"", 'Good fit and comfy', 'Nothing great\nNormal T Shirts\nOK material\nSize as shown\nOverall what I wanted', ""All the three tshirts are good. Same as shown in picture. Only on red tshirt's white part, there was a stain mark. It seems that the print may wear off after many washes.. otherwise product is good.."", ""I was not satisfied as colour faded after washing.I bought it in 21st Oct'22, now it 30th Oct22.I have washed it in these time period and it looks old.Cloth is fine but not up to the mark what i have expected.I bought for 12-13 years old."", 'Product was good, Fabric is also very good. The size mentioned on the product during purchase is also mentioned on the physical product, but still it is shorter than expected. Like, my son is 11 and a half and I have ordered 13-14 Yrs, but it is shorter in length, it is not that, my son is hefty or taller than usual 13-14 yrs age group children. He has lean body. Please work on such areas, else everything is fine.\nThanx Amazon..!!', 'The material is very nice and the print too but it shrinks I suggest two sizes bigger', 'Material is good at this price. Bought these three T shirts@ 229. Should be below 200.More people will buy this.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91eXjV657IL._UX342_.jpg
https://www.amazon.in/T2F-Solid-Regular-T-Shirt-BYS-TSRT-02_Multicolor/dp/B08R7S4ZGF/ref=zg_bs_1967925031_sccl_5/257-0329217-1454160?psc=1,T2F,Boy's Regular Fit T-Shirt,₹689,4.3,3518,272,"['Good one', ""My son like it very much. It's soft comfortable. Go for it guys"", 'This is the 2nd purchase and the quality is as good as the first time I bought it.\nGreat colours.\nGreat print quality.\nSoft and comfortable.\nAbsolute value for money.', 'T shirts received as expected. Quality and look wise best', 'Quality of the t-shirts are 11/10. To comfort for kids ☺️', 'Superb', 'Good product at great price would recommend others too', 'Nice product', 'Good']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81aBwDKMyDL._UX385_.jpg
https://www.amazon.in/T2F-Plain-Regular-T-Shirt-BYS-TSRT-SLD-01_Combo/dp/B07ZJHF87R/ref=zg_bs_1967925031_sccl_6/257-0329217-1454160?psc=1,T2F,Boys T-Shirt,₹359,4.1,4826,387,"['Size little bit small. Cloth quality is good.', 'All tsirt was too good . febric was so soft ..nice print......I m happy .....🙂', 'Like it.go for it', 'I like size not quality', 'Super product', 'The product is good for this price', 'You will be very happy with the purchase', 'These r nice however, size could have been better. For my 11 yrs old I ordered size 13-14 but the tshrts r just his size.', 'Good 👍 product good deal of Amazon so loot this offer and enjoy the life Every moment and joy 💖']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Z+1poDHWL._UX342_.jpg
https://www.amazon.in/T2F-Plain-Regular-T-Shirt-BYS-TSRT-01_Multicolor/dp/B082GQVXZ7/ref=zg_bs_1967925031_sccl_7/257-0329217-1454160?psc=1,T2F,Boy's Regular Fit T-Shirt,₹669,4.3,5511,469,"['Very good quality but little small size one should buy one size bigger, otherwise it is very good 👍', 'Good quality . Colour is good and really worth money . Great job Amazon .', 'Nice one', 'Good product', 'Like', 'Colour Loos', 'Good in this price range.', 'Good 👍', 'Perfect fit good material satisfied']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jO3R5QcCL._UX342_.jpg
https://www.amazon.in/T2F-Plain-Regular-T-Shirt-TSRT5P04_Multicolor_9-10/dp/B07TJFT66L/ref=zg_bs_1967925031_sccl_8/257-0329217-1454160?psc=1,T2F,Boy's Solid Regular fit T-Shirt,₹639,4.2,9902,874,"['Its a good product. Value for money and size is perfect fit. Need to see how much shrinkage after washing. Over all good buy.', 'Fit size and good material quality..', 'Quality very good I am happy', 'Very good', 'Perfect fit for my grandson', 'Nice fabric', 'If your son 6 years old , order 4 to 5 years size that could be perfect fit.', 'Gud color', ""wanted to order for my son, saw this looked good , i wasn't sure if the quality would be good, but took a risk, which paid off. The shirts are of good quality & don't shrink much after washing . The sizes mentioned are correct fit. Thank you."", 'Very nice quality']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81yvtGob6yL._UX342_.jpg
https://www.amazon.in/Allen-Solly-Junior-Boys-ABKPCRGF303593_Navy_14/dp/B08LFM41BD/ref=zg_bs_1967925031_sccl_9/257-0329217-1454160?psc=1,Allen Solly Junior,Boys T-Shirt,₹699,4.3,498,20,"['Nice material...good product at this rate', 'Nice product, original, thanks for this', 'Very nice worth of money', 'Baahar jaane yaa festival ke samay bache ko pahanaane ke liye', 'Good product', 'Really nice T-Shirt. Looks beautiful. Allen Solly has really nice fabric.', 'Absolutely loved the t shirt. The fitting and the quantity of cloth that was delivered', 'Great product', 'Fabric quality is different as shown in picture']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91e7vvwcYZL._UX342_.jpg
https://www.amazon.in/Paris-Jersey-Shorts-10-11Years-Multicolour/dp/B0BRSSTZBV/ref=zg_bs_1967925031_sccl_10/257-0329217-1454160?psc=1,Generic,s Jersey 2022/23 Messi with Shorts (Boys & Kids),₹425,3.7,15,5,"['Very good but for the shorts psg logo is missing', ""It's nice one good dress.my son using This he liked it."", 'Quality OK, Shorts looks like Normal shorts, No stripes but OK..', ""This is good quality messi's Jersey in pant there is no logo"", ""Bought for a friend's son. He lives in it. Enough said.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/418JlgcvI8L._UX425_.jpg
