URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Wish-Karo-Girls-Birthday-Lycra/dp/B07L6GDGJ7/ref=zg_bs_15966953031_sccl_1/257-0329217-1454160?psc=1,Wish Karo,Baby Girls Frocks Dress-(fe2644),₹491,4.1,9809,944,"['I like the quality of the frock very nice and happy, it’s comfortable and soft .', 'Above average', ""Dress is good but packing is too bad it's like a old wrapper and the bill was half tiered so disappointed."", 'fabric and dress same what we expected, good. but the overcoat given oversize....', 'Ordered dresses for 6yr and 6mnths kids ... Was bit large in size but material was soft and kids were looking super cute...', 'Product was good, but i have return the item due to jacket size issue', 'Good 👍', 'Good', 'Nice value for money.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/7113XqJIZ9L._UX522_.jpg
https://www.amazon.in/T-U-N-Things-Uber-Nice-GDRS/dp/B07RM7SG1B/ref=zg_bs_15966953031_sccl_2/257-0329217-1454160?psc=1,A.T.U.N. (ALL THINGS UBER NICE),Girl's Knee-Length Dress,₹309,3.9,5364,322,"['Product received without price tag and the size s small in compare with other dresses of this age range.', 'Size is smaller than expected so order atleast one size larger. Good quality for the price.', 'The fabrics of the dress is quite comfortable and smooth for my child. Beautiful dress with perfect fit. Best item ordered for my child', 'Good product', 'Size issue', 'Like , good quality and comfortable', 'Size and quality is low.... Otherwise okey', 'Very cute', 'This item is very cheap and not worthy. Fabric quality is very poor.', 'Good']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61+3SUiGBnL._UY550_.jpg
https://www.amazon.in/T2F-Cotton-Knee-Length-GLS-DRZ-01_Light-Orange_7-8/dp/B0BR1GMLBV/ref=zg_bs_15966953031_sccl_3/257-0329217-1454160?psc=1,T2F,Girls Casual Dress,₹209,4.4,15,9,"['I ordered a larger size and still the length of dress was small.\n\nThe fabric and print are good.', 'Very good quality fabric of the dress for my daughter quality of the dress is good for the price', 'Very nice', 'Size not match', 'Totally satisfy you can go for it without a second thought', '', 'The product is 7-8 years size but looks like a 5-6 years but quality is good', 'Very nice product, suits well for my little girl.\n\nAwesome colours, the fabric is good. Size as expected and the material quality', 'Very good design and fabric quality\nWonderful fitting. My kid likes it alot. Thanks to amazon . . . .']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71mOGb+RpxL._UY550_.jpg
https://www.amazon.in/Fashion-Dream-GF0092-TEAL_36_Teal-Blue_11-Years-12/dp/B09PYZDXWN/ref=zg_bs_15966953031_sccl_4/257-0329217-1454160?psc=1,Fashion Dream,Girls Crepe Floral Printed Calf Length Dress,₹399,3.9,1188,97,"['Cloth is awesom, soft my kid like very much', 'Cloth is good same as shown', ""Not for summer season. And in the waist it has elastic band. I don't understand why it is here. Uncomfortable to wear and put out. But product is price worthy"", 'Paisa wasool', 'Not bad this price', ""It's good"", 'Nice dress', 'Loved by everyone in my society.', 'My girl loved the dress.excellent']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Ujdzf19AL._UY550_.jpg
https://www.amazon.in/Uptownie-Lite-Keyhole-Jumpsuit-Printed/dp/B08K3JT8QW/ref=zg_bs_15966953031_sccl_5/257-0329217-1454160?psc=1,Uptownie Lite,Girls Midi Keyhole Jumpsuit,₹399,4.0,2918,179,"['Good product', ""I have returned the product as the size was small but they didn't deliver the exchanged product so I canceled the order but they didn't refund the money.."", 'Good I like it', 'छान', 'The product is of polyester material. Damage piece received.', 'Nice product in this range', ""It's nice but little transparent."", 'Very cute jumpsuit perfect fit for my daughter', 'Dress is ok. fits well. colour matches with the picture as shown. price is slightly high. If 300 means it is ok.', 'Nice decent dress, very good for casual occasions. Color is same as shown. Only thing is cloth is very thin. They could have provided inner lining to the dress, atleast for upper half body. Otherwise good.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/619BBG56Z4L._UX466_.jpg
https://www.amazon.in/T-U-N-Things-Uber-Nice-GDRS/dp/B07PD6SBVX/ref=zg_bs_15966953031_sccl_6/257-0329217-1454160?psc=1,A.T.U.N. (ALL THINGS UBER NICE),Girl's Cotton Fit & Flare Dress,₹199,3.6,3451,235,"['My daughter is 20 months old...After reading the reviews, I ordered size 3-4 years and the size is right for her just now. In the size chart, it\'s mentioned dress is 20"", but it\'s 19"" only.\n\nMaterial is thin & cheap polyster, the type you get on roadside for ₹100 - ₹150. Definitely not worth paying more than ₹160.', 'I like it this product', ""Fit wise it's correct one. Design is very good\nBut material is very thin should provide linen.\nI got it for rs200 price wise it's good but not more than this."", 'Nice frock', 'Not value for money. Because this is Poliyster material', 'Dress and size is good but one defect in dress. A a a a a a a a a a', 'Good', 'its just polyester not cotton, not comfortable for summer. but it cost only Rs. 160\nbit small in size. i had ordered 5 to 6 yrs but my daughter is only 2yrs old', ""Actually it's a good product if you want to wear it at home (kids) but the cloth quality is not up to what we see in pic . If you are buying this for a function etc ... Its not worth it !"", 'Nice dresz']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61v0VF7MCnL._UY550_.jpg
https://www.amazon.in/T-U-N-Things-Uber-Nice-GDRS/dp/B07LD1X52J/ref=zg_bs_15966953031_sccl_7/257-0329217-1454160?psc=1,A.T.U.N. (ALL THINGS UBER NICE),Girl's Cotton Shirt Knee-Length Casual Dress,₹399,3.9,8292,585,"['Good purchase, just worth ther money', 'We like it but please pack it properly', 'Design is good', 'Good, but belt should be round the waist. It would have look more beautiful.', 'Excellent Product', 'Just okay', 'Pure cotton dress', 'Value for money.... Very good product', 'Colour faded after second wash', 'Smart']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6158qYQKr6L._UY550_.jpg
https://www.amazon.in/TAGAS-Baby-Girls-Standard-Length-KD-1117-18-16-2001_Pink_2-3/dp/B0B8JMZQYH/ref=zg_bs_15966953031_sccl_8/257-0329217-1454160?psc=1,TAGAS,Toddler Girls Flower Graphic Printed Dress,₹479,4.0,416,90,"['Looks just as in picture. Value for money', 'Good quality good product', 'The animal print on the dress is very cute. It washes well, no shrinkage or colour loss. Fits perfectly and looks pretty too.\n\nWould be wonderful if it had lining on the inside.', 'Good product', ""Perfect size and shape but dull colour. It's not as bright like in image given"", 'This dress is very good and made with soft fabric.Color and design both are very good.It is perfectly fit for my 4 year old.Very awesome product.', 'Very nice frock.lovely .very beautiful for this price', 'Quality, color, fit, design, everythingbis awesome.', 'Superb quality attractive design easy to wash soft and comfortable money valuable product', 'Beautiful dress... Fabric and size is perfectly fitted... and it looks cute.👍👍']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91UPELXvAdL._UX522_.jpg
https://www.amazon.in/Amazon-Brand-Cotton-Knee-Length-JH-K-SS22-DRE-121_Yellow/dp/B0B9BWV43R/ref=zg_bs_15966953031_sccl_9/257-0329217-1454160?psc=1,Amazon Brand - Jam & Honey,Girl's Cotton Empire Waist Knee-Length Dress,₹493,4.2,1990,165,"[""Colour, look, fit, material as expected. Looks Pretty.\nI was expecting length to be more though. It's a short frock style not a midi/midcalf length style. Good buy anyway"", 'The product is good and comfortable. As someone mentioned in the review it is better to buy one size bigger to get the exact height. Colour of the product looks same as in the picture. Camera light difference is there', 'Same as description. Perfect fit for age.', 'Superb quality 👍 beautiful colours', 'The frock is made of good material. It is not pure cotton. It is a poly mixture and hence is not suitable for summer.\nIt looks good. But the stitching is a bit off.\nAlso the arm hole is too big for kids. It would be good if it is atleast an inch lesser.\nThe fit is a little smaller for the size mentioned. (For a 8 year old lean built kid you need to purchase 10-11 years size)', 'Like colours...dislikes the sleeve design', 'The material is good. Pure cotton. Comfortable wear for the kid.', 'Nice one', 'Quality is good', 'Fitting is not exact but still okay']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61inceul-tL._UY550_.jpg
https://www.amazon.in/T-U-N-Things-Uber-Nice-GDRS/dp/B07LD26RDM/ref=zg_bs_15966953031_sccl_10/257-0329217-1454160?psc=1,A.T.U.N. (ALL THINGS UBER NICE),Girl's Polyester Fit and Flare Knee-Length Casual Dress,₹229,3.7,3654,232,"['Good cotton material. After two washes colour got', 'Play Video', ""Dress cloth is cotton. Very nice design but it's smaller, when compared to age. Need to buy with extra size."", 'Just need to improve its front neck .its little bit small and put strips on waist to fit it for weak kids', 'nice design and fit, but the quality of the material is not great... blue color bleeds', 'Good quality of clothes', 'Product is just ok.\nShould have been of better quality.', 'Very nice but long and loose i am giving 4 stars', ""Fabric and design is amazing, just as shown in the picture, BUT the size is not practical at all, my daughter is 2.5yrs old, I ordered the size 4-5 yrs, it was too small, so I had to return it, I ordered a bigger size(5-6yrs), this came with minor difference from the previous one, didnt fit again(couldn't even zip the dress) had to return it back,also I want to make it clear that my Daughter is average neither hafty nor skinny, please make sure that you order it atleast 3 to 4 size bigger than orignal one,"", 'This is very comfortable for children in summer seasons.soft and light weigh']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61PB9wkovpL._UY550_.jpg
