URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/White-Button-Polyester-Readymade-Choli_Wine_4/dp/B0B49G51YG/ref=zg_bs_3659020031_sccl_1/257-0329217-1454160?psc=1,White Button,New south Indian traditional pattu pavadai Jecquard Lehenga choli for girls dress,"₹1,054",3.8,1283,140,"['Very nice dress cloth also good and currectly time in delivered', 'Lehenga length is small to my kid she is 3 yrs old I have order 3 -4 years size but lentha of the lehenga is smaller to her', 'Same as it is as shown in picture', 'Dress is awesome', 'Good one', 'cloth quality is not good but looks good on my daughter. Worth for the money', 'Nice drive quality is very good my daughter very comfortable with this dress.', 'I searched in local but no design likt this not available.', 'Average', 'Nice']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71PN7SbSUXL._UY550_.jpg
https://www.amazon.in/White-Button-pavadai-Jecquard-Lehenga/dp/B09BKVTJ4F/ref=zg_bs_3659020031_sccl_2/257-0329217-1454160?psc=1,White Button,Baby Girls Lehenga Choli Set,₹913,4.1,1024,119,"['Superb Looking', 'Very good product', 'Fabric and design are good, but we got big size', ""Dress colour not dark yellow, it's light golden colour so small disappointing , bt overall good nd very soft material ,go for it 👍"", 'Very nice and wonderful. Good material, iam very happy', 'Excellent dress. Worth to buy it. Go for it.', 'My daughter is six years old and I have taken 7-8years old lehenga just to avoid size issues as she is bit tall and it was perfect fit for her.. i recommend to buy one size plus than regular ones\nCloth n lining is soft and not irritable. Expecting more varieties...thank you Amazon', 'Colour is so much different and not like advertised image', 'Worthable amount, and quality is too good. Our daughter like it a lot. Thank you 😊', 'Colour and fabric']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71FaxT3+I4L._UX522_.jpg
https://www.amazon.in/White-Button-pavadai-Jecquard-Lehenga/dp/B09R6H7T2G/ref=zg_bs_3659020031_sccl_3/257-0329217-1454160?psc=1,White Button,Baby Girl's Jacquard Readymade Lehenga Choli,₹966,4.1,792,99,"['Go for it', 'Nice', 'Attractivet colour', 'I have brought this for my younger one. was in doubt with material before buy, but to my suprise, cloth and finish was up to the mark. Than you team.', 'The colour is bright and beautiful. Fitting is good too. Material is nice. Overall a good buy.', 'Good.', 'Impressed with the lehanga. The top is little small for my 7 yr old but it fit well for the time being.\nDefinitely suggest this dress for ethnic party\nAffordable and good', 'Not that much look as in pic ...but its ok not at all suitable for below 1 yr kids ...its too lenthy not that much attaractive because it was too lenthy and clumpsy appearance', 'Fitting, quality and stitching are gud. Go for it.', 'It is nice pattupavada.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818YhHn950L._UX466_.jpg
https://www.amazon.in/Badshah-Girls-Cotton-Anarkali-Salwar/dp/B0BN6G24H7/ref=zg_bs_3659020031_sccl_4/257-0329217-1454160?psc=1,Generic,New Girl's Cotton Anarkali Salwar Suit Set,₹399,3.6,11,4,"['This set is simple and beautiful. The fabric is also good. Worth every bit of the price.', 'Awesome best quality', 'My daughter is very happy n liked it', 'Dress in not as per picture so returned.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51aL7-Gsy8L._UY445_.jpg
https://www.amazon.in/Stanwells-kids-Tissue-Lehenga-AG008D_14/dp/B07L31VJ8N/ref=zg_bs_3659020031_sccl_5/257-0329217-1454160?psc=1,Stanwells Kids,Baby Girl's Net Readymade Lehenga Choli,₹795,4.2,2977,667,"['Value for money', 'I like this colour and design. It suits my granddaughter very much. She is a pretty kid of our family.', 'Nice', 'Fitting proper, expected colour as shown in picture, very good quality... Completely satisfied 😊 worth it...', 'Gifted to my niece... She looks so pretty.....so nice choice', 'Cloth quality', 'Very nice and the color was as in the picture. If given elastic for the waist instead of rope finish then for toddlers it will be easy to wear and carry.', 'Got them for my neighbours baby.. It can be used by one year but the quality and stitching was amazing finish.. Hats off to seller to make it affordable ..', 'Size which I asked is properly fitted to my daughter and she look very pretty in that', 'Excellent service and product as always.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/515iAvnFyaL._UX679_.jpg
https://www.amazon.in/Indian-Tulip-Taffeta-Lehenga-Etheric/dp/B08JZ575G8/ref=zg_bs_3659020031_sccl_6/257-0329217-1454160?psc=1,Generic,aw Silk Semi-stitched Lehenga Choli,₹499,3.3,1086,106,"['Good', 'SIZE VERY SMALL ISSUE\nI WILL RETURN THIS ITAM', 'Very good product.\nThank you very much Amazon.', 'Too short low quality mattirial', 'Best products', ""It's non stitched material but they have shown a girl with complete dress so I thought it would be a readymade dress\nBut it is not!\nPlease don't show dress material on girl model people in hurry tend to ignore what you mention instead they see what have you presented\nDisappointed!"", 'Dislike 👎', 'Seems to be very heavy one. But light wt. It hv been much better if a thin cotton cloth layer has been underneath lehnga. As it is a embroided cloth. Dupatta is also light wt.', 'Choli missing\nPrice tag missing\nPoor quality', 'It is small for for 14year girl']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71UhuxNVRHL._UY550_.jpg
https://www.amazon.in/Wommaniya-Impex-traditional-pavadai-Jecquard/dp/B0BTNZ3T4B/ref=zg_bs_3659020031_sccl_7/257-0329217-1454160?psc=1,Wommaniya Impex,New south Indian traditional pattu pavadai Jecquard Lehenga choli for girls dress,"₹1,199",0.0,0,0,[],Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kA13RmfSL._UX425_.jpg
https://www.amazon.in/Fashion-Dream-Readymade-Lehenga-Set_Yellow_5-6/dp/B081T6CBVH/ref=zg_bs_3659020031_sccl_9/257-0329217-1454160?psc=1,Fashion Dream,Girl's Ethnic Wear Jacquard Silk Embroidered Western Style Full Stitched Lehenga Choli Set (Readymade),₹639,4.0,4828,537,"['Nice', 'Dress same as shown in the picture', ""Dress reached corrct time but skirt to design don't have very simple looking"", 'Material and design are same as shown in the picture. Liking the product', 'The skirt colour was faded and the design was hardly visible.', 'Perfect and beautiful dress', 'Material and the pattern is as shown is pic. Fit perfectly', 'I liked the color and cloth softness', 'Texture can be better, intenal belt (rope) can be given to tight ghaghara.', 'One hook can be fixed for the bottom']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81EPvZvOv3L._UX425_.jpg
https://www.amazon.in/Wommaniya-Impex-Tissue-readymade-Lehenga/dp/B0BPSRBLV8/ref=zg_bs_3659020031_sccl_10/257-0329217-1454160?psc=1,Wommaniya Impex,kids new Tissue checks readymade Lehenga choli for girls dress,"₹1,126",3.3,9,3,"['I got this product for 1150 rupees.\nThe dress is ok.\nbut its not cotton one. the top is good.\nthe long skirt is a bit cheap cloth.', 'good', 'The dress fit perfectly for my niece. She was very happy.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61XgJQ+Q3KL._UX466_.jpg
https://www.amazon.in/Stanwells-Kids-Readymade-Lehenga-AM031-O16_Orange_1-2/dp/B08QFTWD7G/ref=zg_bs_3659020031_sccl_11/257-0329217-1454160?psc=1,Stanwells Kids,Orange and Magenta combo south indian Baby girls mirror work net Lehenga Choli set (3months to 8Years),₹950,4.4,1277,200,"['My daughter looks so pretty wearing this dress. Quality of the dress is good. Worth buying for the given offer', 'Go for it', 'Very nice quality,color, design and all just go for it', 'My daughter looks like a pretty little princess. Good quality dress', 'Bought this for my kids and we all loved it. The pink and orange are lovely together. The skirt is long and touches the floor for my 7 year old( - we bought 7-8 years as size so I think it’s expected).', 'Good', 'Best in category, very beautiful... Looks same like image', 'Too good', '', 'Value for money 100%\nQuality 100%\nBeautiful 100%\nMeet up expectations 100%\nSuggestions : 1) should provide option of sleeves. 2) should provide such beautiful dress for women also, I bought this dress for my daughter and liked it so much that if option available I would have purchased it for myself']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/716U8J0O4WL._UX522_.jpg
