URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Ben-Martin-Relaxed-BMW-JJ3-DARK-p4-34_Dark-Blue_34/dp/B019XSHCG4/ref=zg_bs_1968076031_sccl_1/258-1229559-2740407?psc=1,Ben Martin,Men's Relaxed Fit Jeans,₹499,3.6,32076,5500,"['Perfect', 'Very good', 'Product may be improved', 'Product was good and comfort. But the packing is terrible just a clear plastic cover.', 'the quality does worth the price I paid', ""Good pair of jeans and looks very solid and reliable.\n\nTWO THINGS TO KEEP IN MIND:\n\n1. Pockets aren't deep enough, it's a bit risky to keep your phone in this cuz it's easier to get stolen and could maybe fall off if you bend a lot of times. They could have been deeper.\n\n2. Belt line, the top end of your jeans. It is at hip level. I usually wear my jeans at a little bit above waist level and that's how most jenas have fit me. this one has a shorter top part so if you are comfortable with a hip level jeans go for it.\n\nThat's all thanks you."", ""Don't like material and size"", ""Based on the price, it's okay but only after the first wear the stitch came out from one side."", 'Good product', 'Product is OK but the size is too short and tight . as per compare to other brand 32 size normally fitted to me and it is very tight on waist and thigh .']",Amazon,https://m.media-amazon.com/images/I/616xchp1ECL._UY550_.jpg
https://www.amazon.in/Urbano-Fashion-Mens-Jeans-eps-black-32-06/dp/B076CTV6FK/ref=zg_bs_1968076031_sccl_2/258-1229559-2740407?psc=1,Urbano Fashion,Men's Slim Fit Washed Jeans Stretchable,₹591,3.7,7398,1141,"[""Fbric is not so good, but comfort and fitting is so nice, with this of amount cann't expect more."", 'Very Happy Worth For Money', 'Good looking amazing quality', 'Nice one', 'good product 👍.', 'This jeans is nice but this is not a slim fit', 'Received product this is a 30inch\nIf you change it for product is 32inch', 'Overall good in price range', ""This product is value for money. But the colour of the product fead too much during washing. It's unexpected."", 'The fit is not ""Slim fit"" as written. It is a bit loose. Will see after first wash, if there is any changes']",Amazon,https://m.media-amazon.com/images/I/61EJxytnV5L._UX466_.jpg
https://www.amazon.in/Ben-Martin-White-Denim-Strechable/dp/B09X9QCD8S/ref=zg_bs_1968076031_sccl_3/258-1229559-2740407?psc=1,Ben Martin,Men's Denim Slim Fit Strechable Jeans,₹499,3.6,1839,278,"['Material is not that nice,will get too know after first wash\nLenth received was at ancle height', ""Right now , I am reviewing after 5 months of buying 2 jeans. At that time I didn't sutisfy but now i am.\n\n# before buying , you should know that,\n\n1. avery color have different fabric quality and fittings. this is crazy right..😂\n\n2. In my case light blue jeans fabric are good but fitting not good.\n\n3. in black jeans fabric quality is medium compare to light blue jeans ,but fitting is good in my praspactive.\n\n4. i bought it at 450 rupees. at price point awesome deal.😋😋😋"", 'Quality of fabric is really poor and lose', 'Comfort fit and finish good but only i see material quality not good', 'value for money', 'Better than value for money', 'Fair.', 'Color faded too much', 'Very tight thigh.unable to wear it.']",Amazon,https://m.media-amazon.com/images/I/515olk-XS-L._UY550_.jpg
https://www.amazon.in/Levis-Mens-Jeans-18298-1255_Mid-Indigo_32/dp/B09Z77Z9JF/ref=zg_bs_1968076031_sccl_4/258-1229559-2740407?psc=1,Levi's,Men's 511 Slim Fit Jeans,"₹1,160",4.1,87,9,"['Not like original stitches', 'Perfect fit at reasonable price', 'Liked the fit at first go', 'It looks like not a original product. Colour faded in 2 wash only', ""It's not DENIM. It's stretchable fabric. I personally don't like wearing them."", 'No other word i could think off!!!', 'I only wear jeans of levis. First time I bought levis jeans from Amazon. The product is good and fits well.', ""It's as described and fitting is perfect. Value for money."", ""Too rough a material, unlike Levis. I am a big fan of Levis & have been wearing since 15years. But this product doesn't feel authentic, though fitting is good.""]",Amazon,https://m.media-amazon.com/images/I/71sIjcR88iL._UY550_.jpg
https://www.amazon.in/Neostreak-Stretchable-Jeans-neoeps-Dblue-Blue_34/dp/B07QHSRDB3/ref=zg_bs_1968076031_sccl_5/258-1229559-2740407?psc=1,Neostreak,Men's Slim Fit Stretchable Jeans,₹629,3.8,8370,965,"['Nice color, good stitching, worth it', 'In Amazon, stuck goods are available at a very low price and cheap.But for some items it takes a lot of money.☹️', 'Good jeans thank u amazon', 'Good jins', 'Not very good material', 'Need improvement in chain', 'Not felt like Jean. Looks like a cotton pant.', 'Just fine .. nothing great!!', 'Value for money, ok product', 'The product is good but the package was not in amazon bag rather it was only transparent plastic bag of the product itself. Since the product is not damaged I have not returned it. But the packaging should be better than this ..... the seller is too casual about the packaging.']",Amazon,https://m.media-amazon.com/images/I/711G7qxQSNL._UY550_.jpg
https://www.amazon.in/Ben-Martin-Denim-Strechable-Jeans/dp/B0B58MHQ8Y/ref=zg_bs_1968076031_sccl_6/258-1229559-2740407?psc=1,Ben Martin,Men's Denim Slim Fit Strechable Jeans,₹499,3.5,461,50,"['Discoloration of the pant after a single wash. Product not worth it.', 'Comfort', 'Very Nice', ""It's good value for money"", 'Quality of cloth is great but the stitching quality is poor.', ""Product is awesome. Only drawback is that you'll. Have to go to the tailor if your height is below 5.7"", 'Colour is fade only after one wash', 'This product quality is perfect and very good quality products', 'Good', 'Gud quality gud fiting']",Amazon,https://m.media-amazon.com/images/I/61D3NhllkbL._UY550_.jpg
https://www.amazon.in/Amazon-Brand-Relaxed-SS20-NS-SY-RS01_Medium-Grey_36W/dp/B085J787F7/ref=zg_bs_1968076031_sccl_7/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Relaxed Jeans,₹699,3.7,2691,290,"['Good one as mentioned in web portal', 'The product is very good considering the price but be careful with the size when purchasing. Order a size less as the waist of the product is a bit larger than you would expect. You will feel very comfortable while travelling while wearing these pants. Also, the length is also a bit large so you will have to fold up a little else it will touch the ground.', ""Good according to it's price"", 'Not good', 'Great value for money', ""It's a really comfortable jeans although the fitting at the end is not good enough , but the color and the texture is really good. It is definitely worth it"", 'Amazingly comfortable and good quality. A worthwhile purchase.', 'I like', 'If you want a casual daily wear jeans in normal price range. This is the product for you Man. Go and have it.', 'The pant is very comfortable and light weight. Especially for summer season this pant is worth buying.. go for it']",Amazon,https://m.media-amazon.com/images/I/81LwVNxUv2L._UY550_.jpg
https://www.amazon.in/Levis-Mens-Jeans-18298-1253_Solid-Black_32/dp/B09Z781TTL/ref=zg_bs_1968076031_sccl_8/258-1229559-2740407?psc=1,Levi's,Men's 511 Styled Slim Fit Jeans,"₹1,449",4.0,300,34,"['I liked it , very comfortable and quality is also good. Color is also as shown . must buy', ""The name is enough Levi's...go for it it's a genuine one.\nI got under 1500rs"", 'Very nice product. Fits well.Real black colour.', 'Reasonable price', 'Only concern about price is high', 'Quality , color all good one can go for it ..only thing is that its is not slim fit its somewhat straight…', ""Colour, size and fit as per description. Snugly fits at your thighs. Stretchable material. Comfortable to wear outside at any weather but prefer to use it at colder climates. For a price of ₹699 it's a steal"", ""I bought size 36, but it's a bit loose but it's manageable."", 'Go for it, genuine LEVIS.', '1 number for use']",Amazon,https://m.media-amazon.com/images/I/61squlDBu2L._UY550_.jpg
https://www.amazon.in/Ben-Martin-Relaxed-Jeans-BMW7-JJ-BLACKa-36-1/dp/B077NH6DRJ/ref=zg_bs_1968076031_sccl_9/258-1229559-2740407?psc=1,Ben Martin,Men's Relaxed Fit Jeans,₹499,3.6,5576,1048,"['Relaxing when use it', 'After 3 washing totally change the colour', 'Best in this price tag. 👍', 'Product is okay type ...and goes well inline with pricing', 'For the size34 it is quite tight overall not a regular or relaxed fit, which in ordered. Inseam lenght is okay my ht being 5\' 9"" but tight and it very comfertable for a stretch pants, material is thin and light, black over dyed pant. Should be a good fit for thin people or for guys like wearing skin tight cloths. Most probably I will return or exchange for a relaxed fit pants. Mind it these are not pair of denims but five pocket pants.', 'Matterial not too good, specially inner pocket very bad', 'Colour shaded', 'Satisfy', ""It's tight fit jeans""]",Amazon,https://m.media-amazon.com/images/I/61+wT3sYB7L._UX466_.jpg
https://www.amazon.in/Billford-Mens-Jeans-2_BFD-JJ3_Light-Blue_32/dp/B0B86GR5MK/ref=zg_bs_1968076031_sccl_10/258-1229559-2740407?psc=1,Billford,Men's Slim Fit Jeans,₹629,3.5,290,71,"['perfect fittings very good', 'Best jeans at affordable price', 'Quality not at par . Vantage be recommend', 'Good looking.', ""Only length issue 41 inch other wise all good , if u have 5.7 inch hight go for it but if > this don't buy."", 'Become white after two wash.\nDo not wash, keep on wearing till it smells then this away.', 'Clothes quality kuch khas nahi hai length bada hai my West size 34 hai par 32 fit Aya hai', 'Price is reasonable considering the moderate quality.', 'I did not like the product, it was looking so cheap so i returned it', 'Exellent product as per cost.']",Amazon,https://m.media-amazon.com/images/I/71a3OycnGYL._UY550_.jpg
