URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Dennis-Lingo-Solid-Casual-C301_DUSTYGREEN_L_Dustygreen_L/dp/B07H349H9M/ref=zg_bs_1968094031_sccl_1/257-0329217-1454160?psc=1,Dennis Lingo,Men's Solid Slim Fit Cotton Casual Shirt with Spread Collar & Full Sleeves,₹599,3.8,29698,3014,"['100% cotton as expected, good colour and well fitted (black and bottle green—460₹ each) but the dusty orange one (414₹) is not made of 100% cotton its fabric was bad so I returned that one!', ""My height us 5'qq and weight is 68 so I ordered size L and I think it is Proper for me. Only thing I felt bad is it's apple cut doesn't match at buttons part and also last button is not given as per shirts lenght."", 'Gud', 'Nice quality.\nGood product.', ""Quality is good but it's not cotton it's polyester cloth"", 'Good product', 'Nice looking and comfortable shirt. Only con is that it looks wrinkled after being worn for few hours', 'Nice fabric quality and perfect fitting', 'Ok']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61XzMtVz3PL._UY550_.jpg
https://www.amazon.in/Allen-Solly-Geometric-Regular-ASSFWMOFO48848_White_40/dp/B07DN1BJ51/ref=zg_bs_1968094031_sccl_2/257-0329217-1454160?psc=1,Allen Solly,Men's Slim Fit Shirt,₹819,3.7,12217,1783,"['Too large', 'Good product', 'quality material but Sleeve circumference is a bit big if you are slim', 'Like', 'I brought it to gift my friend. He really likes it', 'Product was good but the packaging was very very bad', 'Size is little bit smaller', 'Fine quality', 'The cloth material should be better. Color would fade after few washes.', 'Superb Shirt.\nCan buy blindly..']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71T3EQknkBL._UY550_.jpg
https://www.amazon.in/Lymio-Casual-Stylish-Printed-Mistry/dp/B0BRKHXG3V/ref=zg_bs_1968094031_sccl_3/257-0329217-1454160?psc=1,Lymio,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Mistry),₹349,4.4,286,187,"['So much comfortable\nNice and beautiful colour\nAnyone who is willing to buying this go for it without any hesitation ..', 'Worth the purchase..full on value for money', 'Color is different from what I ordered but fabric is nice. I have ordered 2 of these.', 'Nice product, awesome material though.', 'Polyester looks ok good for the price.', 'Size is very good and so comfortable', 'The fabric is good , the shine and quality of the shirt will last long.', 'Yes', 'Good quality', 'Good']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71MaGTXl7ML._UY550_.jpg
https://www.amazon.in/Amazon-Brand-Inkast-S-02C_Medium-Grey_X-Large/dp/B07GSH86DZ/ref=zg_bs_1968094031_sccl_4/257-0329217-1454160?psc=1,Amazon Brand - Inkast Denim Co.,Men Casual Shirt,₹709,4.0,15909,1900,"['Shirt is good, fit as per expectation and quality is also upto the mark as per the price. Also color is not very dull and gives good contrast with white pants.', 'Little bit fitting issues. Material is good rest depend after wash about colour', 'Excellent👍', 'Overall this shirt is good', ""I wear M size in Levi's but M size is large of this brand so i reorder S now i am feeling S is tight 😕"", 'Good item ... perfect fitting', 'Very nice shirt. 👌', 'The quality of shirt is good, but the is slightly different from the picture, but its ok I liked it.', 'Stylish. And fitting and cloth is good']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ssF1s7V1L._UY550_.jpg
https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Printed/dp/B0BRKHCC5Q/ref=zg_bs_1968094031_sccl_5/257-0329217-1454160?psc=1,Lymio,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta),₹349,4.5,357,263,"['Overall the shirt price is reasonable and the quality of the cloth is also fine, the stitches could be more better so that for longevity of clothes. Overall looks good when wore over tshirt.👍🏻', 'It was exactly as looking in the picture. Loved the shirt and the fitting was perfect for me. Honestly it was better than what i expected for this price range', 'What a product it turned out to be, super good look, perfect fit. So happy with the product. Thank you Lymio for this amazing shirt.', 'It fits perfectly, provides plenty of movement, and is comfortable to wear all day. The fabric is soft and lightweight, making it ideal for summer days. The color is also beautiful!', 'The quality of the product is upto the mark', 'Everything was good finishing is to be more attractive', 'Product quality is good as expected. Value for money.', 'Fabric is good and stretchable. Fitting is perfect. Worth every penny.', 'Fabric of this cloth is very good. Overall product is much better than my expectations.', 'The material is soft and comfortable, and the stitching is well done. The fit is just right too. I would definitely recommend this shirt to anyone looking for a great wardrobe staple.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71On2XSPuRL._UY550_.jpg
https://www.amazon.in/Lymio-Casual-Stylish-Printed-Shed/dp/B0BRKKGVK3/ref=zg_bs_1968094031_sccl_6/257-0329217-1454160?psc=1,Lymio,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Shed Floral),₹349,4.3,344,238,"['Good shirt in reasonable price', 'I Like It', 'Nice colour texture and print.Buy a size above than your usual size.', 'Nice shirt.', 'Nice color and print', 'Quite good... But color is not that much bright..', 'Ordered for my brother, fabric is too good!!', ""It's light weight and value for money"", 'Quality is good as per expectation.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/7181NjMrq-L._UX425_.jpg
https://www.amazon.in/Lyriq-Casual-Shirt-Stylish-Printed/dp/B0BRJS5LC6/ref=zg_bs_1968094031_sccl_7/257-0329217-1454160?psc=1,Lyriq,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,₹398,4.6,551,402,"['I should look of equal quality. No loose threads, no chain stitch, great stitch tension and a high stitch per inch count. Not only does a high stitch per inch count make for a longer lasting shirt, due to stitches not catching and breaking on sharp objects. It also makes for sharper lines and tighter seams.', ""I really liked the product and the texture.. I'm really satisfied with the style but I am not really a huge fan of hard collar when it comes to floral shirts..\nOther than that I'm really satisfied and thanks for the note too.. That was really a good gesture from your side.. 🙂🙂"", ""I really like this products and the texture...I'm really stasfied with the style .It is very comfortable. The Quantity of the product is very awesome.... It's light and stylish I really enjoyed the softness of the fabric. Prefect fitting. Would definitely use the recommend siezing based on weight and height."", 'Great Designs, Good Colours.\n\nFabric is smooth and thin, need to be careful.\nSize fits small, in the size mentioned.\nOverall, value for money product.\n\nThe handwritten note from the budding entrepreneur raises eyebrows for many.', 'Hi Neha madam\nI hope ur business is going great your idea for simply super great it will be helps to you take great high', 'I buy this for my brother. He really enjoyed the softness of the fabric. Perfect fitting shirt. Happy with the cut and the material. Would definitely use the recommended sizing based on weight and height.', ""I received this damaged sewing... beside this, I'm satisfied with the product"", 'I had order green color , black Came. The quality is very good. I have ordered again . This time pls send the correct color', 'As per price range its worth.. Nice quality its suits for my body..... Best lycra shirts used for beach night outings.... Overall its good', 'Packing has impressed me.. quality looks good.... Rest i need to explore later😂😂❤️']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61os5unWZHL._UY550_.jpg
https://www.amazon.in/Lymio-Casual-Stylish-Printed-Karrey/dp/B0BRKJR6JQ/ref=zg_bs_1968094031_sccl_8/257-0329217-1454160?psc=1,Lymio,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Karrey),₹349,4.4,140,100,"['Received the product as shown in the photo, just a little faster delivery, enjoy', 'It has a classic look and fits true to size. I appreciate the attention to detail in the design, including the buttons and collar. Overall, a great purchase!', 'Comfort', 'Good I like this', 'I like it', 'Fine Quality and Product.', 'Nice desigen or stuff or febric.... bottom is too long....', 'Good product value for money', ""Shirt is made of stretchable polyester, which I personally like.\nFit is good, color as shown in the pictures :')"", 'The product quality is very good and also the design patterns are perfectly carved on shirt.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71dInK15s1L._UX425_.jpg
https://www.amazon.in/Lyriq-Casual-Shirt-Stylish-Printed/dp/B0BPMS26F2/ref=zg_bs_1968094031_sccl_9/257-0329217-1454160?psc=1,Lyriq,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,₹398,4.5,564,393,"[""Overall this product is good but i have to return due to size small. But i would love to wear it if it's fit on me"", ""Shirt quality is nice, but i returned as the size was not correct...I ordered S but I guess L fits me. You need to update the size chart it's a bit confusing as per chart, I ordered S but actually with your making L fits me...I hope"", 'Good product as advertised. Fitting and value for money', 'According to price, this product is good. Design and colour combination of strips is awesome which is enhancing look of shirt', 'Have used the shirt,it has good design,good quality texture and material used .\nOverall value for the price', 'NICE PRODUCT', 'It has good fitting. Worth the money.', ""Value for money, color won't shade"", 'Thanks', 'Impressed with the quality of the shirt.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41K8J6J3fUL._UY500_.jpg
https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Printed/dp/B0BRKJPYX4/ref=zg_bs_1968094031_sccl_10/257-0329217-1454160?psc=1,Lymio,"Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Beach Blue,Red,Rama)",₹349,4.5,181,135,"['Good product overall.Select a size large from your usual size.', 'Nice Shirt value for money got got 399', 'I find it a bit large !, But the cloth is made of good quality!', 'Looking good as expected', 'I like it', 'Quality of cotton is good..', 'Good quality as per price']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71lKVTIW5QL._UY550_.jpg
