URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Crocs-Bayaband-Pepper-Clogs-9-205089-4CC/dp/B0819RC5HR/ref=zg_bs_9780814031_sccl_1/258-1229559-2740407?psc=1,crocs,Unisex-Adult Bayaband Clog Bpk/Cpk Clog,"₹1,572",4.3,50350,7262,"['One month of use it is very comfortable', 'Good', 'So finally I joined the trend to buy crocs. It was a little bit uncomfortable for me because I am not that comfortable with rubberized material but it is a good comfortable one you can go for it', ""It's absolutely good product\nBut I'm little bit dispointed with packing with care products\nBut one thing is true Amazon delivery is very good than other apps"", ""Small stone pile up in them from the holeswhile walking, it's irritating"", 'The package was very blund, it just came with a polythene cover. Used this clog and it is worth for the cost. You can go for this crocs.', '', 'Its totally comfort, light weight and durability is high.', ""It's good but with certain conditions\nIt is durable but the width of the footwear is Lil bit wide so u might feel it Lil bit bigger than other footware, comfort is not that good in the beginning, i almost changed my mind to return it. But don't know why i tried it back to back and now i m addicted to it so yeah some of u might not like it but once u get used to it, u would use it almost everywhere. Soo yeah go for it and have a try 👻\nOne more thing i don't wear narrow jeans with this crocs my foot looks so big with narrow pants or jeans thankyou."", 'Good one']",Amazon,https://m.media-amazon.com/images/I/712Brp0hwfL._UX500_.jpg
https://www.amazon.in/Sparx-Casual-Stripped-Sneakers-White/dp/B0B4KF6LFM/ref=zg_bs_9780814031_sccl_2/258-1229559-2740407?psc=1,Sparx,mens Sd9039g Sneakers,₹499,4.0,2075,328,"['Shoes ki delivery time se ho gyi thi.\nSize bhi fit hai . But weight thoda km hona chaiye tha . Overall sb kuch fit aur accha hai.\nThanks Amazon-Sparx for these shoes.\nA❤️P', ""It's a very good product,l really like it 🥰👍🏻"", 'Nice shoes and with buget', 'Good product in this price', 'यह मुझे ज्यादा पसंद नहीं आया, लेकिन इसके प्राइस को देखते हुए ठीक है। मैने इसको 450₹ में खरीदा था, इतने में तो स्लीपर्स मिलते हैं, इसलिए जब ये 450₹—500₹ का हो तो आप भी इसके साथ जा सकते हो।\nथोड़ा सा भारी जरूर है, लेकिन comfortable है।', 'It is good looking but heavy in weight', 'nice comfort\nnice looks\nnice value under 500/-\nvalue for money', 'Package of the product is very poor', 'Amazing⚡']",Amazon,https://m.media-amazon.com/images/I/51e48JV2GfL._UY500_.jpg
https://www.amazon.in/Sparx-SM-439-White-Casual-Shoes/dp/B07Y5BKQ5R/ref=zg_bs_9780814031_sccl_3/258-1229559-2740407?psc=1,Sparx,Mens Sm-439 Sneaker,₹594,4.2,10516,1602,"[""So here is the review guys (you can trust me) .. The packing of delivery is good and at this price range one of the best white sneakers, and they don't look cheap, the quality if shoe is excellent. Just go for it guys, comfortable also."", 'Good product quality is good according to the price..', 'Very good product', 'Size is to large but quality is very good finishing is very good I give it 5 out of 4 .', 'Best sneaker value of money🤌❤️', 'Best shoes', 'Good', 'Brother just bring it💯', 'look good, in this price its grat', 'Very nice 👍']",Amazon,https://m.media-amazon.com/images/I/71gVtJPjZZL._UX500_.jpg
https://www.amazon.in/SVAAR-Lightweight-Classic-Sandals-Adjustable/dp/B0BJ45HTRQ/ref=zg_bs_9780814031_sccl_4/258-1229559-2740407?psc=1,SVAAR,Men's Lightweight Classic Clogs || Sandals with Adjustable Back Strap for Men,₹499,3.9,549,113,"['One of the best clogs in Amazon. But this price this is Awesome', 'I have walked in parts and these clogs are comfortable.', 'It is a good product for men and women. And the quality of the product is also feels very good', 'Comfortable, but high chance of slipping on wet floor... Sole need more workup!', 'As expected and as described in websites', 'There is lack in comfort, it feels hard after using for 4 months.', '', 'Cool clogs.I. They are more comfortable and they are soft.', 'soft, weight less, comfort, have to check how long it will last', 'Comfort is not bad, value for money.\n\nLittle dis satisfied of daily cleaning']",Amazon,https://m.media-amazon.com/images/I/714zg4PU1RL._UY625_.jpg
https://www.amazon.in/Sparx-Mens-White-Sneaker-SD0734G/dp/B09PVGTFV4/ref=zg_bs_9780814031_sccl_5/258-1229559-2740407?psc=1,Sparx,Mens Sd0734g Sneaker,₹729,4.1,1163,231,"[""good shoes from sparx as compared to its price it is very good and comfortable but the finishing is not good as expected but that's not the weak point ..overall its a good products"", 'Nice product value for money very comfortable', 'The Sparx sm 734 is a good sneakers under 1000, but it is not very comfortable and a little bit heavy, but overall very good sneakers. PU Leather quality is decent.👍😄Go for it', 'Good shoes under 1000. But lace quality a bit low.', 'Good as per price range.', 'Great Value For Money ! Best For First White Sneakers', 'I like this product too much', '', 'Sneakers are very good😍 but laces quality is so bad🙁', 'make 11uk number as well']",Amazon,https://m.media-amazon.com/images/I/61++1-R25gL._UX500_.jpg
https://www.amazon.in/US-Polo-Assn-Sneakers-8-2531918312/dp/B07VKLZN1T/ref=zg_bs_9780814031_sccl_6/258-1229559-2740407?psc=1,US Polo Association,Men's Panal Sneakers,"₹1,499",4.1,2855,308,"['Looks smart. Feels good.\n\nHad to buy a bigger size as there’s no option of half size. Happy with the purchase.\n\nNot happy with the packaging though. The shoe box was completely tattered. But they delivered in a bigger box so the product was fine. But cannot store the bigger box anywhere unfortunately.', 'Cartoon was damaged.', 'It looks good and to wear it is very comfort', '', '', 'Got it at 1100. Considering price product is ok.', 'Good look\nNice quality\nNot bad comfort is good at price range', 'Ossom product and fitting is perfect and look and feel is good as shown as in the pic', ""The quality of product is good enough. It's a value for money article.""]",Amazon,https://m.media-amazon.com/images/I/71Qu22EbOTL._UX500_.jpg
https://www.amazon.in/Kraasa-Casual-Sneaker-Shoes-White/dp/B07VRDC8FB/ref=zg_bs_9780814031_sccl_7/258-1229559-2740407?psc=1,Kraasa,"Casual Lace Up Sneaker, Men Casual Shoes",₹449,3.4,6035,1017,"[""Amezing product ! I bought it yesterday once it delivered I mesmerized after seeing it, frankly speaking it's really fit to comfort & sustainable product with this amount. .. I was giving 5 star but I noticed now the left one is slitly tearing up .. So I gave 4 star.."", 'The shoes were received dirty and had spots on them. Refer the images.', 'One of the best budget white sneakers in the market. Perfect in size.', ""This Shoe's size UK 6 Nice comfortable and we don't except much quality in this price."", ""It's pure white but if you play with it or some durt sticks on it you immediately wipe it with water otherwise you need a lot of time you take it off"", 'Shape is very good and also comfortable but need to give more on quality', 'very soft... 🙂👍', 'Good', 'The product is very reasonable and worthy yet it should make feel comfortable at the bottom as it is too hard to walk. But overall worth buying!!', ""I ordered them when i found that these are the best for me for the amount i had for that time that too with in 11 size, these are good, but in my case these haven't gotten on my foot also, and eventually i had to return them, i really wish that these could fit me well.""]",Amazon,https://m.media-amazon.com/images/I/61q9kJgxAHL._UY500_.jpg
https://www.amazon.in/Sparx-Mens-Navy-Blue-Sneakers/dp/B00IZ95WBA/ref=zg_bs_9780814031_sccl_8/258-1229559-2740407?psc=1,Sparx,Men's Canvas Sneakers,₹769,4.1,20203,6523,"['I have been using for 2 weeks. Good product for the money u are paying. Its was a perfect fit for me with enough breathable space for the feet.', 'i like it very much it is comfortable', 'Laces are too long and it takes a lot time to knot them well. Overall shoe quality is quite nice. Suggest to buy if you are okay with laces...', 'Very good product and nice built quality.\n\nGood for money', 'This shoe is little expensive for me\nBut, the quality is very good\nAnd value for money 🤑', 'Great product at this price.', 'Nice shoes but madebfor teenagers feet', 'Just regretted by ordering this colour possessed by product, thankfully returned it on time', 'Good Product..']",Amazon,https://m.media-amazon.com/images/I/61VzAAvV6RL._UY500_.jpg
https://www.amazon.in/Knoos-Synthetic-Casual-Loafers-Brown/dp/B07H96TXN3/ref=zg_bs_9780814031_sccl_9/258-1229559-2740407?psc=1,KNOOS,Men's Loafer,₹538,3.7,20160,2754,"['Its been a month of use, so far good. I order size 10 starting it was kinda lose fit but after use for 2-3 days it had become perfectly fit. This product is worth value for money!', 'Valur for money', 'Overall look and feel is good but there sole and pasting quality is very Poor.may be happened on my order unfortunately i have to return it.', 'Nice loafers for wearing in a function, for colleges and also for parties. One of the cool products which is even in a good condition for me to use', 'Looks are fantastic', 'Good loffer', 'Value for money', 'Good', 'price is prime factor, and also everything is superb. liked it', 'VALUE FOR MONEY..']",Amazon,https://m.media-amazon.com/images/I/71AfojFejBL._UY500_.jpg
https://www.amazon.in/BATA-BOSS-Slick-Black-Uniform-8516051/dp/B0987RC4PM/ref=zg_bs_9780814031_sccl_10/258-1229559-2740407?psc=1,BATA,"Mens Boss-Slick Formal Shoes, (8516051), Black",₹758,3.8,1754,190,"['Nice 👌👌👌👌👌', 'Nyc product comfort and good look', 'This shoe has very hard sole. So it is uncomfortable for longer use. You will start feeling pain in heel after 15 mins.', 'Both Shoe size if diffrent', 'I always choose bata shoes. In this range these shoes are price worthy. 👍', 'Good One', 'Ok not bad, value for money', 'Good looking, Bata quality , comfortable to wear and value for money', 'Comfortable', 'Ok']",Amazon,https://m.media-amazon.com/images/I/71DN-vAkLoL._UY500_.jpg
