URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Amazon-Brand-Stretchable-Trousers-SY-AW19-MFT-059_Grey_34W/dp/B07YT19F2J/ref=zg_bs_1968125031_sccl_1/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Slim Fit Formal Trousers,₹849,3.8,12850,1190,"['Fabric is nice and looks rich. If your height is small you might have to alter it a bit at the bottom.', 'Quality of the product is okay but finishing of the product was not done properly', 'Nice at this price point, fits well', 'Nice quality', 'As you can see in the photos the ankle of pant is not finished well and length of pant is also is very long. I have purchased size 32 for me waist fitting his perfect only issue with pant total length and ankle part finishing', 'I whold like to tell all over good experience only thing is size issue I have ordered 32 but it has come 35 but after 20 rupees expand then it has been done', 'Good product', ""Don't buy it ..."", 'Verry nice, comfortable product', ""Product was Good but now days amazon cover(packing) was not good ...it will comes in transparent cover ..so its is not Fair for customers privacy... So plz don't do again .""]",Amazon,https://m.media-amazon.com/images/I/81d37fLAwUL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Symbol-Chinos-AW-SY-MCT-1145_Grey_36W/dp/B07CZ8QD5T/ref=zg_bs_1968125031_sccl_2/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Straight Casual Trousers,₹729,3.6,14960,2294,"[""On day one. It looks fine. Material of the trouser is comfortable.little stretchable. One star minus bcoz the colour is not originally khakhi. It's Lil bit dull even on day one"", 'Good product', 'Value of money', 'Fiber is good and over all quality is good . Thigh is little swiftness. Other all good and fine.', ""Length is short for me,it was above ankle (I am 6'1) , even after the exchange for a larger size, although it didn't fit me, fits well on my brother(5'8)."", ""Worst ever packing it's was a open cover which had 3 holes on it"", ""Till now the product is good. Let's see after some more days."", 'The trousers stitching is not upto mark\nFitting is somewhat an issue as it is tight on the thighs\nPrice should not be more than Rs.450\nCloth material is good.\nSo think before purchasing', 'Comfortable to wear but not durable.Just after two month use, it got torn.Compromised quality though price is high.', 'Just a little loose around the waist, length seems to be perfect.\n\nMaterial - 5 star']",Amazon,https://m.media-amazon.com/images/I/718kU7VISWL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Symbol-Casual-A22-SYM-SL-CT-101_Grey_32/dp/B0B397GWX8/ref=zg_bs_1968125031_sccl_3/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Flexi Waist Slim Casual Pants,₹879,4.5,14,5,"['Very good Chinos. Quality wise is very good. Worth every penny.', 'Very good value trousers light weight and look,s good, recommend this product', 'I like this pant. Can wear this as casual and also for office wear.\nThere is hidden elastic on waistline gives more stretch is good for my body type.', 'The fabric was very good and looks stylish a must buy', 'Super Quality and perfect fit']",Amazon,https://m.media-amazon.com/images/I/71hB+jZtxLL._UX342_.jpg
https://www.amazon.in/Urbano-Fashion-Stretchable-Casual-chino-black-28-fba/dp/B075KKQD1R/ref=zg_bs_1968125031_sccl_4/258-1229559-2740407?psc=1,Urbano Fashion,Men's Cotton Slim Fit Casual Chinos Trousers Stretch,₹649,3.6,6965,1245,"['Good product. My waist is small compared to my thighs , so I was looking for stretchable casual pants. This pants fulfilled my expectations.', 'Value for money,but not fit for me', ""Nice product if you get it bellow 600, Quality is not that great but for this price you can't expect more.."", 'Fitting is good but not stretchable.\nLength and waist size found Ok. Texture is average.', 'Just ok', 'Correct fit , amazing quality', ""I like price and didn't like colour of the product which was shown in the image description\nThink twice before purchase."", 'Lost shape after 1 wash. Very hard to iron as pant will not stay straight due to improper stiching', ""It's fabric not good, and tight on thighs"", 'Black color tone a bit faded then a original black color.']",Amazon,https://m.media-amazon.com/images/I/61jgOJ2QLmL._UX466_.jpg
https://www.amazon.in/McHenry-Regular-PolyViscose-Trousers-Black4001-34_Black_Size/dp/B01KSAZY4S/ref=zg_bs_1968125031_sccl_5/258-1229559-2740407?psc=1,McHenry,Men's Solid Formal Regular Fit Wrinkle Free PolyViscose Trousers,₹875,3.7,7132,1151,"[""I thought the pant's bottom part would not be hemmed, but it was. That was good as I did not need to get it altered with a local tailor"", 'Good product. Value for Money', 'Belt loop size is small, difficult to pass overlap portion of the belt.\nRest of the things are good.', 'Nice product', ""It's stitching is well suited. But the quality of cloth is average."", 'Good', 'Valu for money', 'Worth money', 'The product is good, as per description. Fittings ok.', 'The stiches below the pocket came off. Both sides. Highly likely the threads used were poor quality. might have worn it 4 times....']",Amazon,https://m.media-amazon.com/images/I/51vv88J+LAL._UY445_.jpg
https://www.amazon.in/REOUTLOOK-FASHION-CONNECT-Reoutlook-Regular/dp/B0B4KMWBN2/ref=zg_bs_1968125031_sccl_6/258-1229559-2740407?psc=1,REOUTLOOK- THE FASHION CONNECT,Reoutlook Men's Regular Fit Paper Cotton Cargo Lower,₹895,2.9,209,44,"[""Looking big size but it's new model"", 'Play Video', 'It is Nice By quality. The cloth is Thinner But It is nice. It is not like other thick cargos. Overall it is Nice. And Looks very awesome and Gives an Aesthetic vibes.', 'Good', 'I ordered grey pant and received brown pants and as it was last minute purchase I had to adjust with it. The seller should be extra careful. Quality is ok.', 'Nice quality', 'Not as good as expected, the quality too is not up-to the mark.', 'Dislike', 'Good']",Amazon,https://m.media-amazon.com/images/I/41kAIfl4StL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Trousers-AW-SY-MCT-1174_Light-Olive_32W/dp/B07N6C75FL/ref=zg_bs_1968125031_sccl_7/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men Casual Trousers,₹578,3.7,5723,607,"['Try once its good cloth', 'Super', ""It's average , probably the color will be shade in 3months"", 'Overall a good quality product', 'Height : 5\'11""\nThe waist size is ok but the length doesn\'t fit at all , quality a bit low as compared to the price but overall a good buy 👍', 'cloth quality is good, fit as expected', 'Good in quality,\nSoftness is better,\nVery good for daily use excellent', 'Colour faded', 'Good product', 'good wearable trouser under this price']",Amazon,https://m.media-amazon.com/images/I/81O+FM8a11L._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Symbol-Straight-AW-SY-MCT-1159_Fawn_32W/dp/B07TJGJBVB/ref=zg_bs_1968125031_sccl_8/258-1229559-2740407?psc=1,Amazon Brand - Symbol,Men's Regular Casual Trousers,₹739,3.6,10314,1189,"[""If you click a picture the color will match the image, in reality when u keep ur phone side by side, it's a slight darker shade as shown in the image, surprisingly it's quite tight for size 32 even tho I am a size 30 individual"", 'As per price product are very nice', 'The quality of the product is excellent to the price, waist size is good ( best part: provided with elastic strip) but length is too short and few inches above ankle.', 'Seems to be a little slim fit otherwise the product is very good', 'The description says regular fit, but it looks thin, so I ordered one size larger. The result was correct. The waist is fine with a belt. But it is still slim overall. The fabric is a little thin, so I think it will be cold in the middle of winter. The material is cotton, so it feels nice to the touch.', 'Ok', 'Average quality. Super comfortable', 'Dislike', ""Fitting is good. But jio spoiled within 6 months. When it's washed with other cloths their colour strained the jeans which are unremoval even after repeated single washing"", '💯 👌 Looks Shine !!']",Amazon,https://m.media-amazon.com/images/I/71wL-coI9aL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Inkast-Casual-TR-Ink-RDP-D3_Black_30/dp/B098RJ9HSP/ref=zg_bs_1968125031_sccl_9/258-1229559-2740407?psc=1,Amazon Brand - Inkast Denim Co.,Men's Slim Casual Pants,₹949,3.8,853,98,"['Value for money. Good quality product.', 'Size is correct but fabric is a bit thin...!', 'Colour was different from the picture', 'Like - Quality\nDislike - fittings.', 'Very comfortable. Hence ordered one more.', ""Why would you sell a used pant, don't you do a quality check before sending out an item to a customer?\nThe pant is nice but the experience is bad."", '', 'Material is good but is expensive for this price. I thought i was gonna get Amazon Symbol but got Inkast instead. The stiches on the trouser are not straight at some places. If the price would have been less, its a good buy. Overall material is comfortable and the pockets are deep and roomy.', 'That so caller brown color i received it was dark brown not even it looks like the image so is with the grey color as well. Only olive green it looks best.', 'Good product go for it']",Amazon,https://m.media-amazon.com/images/I/61Q+PGn5ReL._UX342_.jpg
https://www.amazon.in/Zinvosy-Straight-Casual-Stretch-Trousers/dp/B0BWTV1KG7/ref=zg_bs_1968125031_sccl_10/258-1229559-2740407?psc=1,Zinvosy,Men's Straight Casual Cotton Lycra Power Stretch Trousers Pant,₹499,5.0,10,10,"[""I have purchased this brand's product for the first time and the quality was really good just like any other top brands. Very good quality of material and stitching very comfortable to wear I would surely prefer purchasing another one soon"", 'A perfect quality product on amazon i am really happy with this trouser a perfect fitting looks totally good i think a must buy product at this price range.', 'The fabric quality is good. Am very with the colour and quality really awesome. Nice fitting overall nice product.', 'Liked the fitting of the trouser. The quality is really well. the fabric is well and is stretchable. Overall good in this budget.', 'Trouser is very good quality. I loved the overall fit and colour. Very comfortable for everyday or wearing occasionally. Light weight.', 'This track pant is very comfortable and fit as expected.. fabric is also good to wear. I loved it..', 'Very comfortable to wear .\nStretchable and good fiting.\nCan be used as a casual or formal.\nMust buy.', 'Attractive design and elegant look\nPerfect fit as expected, nice material quality\nA recommend product', 'Fit as expected\nSofft febric\nCmfrtbl', 'The quality and fabric is awesome quality.\nThe fit is very good.\nThe stitching is double even triple at same stretches!']",Amazon,https://m.media-amazon.com/images/I/31HeSqG+tQL._UY445_.jpg
