URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Van-Heusen-Solid-Regular-VSKP517S011419_Nautical_X-Large/dp/B076CNJ1YN/ref=zg_bs_1968120031_sccl_1/257-0329217-1454160?psc=1,Van Heusen,Men's Regular Fit Polo Shirt,₹550,4.0,28790,3173,"['Product is good. But the problem is size mentioned is totally inaccurate', 'amazing product, fitting is good\noverall value for money', 'The product quality is very nice. The color is also exactly the same as shown. The fitting is also perfect.', 'Ok', 'Quality is good', 'Very nice', 'Fit', ""It's nice product"", ""Nice tshirt, got for 560 but it's over sized buy one size small"", 'Value for money']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ISzvgAl2L._UY550_.jpg
https://www.amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_X-Large/dp/B06Y2CH63N/ref=zg_bs_1968120031_sccl_2/257-0329217-1454160?psc=1,Allen Solly,Men's Regular Fit Polo,₹590,4.1,60136,8933,"[""Ordered bottle green one , the colour is similar as shown . The packaging of the product is below than average as it came wrapped in plastic bag . Moreover, The quality of the product is good at this price and the another plus point is, the fit is perfect as expected , neither the colour fade after wash nor the quality of the product was compromised , overall it's good ! ."", 'This product is value for money. Best in this price range', ""I ordered two t-shirts from same brand but different colour, surprisingly both had different packaging.\nHowever, keeping that aside, product quality is great, the colour didn't fade during the wash and neither the quality of the cloth was compromised.\nOverall Satisfied."", 'Very good', 'Nice👌👌👌', 'Good', 'Average quality', 'First of all I thought that it’s fake Allen then got to know that yeah it’s original but the material is bit of cheap quality so yeah according to price point of view it’s okay deal not a great but from my pov if it’s price would be around 450 k then it would be great.', 'Recommend Allen Solly products on Amazon. They are genuine. The T-shirts I ordered are of good quality and fit perfectly. Been using them for almost 3 months now and they have not degraded.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71eUwDk8z+L._UY550_.jpg
https://www.amazon.in/Amazon-Brand-Symbol-Mens-AW17MPCP6_L_Pomegranate/dp/B073X4H6BJ/ref=zg_bs_1968120031_sccl_3/257-0329217-1454160?psc=1,Amazon Brand - Symbol,Men's Regular Polo Shirt,₹359,3.9,21424,2827,"['Shirt is so nice. material is good..\nBut I m so dissapointed due to delivery agent. Hi is so rude...\nNot satisfied..', 'Good enough.', ""Cutting one star for not receiving dark green. I am 5'10, and I ordered M size which I found perfectly fit from all angles (chest and length). I couldn't ask for anything more at this price. Fabric is fine w.r.t price. I bought it at 369/- per piece."", 'Good Quality ,Good Looking with Good Comfort.', 'The product is good and exact size need price reduce', 'Good fabric and fitting also good.', 'But colour faded', ""Don't expect much,for the price range its ok,\n\nhaven't washed it,but looking at the texture ,have no more expectations\n\nI purchased black color and it is best vaccum cleaner for dust( easily catch the dust)\n\nif you are six feet and have little belly go for xl xxl if u are big"", '', 'Good quality product at this price.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71rzKMArJZL._UY550_.jpg
https://www.amazon.in/LEOTUDE-Oversize-Round-T-Shirt-GRL_FS49_ORNG_Groovy_P_Orange1_M/dp/B0BRJG86X7/ref=zg_bs_1968120031_sccl_4/257-0329217-1454160?psc=1,LEOTUDE,Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),₹294,3.7,175,22,"[""Good product. I buy 3xl it is what the man wearing in preview image. Fabric is not cotton but it's not bad at all."", 'Good', 'Good quality but not the same orange colour that i was looking for it is like brick orange so returned', 'Very cool Tshirt nice color 👌\nAnd stylish too...', 'Fit as expected .\nColour as wanted .gud buy. Value for money .\nSize purchased xxl.', ""The tshirt is not really cotton. It makes you extremely swety and definitely irritates your skin. The print will come off as you wash it. It's not ment for Indian summers."", 'Quality is very bad', 'Good to go', 'Quality is so good.', 'So good. Worth of money']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61bzvKukDhL._UX425_.jpg
https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLPO3-6_XL_Multicolor6/dp/B073X4H5VV/ref=zg_bs_1968120031_sccl_5/257-0329217-1454160?psc=1,Amazon Brand - Symbol,Men's Regular Fit T-Shirt,₹499,4.0,16224,2363,"['tighter at chest area, but perfect at length and waist size\nbetter to order 2 inches bigger one while ordering for people like me who exercises', 'Product is good but white& black is little small', 'Reasonable price. Pure cotton. Bt the colour of dark colour clothes dissolves in water on wash.', 'Worth the money spent. Material is good and size is perfect fit. Need to observe shrinkage after washing.', 'Best clothes in 499/-', 'Cloth is really good\nFitting is also perfect\nThanks', 'The quality of t shirt is impressive', 'Product very nice but packing is not Gud. Simply put inside of transparency cover . I feel little bad about packaging.', 'Excellent', ""Packing isn't good. Also the quality of clothes isn't as expected. I'll prefer other tshirt at this range than this. Colour isn't bright as shown in the product picture.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71eWZpgtFiL._UY550_.jpg
https://www.amazon.in/Jockey-2714-0105-WHITE-White-T-Shirt-2714-0105-WHITE_White_M/dp/B012STP7EO/ref=zg_bs_1968120031_sccl_6/257-0329217-1454160?psc=1,Jockey,2714 Men's Super Combed Cotton Rich Solid Round Neck Half Sleeve T-Shirt,₹549,4.3,20263,2734,"['the T-Shirts are comfortable, cheap, good fit, nice colours and lasts long (has been using for more than a year) and have re-ordered now.', 'Value for money', 'Nice fabric and very comfertable', 'Nice t shirt but a bit loose.', ""Ausome quality and doesn't spoil after wash worth it.."", 'Nice tshirt, original product.', 'Very Good material and original jockey t shirt', 'Great as always', 'Nothing has fit me better.', 'Nice product from jockey but slightly big in size i have purchased it in 350 rs. If you find this t shirt under 500 rs thn it is definitely worth it. But size is bigger. Buy 2 size smaller than yours. If you wear XL then for perfect fit buy medium size😊👍']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71DaKKQ93ZL._UY550_.jpg
https://www.amazon.in/Allen-Solly-Regular-T-Shirt-ASKCQRGF726668_Pink/dp/B08KG3GG2G/ref=zg_bs_1968120031_sccl_7/257-0329217-1454160?psc=1,Allen Solly,Men's Regular Fit T-Shirt,₹399,4.0,3632,229,"['👍', 'Almost good', ""Nice product as per it's price"", 'Nice', 'Quality is too good original Allen Solly', 'Good 1', 'Good to go', 'Quality of this t-shirt is good and nice to wear comfy.....I would to buy similar quality t-shirts more...Thanks\nTt', 'Superb tshirt, highly recommend']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Pxp3MaJtL._UY550_.jpg
https://www.amazon.in/Scott-International-SS20-3RN-BU-GR-CH-L_Navy-Charcoal-Grey_Large/dp/B084L9DK9H/ref=zg_bs_1968120031_sccl_8/257-0329217-1454160?psc=1,Scott International,Men's Regular Fit T-Shirt (Pack of 3),₹523,3.7,36780,4097,"['Definitely worth for money. Buy one size extra than your requirement to get the proper size. Shirts a little thick- good for winter .', 'I tried many t shirts online, there are bad fabrics and there are non standard sizes, colour variations in viewing online and realistic, but here i dont feel that i lost my money or i got cheated, its worth buying for this money. i am using this for daily jogging or gym activity.', ""These tshirts are good but not very good just because of its Clothe quality, i would say its not that bad but Clothe material is thin, so gentle wash is recommended from my side. Also i ordered 3xl for my father, but he then refused to wear them. So I thought i should return them. But it's good that i didn't return these tshirts because now I'm wearing these and believe me these are very soft and im loving 3xl, it's loose but very comfortable. So whoever looking to buy this item, you got my recommendation, decision upon you as always."", 'Overall Happy with the purchase.', 'Quality is good', 'Good', ""The clothes quality doesn't mett as I expected."", 'Good', ""It does the job. It's just a t-shirt."", 'Nice Products For Daily Uses 👌 😊 👍🏻']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71HBNT3R66L._UX466_.jpg
https://www.amazon.in/TOPLOT-T-Shirt-Regular-Printed-Mens-T-shirt-5056-L/dp/B0BVR55TJN/ref=zg_bs_1968120031_sccl_9/257-0329217-1454160?psc=1,TOPLOT,T-Shirt for Men||T Shirt||White T-Shirt for Men||T-Shirt for Boys||Regular Fit T-Shirt for Mens||T Shirt for Men||t Shirts for Men Casual||Printed Casual T-Shirt (Mens-T-shirt-5056),₹299,4.5,64,50,"['Good quality', 'Good material cloth, best fabric . Its easy dry fabric.\nthe texture is fine , colour is superb.\nBest recommended and goos for daily use', 'The quantity of the tshirt is quite immpressive and it feels at best comfy overall. the chest and the shoulder are wise enough to fit nicely and the print is awesome.', 'One of the best product I found with best quality and price, design is amazing and quality is really prime.', 'I bought 2 t-shirts to twin with my husband. They look so nice and the material is very soft. My husband said he wants more t-shirts of this brand.', 'Fitting is good and also worth of money so comfortable I love it T-shirt. Material is also very good. Awesome. Awesome awesome', 'The product is awesome', 'I loved it 😍\nFitting is correct\nVery comfortable & high quality\nI will order 1 more', 'Size is good\nT shirt quality is nice', ""It's good product go for it.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71GITfTSeRL._UY550_.jpg
https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLSR3_L_Pure/dp/B073X4KMH6/ref=zg_bs_1968120031_sccl_10/257-0329217-1454160?psc=1,Amazon Brand - Symbol,Men's Regular Fit T-Shirt,₹309,3.9,2909,410,"['only volume margins, i would say.\nGreat Buy at offered discounts.', ""I've bought a bunch of these, but one in this batch was smaller than the others, though all were marked L."", ""The product was good for the price. I got it for ₹250 plus delivery. The only thing is, it is not 100 percentage cotton. It is comfortable though. I'll give brief review after two three wash."", 'Ok product. Value for money. Can be bought', ""I just expected bright color bit it doesn't. Color is faded."", 'Excllent product and very rightly priced . Fabric quality is good', 'I love this product … good going guys', 'Colour is same as picture', ""The product is very thin and of poor quality. Color isn't great. Packaging is worst. It got stained . The delivery executive drenched it in rain before delivery"", 'Good package for summertime']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71tOFBNH2XL._UY550_.jpg
https://www.amazon.in/AMERICAN-CREW-Burgundy-T-Shirt-Applique/dp/B01LB53X3I/ref=zg_bs_1968120031_sccl_11/257-0329217-1454160?psc=1,AMERICAN CREW,Men's Polo Collar Half Sleeve T-Shirt,₹699,3.9,17309,2980,"['Fabric is nice & comfortable. But 700 is too much for it', 'This is a great product to buy.', 'Nice product', 'The product was delivered in a neat and sturdy packing and the actual product was also a clean and neat piece of t shirt delivered. Thanks.', 'Very good product', 'Fit was as expected, will update revirw after few washes', 'Material good ..not fit', 'Good', '', 'Nice one']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-i8j1PHAL._UY550_.jpg
https://www.amazon.in/Allen-Solly-Regular-T-Shirt-ASKPQRGFY97107_Light/dp/B08KTZDXMG/ref=zg_bs_1968120031_sccl_12/257-0329217-1454160?psc=1,Allen Solly,Men's Regular Fit Polo,₹719,4.2,3876,216,"['As expected!', 'All good\nSize defect for me I am replacing with same product with XL hope it will perfect', 'Good product', 'Packing bwas worst', 'Must buy product.', 'Very good product. Satisfied with comfort.', 'Good one.... quality super', 'Good looking t shirts at a nominal price. Overall a great buy. Holding back a star as durability is unknown', 'Right price. Quality is better.', 'Product is too small']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81RcNGzlIhL._UY550_.jpg
https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirt/dp/B07FLC3ZN3/ref=zg_bs_1968120031_sccl_13/257-0329217-1454160?psc=1,London Hills,Solid Men Half Sleeve Pure Cotton Round Neck T-Shirt,₹199,3.8,944,145,"['Good product. Worth the money', 'Great Fit Quality Best,', 'It is a ordinary tshirt for regulR use. Quality is good', 'Good product material with ease of comfort', '', 'Nice', 'Nice I like it.', ""Material is not soft , sleeves seems little smaller\nDon't know the after wash results yet\n\nBought 2 colours\nBlack was fine\nBut White looks very bad , it's almost see through and looks very cheap, better avoid white"", 'Nice product', 'I purchased this as a Gym wear for my son , he liked it, very comfortable. Nice material.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71tJWaahoDL._UY550_.jpg
https://www.amazon.in/Chromozome-Regular-T-Shirt-OS-10_White-Grey_XL/dp/B07CQN23VG/ref=zg_bs_1968120031_sccl_14/257-0329217-1454160?psc=1,Chromozome,Men Mens Tshirts,₹399,3.9,15491,3278,"['Go for it if want to wear them as under shirts or at home. Not a good option to wear these outside especially when high sweating.', ""The brand is reputed and you get good quality vests at low price. I bought this because I needed black and white tshirt for daily use. Unfortunately, it can't be used outside except for gym or playing outside. The quality is good and this is not thick as expected. It's like vests, but with a little heavy fabric. I like the feel except it itches at the collar. I have used it as inner layering."", 'Good one', 'Good', 'Shoulder length is small so', ""This is a good set of tees. Product is sort of inline with the price tag. Don't expect life from these. Material is nice. Somehow fit differed from tee to tee. Black one fits nice for me but the grey ine doesn't. Overall 4 star purchase. Can recommend if you are ok with uts shorter lifespan."", 'Nice Produt', 'hate the cloth quality and fitting', 'Ok', 'Very good product']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71X7pa5hBTL._UY550_.jpg
https://www.amazon.in/Max-Mens-Solid-Slim-AMPSP2001HSCNAVY_Navy/dp/B08353M893/ref=zg_bs_1968120031_sccl_15/257-0329217-1454160?psc=1,Max,Men Tshirt,₹399,4.0,12106,873,"['Fit is fine and comfort is okay with budget', 'Good product', 'A good quality T shirt, ie wearing comfort and value for money. After washing also the product retained its quality. I purchased XL. A person wearing 40 or 42 shirt must select XL or XXL (L and M will be much smaller). The purchasing price was 350/- Rs.', 'Colour is same as shown in picture, quality of product is good.', 'Small in size. Want to buy bigger size.', 'Osm product 👍😊😊', 'Good product nice fit', 'Good', 'The quality is okay, but not great as the material is bit on softer side and is bit thinner when compared to other polo t-shirts from Alan Jones, classic polo, Jack and Jones, Peter England etc...', 'Value for money']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81vHlgI1+dL._UY550_.jpg
https://www.amazon.in/Amazon-Brand-Regular-Essrv03-01_Grey-fanfare_XL/dp/B07WRS2H42/ref=zg_bs_1968120031_sccl_16/257-0329217-1454160?psc=1,Amazon Brand - Symbol,Men's Regular Fit T-Shirt,₹519,4.0,9358,1250,"['Nice t shirt go for it...', 'Good', 'For casual wearing', ""Out of three, two t shirts are 100% cotton and one is 60% polyester and 40 % cotton. Two shirts marked 2xl are smaller than one 2xl. Three other same brand t shirts which I bought earlier for 599 were all 100% cotton and 2xl size. The present set does not compare with them in size and texture of fabric. Amazon's brand being so inconsistent and unreliable is very disappointing. I have lost my faith with Amazon. The 100 rupees less for this set explains the inconsistencies."", 'Like the product quality is good', 'So so gud', 'Good', 'The material is good. Correct size as per my order.', 'பார்சல் பரிசாக அளித்தால் ஆர்டர் செய்தவர்களுக்கு உடனே தெரிவிக்கவும்.', ""Shirts don't allow for air passage and become very uncomfortable in the summers.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71JmyWclt+L._UY550_.jpg
