URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Greciilooks-Western-Dresses-Knee-Length-Medium/dp/B0B86D7QWJ/ref=zg_bs_15330093031_sccl_1/258-1229559-2740407?psc=1,GRECIILOOKS,Western Dresses for Women | A-Line Knee-Length Dress | Midi Western Dress for Women| Short Dress,₹399,4.0,419,99,"['There is no price tag attach to the dress - fyi', 'The product is excellent & my daughter liked it a lot.', 'Fabric is good, fit is uneven.', ""I am 5 ft tall and bought this dress after going through the reviews. I thought this dress should be okay in length for me but it's really too short."", 'Love the fabric, print and design!!\nIt looked so pretty on me but I wished it was just an inch longer.. still loveee it', ""Overall a wonderful dress which is exactly how it's displayed in the picture. Anyone planning to buy it go for it."", 'Perfect fit , comfortable fabric love the colour of dress 😍']",Amazon,https://m.media-amazon.com/images/I/51CDL1BZoyL._UY500_.jpg
https://www.amazon.in/Leriya-Fashion-Western-Dresses-Multicolor/dp/B0BDVTNFVN/ref=zg_bs_15330093031_sccl_2/258-1229559-2740407?psc=1,Leriya Fashion,Western Dresses for Women | Short A-Line Dress for Girls | Maxi Dress for Women,₹279,3.7,385,61,"['Product quality is good. Value tor money. Color is good.', 'Good to wear', 'Nice one...one should purchase.', 'Not good for daily wear purpose', 'Okok', 'Good choice for long t-shirt', 'Looking good....', 'Nice dress with vibrant colours.love it', 'Nice product….Very comfortable….', 'Very good product']",Amazon,https://m.media-amazon.com/images/I/713EWcF36KL._UY550_.jpg
https://www.amazon.in/OOMPH-Womens-Crepe-Line-Dress/dp/B09WLM4W41/ref=zg_bs_15330093031_sccl_3/258-1229559-2740407?psc=1,OOMPH!,Maxi/Full Length A-line Green Dress in Crepe Fabric with Round Neck and Butterfly Sleeve,₹399,3.6,5400,509,"['I got different colour and design but that also good so I am satisfied', '👍', 'Not true to size.', 'The quality is nice at this price. I exchanged with the one size smaller it perfectly fits. Colour is same as shown .', 'product is not bad, but lengthy', 'Comfortable fabric and design. Sleeve was a little shorter than I expected, but overall great product at this price. Much better that I expected at this price point, based on some previous Myntra purchases.\n\nI\'m 5\' 6"" and this falls between calf and ankle length for me.', 'The product is adjactly the same as displayed on site. Plus very comfortable fabric and final look is decent too. Not to forget it is poket friendly too.', 'Not at all sheer dress, the fabric is thin but comfortable and good for daily wear as well as for outings.', 'The color nice looks elegant', 'The design pattern is v nice. Flow of the dress around body is seemless and feel good factor is there.']",Amazon,https://m.media-amazon.com/images/I/81L5ogWaXgL._UY550_.jpg
https://www.amazon.in/Uptownie-Lite-Womens-Button-Maroon/dp/B07S4JXQR6/ref=zg_bs_15330093031_sccl_4/258-1229559-2740407?psc=1,Uptownie Lite,Women's Shirt Maxi Dress,₹499,4.0,1597,231,"[""Love the product... everything is perfect there's no complaint regarding this whole outfit..like you can really go for it"", 'Quality of the product is very good...soften and comfortable.. must try', 'Absolutely love the comfort and decency.\nI bought it for easy breast feeding but only top three buttons open. Tailor made the rest openable as well. I mention it only because I decided to go for it based on someone’s Q&A on the topic who mentioned it’s absolutely breast feeding friendly. So nope, it isn’t, it needs an adjustment.\n\nHowever absolutely great I’ll definitely get more.', 'It is a simple and neat-cut dress. Loved it. The fall is not as shown in the product image, though. The material is a little thinner than what it looks like in the image.', 'Overall style is good but would have better if it had longer belt and material was less synthetic.', 'The fabric is really light, perfect for summer and comfortable. Really pretty and good quality dress', ""Dress is very nice nd tendy.. Only one thing I didn't like is color. In the picture it's look like rani pink/magenta. But in reality, it is bright neon pink which not suit to my skin tone. Because of color issue I return the product."", 'Cloth is too comfortable, i got the brown stripped one, looks classy after i wore it, cloth sits great on ur body, it will make look ur figure good with belt, very happy with it, it fits freat without any alterations. Quality of the cloth is good, price is also less.Go for it.', 'Average quality, and the material sticks to your body.', 'Just Go for it -S fits well for 34b \U0001faf6🏻\U0001faf6🏻']",Amazon,https://m.media-amazon.com/images/I/51EodL-ka4L._UX466_.jpg
https://www.amazon.in/ishin-Womens-Cotton-White-Embellished/dp/B096BFK31G/ref=zg_bs_15330093031_sccl_5/258-1229559-2740407?psc=1,ishin,Women's Cotton Above Knee Length A-Line Indo Western Dress,₹999,3.8,540,73,"[""I expected it to be more beautiful, and I don't think it is worth for 1000 rupees at all... After all it's nice but needed more."", 'Comfortable, adorable and beautiful dress . Fabric is also very nice .', 'Quality is good but overpriced', 'Nice dress', 'Price is too much', 'It sure is a pretty dress. It is a little transparent as it is of thin material. Its pattern and design is beautiful. It reaches just below my knee. I bought M size and it was loose for me. Price is bit high.', 'The stuff and the fitting.. perfect....', 'Cloth quality awsmmm. Must buy item with a beautiful colour', 'Nice', 'Good and comfortable quality']",Amazon,https://m.media-amazon.com/images/I/61gUUqzWgRS._UY550_.jpg
https://www.amazon.in/Serein-Fashfun-Womens-Printed-Elasticated/dp/B0B9GKCD2W/ref=zg_bs_15330093031_sccl_6/258-1229559-2740407?psc=1,Serein,Fashfun Women's Co-ord Set (Red Animal Printed Crepe Crop Shirt & Elasticated Waist Pant Set),₹399,3.4,162,32,"['Crotch is uncomfortable as tou can see in the picture', 'What could have been a lovely co-ord set is ruined by the fit of the bottom half - too long in the crotch and tight at upper thigh. I ordered a small but material at tummy area is excessive so going up a size for a looser fit at the thigh would have made it altogether too big. Otherwise print and material quality are both good. Disappointed!', ""I really loved this one the print is awesome the material is fine with the price it can be compromised but the fit is too poor.I ordered Medium size but the pant didn't fit me so I exchanged it and orders Large but the funny part is the large size pant was smaller than the medium size.Medium size was still I can fit in but L one was no even going above my thigh..Too much disappointed .."", 'Nice in dis price but little transparent.', 'Value for money...get lots of appreciation for this coord...only negative thing is bottom fitting could have been better... otherwise nice colour easy to carry..', 'Liked it & good in terms of money', 'the size is large and the pants fitting is ill.', 'Quality is good but incorrect size. Small size is too small', 'I called for the set, good quality, stylish shirt is good, the pants fit a little tight, smaller in size near the thigh area so if you have a heavy lower body it may not work for you, otherwise great buy', 'Really liked it. Superb material and perfect fit. Very comfortable.']",Amazon,https://m.media-amazon.com/images/I/71gmHE271nL._UX466_.jpg
https://www.amazon.in/Fashfun-Bootcut-Evergreen-Fash-COORD-1-Q1-M/dp/B0BXL2HJBK/ref=zg_bs_15330093031_sccl_7/258-1229559-2740407?psc=1,FashFun clothing,o-ord Set (Solid Crepe tie-up Shirt and Bootcut Pant Set),₹749,3.8,32,12,"['The colour is exact as shown in pic quality also good, lil loose for XL please check the size chart b4 buying', ""The dress, color silhouette all are just perfect as per pic. Only the pants were narrow for my size- so returning it back. Else it's awesome"", 'Nice set beautiful 😍😍', 'Am happy this dress', 'I like the product very very much Its fitting is very nice... And quality of product is awesome', 'As good as picture', 'Wow wow wow', 'There was no belt with the outfit, its loose fitted. When contacted the seller , they didn’t help at all.', 'We have not received with label so I request plz return', 'Very nice fabric fits very very well very comfortable I loved it']",Amazon,https://m.media-amazon.com/images/I/61NJOHYqi5L._UX522_.jpg
https://www.amazon.in/Lymio-Dresses-Women-Western-Dress/dp/B0BVBCCTLW/ref=zg_bs_15330093031_sccl_8/258-1229559-2740407?psc=1,Lymio,Dresses for Women || Western Dresses for Women || Dress for Women || Dresses (632),₹499,4.2,13,11,"['Pretty dress nice fit and colour', 'It’s good', 'I like this dress. Color has also very good. Design has also good. This dress has personally fit the size. Quality of this dress has also very good.', 'Product is good and Awesome for party.', 'This dress fabric is very good, best for summer, color is so pretty go for it, value for money', 'Nice fabric , colour is also very good, fits perfectly, must buy', 'I have received this red one piece just as shown and its so good, quality is 10/10.I loved it must buy without any doubt.', 'I like this dress. I love this design and colourful ..Good dress for summer', ""I'm in love with this dress. I'm going to be wearing this whole summer. The color is perfect for summers. The material is quite breathable. Must try!!"", 'I love the product 😀 the size is fit to my body.']",Amazon,https://m.media-amazon.com/images/I/81s3Bg2AaVL._UY550_.jpg
https://www.amazon.in/DHRUVI-TRENDZ-Casual-Western-Multicolored/dp/B09PGFFDF7/ref=zg_bs_15330093031_sccl_9/258-1229559-2740407?psc=1,DHRUVI TRENDZ,Women Rayon Casual Wear Western Dress Gown for Girl/Women/Ladies,₹369,3.3,1166,139,"['My daughter likes it very much,fitting is as aspect as shown as picture.', 'Good product even though cloth quality is mediocre. .but if u wear it looks elegant and perfect for pics than directly', 'Could have been better', ""Cloth material quality is less than expectations.It is not rayon, as written .Also it is not soft.color also not matching with pic as shown by seller.But lookeise it is good, stitching is also nice, specially neck design is too good and i also liked the two pockets, print design is also aprecciable .\nSuggestions to other buyer...\nChoose medium size if your height is 5'3 and weight 60-64"", ""Good one. Nice dress but the length is little short not as in the image. It's just below the knee."", 'Worth of money. Quality is very good\nand product delivery was good', 'Mujhae bilkul acha ni laga ye to', 'Material is very bad... Not at all worth for 410/- rupees.', ""It's not a midi, it ends right below the knees. But then the dress itself is great and looks very good. Not an office wear"", ""The length of the product doesn't meet with the original image.""]",Amazon,https://m.media-amazon.com/images/I/51IAgWvFuGS._UX425_.jpg
https://www.amazon.in/Harpa-Polyester-Line-GR5991-Multi_XL/dp/B08CSXLN4R/ref=zg_bs_15330093031_sccl_10/258-1229559-2740407?psc=1,Harpa,Women Dress,₹659,3.9,5895,683,"['Best dress', 'Awosome product', 'This dress is a perfect summery floral dress. The fit of the dress is lovely and it is a very comfortable dress.', 'Decent product', 'Very good model perfect stitch. Polyester fabric Dress.', 'Packaging is not good,but product is good and also fitting and quality is very soft and all over I love the dress.', 'Such a beautiful dress 👗 go for it...', '', 'Worthy dress must buy 🌹']",Amazon,https://m.media-amazon.com/images/I/61eHWRyP6AL._UY550_.jpg
