URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/ANNI-DESIGNER-Straight-Pustak-Blue_M_Blue_Medium/dp/B0BV6WSF33/ref=zg_bs_1968255031_sccl_1/257-0329217-1454160?psc=1,ANNI DESIGNER,Women's Cotton Blend Printed Straight Kurta with Pant (Pustak Blue),₹435,3.8,48,31,"['Very nice product. Go for it', ""Looks wise it is great but the material is not suitable for summers .otherwise it's good."", 'It is nice overall, true to size and colour but the quality is not upto the mark..... The fabric is little low quality but good for few uses', 'Daily life use', 'Very good purchase 🙂 but kurtha is long though fyn ... Very comfortable clothing for daily wear ☺️', 'The fitting of the suit is amazing. Colour and print true to picture. Must buy.', 'Fabric is good , stichting is also good, fit as expected overall good product.', 'Looks good fiting is gr8 sof material got the product at reasonable rate no fadded color color combinaton is up to mark', 'Nice kurta set amazing fabric absolutely perfect fiting and very good for office wear, colour and design is also same as picture, love the purchase😇', 'I liked the dress material and found it as premium quality and it fitted me very well.\nColour also suits me and stitched very well.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61q-JREtrAL._UY550_.jpg
https://www.amazon.in/MEERA-FAB-Printed-Anarkali-Palazzo/dp/B0BTX2YD4R/ref=zg_bs_1968255031_sccl_2/257-0329217-1454160?psc=1,MEERA FAB,Women's Cotton Printed Blue Anarkali Kurta with Palazzo & Dupatta Set,₹799,4.0,137,57,"['I liked the material.Soft cotton.comfortable to wear in summer. Dupatta length is only 2 mtrs which is very less for me as I am tall.Anyway value for money.Machine wash not recommended as the cloth is very soft and might not withstand machine wash', 'All good. The sheeves are very tight as compared to the overall size of the dress', ""At this price range..it's a nice n comphy kurta set 👍"", ""The material is of good quality & it's quite comfy to wear. Didn't expect it to be so good at such price but really glad I bought it. First time got such nice fitting pants at this cost. Overall happy."", 'The kurta and duppata is good. The palazzo does not fit at the hips considering XXL size.', 'Nice dress', 'Design on kurta looks different from the picture shown', 'Value for money.', 'Although the fabric is light n good especially for summer, But, the Neck line is not same as image, no much gathers at waist line.\nOverall looks cool one for Summer', 'Beautiful dress\nGood quality\nComfortable wear']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71T-yPIj-sL._UX425_.jpg
https://www.amazon.in/Vaamsi-Womens-Printed-Dupatta-VKSKD1171_XXL_Green/dp/B09BFF831Z/ref=zg_bs_1968255031_sccl_3/257-0329217-1454160?psc=1,Vaamsi,Women's Cotton Blend Printed Kurta Pant Dupatta Set (VKSKD1171_Green),₹659,3.9,816,79,"['Like', 'It was amazing kurta set', 'I liked the material and the quality', 'Nice', 'Product is nice not pure cotton but can work', '', ""The material is not do good, but it's light which makes it better for Summer."", '', 'Very comfortable and value for price ..must buy', 'Must buy,good product fits perfectly,value for money.fabric quality is very good']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ntNcW3OhL._UY550_.jpg
https://www.amazon.in/ANNI-DESIGNER-Straight-KIDYA-Blue_L_Blue_Large/dp/B0BSS89FNF/ref=zg_bs_1968255031_sccl_4/257-0329217-1454160?psc=1,ANNI DESIGNER,Women's Cotton Blend Printed Straight Kurta with Pant (KIDYA),₹469,4.1,120,92,"['Happy customer😁😁', 'Amazing product fit was correct and the suit is same as expected', ""Good fabric quality, Kurti fits perfectly, but the pants are not very comfortable for me, it's difficult to sit down as pants are little tight for M size. Hence tried returning but it got cancelked saying the price tag is missing... now I am stuck with a ill fitted product"", 'Great quality and perfect fit', 'Yes', 'Cotton suit. Print is amazing. Fresh colour and very comfortable. Best option for summer wear..', 'I have bought this kurta and pant set for my mom and she liked it a lot. Its stuff and print is absolutely good. Also, the color looks so pretty on her.', 'its as shown as in the picture, best quality cotton (sooti in hindi ) good for summer but the sizing should be kept in mind as cotton shrinks after wash ..size up one size according to me ! overall great product acc to the price.', 'I always prefer to wear soothing shades and fabric in summers .This kurta set is realy an appleaing approach in terms of its colour.The fabric too is very soft and. An be easily worn in scorthing heat of North .Loved the suit.', 'Amazing fit, love the fabric and design plus pant have pocket, look same as shown in picture, good quality']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/617RNsoETPL._UY550_.jpg
https://www.amazon.in/Rangnavi-Anarkali-Embroidered-Printed-Dupatta/dp/B0BPY8D3D1/ref=zg_bs_1968255031_sccl_5/257-0329217-1454160?psc=1,Rangnavi,Women Rayon Anarkali Embroidered Printed Kurta Pant and Dupatta Set,₹845,3.9,179,62,"['It looks classy. M very happy with this purchase.', 'The colour is same as shown in figure... Fittings are perfect... Material quality is good and soft..', 'Overall good, value for money', 'Colour looks different in image..', 'Great', 'Good 👍 Go for it', 'Nice and comfortable. Only length of dupatta is less.', ""It's really a good set.. loved it"", ""The overall fabric and work is very nice. The top fits very well and the dupatta makes it complete. The only fault is in the fitting of bottom. It's not stitched properly. Size is perfect but stitches are not proper."", 'Dress is same as seen in the picture. Unfortunately dupatta is really short.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41HnNEzSeCL._UX522_.jpg
https://www.amazon.in/Vaamsi-Womens-Printed-Dupatta-VKSKD1238_L_Blue/dp/B09G73RQL7/ref=zg_bs_1968255031_sccl_6/257-0329217-1454160?psc=1,Vaamsi,Women's Cotton Blend Printed Kurta Set with Dupatta (VKSKD1238_Blue),"₹1,149",3.7,524,76,"['For office use its awesome 👍🏻 go for it ☺️', 'Very comfortable, true to size and flawless prints. Overall good purchase', 'The quality of the product is very good.', 'Looks very pretty on me cloth is very good print very good but only one glitch is that one sleep is tight and no margin to make it fit i tried to exchange but only return was available so I keep it as I really like the print over all I like it so you can go for it', 'Good quality...TRUE to size overall nice product 👌', 'Soft fabric nice colour and soft dupatta.\nBest in range.', 'Duptta fabric quality not good', 'I think this is not pure cotton....something mix..']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81rTa+xpERL._UY550_.jpg
https://www.amazon.in/GoSriKi-Embroidered-Straight-Dupatta-MYSURU-Cream_M-GS_Cream_Medium/dp/B0BFB9YCVN/ref=zg_bs_1968255031_sccl_7/257-0329217-1454160?psc=1,GoSriKi,Women's Cotton Blend Embroidered Straight Kurta with Pant & Dupatta (MYSURU-GS),₹732,3.8,356,114,"[""It's amazing, worth buying"", 'Wow nice cloth 🙂', 'The product is good but do not expect the best cloth quality at this price.\nOverall its a recommendable product..go for it.', 'Quality is good', 'I liked it', 'Product is good , but fabric is not same as shown', 'The pictires show golden colored product but it actually is cream/ beige in color but the fabric and quality of cloth is good and the attire gives and elegant look.', 'The top is a little loose for me but it\'s okay as it can be shaped as needed...to me the duppatta was the striking part when I saw it in the image & the description said ""Dupatta Fabric : Embroidered Poly Cotton"". However when I recieved, it did not match as per description.. little disappointed on that...otherwise the product is okay..', 'I liked the dress a lot, it is perfect for all type wear. I ordered M size pant is little tight, exchanged with L size. Quick delivery and exchange.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61CSwtvIKsL._UX425_.jpg
https://www.amazon.in/Amazon-Brand-Womens-Regular-SS19MYXTP019B1_Pink_Large/dp/B07R2679LV/ref=zg_bs_1968255031_sccl_8/257-0329217-1454160?psc=1,Amazon Brand - Myx,Women's Cotton Straight Short Kurti,₹349,4.0,2289,263,"['Cloth quality is good. The neck design could be better', 'Wonderful product as shown in picture go for it🥰👌', 'Good', 'Good fit for people heavy on the lower body', 'The kurta is of decent quality fabric, no transparency, neat fit and stitching. For its cost, a definite buy.', 'Value for money.', 'Ok', 'Good product and cloth also good.', 'Nice suttle colour and neat Stitching. The colour is fast and does not bleed after wash. Buy with confidence 🙂']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81yWcDUh18L._UY550_.jpg
https://www.amazon.in/EthnicJunction-Georgette-Chikankari-Embroidered-B19-Apsara-Black_S_Black/dp/B0B3J43JQZ/ref=zg_bs_1968255031_sccl_9/257-0329217-1454160?psc=1,EthnicJunction,Women's Georgette Chikankari Embroidery Anarkali Kurta,₹499,4.1,782,169,"[""A good shopping at this price ...anyone can give a try and won't be disappointed."", 'I never loved wearing kurtis but this kurti is just amazing I received so many compliments just loved it.', 'Very nice product quality', 'The kurti is indeed beautiful....... But it is not Chikankari although the design seems so.... Its all machine work.', 'Value for money best quality 👌', 'Cloth is good 4 star coz it is see through other wise no issues in design and dress material.', ""It's perfect fit look good a good deal"", 'I love Colour, prize was good\nWhole kurti is perfect for me and size also fitted', 'Quality should be improved', 'U get what u pay for. Not original but decent work']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81B5O-xyq4L._UX466_.jpg
https://www.amazon.in/Vaamsi-Printed-Trousers-Dupatta-VKSKD1134_XL_Grey/dp/B09B12TT6C/ref=zg_bs_1968255031_sccl_10/257-0329217-1454160?psc=1,Vaamsi,Women's Cotton Blend Printed Kurta Trousers and Dupatta Set (VKSKD1134_Grey),₹659,3.6,351,39,"['I love it value for money', ""Go for it. Fabric is good. But have small doubt if it will gets shrink after washing. Overall it's good. Though the dupatta is shorter."", '', 'Love the colour and fit !! Cloth is slightly thin but not transparent!', 'Happy with the product. Awesome 👍', 'The material is cotton mix however the dupatta is rayon fit is really good\nIts a perfect wear for both office and daily wear', 'I want to returned it because of size issue but there is no option. Disappointed', 'The salwar set is really good and it fits perfectly!! Cost effective one', 'Like', 'I got only kurti without dup1atta or pant. Although the material or kurti is too good in this range. I wanted to exchange the set but the size is not available on that time. Please send a proper set to the consumers. I love the print or material. If possible please share full set of XS.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Lag09yeKL._UY550_.jpg
