URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Denill-Women-Bottom-Slipper-numeric_6/dp/B09RWMGVT4/ref=zg_bs_1983633031_sccl_1/257-0329217-1454160?psc=1,Denill,Women Soft Bottom Doctor Sole Slipper,₹299,4.0,4171,470,"['Stitches are not very good...', 'It comes with me so many times\nQuality is good but not satisfied with size order one size 7 and other size 8 but both pairs get size 7', 'Good product', 'After 10days it stated fade', 'Company should standardise the sizes of their slippers, equivalent to the international sizes or Bata, Khadim, Liberty, etc. Its UK 9 slippers measure 10.4 inches which equals UK 7 of Bata i.e. 2 sizes smaller. The UK 9 size must equal to 11 - 11.3 inches in heel to toe legth.', 'Good quality very happy nice color', 'You can go for the quality but order 1size larger for length and if have wide feet,order 2size larger.', 'The light colour will be dirty soon.', 'Good', 'Beautiful product, quite comfortable for my mom of 60. Only thing is after few uses your feet get imprinted on the footwear. Photo shared is after wearing the footwear for a month almost daily.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51YOF1hZ5wL._UY500_.jpg
https://www.amazon.in/TRASE-Outdoor-Floater-Sandals-Flatform/dp/B0966CBTHW/ref=zg_bs_1983633031_sccl_2/257-0329217-1454160?psc=1,TRASE,"Women's Fashion Sandals | Light weight, Comfortable & Trendy Flatform Sandals for Girls | Soft Footbed | Casual and Stylish Floaters for Walking, Working, All Day Wear",₹499,3.8,3471,394,"['Considering the price, it’s good enough. It was slightly smaller than expected. Comfortable. The top part of the sole loses shape pretty quickly. Also looks dirty very easily; requires cleaning often. Kind of easy to wash though', ""One thing about these slippers is that they are extremely slippery and cannot be worn if it's raining. Besides that, it's very comfortable and pretty, so I can't complain. It's a bit heavy and I'm not sure if it can handle a bit of running or jogging. The straps are a bit flimsy."", 'Bought it for my partner. This is stylish and comfortable', 'Sandals are comfortable, light weight but I have doubt about its stitching. It looks nice but I just hope it will be durable.', ""It's not soft"", ""That's very good and comfortable sandals for girls"", ""Not perfect in size , I bought 5 no but it seems it is 4 no, no size is written in sandals, as it's open from the front I kept it as I was leaving for the trip. Otherwise it's good"", 'product is good, but it did not fit me so I had to return.', 'Very soft and comfortable footwear. Fits as expected and looks good.', ""This Sandal is very comfortable to wear.You do t realise you are wearing something on your feet.Very light weight.\n\nSomehow I just felt the straps should have been little smaller.they are too long for me when I adjust to stick on Velcro.The strap actually comes out of the foot frame.\nOtherwise there is no con for this .\nIt's absolutely best purchase""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Dxa4I8qmS._UX500_.jpg
https://www.amazon.in/Denill-Womens-Antique-Synthetic-Comfy/dp/B07MZ97HY7/ref=zg_bs_1983633031_sccl_3/257-0329217-1454160?psc=1,Denill,Women's Toe Srap Wedge Sandal,₹299,4.0,1667,237,"['Value for money', 'Just the same as it is shown in the picture, good product and comfortable, value for money and worth buying ! Very happy with my purchase !!', 'Good quality', 'Gud product', 'Nice', 'Very nice sandals, color, fit, comfort everything is nice. I got it same day delivery, thank you for that. Worth buying', 'Buy one size bigger my size is 6 uk but i purchased 7 uk which exactly fitted me, reviews helped me a lot', 'Good quality. But no comfort', 'Loved the sandals', 'Comfortable']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61T0u4PhuzS._UY500_.jpg
https://www.amazon.in/crocs-Swiftwater-Women-Sandal-Black/dp/B01H6ZR0BS/ref=zg_bs_1983633031_sccl_4/257-0329217-1454160?psc=1,crocs,girls Swiftwater Sandal W Outdoor Sandals,"₹1,318",4.2,31772,6617,"['Very comfortable wear. Heal shorter than expected', 'Liked the product as its very comfortable to wear.', 'The product was bought for me during pregnancy,it was easy to wear but was not very confident to wear, but it differs for people because my mum loved this product and she was comfortable wearing it', 'For outdoor its perfect', 'Order 6 if your size is 7. Very comfortable and good looking', 'It looks very pretty. Color is nice. But there was no choice of colors. Also we ordered a size too large and had to return. Had it been correct size, we wud have kept.', 'Packing is blah n size n fit is too loose', 'Good looking. Got it @ 1499. Quality product though expensive as many good quality flip flops available at much cheaper price. However, crocs swiftwater has its own elegance.', 'Quality is good but quite expensive, similar cheaper options available', 'Good one']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gBt2H0VlL._UX500_.jpg
https://www.amazon.in/CANVI-Sandals-Synthetic-Leather-numeric_7/dp/B09RPGMB71/ref=zg_bs_1983633031_sccl_5/257-0329217-1454160?psc=1,CANVI - TAKE CHANGE TO MAKE CHANGE,"Women's Ethnic Flats Sandals for Women and Girl, Synthetic Leather Sandals Casual Summer Beach Shoes Sandal",₹499,3.9,906,100,"[""It's really a good product but the packaging could have been better."", 'Super', 'Good finishing.', 'Good product. The finishing could be more better but worth the money.', '', 'Amazing for the price. although does make a little noise when walking on non-carpeted surfaces', 'Makes noise while walking but the looks are good. Comfort wise also OK. So, kept it', 'The sandal is exact fit .. but the strap is loose n slips away .', 'I generally wear a size 8 but when I ordered the shoe I found it 1 size smaller, so I had to return it. I would have exchanged it for the next size but size 8 is the last. The shoe is beautiful and the sole is comfortable.', 'Occasionally wearable, looks cheap']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ZLrNSnihL._UY535_.jpg
https://www.amazon.in/PINKWOOD-Stylish-Trending-Comfort-Fashion/dp/B08VMYZKVW/ref=zg_bs_1983633031_sccl_6/257-0329217-1454160?psc=1,PINKWOOD,Women Sandal Block Heel,₹349,3.6,2631,219,"['very comfortable', 'Product is good but seems to be not much durable', 'value for money', 'Little narrow in front side of the sandal and heel shoukd in leather not in plastic', 'Good product', 'Good product . Fit is expected.', ""The belt edge is not cut properly. The heels and joints are very good. The fit is as per description. Durability i can't comment i just started use it"", 'Colour is good', 'it looks pretty and best at this price range', 'The product was good and nice, but the delivery boy was very rude and misbehaving']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41-VjjvpCgL.jpg
https://www.amazon.in/Bata-Womens-Cicilia-Sandal-6612969/dp/B08THY5X5B/ref=zg_bs_1983633031_sccl_7/257-0329217-1454160?psc=1,BATA,Women's Cicilia Sandal,"₹1,699",3.9,435,61,"['The product is good looking and very comfortable but after using it for a few months, the soul came out which raises quality issues.', 'Very comfortable', 'Really nice product', 'Good', 'Comfortable, nice quality', 'Good quality', ""I was expecting light weight but it's little heavy sole, Still love bata product. THANKS Amazon"", 'Comfortable']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/814+JVzMDTL._UX500_.jpg
https://www.amazon.in/BATA-Womens-FLOATZ-Casual-5-6717333/dp/B09WDHQ8X3/ref=zg_bs_1983633031_sccl_8/257-0329217-1454160?psc=1,BATA,"Women FLOATZ THONG Olive Slippers, (6717333)","₹1,199",4.3,487,49,"['We like it, purchased two pairs.', 'Light weighted slipper and very easy to use. All age people can wear it and feel easy to walk.\nFeel is like wearing nothing in legs and very comfortable .', ""Bought this product in diwali sale for 600 and it's awesome. It has the quality of crocs for a less price. It fits my feet well."", 'Comfort & beautiful for my toes.', 'Liked the colour, style, comfort and everything about these slip on Thongs. Beautiful, comfortable, nice arch support! Great product at reasonable price. 1/3rd price compared to similar style of Crocs! I am very happy and satisfied with the product!', 'Great pair', 'Just one word ""Awesome"". Go for it guys.. Bata always Rocks.', 'Not worth 600', '', ""Although it's expensive for the price of 1200 but I got it for 600 in sale and it's perfect according to that.""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71HHjY9gjeL._UX500_.jpg
https://www.amazon.in/Elibolz-Girls-First-Choice-Sandals/dp/B09YK8XRQD/ref=zg_bs_1983633031_sccl_9/257-0329217-1454160?psc=1,Elibolz,Womens & Girls First Choice Wedge Heel Sandals (Grey),₹474,3.7,201,21,"['Comfortable', 'Nice product.', 'Poor quality\nBroken within a month after I started using', ""I've been using it for months and I think in this price range it's good and comfortable."", 'Product is overall good...', '', 'good but i think it costly', 'The outer lining is rough making it irritating.', 'Quality of product is very good and superb comfertibility, just loved it♥️♥️.', 'It would have been better if it was little wider']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Qr452lb9L._UY500_.jpg
https://www.amazon.in/Red-Tape-Womens-RLF0066-Casual-5/dp/B09TDNZYQT/ref=zg_bs_1983633031_sccl_10/257-0329217-1454160?psc=1,Red Tape,Women's Sports Sandals - Light-Weight Comfortable Sliders,₹749,4.1,462,43,"['ossam product', 'Product is very comfortable to use, but the price is too high and the availability of the product is also very rare.', 'Really comfortable', 'It is not soft as expected', 'Nice', 'Deserves 5 star for product quality and aggressive pricing. It is comparable to the best brands in the market.', 'Order one size less than u normally wear. Otherwise the product is good', 'Looks as expected', 'Nice', 'My mother really like it very much. Her purpose to buy them was 100% meeting']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61OIqDRYbSL._UY500_.jpg
