URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/SIRIL-Elastic-Shapewear-Petticoat-180TK115-M/dp/B08YRQKM59/ref=zg_bs_1968256031_sccl_1/258-1229559-2740407?psc=1,SIRIL,Women's Lycra Full Elastic Saree Shapewear Petticoat,₹279,3.7,5082,323,"['Product is okay', 'Nice fitting', ""Fitting is good, it's easy to tuck saree inside and feels no discomfort"", 'Smooth cloth and comfortable', 'Finishing, shaping is good, but needs drawstrings to hold the saree pleats. Not for heavy sarees.', 'Wore it in a oraganza saree n it gave beautiful look to body\nMust by\n\nOnly con is it is little short for me\nEven if my height is 5ft\n\nSo not suitable for heighted person', '1 star deducted as it dosent have string in it. And weighs down after wearing saree. Otherwise fit nd comfort of wearing is perfect.', 'Material is a bit transparent.', 'Good product', 'Good but little short']",Amazon,https://m.media-amazon.com/images/I/51l0DAV0HSL._UY550_.jpg
https://www.amazon.in/Tarshika-Womens-Printed-CHANDRAYAN-GREEN_Free/dp/B09P16FDBX/ref=zg_bs_1968256031_sccl_2/258-1229559-2740407?psc=1,Tarshika,Women's Printed Cotton Silk Saree With Blouse Piece(CHANDRAYAAN),₹279,3.8,13,2,"['Saree is nice but blouse is missing and small defect is there', 'Not bad']",Amazon,https://m.media-amazon.com/images/I/51yyTyLtlCL._UY550_.jpg
https://www.amazon.in/SIRIL-Womens-Printed-Blouse-2331S805_Mustrad/dp/B09SZHVDBW/ref=zg_bs_1968256031_sccl_3/258-1229559-2740407?psc=1,SIRIL,Women's Printed Poly Silk Saree with Blouse,₹290,3.4,2189,221,"['Rich look in picture but in real it is ok ok', 'They are beautiful and value for money!', 'Product is good but gave 1 star less because packing was not good. Gave in original transparent plastic. At least should be sealed', 'satisfactory', 'Little hard silk material than expected', 'Good looking light weight', 'Worth the money, even tho picture sets high expectations. Decent product, don’t expect it to look fancy', 'Light in weight and price was so much', '', 'Ok']",Amazon,https://m.media-amazon.com/images/I/71AYPbuBrhL._UY550_.jpg
https://www.amazon.in/Glory-Sarees-Womens-kanchipuram-Style/dp/B07WRBYZ4N/ref=zg_bs_1968256031_sccl_4/258-1229559-2740407?psc=1,Glory Sarees,Women's Kanchipuram Art Silk Saree With Blouse Piece,₹559,3.9,5577,716,"['Maine ye apni didi k liye mangaya h pr ye mujhe bahut pasad aaya or mai bhi apne liye jarur lungi', 'It was really an awesome experience ..All items arrived on time as promised. They have Great collection and the Sarees as per the description.', 'Came just as shown..', 'Saree is too good I liked it so much', 'Beautiful saree....', 'Good product', 'छान', 'Wonderful saree in this range. I wanted 2 sarees but first I ordered 1 cause I was skeptical about the quality. When I received my first parcel instantly I placed an order for the same saree in a different color. Finishing, and color everything is perfect. Just go for it!', 'Got delivered in normal transparent bag.. No Amazon packing was used.. Very disappointed by this.. But saree is good', 'I have purchased for my mom, & she really loved that. Colour, cloth everything upto the mark... even i will like to buy the same of different colour.']",Amazon,https://m.media-amazon.com/images/I/919lNOaU-GL._UY550_.jpg
https://www.amazon.in/Pratham-Blue-Sequins-Georgette-PB-233_Black/dp/B0B8Z9MWBQ/ref=zg_bs_1968256031_sccl_5/258-1229559-2740407?psc=1,Pratham Blue,Women's Sequins Georgette Fancy Saree With Blouse Piece,₹800,3.7,449,111,"['Beautiful saree, good tassels work, worth a buy', ""Pretty but slightly gave me little pricking pain rest is very good saree. Colour design is awesome. But sequence was hurting me. Buy it's your choice."", 'What a beautiful piece 😍 amazing saree, ordered it for my mom. She loved it❣️', 'ठिक आहे.', ""Saree looks wise ok and length is kinda small. I'd not recommend this saree"", 'Awesome product.', 'party wear', 'Saree is satisfactory but there is nothing special about it. It is ok types. May be you will get this saree at cheaper price in your local market. Amazon needs to work on the packaging a little i feel as my parcel was torn from 2 sides']",Amazon,https://m.media-amazon.com/images/I/61e42ZXCLTL._UY550_.jpg
https://www.amazon.in/SIRIL-Embroidery-Georgette-Unstitched-2302S131_Mint/dp/B09SHZVL5Q/ref=zg_bs_1968256031_sccl_6/258-1229559-2740407?psc=1,SIRIL,Women's Bandhani Printed & Embroidery Work In Lace Georgette Saree with Unstitched Blouse Piece,₹999,3.8,1306,134,"[""Saree's fabric is good but colour is vary from the given image.Overall good purchase."", 'Color is lighter than it is shown in picture. Fabric is very thin. Embroidery lace looks good. Overall it is a good saree to wear in small functions. Fabric is light so can be worn for a long time.', 'Good product', 'Material quality is good', 'Very good in this range', 'It was just fine.. not good... as it looked so dull in color', 'Lovely saree...... colour is very nice 😍😍😍😍', 'Nice saree']",Amazon,https://m.media-amazon.com/images/I/71XAzGJXvkL._UY550_.jpg
https://www.amazon.in/GoSriKi-Womens-Woven-Georgette-Apne-Green-GO/dp/B0B1F2WVW2/ref=zg_bs_1968256031_sccl_7/258-1229559-2740407?psc=1,GoSriKi,Women Saree,₹279,3.6,1078,96,"['Awasome products', 'Nice saree... worth the price....loved it', 'Nice item for this price .\nso soft', 'My second purchase, saaree is good, soft beautiful. This time they sent my some other colour which was not what I ordered. So 1 star less, but I will keep this.', 'Value for money & right daily wear option but does look cheap.\nRecommendation - to buy it you are on a budget', 'Beautiful saree very soft and reasonable. Worth the money.\nThank you team', 'Stunning saree in very low price it’s wow', 'So good']",Amazon,https://m.media-amazon.com/images/I/61Ndm5mnP4L._UY550_.jpg
https://www.amazon.in/SGF11-Womens-Kanjivaram-Woven-Blouse/dp/B0B6FHTHQC/ref=zg_bs_1968256031_sccl_8/258-1229559-2740407?psc=1,SGF11, Women's Kanjivaram Pure Zari Woven Soft Silk Saree With Blouse Piece,"₹1,599",4.1,556,248,"['I love it', 'Value for money', 'Nice saree go for it', 'Good product about price not bad', 'Colour and fabric of saree is good but it is very small in length. I can make only 2 front plate with this length so it doesn’t look good from front side', 'I like this product colour nice l love it this saree', 'This is used for marriage and it is perfect saree for such functions.', 'Value for money', 'Good quality 👍', ""It's very soft and good look attracted me very much""]",Amazon,https://m.media-amazon.com/images/I/51UAY3yNabL._UX385_.jpg
https://www.amazon.in/Shiv-Textiles-Womens-Georgette-CRUSH-PURPLE_Purple/dp/B09VGX5GR5/ref=zg_bs_1968256031_sccl_9/258-1229559-2740407?psc=1,Shiv Textiles,Women's Pure Georgette Saree With Blouse Piece,₹699,3.8,766,152,"[""Beautiful saree! It's material is different but of nice quality. Go for it if you would like to stand out from the crowd!🥰"", 'It has a small hole, otherwise good', 'Saree is good but colors are different from the pic shown and the material of blouse is not good. saree has some black stains in it... But overall its ok.', 'The look nd stuff of saree is wonderful Nice quality and design Same as it is showing in the photo.\nU can buy this saree....Fabric and color both are good...', 'Good quality at low cost. Just loved it', 'It is crushed saree which is not mentioned in description', 'Yes', 'I suppose to order one more for me']",Amazon,https://m.media-amazon.com/images/I/717H2HWQ1HL._UX522_.jpg
https://www.amazon.in/Dhruvi-Trendz-Womens-Blouse-Material/dp/B07LD57DHX/ref=zg_bs_1968256031_sccl_10/258-1229559-2740407?psc=1,DHRUVI TRENDZ,Women Soft Cotton Silk Banarasi Saree for women Under 300 2022 Beautiful saree free size with blouse piece,₹259,4.0,4454,507,"['Is better and good', '👍', 'Nice product and quality is good colour also good', 'Saree is worth the price , colour is as shown in picture, soft and good synthetic material. Worst packing. Saree was crushed and crease marks in all the layers', 'Good colour value of money', 'Product was good but packaging was terrible it damage my saree. It looks very SHRINKINESS 🤯🤯🤯🤯..', 'Too good', ""Awesome saree..it's light weight & silky, smooth sofy....I like it soooo lovely saree thanks Amazon..."", 'The sari is great for daily wear as it soft and light weight. Looks really nice due to Shiney bright colours']",Amazon,https://m.media-amazon.com/images/I/61ycr0TYRLL._UY550_.jpg
