URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Selvia-Womens-Regular-Shirt-329TKN253/dp/B0B28YVN82/ref=zg_bs_1968444031_sccl_1/257-0329217-1454160?psc=1,Selvia,Women's Poly Viscose Solid Regular Fit Shirt,₹279,3.7,67,12,"['Nice fitting, colour as shown in the picture, stitching good.', 'Shirt is very pretty but the packaging was so poor. While opening the shirt got cut by mistake since it was too close to the opening.', 'I ordered dis lavender colour but I got wine colour dats why am nt happy😌😌 with product .', 'Good to wear.', 'The product is perfect without any flaw.', 'The material is polyester. But fitting is very good looks very nice. Comfortable and breathable. Runs small so buy a size larger.', 'av tk refund nahi aaya kya tmasha ab toh acount no v change kr diye hai', 'Amazing product', 'Exactly as the image, worth the price', 'The quality is good and the fits is perfect as it has seams on the front and back making it very professional\nAlthough the length is a bit short according to my height..!']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51ThcXgU70L._UY550_.jpg
https://www.amazon.in/Greciilooks-Digital-Printed-Oversized-Beautiful/dp/B0B86C9XKZ/ref=zg_bs_1968444031_sccl_2/257-0329217-1454160?psc=1,GRECIILOOKS,"Western Top for Women - Floral Printed & Split V Neck Short Stand Collar Tee Top for Girls Suitable for Workout, Office, Function, Tracking, Casual Wear (Pack of 1)",₹399,3.2,521,143,"['Bro nice and soft meterial it is. Good for summer', ""I'm happy 😊 lo"", ""It's an average product for the price"", 'He fabric quality is very poor. Bad fit.', 'The colors and the pattern is so beautiful. fitting is perfect.', ""Everything is good except the neck. It's too small to look good. The one in pic isn't how it is in real, so i had to unfortunately return it"", 'Picture n product both are different…. I personally don’t like it', 'Fabric is very comfortable and same as new even after wash.\nFits really well🤩\nMust buy 💸\nReally an cost effective product 😌', 'It doesn’t look that good in real as it is in pictures. The material is of poor quality', 'I like this sirt very much..its material is very nice..and also very comfortable to wear so looks good too.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51YUdTGQZtL._UY500_.jpg
https://www.amazon.in/DIMPY-GARMENTS-Regular-Formal-Medium/dp/B0BT82QTV6/ref=zg_bs_1968444031_sccl_3/257-0329217-1454160?psc=1,DIMPY GARMENTS,Plain Solid Rayon Regular Fit Women Formal Shirt,₹337,3.4,11,4,"['Fits good but Material is not so good 🙂', ""A very beautiful purchase for my daughter on summer days. 🥰🥰🥰It's a very good,comfortable and soft product. Also, the size fits her properly and she looks amazing wearing this shirt.I definitely suggest you all buy it without any second thought. 👌👌👌👌"", ""Over all a perfect buy. Very pocket friendly. Prefer to buy dark colours. One of the best purchases I've ever made🖤 🖤""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61P1cFP+ZvL._UY550_.jpg
https://www.amazon.in/Stylistico-Womens-Embroidered-Cotton-Off-White/dp/B07NNZY155/ref=zg_bs_1968444031_sccl_4/257-0329217-1454160?psc=1,Stylistico,Women's Top,₹584,4.0,4207,551,"['Slight lose...', 'Product is good, fabric is comfortable.', 'Prfect fit and very nice to wear', 'The product quality is good and even the material is good', 'Cloth is okayish. It fades colour like anything. Not bad but not so good as well', 'Good', 'On first glance it was the perfect top. Later I discovered 2 spots near the sleeves. I could not return it as I had already cut off the tag.', 'I like this top but price..... Quality is very good.Same as shown in the picture', 'Top quality is good but it was a bit small to me', ""It's good product. The material is not bad andnits fits and looks good""]",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ocRlvxItL._UY550_.jpg
https://www.amazon.in/Style-Quotient-Polycotton-Regular-Formal/dp/B0BG5SSBWC/ref=zg_bs_1968444031_sccl_5/257-0329217-1454160?psc=1,Style Quotient,Women Classic Formal Shirt,₹469,3.9,47,6,"['It is true to pictures and came in good quality. Go for it but, for comfortable do purchase a larger size.', ""The quality is okay\nThere was a small whole in the underarm area after 2nd wash but as far as fit is concerned it's not too bad\nIt looks good though!"", 'Low quality material', 'Good fit .value for money', 'It was super and the cloth material was also good']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31aogNf7XeL._UY500_.jpg
https://www.amazon.in/Harpa-Womens-Regular-Blouse-GR6027_White/dp/B08W9V5LLN/ref=zg_bs_1968444031_sccl_6/257-0329217-1454160?psc=1,Harpa,Women's Top,₹465,3.4,1929,208,"[""Look wise it's good but size is overall too small M size is good for for me but this top is runs short on me neck is too deep."", 'Size is not right & looks Cheap', 'button were missing on the right sleeves so i had to replaced it with the same item it looks good but i am disappointed with the sleeves', 'I like the product.. But sheer material.. Should wear proper inner wear', 'Good', 'Good quality and fit.', ""Packaging is very bad...I ordered xs size...it's not fit as expected..too much big and loose"", 'Fabric is good\nOnly drawback is that front neck is too deep', 'Please be careful Your nipples will be visible if your nipples are hard also your cleavage will be visible\nMakes u look sexy and elegant and slim']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61iLGEonFzL._UX522_.jpg
https://www.amazon.in/Blue-Ronin-Womens-Regular-White_M/dp/B085W31MD6/ref=zg_bs_1968444031_sccl_7/257-0329217-1454160?psc=1,Blue Ronin,Women's Cotton Regular Fit 3/4 Sleeve Formal/Casual Shirt,₹559,3.7,948,84,"['Cotton mix fabric so 499 price costly', 'Cloth is good but a little transperant.\nFit and look is nice', 'very nice product 👍', ""Quality is good. But it's translucent. Need to wear coat as it is see through type."", 'It was ok', 'Good quality product...fitted as per size', '', ""I'm not really sure about the fabric material but it's better than other shirts I've searched on Amazon for the same price. Also, it fits me perfectly so I don't have any problem with it."", 'Nice product, fitting as required..', 'Great fit. Only problem is even after ironing the shirt looks shabby.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61KVLSg1GIL._UX522_.jpg
https://www.amazon.in/GRECIILOOKS-Digital-Printed-Regular-Classic/dp/B0BLK1MW47/ref=zg_bs_1968444031_sccl_8/257-0329217-1454160?psc=1,GRECIILOOKS,Women Rayon Digital Printed Regular Fit Shirt || Casual Shirt || Classic Formal Shirt,₹349,3.7,48,18,"['So so', 'Ok ok shirt 👍🏻', 'Its a beautiful & stylish crop shirt for casual wear at very minimal price.', ""Simply loved it. Though it's little short for my size, I'd like to have it than returning... It's so good to wear and be comfortable. Very nice fabric and also amazing design. Thanks to the creature. A very well designated one i actually love it."", 'Please increase top length', ""Colours are so beautiful, quality of the shirt is of top notch.\nCan be styled in different ways\nLoved the fabric, high quality material at affordable rate\nCan't wait to wear it outside"", 'loved this top the material is super good and fitting is exactly according to my size.\nprice is so good for this top.', 'Same as shown in the picture. I really love the product. Quality is also too good. Worth the money.', 'Nice fabric.. looking wise is too good..... Attractive and beautiful colour.. quality is good....', 'Fits great. Fabric is good. Liked it.']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71X3dbYecuL._UY550_.jpg
https://www.amazon.in/One-femme-Womens-OFTNT012_Green-57_X-L/dp/B0BFDYJV9T/ref=zg_bs_1968444031_sccl_9/257-0329217-1454160?psc=1,One femme,Women's Plaid Check Print Tunic,₹798,3.8,1681,247,"['Good quality', 'Was looking for a top in checks which was not too short. Found this product on Amazon.\n\nThere are several designs available and all look great on the models. Hence, ordered 2 – Multicolor 59 and Multicolor 55. Cloth Material for both was different, so were the prices. Multicolor 59 was very thick, as thick as an apron or even thicker. Multicolor 55 was thin, soft and comfortable. But returned both of them immediately.\n\nReason for return: Multicolor 59 felt and looked like an apron. Multicolor 55 looked a little gaudy as it had big checks.\n\nFinally, have settled with the one shown in the pic, Blu 53. Material is soft and comfortable like Multicolor 55. Due to the dark blue background, doesn’t look gaudy despite the red checks. Got it in 740 Rs.\n\nWill update this review after a few washes.', 'The stitching is clean. The material is surprisingly good.', 'Good one', 'Perfect fit as expected.', 'I wear medium size but this top is too long and loose on the waist area. Quality is good. I have returned it. Refund received. I give 3 stars because the quality is good but the size is not right', 'It’s a very good one', 'Wish the fit was not smaller than the usual size - it is a little smaller than the size chart', 'Really worth buying...Perfect fit and very comfortable..Just go for it...']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51fkNynqscL._UX522_.jpg
https://www.amazon.in/Leriya-Fashion-Sleeve-Casual-Crepe/dp/B07HF5B29R/ref=zg_bs_1968444031_sccl_10/257-0329217-1454160?psc=1,Leriya Fashion,Women's Corduroy Button Down Pocket Shirts Casual Long Sleeve Oversized Blouses Tops,₹329,3.4,2166,249,"['Very good', 'Its too small and cloth is dirty its looks like used cloth', 'Bad', 'I like it cloth very soft and very nice looking ❤️❤️', 'Received without tag I want to exchange', ""I don't like this color ...expecting meroon color"", ""I order brown one.. first I order small size bt it's too tight than I ordered medium still it too tight.. now m going to order large.. its size is not accurate otherwise the shirt look really pretty.. hope this time I get prefect fit.. m giving 4 start but bcz of size issue I cut one star"", 'I am trying to return this product because of the size but I noticed that there was no label on the shirt. The delivery guy who was supposed to pick it up refused to do so because there was no label.', 'Nice one', 'Waste fabric. The fabric of the shirt that i received is different from what the product claims']",Amazon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61zb98Bg6QL._UX522_.jpg
