URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/layasa-Comfotable-Lightweight-Numeric_3-MULTICOLUR/dp/B0BNZ9R42M/ref=zg_bs_9780815031_sccl_1/258-1229559-2740407?psc=1,layasa,Stylish Trendy Lightweight Canvas Casual High Top Sneaker Shoes for Women's & Girls| Sneakers| White Sneakers|Running Shoes,₹399,3.8,212,58,"['Value for money. go for it.', 'Quality product', 'Colour and design is exactly as what is shown. Shoe was stinking with glue smell!', 'Received item today', 'Best shoes at this rate. Quality also good.', '', 'Loved the product. Quality and comfort worthy.', 'Good product with good quality and worth the price', 'Same shown as picture']",Amazon,https://m.media-amazon.com/images/I/41SLiVsN8hL.jpg
https://www.amazon.in/Sparx-Womens-Grey-Sneakers-7-SX0123L_GYPK0007/dp/B07VY4YY61/ref=zg_bs_9780815031_sccl_2/258-1229559-2740407?psc=1,Sparx,Womens Sx0123l Walking Shoes,₹849,4.3,14715,1952,"['The shoes are very light in weight. Fits good. Looks cool .', 'Good', 'Very comfortable and easy to maintain', 'I am happy with this purchase.', 'Comfortable and value for money.', 'Very comfortable and light weight shoes. Extra cushioning too', 'Very comfortable and light weight. Go for it......👍', 'Perfect fit. Very soft and comfortable. Looks good for my feet.', 'I was recovering from an ankle fracture and was walking on crutches.\nI found this shoes very comfortable.\nCheck your size before buying', 'Very very very comfortable 👌🏼👌🏼Love this shoes ❤️']",Amazon,https://m.media-amazon.com/images/I/71Kss3G6b4L._UX500_.jpg
https://www.amazon.in/DOCTOR-EXTRA-SOFT-Lightweight-D-1003-MAROON-5/dp/B0BWYZK6JC/ref=zg_bs_9780815031_sccl_3/258-1229559-2740407?psc=1,DOCTOR EXTRA SOFT,"Flexible Memory Foam Women's Shoes for Walking Gym Training,Casual, Sports,Slip-On,Lightweight Lace up Athletics Slipon Running Sneaker for Ladies and Girls",₹699,4.5,149,73,"['The sizing is not right. I had ordered my normal shoe size 8 but it was too small. So returned and ordered 9. Now it fits but the colour i had ordered was red, but it came grey. Quality wise its very nice. Good product. Recommended 👍', 'Nice shape, attractive looks, affordable price and daily use comfort.', 'Soft nice, i took it for office', 'Good quality material shoes,.\nFront side is narrow, so uncomfortable for big toes.', '', 'Doctor extra soft flexible memory foam women shoes are very comfortable and light weighted.sole and lush is so much comfortable and looks very stylish.Highly recommended especially orthopedic and diabetic patients', 'Lovely shoes and very comfortable for walking. Very soft on the inside. Highly recommend it.', ""That's is the worth buying you can order this without second thought .This is an amazingly comfortable and very flexible and light weight too.Love the design of this bellies.Get relief from the pain . Highly recommended to those who are having pain in the toes."", 'Quality of the pairs of shoes is really great. Very soft and comfortable to the feet. Happy with purchasing. Highly recommend and budget friendly shoes it is.', 'Nice and flexible with memory foam shoe. Over all very nice product…']",Amazon,https://m.media-amazon.com/images/I/61OREeTnT7L._UY500_.jpg
https://www.amazon.in/crocs-Unisex-Adult-LiteRide-206708-4TA/dp/B096294GZH/ref=zg_bs_9780815031_sccl_4/258-1229559-2740407?psc=1,crocs,Unisex-Adult Literide 360 Clog Tpk Clog,"₹4,495",3.8,5414,714,"['Good product 👍', 'Didn’t gave proper product.', 'As literide tag plays a major role in looks, it was missing in the product and disappointing me', ""Lite ride badge is missing, i think these are not original crocs, it's better to buy from AJIO.com\nOriginal accessories are missing"", 'Worth the price, Stylish, great comfort!!!\nI got it in a sale for Rs 3270. Its worth every penny. Great comfort and great look. Fits perfectly.\n""Lite Ride"" tag was intact. Original product, packaging was nice. Prompt shipping and delivery by Amazon. It is really light and comfortable. I\'m not sure about the durability part, looks like it might last for an year and a half. Not beyond that.', '', ""There is a famous myth that Crocs are like Tanks and will last long....really long and it's very durable. Well, it may have been true in the past but now it lasts like any other product. My last LiteRide Crocs worn out within 15 months. Sole started peeling off and colors got faded too soon. I purchased the newer model again because it looked good and there ends it's positive trait. LiteRide 360 is very uncomfortable if worn for longer duration continuously. I mostly avoid wearing them if I had to walk longer. It's very slippery on wet floor tiles and very grippy when dry. In my opinion it's an over hyped and over priced product. If you wanna flex, go for it."", 'To much sweat is coming', 'I like the cushioning and light weight material....']",Amazon,https://m.media-amazon.com/images/I/71eUuzsqceL._UX500_.jpg
https://www.amazon.in/layasa-Comfotable-Lightweight-Sneaker-Numeric_7/dp/B0B8Y9XLTY/ref=zg_bs_9780815031_sccl_5/258-1229559-2740407?psc=1,layasa,Comfotable Lightweight Casual Sneaker for Women/Girls,₹399,3.8,999,164,"['Color awesome, looking awesome, aage ka part andar se hard h,to thoda uncomfortable h aage se,jyada nhi. Sole bhut mota h,tight h. Is price me best h.', 'It is a nice product 👍', 'Good', 'Style and money', ""Ig the shoe's are good for this price. Also it looks good !"", 'Fits perfectly 😘 It fits my style and comfortable', 'Good', 'Go for it girls…… it’s so comfortable and I wore it when I when I went to bali…. In love with this shoe \U0001faf6🏻 but I think it won’t last long because the sole of the shoe is made of solo (I hope you understand this) I guess', 'I Like this product 😍']",Amazon,https://m.media-amazon.com/images/I/71dsmh1-tAL._UY500_.jpg
https://www.amazon.in/ASIAN-Trendy-21-Sneaker-Changing-Lightwight/dp/B0BJF772B9/ref=zg_bs_9780815031_sccl_6/258-1229559-2740407?psc=1,ASIAN,Women's JASMINE-21 Casual White Slip-On Shoes with Full Synthetic Upper Lightweight Max Extra Cushion Shoes for Women's & Girl's,₹691,3.6,469,131,"[""I forgot to check it is sunlight....after days when I checked it, it is changing it's colour but a few patches are left white.\nI have already thrown the bill, so couldn't replace it now"", 'The shoe was dirty from bottom and also a little from the sides.', 'This shoes is amazing but need to add inside shoes soles but overall its value for money and best product under the 1000 rs', 'It actually change the colour of shoes when it comes in contact of sunlight.\nI just love it', 'Good', 'Comfortable\nLook nice', 'Ok product, but u can give a try not soo bad', 'It does change colour but the quality is not good. There were a few marks on the shoes and the quality seemed very poor. Had to return it.', 'After Wash Not Good', 'Color changing works well....but it is not comfortable....you can wear for short span of time....if long time your leg starts paining.....its a not bad product...']",Amazon,https://m.media-amazon.com/images/I/61M45eURF2L._UY500_.jpg
https://www.amazon.in/Denill-Collection-Comfortable-Fashionable-White-Pink/dp/B07V884KQS/ref=zg_bs_9780815031_sccl_7/258-1229559-2740407?psc=1,Denill,Women's Comfortable Sneaker Casual Shoes,₹349,3.7,3018,398,"['The product is good but the backside can be a bit hurting on the ankle portion if you are wearing it with a dress or skirt. Its comfortable to wear in an office floor or normal road but not on an uneven ground.', 'Comfort and value for money! Go head🤗', 'Nice quality shoe for this pricing. Can be recommended to buy...', 'Product is good...but little hard can be used often not for regular use', 'Comfortable', 'There will be cause of injury inside the slipper after 5 hours of usage', '', 'Good', 'Good beginners shoe, looks very good']",Amazon,https://m.media-amazon.com/images/I/51AoPBpLMiS._UY500_.jpg
https://www.amazon.in/Liberty-LPMXT-801-S-Blue-Clogs-4-60960011/dp/B096KPLR7H/ref=zg_bs_9780815031_sccl_8/258-1229559-2740407?psc=1,Liberty,Women LPMXT-801 Casual Clogs,₹360,3.8,463,63,"['product in comparison with other brands is quite cheaper with also the better quality, worth for money buying product.', 'Comfortable to wear. Nice colour', 'Good\nCan buy', 'This clogs looked good...finishing was good too but I had to return because of size issue. It runs small. I ordered one size up yet it was small for me.', 'Yes', 'Very easy and comfortable. Loved it.', 'Received my product on time. It is beautiful and very comfortable.', 'nice one', '']",Amazon,https://m.media-amazon.com/images/I/71z265klPRL._UX500_.jpg
https://www.amazon.in/Questsole-Shoe-Jibit-Charms-Croc/dp/B0BZMRGYK5/ref=zg_bs_9780815031_sccl_9/258-1229559-2740407?psc=1,Questsole,"Shoe Jibit Charms Croc Pack Of 6, 8, 12, 16, 24, 40, 60, 100 Pc (No Dublicates New Designs) Different Characters Used to Decorate Clogs Shoes for Rounded Holes Crock Charms For Shoes",₹475,4.8,11,5,"['🥰🥰🥰🥰', '1 item is missing', 'Good quality. Variety in colours and design. Love them all.', '😍😍😍', 'I Used charms for my Crocs Literide which have the hole on backside go but croc should have some hole on front side so we can use some charms front too.']",Amazon,https://m.media-amazon.com/images/I/81FbFLLt+5L._UX395_.jpg
https://www.amazon.in/Campus-Womens-Plus-Casual-Shoes/dp/B08WHB5NV5/ref=zg_bs_9780815031_sccl_10/258-1229559-2740407?psc=1,Campus,Women's Zoe Plus Casual Shoes,₹599,3.9,1509,137,"['Very nice and comfortable campus is best company', 'Juta to thik hai lekin ek xota hai ek bada,Maine return k liye mara to wo\nreturn hi nahi ho Raha,,,28 ko mara to submit hi nahi huwa,kya karte ho app log,kux gadbad hota hai esliye return karna padta hai,,,Mai kaise return Karu ye bataye plz,', 'Good product', 'Light weight', 'The shoes r v soft n comfortable. Infact, I have been looking for another pair in blue/ grey color but hvent been able to find it.', '😍🥰', 'Size issue hai bas', 'like', ""If you are looking for something with ultra light weight and comfortable shoes then this is the pick for you. Amazing & very light. I am quite impressed with the purchas. The sole looks good and it fits as expected. With the usage of around 15 days i would say the choice couldn't been better."", 'Loved 😍']",Amazon,https://m.media-amazon.com/images/I/61ijPj3VCLL._UY625_.jpg
https://www.amazon.in/ASIAN-Melody-71-Running-Walking-Training/dp/B09TGT9WDC/ref=zg_bs_9780815031_sccl_11/258-1229559-2740407?psc=1,ASIAN,womens Melody-71 Loafer,₹439,3.9,1815,163,"['Thanks', 'Very good fit and comfortable', 'Very comfortable shoes', 'Good quality but size big 😠', '', 'for daily use', 'আরামদায়ক', 'medium like , using for walking', 'Product is good for this price', 'Good looking perfect fitting']",Amazon,https://m.media-amazon.com/images/I/61QJ3iZPNYL._UY500_.jpg
https://www.amazon.in/BATA-Womens-Softy-Espadrille-Flats/dp/B079YSC66M/ref=zg_bs_9780815031_sccl_12/258-1229559-2740407?psc=1,BATA,Women Softy Espadrille Flats,₹279,4.0,1422,158,"['Sneaker is very good quality and low price.. I liked very much. But size is very different.', 'value for money and comfortable and good quality, must buy', 'Quality is good but taking shoes from bata showroom and online store both are very different so go to bata showroom', 'Good product', 'Bahut sundar hai', 'Bigger size I got', 'Nice rate of good quality', 'Good', 'Thank you so much', 'Only comfortable to use within house and fir shorter duration.']",Amazon,https://m.media-amazon.com/images/I/71+djfVNgHL._UX500_.jpg
