URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Arshia-Fashions-Girls-Kurti-Yellow/dp/B08Y5RXS6V/ref=zg_bs_1967982031_sccl_1/258-1229559-2740407?psc=1,Arshia Fashions,Girls Kurti and Dhoti Set GR00465,₹899,3.9,277,29,"['Perfect fit. Very nice', 'Nice product, good quality', 'Size is smaller than other brands purchased on amazon', 'Good 👍', '', 'I ordered for child 7-8 it is suitable\nTo her', 'Cloth quality is good but stiching is poor.', 'कपड़े की क्वालिटी सही नहीं है और कपडा फटा हुआ मिला था', ""Quality is good...But the thing is while doing replacement they are not checking the product(Stictch,Zip ectc) quality.Hope this would not happen with anyone else.Now as there is no option for replace I'm cancelling this product and again I'm doing one fresh order"", 'Good']",Amazon,https://m.media-amazon.com/images/I/71RQ2MwfHSL._UY550_.jpg
https://www.amazon.in/Crazyon-Girls-Shirt-Capri-Cotton/dp/B08XVM5QS7/ref=zg_bs_1967982031_sccl_2/258-1229559-2740407?psc=1,CRAZYON,Girls t Shirt Capri 3/4 th Set Cotton Combo Pack of 5,₹999,3.9,364,38,"['Good', ""Feel betrayed!\nThe print in the display picture and the product that was delivered don't match. The designs delivered look very cheap!\nPrint quality is very poor!!!"", 'Recommend a purchase. Nice colors assorted well. worth of price.', ""It's ok ok but all five dresses colour & design different from images also size issue my daughter is 6 years & I m buy 7-8 years tb fit aya wo bhi agar wash ke baad shrink nhi hua toh"", 'Very nice daily wears for girls', 'Nice for daily use... colours r really superb..😍', 'Good', 'Display ia different from the original', 'Quality is OK but fitting is mis matching', 'I ordered for both my daughters and happy with the quality. Fabric is good for the price']",Amazon,https://m.media-amazon.com/images/I/81YYBN4L+kL._UX522_.jpg
https://www.amazon.in/HIKUJ-Shoulder-Floral-Blouse-Colour/dp/B0BVVLL1QY/ref=zg_bs_1967982031_sccl_3/258-1229559-2740407?psc=1,HIKUJ,Girls One Shoulder Floral Print Blouse and Skirt Set in yellow colour 7,₹429,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/71LlQdxGp-L._UX522_.jpg
https://www.amazon.in/Girls-Designer-Tshirt-Plazo-PINK/dp/B09Z6RBTS8/ref=zg_bs_1967982031_sccl_4/258-1229559-2740407?psc=1,Generic,olyester T-Shirt Tops + Ruffle Pleated Palazzo Sets For 6-16 Years Old,₹599,3.3,66,7,"['Not satisfied and missing prize tag', ""It's nice"", 'Not good clothes quality is bad', '', 'very bad material', ""Very bad product..not worth for money..waste material..low quality cloth...I'm so disappointed 😞"", 'Too large']",Amazon,https://m.media-amazon.com/images/I/51FGSXZRq2L._UX466_.jpg
https://www.amazon.in/Kuchipoo-Sleeveless-Cotton-T-Shirt-KUC-NSUT-108-9-10/dp/B097MSR15N/ref=zg_bs_1967982031_sccl_5/258-1229559-2740407?psc=1,Kuchipoo,Girls Sleevless Cotton T-Shirt and Short Set - Combo of 2 (KUC-NSUT-108),₹499,4.0,102,5,"['Good as per price', 'Very nice', 'Average product', 'Cloth of top is very thin.', 'Low quality, shorts are designed like tights, waste of money']",Amazon,https://m.media-amazon.com/images/I/61Y+j-jgrwS._UX569_.jpg
https://www.amazon.in/Yellow-Tomato-Fashionable-Stylish-Purpose/dp/B0B6PC7DR2/ref=zg_bs_1967982031_sccl_6/258-1229559-2740407?psc=1,Generic,p & Capri Set 3 Combo Looks Fashionable and Trendy and Stylish and Joyful Purpose,₹749,4.1,16,3,"['Very nice value fr money just order bigger size than the usual.size .', 'Poor Quality. Waste of money', '👌👌👌👌👍👍good']",Amazon,https://m.media-amazon.com/images/I/81NjQUeioFL._UX679_.jpg
https://www.amazon.in/Lariyo-Kids-wear-Tshirt-Trouser/dp/B08MV8LJ7S/ref=zg_bs_1967982031_sccl_7/258-1229559-2740407?psc=1,Lariyo Kids wear,Kid's Cotton Tshirt And Trouser Combo,₹370,3.7,1684,307,"['Super and good product value for money', 'Worth', ""Product was good .there is no damage .but it not posible long days use.Quality was ok. same as design which amazone image shows.6 no 's .rate wise ok."", 'Very bad,product, size too small,', 'The tops fit really well for someone who is from 12 to 24 months. The shorts are kind of small compared to the top that is stitched. My baby is not chubby and not too skinny but that shorts do not fit well, it fits but they are tight and can only be your guest for two uses. Maybe the seller needs to work on the size of the short. If you are just looking for the tops then they are really good', 'Super soft material. Really liked it.', 'Product is good but size is small. Size in term of age as shown during placement\nof order is not there on product. I asked for 1 to 2 year but M size is supplied.', 'We received different colors of dresses which shown in the image one pair of trouser also torned before we were received all are not same cloth.Different type of clothes product is not good and also not bad.ok.better', ""Fit is not perfect. My baby is 22 months old so I went for 2-3 years size which is a bit tight. Should have bought 3-4. But it might also depend on how healthy the baby is. Mine doesn't eat at all and too lean. Even for her its tight, so plan better folks."", ""It's comfortable and perfect fit for my 2year old son.. can go a head but not satisfied with the colours. Very bright colours n cost is little bit high moreover delivery charges extra....""]",Amazon,https://m.media-amazon.com/images/I/91sMs2TIG-L._UX679_.jpg
https://www.amazon.in/CATCUB-Girls-Cotton-Shorts-CC-99-2-3/dp/B091372JQ9/ref=zg_bs_1967982031_sccl_8/258-1229559-2740407?psc=1,CATCUB,Girl's Cotton Top & Shorts/hot Pants,₹338,4.1,179,13,"['Like it', 'Unlike it', 'Product is good, comfortable and fittings.👍', 'The fabric is very nice and soft. I just love it. Thankyou amazon', 'Good cloth quality', 'Pant got torn after single use', 'Product design is good and same as shown in picture.\n\nLittle bit pricey, but dress material is of good quality.', 'Value for money.', 'This product is very excellent and nice', 'THIS IS A LOCAL MARKET PRODUCT, THERE IS NO INVOICE COPY OF THE PRODUCT.']",Amazon,https://m.media-amazon.com/images/I/81cO+EAfILL._UX385_.jpg
https://www.amazon.in/Hopscotch-Cotton-Flower-Fuchsia-HSP-3379905/dp/B0975498KC/ref=zg_bs_1967982031_sccl_9/258-1229559-2740407?psc=1,Hopscotch,Baby Girls Cotton Flower Print Top and Shorts Set in Fuchsia Color,₹350.,3.8,60,3,"['Not too good ok product. Looks nice .', ""Looks b'ful on my baby girl"", 'Liked']",Amazon,https://m.media-amazon.com/images/I/51dz2qIIc3L._UX522_.jpg
https://www.amazon.in/LILPICKS-Girls-Floral-Sleeves-Multicolor/dp/B09NXRP1D5/ref=zg_bs_1967982031_sccl_10/258-1229559-2740407?psc=1,LILPICKS,Girls' Satin Floral Print Puff Sleeves Top Dhoti Saree Set (Green & Multicolor),"₹1,008",0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/61D8EjiQJVL._UX522_.jpg
https://www.amazon.in/girls-clothing-Pleated-skirt-T-shirt/dp/B0BSV434WZ/ref=zg_bs_1967982031_sccl_11/258-1229559-2740407?psc=1,Generic,ls clothing set | Pink Pleated skirt + White T-shirt for kid baby teen girls,₹599,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/41Te6NH-KWL._UX569_.jpg
https://www.amazon.in/Girls-Cotton-Tutu-Skirt-Years/dp/B0BH11RJD4/ref=zg_bs_1967982031_sccl_12/258-1229559-2740407?psc=1,Generic,tton top and Tutu Skirt Set,₹499,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/41NYwvttcsL._UX522_.jpg
https://www.amazon.in/Gunatit-Hooddie-Formal-Jogger-Yellow/dp/B09M3KDTF5/ref=zg_bs_1967982031_sccl_13/258-1229559-2740407?psc=1,Gunatit,"Girls Hooddie Style Formal Top and Jogger Pant in Pink, Green,Yellow & Purple",₹449,2.9,35,8,"[""This is nice product. Plastic kind material. I don't know why but somehow its feels like raincoat due to the color.. overall its good. Not good for party wear"", 'Nice product and quality is superb', 'Super quality', 'Please don’t buy', ""The only word I can use to describe this thing is third class, bakwaas I don't recommend buying this product at all. I got this product only today and I am returning it as it is so bad 🤮🤮😖😖. Threads started coming out of it and I hate it. Please try something else DONT BUY IT"", ""The quality of the cloth was not of good quality. The design as shown in image doesn't match with actual cloth. Totally waste of money and poor branding"", 'My daughter is of Nov18 born, Size and fitting is perfect as expected', 'Very bad quality, this is not a cotton cloth.']",Amazon,https://m.media-amazon.com/images/I/519eOQCG93L._UX466_.jpg
https://www.amazon.in/Fashion-Dream-Printed-Clothing-Rama_13-14/dp/B09K5LSSDW/ref=zg_bs_1967982031_sccl_14/258-1229559-2740407?psc=1,Fashion Dream,Girl's Crepe Foil Printed Clothing Set,₹639,4.0,179,22,"[""It's great quality.. nice look but a duppata added would have made the dress complete"", ""quality is superb just the top size is not correct overall it's a nice product 👍👍"", 'Nice product', 'Nice', 'The product is good but short in length', 'Good', 'Super same product premium quality', 'Go for it', 'Same as shown in image 👍.... Love it']",Amazon,https://m.media-amazon.com/images/I/71vNQYkH5iL._UY550_.jpg
https://www.amazon.in/JS-FASHION-STUDIO-Flower-Palazzo/dp/B08SM9X79D/ref=zg_bs_1967982031_sccl_15/258-1229559-2740407?psc=1,JS FASHION STUDIO,Girl's Black Flower TOP and Palazzo Set,₹399,3.3,143,15,"['Like this', 'The design Looks trendy n the floral print my kid liked a lot n Thq for the better deal seller n would but few more further 👍😘', 'Not bad', 'Material not good', 'Nice quality and smooth material like it', 'Good fitting', '', 'Not applicable', '₹749 की महंगी ड्रेस है, कपड़ा अच्छा नहीं है, 11से 12साल का साइज 26भेजा है जो की छोटा है👎ब्लैक ड्रेस ऑर्डर की थी लेकिन टॉप तो रेड भेज दिया', 'I ordered this product for 12-13 years but when i open the product it was for 6-7 year. it was not labelled when we open the product.']",Amazon,https://m.media-amazon.com/images/I/81vTH7wmcRL._UY550_.jpg
https://www.amazon.in/Fashion-Dream-Accordion-Georgette-NavyBlue_7-8/dp/B0B21L67Z4/ref=zg_bs_1967982031_sccl_16/258-1229559-2740407?psc=1,Fashion Dream,Girl's Spandex Lycra Top with Accordion Pleated Georgette Skirt Clothing Set,₹719,3.9,71,11,"['Good', 'Size discrepancy though bought of my kids age . But dress is good and beautiful', ""Good product.. skirt is superb, top is bit unsatisfying.. overall it's good"", 'Top is very plain and big to the size', 'Good', ""The material already had a lining and stitching was very good. The skirt was wonderful. I have washed it a couple of times and color hasn't faded or blended with other clothes. My daughter loved it."", 'Vary nice dress, my princess was very happy', 'Quality product', 'Good...very nice fits perfect...', 'Nice']",Amazon,https://m.media-amazon.com/images/I/71V9jy6oDGL._UY550_.jpg
https://www.amazon.in/BLANCD-Nightwear-Colourblock-tshirt-Lavender/dp/B0BMG9WM12/ref=zg_bs_1967982031_sccl_17/258-1229559-2740407?psc=1,BLANCD,Girls Nightwear Colourblock tshirt & Pyjama Set,₹498,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/51-bE5Z8NTL._UY550_.jpg
