URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Max-Regular-T-Shirt-M21DBTAMZ3MULTI_Multi-Years/dp/B09C683GHM/ref=zg_bs_1967925031_sccl_1/258-1229559-2740407?psc=1,Max,Boys Printed Crew Neck T-Shirt - Set of 5,₹664,4.4,11918,1079,"['Good quality', 'Good product', 'Great quality of material. I liked it.', 'Good Product 👍', 'Same as in picture', 'Very good, bright colours and print is good too..my son liked it. Go for it..', 'Over all very good quality cloth 👍👍', 'Quality is awesome and fit is perfect. But colours which were received are a little brighter compared to the pics shown. That’s ok they’re also looking good😊', 'Nice product. Value of money', 'great quality']",Amazon,https://m.media-amazon.com/images/I/813WxsEP1uL._UX385_.jpg
https://www.amazon.in/T2F-Solid-Regular-T-Shirt-BYS-TSRT-02_Multicolor/dp/B08R7S4ZGF/ref=zg_bs_1967925031_sccl_2/258-1229559-2740407?psc=1,T2F,Boy's Regular Fit T-Shirt,₹689,4.3,3552,274,"['Perfect size\nPerfect quality as shown as in picture', 'Good one', ""My son like it very much. It's soft comfortable. Go for it guys"", 'This is the 2nd purchase and the quality is as good as the first time I bought it.\nGreat colours.\nGreat print quality.\nSoft and comfortable.\nAbsolute value for money.', 'T shirts received as expected. Quality and look wise best', 'Quality of the t-shirts are 11/10. To comfort for kids ☺️', 'Superb', 'Good product at great price would recommend others too', 'Nice product']",Amazon,https://m.media-amazon.com/images/I/81aBwDKMyDL._UX385_.jpg
https://www.amazon.in/Marvel-Kidsville-Regular-T-Shirt-MC002_Multicolor_7-8y/dp/B07XJWY75T/ref=zg_bs_1967925031_sccl_3/258-1229559-2740407?psc=1,Marvel By Kidsville,Boys' T-Shirt (Pack of 3),₹869,4.3,8606,644,"['Excellent product', 'Very nice trshts..must buy', 'Review after 2 years wearing this t -shirt continuous by my son and too good.', 'Looks like good product', 'It’s such a great product at reasonable price. It’s look is fabulous.', 'Good quality product. Bright colors.', 'Like the quality wrt price', 'Nice product. my son loved it', 'Fabric seems to be good and the colors seems to be exact as shown in the picture...need to check after wash..😜', 'fit as prefect']",Amazon,https://m.media-amazon.com/images/I/81FgRVnHljL._UY550_.jpg
https://www.amazon.in/Jersey-Virat-Kohli-2023-2024-Multicolour/dp/B0BQRM8SCS/ref=zg_bs_1967925031_sccl_4/258-1229559-2740407?psc=1,Generic,ey Virat Kohli 18 2023-2024 for Men & Boys,₹275,3.4,12,2,"['Very good product, comfortable, looks great while wearing.....']",Amazon,https://m.media-amazon.com/images/I/51oZaXibhZL._UX385_.jpg
https://www.amazon.in/Messi-Football-Jersey-Shorts-10-11Years/dp/B0BX44TMTH/ref=zg_bs_1967925031_sccl_5/258-1229559-2740407?psc=1,Generic, Football Jersey 2022/23 with Black Shorts (Boys & Kids),₹329,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/41IIy0HeaDL._UX342_.jpg
https://www.amazon.in/T2F-Plain-Regular-T-Shirt-TSRT5P04_Multicolor_9-10/dp/B07TJFT66L/ref=zg_bs_1967925031_sccl_6/258-1229559-2740407?psc=1,T2F,Boy's Solid Regular fit T-Shirt,₹639,4.2,9920,874,"['Its a good product. Value for money and size is perfect fit. Need to see how much shrinkage after washing. Over all good buy.', 'Fit size and good material quality..', 'Quality very good I am happy', 'Very good', 'Perfect fit for my grandson', 'Nice fabric', 'If your son 6 years old , order 4 to 5 years size that could be perfect fit.', 'Gud color', ""wanted to order for my son, saw this looked good , i wasn't sure if the quality would be good, but took a risk, which paid off. The shirts are of good quality & don't shrink much after washing . The sizes mentioned are correct fit. Thank you."", 'Very nice quality']",Amazon,https://m.media-amazon.com/images/I/81yvtGob6yL._UX342_.jpg
https://www.amazon.in/T2F-Plain-Regular-T-Shirt-BYS-TSRT-01_Multicolor/dp/B082GQHY6W/ref=zg_bs_1967925031_sccl_7/258-1229559-2740407?psc=1,T2F,Boy's Regular Fit T-Shirt,₹709,4.3,5526,469,"['Very good quality but little small size one should buy one size bigger, otherwise it is very good 👍', 'Good quality . Colour is good and really worth money . Great job Amazon .', 'Nice one', 'Good product', 'Like', 'Colour Loos', 'Good in this price range.', 'Good 👍', 'Perfect fit good material satisfied']",Amazon,https://m.media-amazon.com/images/I/81jO3R5QcCL._UX342_.jpg
https://www.amazon.in/kiddeo-Halfsleeve-Shirts-Years-Multicolor6/dp/B0BRZW3LSL/ref=zg_bs_1967925031_sccl_8/258-1229559-2740407?psc=1,kiddeo,Boys Cotton Halfsleeve T Shirts (Pack of 3),₹300,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/61j5LYZFesL._UX385_.jpg
https://www.amazon.in/Paris-Jersey-Shorts-12-13Years-Multicolour/dp/B0BRST98Z3/ref=zg_bs_1967925031_sccl_9/258-1229559-2740407?psc=1,Generic,s Jersey 2022/23 Messi with Shorts (Boys & Kids),₹425,3.6,25,6,"['Very good but for the shorts psg logo is missing', ""It's nice one good dress.my son using This he liked it."", 'Quality OK, Shorts looks like Normal shorts, No stripes but OK..', ""This is good quality messi's Jersey in pant there is no logo"", 'Very bad quality', ""Bought for a friend's son. He lives in it. Enough said.""]",Amazon,https://m.media-amazon.com/images/I/418JlgcvI8L._UX425_.jpg
https://www.amazon.in/T2F-Plain-Regular-T-Shirt-BYS-TSRT-SLD-01_Combo/dp/B07ZKS52X5/ref=zg_bs_1967925031_sccl_10/258-1229559-2740407?psc=1,T2F,Boys T-Shirt,₹399,4.1,4837,387,"['Size little bit small. Cloth quality is good.', 'All tsirt was too good . febric was so soft ..nice print......I m happy .....🙂', 'Like it.go for it', 'I like size not quality', 'Super product', 'The product is good for this price', 'You will be very happy with the purchase', 'These r nice however, size could have been better. For my 11 yrs old I ordered size 13-14 but the tshrts r just his size.', 'The tshirt quality is so good.. I hav always adored t2f as a good quality and affordable clothing brand for my baby... But this tym had a issue with size.. the size fits small... So pls go for a size up whichever size u choose for ur kid.. mine is 4yr old... Bought a 5-6 yr old one size .but it was body fitting for him... So had to go for 7-8 yr old..tht was XL size..and previous was L size..']",Amazon,https://m.media-amazon.com/images/I/61Z+1poDHWL._UX342_.jpg
