URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/T2F-Cotton-Knee-Length-Casual-GLS-DRZ-01_Mustard_11-12/dp/B0BR1DGCTQ/ref=zg_bs_15966953031_sccl_1/258-1229559-2740407?psc=1,T2F,Girls Casual Dress,₹249,4.2,25,9,"['I ordered a larger size and still the length of dress was small.\n\nThe fabric and print are good.', 'Very good quality fabric of the dress for my daughter quality of the dress is good for the price', 'Very nice', 'Size not match', 'Totally satisfy you can go for it without a second thought', '', 'The product is 7-8 years size but looks like a 5-6 years but quality is good', 'Very nice product, suits well for my little girl.\n\nAwesome colours, the fabric is good. Size as expected and the material quality', 'Very good design and fabric quality\nWonderful fitting. My kid likes it alot. Thanks to amazon . . . .']",Amazon,https://m.media-amazon.com/images/I/71rmBZOoSNL._UY550_.jpg
https://www.amazon.in/Wish-Karo-Girls-Birthday-Lycra/dp/B07L6FHP4Z/ref=zg_bs_15966953031_sccl_2/258-1229559-2740407?psc=1,Wish Karo,Baby Girls Frocks Dress-(fe2644),₹474,4.1,9854,945,"['I like the quality of the frock very nice and happy, it’s comfortable and soft .', 'Above average', ""Dress is good but packing is too bad it's like a old wrapper and the bill was half tiered so disappointed."", 'fabric and dress same what we expected, good. but the overcoat given oversize....', 'Best quality, perfect fit for 6 to 7 years baby girls', 'Ordered dresses for 6yr and 6mnths kids ... Was bit large in size but material was soft and kids were looking super cute...', 'Product was good, but i have return the item due to jacket size issue', 'Good 👍', 'Good']",Amazon,https://m.media-amazon.com/images/I/7113XqJIZ9L._UX522_.jpg
https://www.amazon.in/Fashion-Dream-GF0092-TEAL_36_Teal-Blue_11-Years-12/dp/B09PYZDXWN/ref=zg_bs_15966953031_sccl_3/258-1229559-2740407?psc=1,Fashion Dream,Girls Crepe Floral Printed Calf Length Dress,₹399,3.9,1216,97,"['Cloth is awesom, soft my kid like very much', 'Cloth is good same as shown', ""Not for summer season. And in the waist it has elastic band. I don't understand why it is here. Uncomfortable to wear and put out. But product is price worthy"", 'Paisa wasool', 'Not bad this price', ""It's good"", 'Nice dress', 'Loved by everyone in my society.', 'My girl loved the dress.excellent']",Amazon,https://m.media-amazon.com/images/I/71Ujdzf19AL._UY550_.jpg
https://www.amazon.in/Uptownie-Lite-Keyhole-Jumpsuit-Printed/dp/B08N4Z68B6/ref=zg_bs_15966953031_sccl_4/258-1229559-2740407?psc=1,Uptownie Lite,Girls Midi Keyhole Jumpsuit,₹399,4.0,2937,180,"['Good product', ""I have returned the product as the size was small but they didn't deliver the exchanged product so I canceled the order but they didn't refund the money.."", 'Good I like it', 'छान', 'The product is of polyester material. Damage piece received.', 'Nice product in this range', ""It's nice but little transparent."", 'Dress is ok. fits well. colour matches with the picture as shown. price is slightly high. If 300 means it is ok.', 'Nice decent dress, very good for casual occasions. Color is same as shown. Only thing is cloth is very thin. They could have provided inner lining to the dress, atleast for upper half body. Otherwise good.', 'Very cute jumpsuit perfect fit for my daughter']",Amazon,https://m.media-amazon.com/images/I/61TnLlIQmBL._UX466_.jpg
https://www.amazon.in/Niren-Enterprise-Pattern-Floral-Printed/dp/B0BTT2LPY9/ref=zg_bs_15966953031_sccl_5/258-1229559-2740407?psc=1,Niren Enterprise,Girls GREEN CAT FROCK,₹499,0.0,0,0,[],Amazon,https://m.media-amazon.com/images/I/41dYa8Kxx2L._UY500_.jpg
https://www.amazon.in/Amazon-Brand-Cotton-line-SS19DRS619_Navy_4-5/dp/B07QVLRB8M/ref=zg_bs_15966953031_sccl_6/258-1229559-2740407?psc=1,Amazon Brand - Jam & Honey,Cotton Girls' Dresses & Jumpsuits Knee-Length Casual Dress,₹329,4.3,1701,127,"['Liked it.', 'Soft as well as shiney looks good on small girl', 'Quality was good', 'Do not like fabric quality.', 'Really good for daily wear, my kid feels very comfortable in it. It has neither shrunk nor bled colours after the wash.', 'my daughter loved this dress. its light weight, comfortable and the best. bought 1 more.', 'Good one especially for summer', 'Good for Summers. Vibrant colours and good fabric.', 'Even after a wash fabric is too thick. Not soft at al', 'Not preferable for fatty girls']",Amazon,https://m.media-amazon.com/images/I/91TshmLeg8L._UX466_.jpg
https://www.amazon.in/Amazon-Brand-AW20GDRS-G508_Navy-2_11-12/dp/B08BK8FG2Y/ref=zg_bs_15966953031_sccl_7/258-1229559-2740407?psc=1,Amazon Brand - Jam & Honey,Girl's Cotton Empire Waist Knee-Length Dress,₹499,4.2,1997,165,"[""Colour, look, fit, material as expected. Looks Pretty.\nI was expecting length to be more though. It's a short frock style not a midi/midcalf length style. Good buy anyway"", 'The product is good and comfortable. As someone mentioned in the review it is better to buy one size bigger to get the exact height. Colour of the product looks same as in the picture. Camera light difference is there', 'The frock is made of good material. It is not pure cotton. It is a poly mixture and hence is not suitable for summer.\nIt looks good. But the stitching is a bit off.\nAlso the arm hole is too big for kids. It would be good if it is atleast an inch lesser.\nThe fit is a little smaller for the size mentioned. (For a 8 year old lean built kid you need to purchase 10-11 years size)', 'Same as description. Perfect fit for age.', 'Superb quality 👍 beautiful colours', 'Like colours...dislikes the sleeve design', 'Nice one', 'The material is good. Pure cotton. Comfortable wear for the kid.', 'Fitting is not exact but still okay', 'Quality is good']",Amazon,https://m.media-amazon.com/images/I/81gc7iQ98+L._UY550_.jpg
https://www.amazon.in/Fashion-Dream-Knee-Length-GF0066-TL-BLU_40_Teal-Years-14/dp/B09NGNV8XJ/ref=zg_bs_15966953031_sccl_8/258-1229559-2740407?psc=1,Fashion Dream,Baby Girls Knee-Length Dress,₹399,4.0,773,46,"['Very good', 'Nice product as expected', 'Best', 'Fabric rayon super 👌', 'Good', 'Product is very good', ""It's very soft material & can be used in all seasons. It's simple & decent dress"", 'Quality is good and fits best', 'Good quality and soft material my kid liked it', 'Cloth and design ok but cost is little bit high']",Amazon,https://m.media-amazon.com/images/I/71ZJQafup7L._UY550_.jpg
https://www.amazon.in/T-U-N-Things-Uber-Nice-GDRS/dp/B07RM7SG1B/ref=zg_bs_15966953031_sccl_9/258-1229559-2740407?psc=1,A.T.U.N. (ALL THINGS UBER NICE),Girl's Knee-Length Dress,₹309,3.9,5390,323,"['Product received without price tag and the size s small in compare with other dresses of this age range.', 'Size is smaller than expected so order atleast one size larger. Good quality for the price.', 'The fabrics of the dress is quite comfortable and smooth for my child. Beautiful dress with perfect fit. Best item ordered for my child', 'Good product', 'Size issue', 'Like , good quality and comfortable', 'Size and quality is low.... Otherwise okey', 'Very cute', 'This item is very cheap and not worthy. Fabric quality is very poor.', 'Good']",Amazon,https://m.media-amazon.com/images/I/61+3SUiGBnL._UY550_.jpg
https://www.amazon.in/TAGAS-Baby-Girls-Knee-Length-KD-1117-6-Year_Purple_6/dp/B0B4DLLRFK/ref=zg_bs_15966953031_sccl_10/258-1229559-2740407?psc=1,TAGAS,Toddler Girls Floral Print Ruffle Trim Belted Dress,₹479,4.0,494,57,"['Really good product.. After so many disappointment with other sellers.. Go for it if you are looking for value for money', 'Very comfortable', 'Product color is ok, it fit nice, but switching is not so good. Please make sure switching will be up to mark', ""Product - TAGAS Baby-Girl's Rayon Fit and Flare\n8-9 years\nColour combination is good and classy. Fit and stitching is fine. The white material is not translucent. Nice affordable dress."", 'Good product.', 'I like this material is good for baby skin', 'Lower part is polyester so shining always but buy only if you are living in less humadity area.', 'good', 'Not bad ok']",Amazon,https://m.media-amazon.com/images/I/81jJKk1miWL._UX569_.jpg
