URL,BRAND,NAME,PRICE,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS,PLATFORM,IMAGE
https://www.amazon.in/Mehrang-Shapewear-Petticoat-Cotton-Blended/dp/B09HM2SRTH/ref=zg_bs_15330094031_sccl_1/258-1229559-2740407?psc=1,Mehrang,"Lycra Saree Shapewear Petticoat for Women, Cotton Blended,Petticoat,Skirts for Women,Shape Wear Dress for Saree",₹449,4.2,3823,352,"['The material hugs the body and shows the curviness, really good material too and an amazing purchase', 'The look and feel of the product was great', 'the product was nice comfortable and stretchable for easy walking', 'Worth for money go for it easy and comfy to wear', 'Colour is very light quality ok', 'Good fitting on body, gives a good mermaid shape.\nDoes not slide up and stays well under the saree', 'A very good occasional wear as we expect structuring the frills while using sarees', 'Love the shapewear. At first I was very confused like how the product will be but when i saw it, I was wow.', 'Fit as expected', 'Just loved the product. Fitting is superb. It is very soft and Comfortable. Quality of product is 10/10. I highly recommend this brand for saree shapewear. Must buy.']",Amazon,https://m.media-amazon.com/images/I/61kEVKPdeJL._UY550_.jpg
https://www.amazon.in/NYKD-Stretchable-Cycling-Shorties-Underskirt/dp/B09PYWRP85/ref=zg_bs_15330094031_sccl_2/258-1229559-2740407?psc=1,NYKD,by Nykaa Cotton Stretchable Cycling Shorts for Women (Shorties/Underskirt Shorts) - NYP083,₹298,4.1,1029,104,"[""While ordering I wasn't sure about the quality,still took a chance and I now I am too happy that I choose this over other expensive one.. It's comfortable, breathable and soft. Going to buy more"", ""Cotton stuff. Doesn't show under dresses. Colour is pretty. But won't deal with even with little fat tummy. Buy if you are looking for secure pants with no lines."", 'Excellent pair of shorts! Just as described. Good material, soft, easy to hand wash and super comfortable! Very happy with this purchase!', 'its very light weight, perfect for working out in. the best part is no camel toe!', 'Good product', 'One of the best products so far', 'Fits very well and has soft fabric.', 'Not properly fit. very short', 'Great fit and comfort definitely worth the money', ""It's very comfortable..Fine..Fit to size..\nTHANKS""]",Amazon,https://m.media-amazon.com/images/I/51wIVt5HkEL._UY445_.jpg
https://www.amazon.in/Bhochi-Shapewear-Petticoat-Cotton-Blended/dp/B0B84TNM1V/ref=zg_bs_15330094031_sccl_3/258-1229559-2740407?psc=1,Bhochi,"Lycra Saree Shapewear Petticoat for Women, Cotton Blended,Petticoat,Skirts for Women,Shape Wear Dress for Saree",₹301,4.3,1446,783,"['As per expected', 'Nice product', 'It is quite comfortable with draw string', 'Value for money, soft and good fit', 'Value for money', 'Very good', 'Good', 'Value for money. Keep it up.', 'Value for money', ""I used it during my pre wedding shoot nd I liked it too much it's very comfortable also""]",Amazon,https://m.media-amazon.com/images/I/51dTErMDZvL._UY550_.jpg
https://www.amazon.in/Clovia-Womens-Cycling-Elastic-PN3352P13_Black_L/dp/B07YQZYTSD/ref=zg_bs_15330094031_sccl_4/258-1229559-2740407?psc=1,Clovia,Women's Cotton Mid Waist Cycling Shorts with Inner Elastic,"₹1,346.",3.9,492,59,"[""Overall it's good other than else I will tell it's durability after use"", 'Worth it product!', 'Comfortable material and nice fittings. A must buy', 'Good product..', 'i am very satisfied with its quality', ""The fit is not perfect. It's loose at the waist and tight on the thigh. Doesn't work as a shapewear as it is not very thick nor is it fit over the tummy."", 'Very comfortable & good product', 'Material quality is good', ""I can order black color but it's came grey color"", ""Extremely stretchable and doesn't compress the skin much""]",Amazon,https://m.media-amazon.com/images/I/614oZanBxQL._UY445_.jpg
https://www.amazon.in/STORIES-Viscose-Butterfly-Culotte-LCULO-001-21051-XL/dp/B09Y3GTC3P/ref=zg_bs_15330094031_sccl_5/258-1229559-2740407?psc=1,B STORIES,Women's Viscose Printed Culotte Shorts,₹549,4.2,3331,451,"['Good quality fabric. Nice colour. Comfortable', 'This is my 3 Rd purchase i used it as a night suit in daily wear so much comfortable and febric is also very good it lasts more than 8 months as I used it on daily wear products', 'its good but on the first wash color goes away.', 'Very very comfortable best for summer', 'Nice Product... Nice fit... Soft ... Overall comfortable...', ""Returned, didn't look good on me"", ""Though it looks a bit funny on xxl sizes like me, but awesome fit and fabric, super comfortable which i would love to wear the entire day especially in summers and monsoon as it's easily dry able too"", 'I have 3 of them now. I am in love with the comfort and fabric quality. Highly recommend.', ""Go for it...I'll be buying more prints in it .."", ""This is more like a divided skirt. I would say it's more comfortable than the normal shorts.""]",Amazon,https://m.media-amazon.com/images/I/61mJCk2hIyL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Shapewear-Petticoat-fish-shapewear-nude-m/dp/B0BG39XWFT/ref=zg_bs_15330094031_sccl_6/258-1229559-2740407?psc=1,Amazon Brand - Anarva,"Lycra Saree Shapewear Petticoat for Women, Cotton Blended,Petticoat,Skirts for Women,Shape Wear Dress for Saree",₹471,4.2,104,17,"['Comfortable. Holds the saree.walkinh was so easy.', 'comfortable and got in good price', 'Nice', 'Good', 'Recommend', 'Best product\nWorth buy for saree lovers\nThank you Amazon!', ""It's very comfortable and hold the saree properly..and also the quality is good.."", ""Just loved the fabric...\nVery comfortable to wear...\nStretchable and can be used for maxi's too..\nWorth the money"", 'Very comfortable']",Amazon,https://m.media-amazon.com/images/I/611X5XUpN2L._UY550_.jpg
https://www.amazon.in/Amazon-Brand-Womens-Shorts-EI-AW20PACK01-SC-12_Multicolor/dp/B08FXG4VZ1/ref=zg_bs_15330094031_sccl_7/258-1229559-2740407?psc=1,Amazon Brand - Eden & Ivy,Women's Regular fit Lounge Shorts,₹499,4.3,1042,120,"['Comfortable, colours and size are as expected.', 'Good daily wear', '', 'Good quality shorts. Very comfortable.', 'Good quality of cloth. Fine print', 'The product colour is fading during washing', 'Good quality 👌', 'Excellent quality', 'Perfect for nights and summer time. Breathable material', 'The item bought is exactly as described']",Amazon,https://m.media-amazon.com/images/I/819tDi34rNL._UX342_.jpg
https://www.amazon.in/Amazon-Brand-Womens-SS19UTSBT02-GP-05_Peach-Black_Medium/dp/B07S6NXZFR/ref=zg_bs_15330094031_sccl_8/258-1229559-2740407?psc=1,Amazon Brand - Eden & Ivy,Women's Shorts,₹369,4.3,1357,164,"['Value of money', 'Good product\nGood fit\nAnd decent quality', 'Love the fit. Did not loose color after wash. Very comfortable.', ""overall I'm happy with the shorts they look cute to roam around it house. but.. they are VERY VERY thin material so panty-liner problems hai. Quality wise very okay okay. please consider taking a size +1 than your usual size."", 'Good', 'I got these two for 399 and i am so happy with the product. The fabric is soft and long lasting', ""It's just superb comfy.. go for it girls"", 'Will know after getting it washed', 'Loved the product !', 'great comfy shorts']",Amazon,https://m.media-amazon.com/images/I/71uh0lBjihL._UX342_.jpg
https://www.amazon.in/Jockey-Shorties-Girls-Elastic-1529_Skin_L/dp/B09MFKDQPN/ref=zg_bs_15330094031_sccl_9/258-1229559-2740407?psc=1,Jockey,Women's Shorties,₹329,4.1,90,5,"['Very soft and got same size as ordered . Worth buying', 'Nice product', 'Quality & packing were too poor.Not as per description.', 'Good to buy', 'Original']",Amazon,https://m.media-amazon.com/images/I/51DIVvTDbaL._UY445_.jpg
https://www.amazon.in/Wedani-Womens-Girls-Flared-Skater/dp/B0BNHP8HK1/ref=zg_bs_15330094031_sccl_10/258-1229559-2740407?psc=1,Wedani,Women's & Girl's Solid High Waist Flared Skater Short Mini Skirt,₹159,3.3,43,6,"['There was no shorts attached to it and the fabric is very light.\n\nToo short overall for me, it would have been okaish if shorts were attached as shown in pics.', 'The product comes with an attached divider which makes the skirt more comfortable. The material is really good, and the plates on the skirt is another beauty of this little and comfy skirts. Loved it.', 'Nice fit with shine look', 'disastress product.', 'The zip broke in two days, the quality of the skirt is also really bad.']",Amazon,https://m.media-amazon.com/images/I/71foyau4dmL._UY550_.jpg
